Species	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	MD10	MD11	MD12	MD13	MD14	MD15
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Unassigned|Unassigned|Unassigned	0.0286671563972551	0.0198620490412047	0.0496126397740717	0.111698562811825	0.0442807042403202	0.038262517309234	0.00527361260041837	0.0513483364909609	0.00186358553857622	0.00184600616566059	0.039952751528627	0.0857398963326708	0.00899393808573022	0.0844691879439432	0.0350165868042757	0.0782904218786143	0.0617338389628715	0.0329797174737536	0.0298659545686126	0.0354219877328064	0.0619071392910634	0.0795123244102836	0.00359485935112789	0.0320970042796006	0.0507825960788581	0.0438701443726569	0.0120039784614329	0.00539228902669183	0.0164575942654427	0.0053132139631263
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae|Mucispirillum|Unassigned	20.647519395123	0.82517785562096	0.0896843872838988	0.169409486931268	8.42396117467852	1.81655855987173	1.02483871534797	0.683464065017618	3.85203130823705	0.286130955677392	0.229294052251251	0.830118087220858	2.84208443509075	1.89095795738146	1.80243273129377	0.0943043718083308	0.065261486903607	0.126422250316056	0.110679713989564	0.177109938664032	0.0559161258112831	0.130753600141355	2.25217938348162	0.511768901569187	0.0761738941182872	0.0937225811597671	0.0788832870322735	0.030556304484587	0.0603445123066233	0.0017710713210421
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Unassigned	0.193503305681472	0.0956989635621682	0.10494981490669	0.0502643532653213	0.0797052676325764	0.038262517309234	0.0246101921352857	0.00531189687837527	0.00186358553857622	0.00923003082830297	0.0104224569205114	0.0214349740831677	0.00899393808573022	0.00767901708581302	0.00552893475856985	0.373658831693386	0	0.00549661957895894	0.0122977459988405	0.020507466582151	0.0479281078382426	0.0247371675943105	0.0143794374045115	0.00178316690442225	0.00725465658269402	0.0398819494296881	0.121754638680248	1.74889907432372	0.13531799729364	0.0796982094468944
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Ligilactobacillus|Unassigned	0.179169727482844	0.184175363836626	0.0228981414341869	0.392806612554918	0.0814764958021892	0.377159099191021	0.73479002232496	0.0566602333693362	0.765933656354827	0.182754610400399	0.967551417454141	0.705405510736973	0.201464213120357	0.249568055288923	0.164025064504239	0.0302485720894646	0.0564423670517682	0.177724033053006	0.115950176560496	0.123044799492906	0.529206190713929	1.49836557999823	0.0575177496180462	0.021398002853067	0.204944048461106	4.35311478025046	0.855712178893576	0.208501842365417	4.02296748710822	0.513610683102208
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Limosilactobacillus|Unassigned	0.188128213856987	0.0234733306850601	0.00190817845284891	0.0465410678382605	0.0318821070530306	0.10749945339261	0.0175787086680612	0.00177063229279176	0.0633619083115915	0.0350741171475513	0.0138966092273485	0.132507112514128	0.0629575666001115	0.286043386446535	0.0165868042757095	0.103201010658173	0.0123467677925743	0.0201542717895161	0.00878410428488607	0.124909114636738	0.0379430853719421	0.314515416556233	0.176148108205266	0.0160485021398003	0.0924968714293487	0.438701443726569	0.504167095380183	0.217488990743237	0.314522912628461	0.035421426420842
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1|Clostridium_sensu_stricto|Unassigned	0.00537509182448534	0.0018056408219277	0.0171736060756402	0.00372328542706084	0.00885614084806405	0.0218642956052766	0.042188900803347	0.00354126458558351	0.00745434215430488	0.136604456258884	0.0295302946081156	0.0038972680151214	0	0.00383950854290651	0.0184297825285662	0.0391452109393071	0.00176382397036776	0.00366441305263929	0.00351364171395443	0	0.0259610584123814	0.0600759784433254	0.0161768670800755	0.112339514978602	0.17592542213033	0.00199409747148441	0	0.00179742967556394	0	0.0035421426420842
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_2|Alkaliphilus|Unassigned	0.0627094046189956	0.0541692246578311	0.0667862458497119	0.0781889939682776	0.0814764958021892	0.0692369360833758	0.042188900803347	0.0637427625405032	0.0633619083115915	0.059072197301139	0.0469010561423013	0.0526131182041389	0.0287806018743367	0.0364753311576118	0.0331736085514191	0.0640557997188662	0.0388041273480907	0.0787848806317448	0.0632455508511797	0.0503365088834617	0.0738891662506241	0.104249492004594	0.0341511638357149	0.0338801711840228	0.0616645809528991	0.0279173646007817	0.0342970813183798	0.0215691561067673	0.0128003510953443	0.106264279262526
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Aminipila|Unassigned	0.179169727482844	0.287096890686505	0.0744189596611075	0.137761560801251	0.212547380353537	0.114787551927702	0.263680630020919	0.109779202153089	0.180767797241893	0.230750770707574	0.0625347415230684	0.0565103862192603	0.0917381684744482	0.0767901708581302	0.0552893475856985	0.0836284051885198	0.153452685421995	0.203374924421481	0.158113877127949	0.398963440780029	0.219670494258612	0.14135524339606	0.0665048979958659	0.0891583452211127	0.152347788236574	0.0677993140304698	0.0514456219775697	0.00718971870225577	0.177376293749771	0.0017710713210421
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Ihubacter|Unassigned	0.00358339454965689	0.0162507673973493	0.00190817845284891	0.0186164271353042	0.0177122816961281	0	0.00527361260041837	0.00354126458558351	0.00745434215430488	0.00369201233132119	0.00694830461367426	0.0272808761058498	0.00179878761714604	0.023037051257439	0.00184297825285662	0.0569384886389922	0.0352764794073551	0.0439729566316715	0.049190983995362	0.160331102369545	0.0898652021967049	0.159024648820567	0.0233665857823313	0.0196148359486448	0.0979378638663692	0.0717875089734386	0.0205782487910279	0.0449357418890986	0.0530300259664265	0.0283371411366736
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XI|Unassigned|Unassigned	0.0394173400462258	0.0288902531508432	0.0400717475098271	0.0204780698488346	0.0141698253569025	0.0327964434079149	0.0123050960676429	0.014165058342334	0.0093179276928811	0.0147680493252847	0.0208449138410228	0.0350754121360926	0.0143903009371683	0.0115185256287195	0.00921489126428308	0.0355865553993701	0.0194020636740453	0.0183220652631965	0.0193250294267494	0.00745726057532765	0.0239640539191213	0.0282710486792119	0.0269614451334592	0.0196148359486448	0.0163229773110615	0.00997048735742203	0.00857427032959495	0.030556304484587	0.0201148374355411	0.0301082124577157
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|Unassigned	0.738179277229319	0.707811202195659	1.96733198488723	2.42758209844367	0.251514400085019	0.337074557248014	0.495719584439327	0.079678453175629	0.111815132314573	0.099684332945672	0.039952751528627	0.0954830663704743	0.0179878761714604	0.0844691879439432	0.0810910431256911	0.0498211775591182	2.65455507540347	2.98649663790102	0.989090142478172	1.42247245474375	0.0898652021967049	1.8976941425921	0.095263772804889	0.098074179743224	1.68670765547636	0.219350721863285	0.121754638680248	0.129414936640604	1.00025600702191	0.0779271381258523
