Genus	NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	NC10	NC11	NC12	NC13	NC14	NC15	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_2|Alkaliphilus	0.344161992861825	0.110874348180102	0.211412765807509	0.0614470787034666	0.240192153722978	4.42855927155136	1.22214731456032	9.05461708766975	3.69646906917843	0.214282154781482	10.8585423722327	1.45471180237877	5.12931782676619	4.29321720277368	0.238808163565222	0.0824180746421085	0.0722256328771081	0.0782353165668053	0.0986670638171122	0.115129831024833	0.0783470592522411	0.0457046425369592	0.065513394833295	0.0633619083115915	0.0609182034667996	0.0486381322957198	0.0701508242721852	0.0377745399600669	0.0364753311576118	0.0331736085514191
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Aminipila	0.156602811566757	0.155917052128268	0.167368439597611	0.252615768003141	0.160128102481986	0.120840779508127	0.155577451641342	0.0104597039903771	0.0496614742836332	0.101327220478065	0.0229607944434877	0.0311070448307411	0.0190939073077591	0.0112143244304058	0.020206844609365	0.179169727482844	0.287096890686505	0.0744189596611075	0.137761560801251	0.212547380353537	0.114787551927702	0.263680630020919	0.109779202153089	0.180767797241893	0.230750770707574	0.0625347415230684	0.0565103862192603	0.0917381684744482	0.0767901708581302	0.0552893475856985
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Ihubacter	0.0965110350353267	0.223481108050517	0.0722326949842321	0.116066704217659	0.342883002053817	0.241681559016254	0.152120174938201	0.395725467635933	0.183747454849443	0.101327220478065	0.0153071962956585	0.0182982616651418	0.0433952438812706	0.0299048651477487	0.0367397174715726	0.00537509182448533	0.0162507673973493	0.00381635690569782	0.0204780698488346	0.0177122816961281	0	0.0070314834672245	0.00354126458558351	0.00745434215430488	0.00369201233132119	0.00694830461367426	0.0272808761058498	0.00179878761714604	0.023037051257439	0.00184297825285662
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XI|Unassigned	0.0437031102046762	0.0294509987353395	0.036997234016314	0.052912762216874	0.0330699342082362	0.0204237937196834	0.00864319175785234	0.0139462719871694	0.0132430598089689	0.0315609375259547	0.0440081893500182	0.0311070448307411	0.0260371463287624	0.0242977029325458	0.0257178022301009	0.0394173400462258	0.0288902531508432	0.0400717475098271	0.0204780698488346	0.0141698253569025	0.0327964434079149	0.0123050960676429	0.014165058342334	0.0093179276928811	0.0147680493252847	0.0208449138410228	0.0350754121360926	0.0143903009371683	0.0115185256287195	0.00921489126428308
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	1.93568358948212	1.22135024167143	1.39180070823277	0.657142369467629	0.476903261739827	0.161688366947494	0.193607495375892	0.449767271586214	0.264861196179377	0.159465789604824	0.1568987620305	0.0457456541628545	0.0364520048602673	0.0112143244304058	0.0165328728622077	0.732804185404834	0.702394279729876	1.96542380643438	2.43316702658426	0.244429487406568	0.318854310910283	0.479898746638072	0.0548896010765444	0.0894521058516586	0.0756862527920843	0.0364785992217899	0.0935344323629136	0.0125915133200223	0.0287963140717988	0.0276446737928492
Bacteria|Firmicutes|Clostridia|Clostridiales|Heliobacteriaceae|Hydrogenispora	0.140214145240003	0.109141936489787	0.179700850936382	0.0921706180552	0.107912416890034	0.0527614671091822	0.0605023423049664	0.0993671879085822	0.0811137413299343	0.0664440790020099	0.0727091824043778	0.104300091491308	0.0815830584967887	0.0691550006541689	0.090012307805353	0.120043717413506	0.0650030695893973	0.0954089226424455	0.0837739221088689	0.0566793014276099	0.0783470592522411	0.0404310299365409	0.0442658073197939	0.0484532240029817	0.0572261911354784	0.0694830461367426	0.0623562882419424	0.043170902811505	0.0710309080437704	0.0405455215628456
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Acetatifactor	0.194843032995848	0.19922734438612	0.348831063582389	0.319183436598563	0.487346398858217	0.891838992426176	0.318069456688966	0.129003015881317	0.158916717707626	0.275742927858341	1.10403153282437	0.58188472095151	0.623155702135046	0.214941218249444	0.598857394786634	0.842097719169369	0.834206059730598	0.778536808762355	1.58425794921439	0.329448439547983	0.572115735004737	1.54692636278939	3.61386050958797	3.9731643682445	1.41034871056469	2.23214285714286	2.46891928757941	3.22702498516	1.57803801113457	3.96240324364172
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerocolumna	0.227620365649355	0.197494932695806	3.39317489121051	0.568385478007066	0.268040519372019	2.38788188239299	0.330169925149959	0.130746299879713	0.743266731778377	0.629557648544044	0.449648891184968	2.25251601097896	0.682173233813574	0.261667570042801	1.35753256057461	1.2595631842044	1.31270087754144	0.221348700530474	0.642266736167995	0.759856884763895	0.559361562568326	0.731274280591348	0.874692352639127	0.475214312336936	0.906389027339351	0.627084491384102	0.438442651701157	0.55942294893242	0.863889422153964	0.486546258754147
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerosporobacter	0.0473450360550659	0.0155917052128268	0.0334736879195222	0.0307235393517333	0.0330699342082362	0.0119138796698153	0.0103718301094228	0.00871641999198089	0.0314522670463011	0.0149499177754522	0.0746225819413352	0.0567246111619396	0.069432390210033	0.0112143244304058	0.0587835479545162	0.0125418809237991	0.00541692246578311	0.0114490707170935	0.201057413061285	0.00354245633922562	0.0874571824211063	0.184576441014643	0.0531189687837527	0.361535594483787	0.457809529083827	0.887645914396887	1.0015978798862	0.116921195114493	0.581685544250336	0.464430519719867
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes	0.151139922791172	0.0675640559222494	0.507390637938021	0.116066704217659	0.156647056775855	0.146370521657731	0.055316427250255	0.0889074839182051	0.0695260639970865	0.0581385691267587	0.00574019861087194	0.0969807868252516	0.029508765839264	0.00560716221520289	0.18737255910502	0.00716678909931378	0.00722256328771081	0.00954089226424455	0.0130314989947129	0.0106273690176769	0.00182202463377305	0.00175787086680612	0.00177063229279176	0.00372717107715244	0.00738402466264237	0.00694830461367426	0	0.00179878761714604	0.00383950854290651	0.00184297825285662
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerotaenia	0.11654162721247	1.28371706252274	1.71420517608922	0.689572772116681	0.941622863508198	4.90000850991405	5.6077028124946	1.70667503442986	2.48472909665778	6.50155313034667	1.50201863651149	1.72186642268984	0.696059711855581	0.207465001962507	0.843176515972592	0.0412090373210542	0.0722256328771081	0.0572453535854673	0.502643532653213	0.0389670197314818	0.165804241673347	0.181060699281031	0.127485525081006	0.104360790160268	0.0609182034667996	0.0868538076709283	0.0467672161814568	0.0737502923029878	0.0614321366865041	0.123479542941393
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerotignum	0.0892271833345473	0.0710288793028775	0.209650992759113	0.098998071244474	0.0661398684164723	0.0255297421496043	0.0829746408753824	0.0278925439743389	0.0645599165687232	0.0664440790020099	0.0956699768478656	0.0878316559926807	0.0260371463287624	0.125226622806198	0.0881753219317743	0.301005142171179	0.299736376439999	0.0725107812082586	0.093082135676521	0.474689149456233	0.0182202463377305	0.121293089809623	0.0177063229279176	0.0670890793887439	0.0775322589577449	0.0660088938299055	0.0643049222495031	0.116921195114493	0.0806296794010367	0.0442314780685588
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia	0.11654162721247	0.0935502312769607	0.169130212646007	0.397699148275215	0.243673199429109	0.142966556037784	0.25929575273557	0.0958806199117898	0.291347315797315	0.33222039501005	2.10856628972696	1.72186642268984	1.31747960423538	0.0971908117301834	0.341679372485626	0.555426155196818	0.236538947672529	0.440789222608098	0.988532280884653	0.21431860852315	0.510166897456454	0.349816302494419	0.612638773305948	0.648527767424525	0.862084879363497	1.63111450806003	2.32082310300479	0.124116345583077	1.6836244960645	1.19977884260966
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Caecibacterium	0.284070216330396	0.0363806454965958	0.459822765631331	0.488162903033096	0.107912416890034	0.0561654327291294	0.103718301094228	0.0104597039903771	0.00827691238060554	0.189365625155728	0.086102979163079	0.184812442817932	0.0867904877625412	0.162607704240884	0.00734794349431453	0.00358339454965689	0	0	0.00186164271353042	0	0	0.00175787086680612	0	0.00186358553857622	0	0.00173707615341857	0.0019486340075607	0.00179878761714604	0	0.00368595650571323
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Clostridium_XlVa	0.968752276203656	2.77012629281222	0.311833829566075	1.55665932715449	1.03735162042678	2.75721215215726	3.28095559128075	2.26801248191343	2.09736959724544	1.55977475457218	0.480263283776285	0.817932296431839	0.994618989758722	0.471001626077042	0.81929569961607	1.49427552720692	0.319598425481203	0.566729000496126	0.714870801995681	0.228488433880052	1.24079877559945	1.08460632481938	1.26600208934611	0.881475959746552	0.34151114064721	0.602765425236242	1.50824272185198	0.793265339161405	1.48780956037627	1.51124216734243
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea	0.00364192585038969	0.0415778805675381	0.00176177304839591	0.00170686329731852	0.57089149580534	0	0.0121004684609933	0.00174328399839618	0	0.00498330592515074	0	0.00731930466605672	0	0	0	0	0	0	0	0	0.00182202463377305	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Eisenbergiella	5.32085366741933	1.07063042461411	3.33855992671024	4.00600815880656	2.79702022487555	1.62369160071483	1.58343273003855	0.400955319631121	1.14552467347581	4.26737097390409	3.2049442244035	3.2644098810613	13.4681478909911	4.19976449918696	5.03150430773187	2.15541182161862	1.30728395507566	2.57604091134603	3.2802144612406	0.676609160792093	3.27964434079149	4.18900627559899	5.07463215114117	2.66306373462542	4.13505381107973	6.03112840466926	5.34315444873144	7.88588491356826	4.25225571126896	7.04386288241799
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Enterocloster	8.21982664432952	4.71215979765431	3.25751836648403	6.16519022991449	8.20656525220176	1.25606331376053	1.18757454752891	1.53931977058383	8.59474581602079	1.20596003388648	2.56012858044888	2.17566331198536	2.73390036452005	5.1118628861933	1.29691202674651	2.27545553903213	9.72157018525875	5.02995840170973	4.07327425720456	9.4990966736335	2.10808250127542	6.64123613479354	12.6759565840962	5.65970928065598	4.45441287773901	4.53724291272929	4.55590630967692	7.86609824977965	6.71722019581494	4.83044600073719
