OTUID	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
ASV_1170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	3	1	0	0	0	0	16	2	0	3	1	1	10	3
ASV_1212	5	0	3	0	0	1	0	1	2	2	2	0	0	0	0	2	0	2	0	0	0	0	1	0	2	1	0	0	0	0	0	0	3	0	2	3	5	2	3	2	1	0	0	0	0
ASV_1232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	22	1	0	0	0	0	0	0	0	0
ASV_1283	0	0	5	21	0	4	7	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1
ASV_1494	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	4	2	0	0	2	0	0	1	0	6	2	0	3	1	0	0	2	1	4	1	3	2	0	0	0	0	5
ASV_1109	2	1	2	2	1	2	0	1	2	0	0	2	0	0	0	4	3	2	0	1	0	2	0	2	0	0	1	9	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_1249	3	5	0	0	0	0	1	0	1	1	0	2	1	1	0	2	1	0	1	3	0	1	1	0	0	1	1	1	0	0	2	1	2	0	7	0	0	0	1	1	1	0	2	0	0
ASV_1282	1	3	1	2	0	0	0	1	0	0	0	2	3	1	1	1	1	0	0	0	2	2	0	4	1	1	2	0	0	0	4	0	0	0	1	1	0	0	0	1	2	0	3	2	1
ASV_1307	0	2	1	0	2	0	2	0	4	2	3	1	0	3	1	1	2	0	0	0	1	0	0	0	2	1	0	1	0	2	0	0	0	1	0	2	3	0	2	0	0	0	1	1	3
ASV_1112	0	20	2	0	1	0	1	0	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	2	1	0	1	0	1	0	0	1	0	0	1	0	0	0
