HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
ASV_21	810	23	2798	1372	1239	413	416	17	244	1194	13	1223	22	1029	30	993	236	608	96	23	36	21	141	214	164	13	177	989	4073	417	8	57	47	616	59	53	21	14	12	22	14	747	20	322	236
ASV_19	277	627	43	213	7	161	97	63	2465	248	30	309	68	51	31	5983	66	1047	20	7	4	40	479	248	2698	5	1493	43	924	257	738	6	58	93	97	6	217	230	81	134	165	177	49	2	20
ASV_24	35	32	27	27	16	19	18	30	35	42	46	38	24	36	34	36	34	14	20	12	7	60	22	43	36	27	37	59	19	19	165	125	5486	681	2748	299	106	34	111	28	122	2489	681	4632	1676
ASV_17	108	5	6	11	5	4	3	53	55	27	45	21	14	3	1	210	4	20	71	973	74	45	0	3	7	11	24	14	8	1	1914	429	557	285	610	56	229	4292	586	594	1832	240	1310	4293	613
ASV_20	23	61	52	92	20	64	47	61	438	355	28	275	106	64	43	628	518	1208	191	8	489	33	141	284	246	91	294	332	41	84	404	59	2559	1737	1580	1149	2307	146	262	382	316	126	509	438	497
ASV_23	247	606	141	111	66	86	108	245	274	538	478	406	395	195	405	164	1263	215	132	44	166	62	366	439	298	907	513	665	387	287	1254	303	203	462	215	188	735	827	1886	595	882	275	347	396	283
ASV_28	5	801	460	872	851	786	1210	763	1066	99	341	521	1366	1909	759	1004	39	637	31	12	586	5	476	789	636	290	24	735	284	885	9	7	24	32	32	11	35	1	6	1	9	32	14	4	22
ASV_29	364	468	1058	990	1572	852	1842	375	16	293	169	947	715	19	592	15	99	52	1573	25	474	9	636	591	609	712	12	742	433	581	51	20	25	48	76	61	20	16	14	65	30	10	14	12	20
ASV_31	11	7	17	9	11	9	7	3	7	8	7	50	28	3	7	16	2	5	12	9	4	34	12	7	3	41	12	12	11	3	55	3905	777	933	392	107	450	729	962	398	524	2863	3230	964	1490
ASV_41	41	12	103	472	569	666	229	23	83	23	8	19	291	962	18	9	17	12	7	5	13	26	151	371	26	17	16	14	16	17	2252	48	24	327	625	121	26	1810	960	1275	3171	43	66	76	22
ASV_25	17	1117	748	1363	313	1479	606	252	3	207	20	537	303	139	648	8	155	565	138	63	221	15	11	17	196	13	1359	499	34	85	105	85	190	196	316	174	363	111	150	126	96	388	263	528	294
ASV_201	372	371	971	881	1427	771	1296	286	40	292	125	715	447	52	554	37	117	114	863	45	238	12	420	386	409	605	35	505	890	354	31	36	50	64	185	57	55	24	19	84	43	31	25	21	19
ASV_51	44	349	4	17	44	1447	76	4148	42	119	4708	10	30	29	33	35	1	12	10	10	10	7	37	35	51	2022	5	3	1	9	2	18	19	14	5	566	3	12	1	1	0	17	5	25	12
ASV_44	669	364	327	94	1060	151	186	359	177	619	254	408	487	1124	463	360	134	250	104	7	135	8	630	513	1126	215	347	237	1027	645	53	245	125	30	30	169	63	82	32	155	57	51	188	20	156
ASV_46	259	271	392	319	284	338	1826	23	117	256	10	498	426	744	225	228	182	528	617	37	459	18	163	191	1039	14	109	22	261	238	79	710	281	119	406	375	115	49	75	237	177	230	277	135	568
ASV_30	136	1643	37	34	6	11	32	90	153	113	178	1401	1173	315	193	364	972	113	72	56	117	100	318	954	1369	764	618	897	176	204	110	34	2	1	2	1	1	209	140	144	194	24	35	155	36
ASV_32	76	73	166	220	38	113	75	230	669	565	191	402	121	49	78	720	104	290	103	143	90	137	153	237	152	208	28	139	36	36	511	650	334	478	363	153	523	247	573	319	427	508	1624	818	733
ASV_35	116	17	956	715	1029	41	589	14	978	195	14	9	1123	556	18	130	1810	10	1131	17	343	28	339	1193	452	10	329	246	12	776	17	9	24	21	21	21	17	12	11	86	16	20	11	16	70
ASV_52	792	382	217	84	494	504	215	96	226	561	14	6	1399	1167	1390	11	630	1185	525	15	100	10	987	38	47	64	34	577	161	1064	13	12	81	70	17	21	86	9	7	17	13	13	17	14	44
ASV_43	8	25	6	3	3	2	4	11	7	15	11	6	6	27	23	1136	1949	498	350	27	4	9	1078	7	9	1091	3766	1326	1462	27	5	21	3	3	6	5	8	13	9	8	4	10	8	14	11
ASV_36	391	1369	35	12	3	15	17	310	593	318	141	1167	502	317	140	313	1447	6	5	7	51	15	216	590	811	413	672	761	133	298	137	158	28	25	29	6	25	430	173	129	396	58	174	326	106
ASV_33	247	381	61	74	39	28	46	220	651	464	351	609	329	141	220	324	867	162	80	3	80	3	459	265	449	258	657	481	165	303	936	138	10	14	10	9	18	940	1063	307	422	51	291	196	320
ASV_417	21	27	120	136	311	76	192	16	227	76	16	14	163	720	13	49	934	230	868	18	392	8	1191	759	268	6	15	560	25	784	394	1071	478	374	13	10	873	88	420	617	385	14	153	8	9
ASV_38	433	193	955	15	1225	5	6	4	452	657	5	158	797	1170	783	335	19	1131	4	14	1146	7	87	485	439	4	14	15	8	1734	8	4	136	39	139	104	15	3	31	15	17	31	6	6	11
ASV_50	22	38	96	112	217	126	133	33	152	80	38	73	26	299	24	104	25	48	45	25	64	37	146	104	16	49	432	234	223	186	211	2642	28	24	148	89	145	107	491	2038	36	1430	1573	45	1134
ASV_56	64	30	79	79	82	27	33	51	15	26	36	26	45	29	7	13	73	47	19	46	43	84	14	17	65	39	39	8	6	13	95	128	538	396	7383	1649	397	48	15	20	31	298	106	48	142
ASV_1253	241	628	646	245	594	409	331	203	44	180	8	535	1347	341	823	82	411	313	240	17	317	2	43	24	62	626	246	210	814	779	24	75	82	24	36	314	32	22	19	114	37	48	50	35	116
ASV_34	22	16	20	19	13	6	8	21	30	37	37	16	16	9	13	38	20	4	11	8	7	52	12	24	17	6	22	24	14	7	276	147	2799	461	1852	155	636	62	173	83	36	478	346	3233	600
ASV_53	0	0	1	6	0	3	3	5	0	1	0	2	0	5	1	0	2	13	86	3610	21	7887	4	0	0	10	1	1	6	1	0	3	8	2	1	0	1	1	1	3	0	0	1	1	4
ASV_37	247	229	262	1115	20	375	83	572	195	281	452	377	86	86	111	177	220	659	594	12	137	3	330	270	231	126	1387	1484	381	170	20	118	72	50	22	7	33	31	48	13	35	35	60	17	30
ASV_42	18	10	52	33	14	18	28	16	4	6	10	9	2	32	3	10	4	65	2793	56	2538	17	39	14	7	14	4	20	25	510	1129	106	38	115	149	602	41	450	302	1435	699	18	92	5	132
ASV_39	82	80	464	302	89	105	77	89	9	175	36	169	356	24	331	15	96	1784	409	95	1880	245	30	82	48	59	218	704	26	12	122	57	270	198	475	143	258	363	187	96	221	37	181	317	29
ASV_45	19	1	6	7	1	2	1	6	8	7	6	14	13	8	1	4	10	6	4	3	6	7	114	180	191	13	6	0	3	6	496	296	20	136	4	123	59	2352	967	1342	1608	1817	294	1002	131
ASV_59	123	104	774	366	575	769	657	6	166	373	13	370	400	908	518	292	155	444	290	18	149	6	400	258	515	14	332	162	784	453	12	9	15	13	7	7	13	24	15	14	18	15	184	3	16
ASV_48	221	113	533	11	652	7	10	10	318	430	5	93	438	693	491	466	8	1687	5	12	1618	2	45	311	251	1	8	8	4	1008	5	1	143	21	205	111	9	1	33	10	6	16	2	8	7
ASV_109	41	24	34	37	24	43	48	29	322	31	12	36	34	378	35	10	15	54	28	19	38	29	16	28	30	59	18	11	21	40	31	1987	40	469	482	1107	43	21	196	1977	34	72	1002	22	1395
ASV_58	2	8	9	141	5	19	16	0	2	4	4	8	3	1	6	7	0	11	4011	27	64	3	2	4	1	6	2	7	4	2	8	833	22	2185	198	1152	238	8	343	211	23	157	150	14	313
ASV_40	113	8	2	4	2	2	2	1556	11	14	113	2	4	3	4	9	0	5	0	1	2	2	8	8	9	8	10	4	3	3	1106	8	14	34	14	16	4	4950	264	91	1212	4	8	436	4
ASV_55	156	352	280	444	465	453	307	132	128	116	317	326	167	735	300	129	338	368	292	19	635	6	482	245	351	426	233	379	183	337	68	15	61	57	32	33	33	30	61	19	40	15	16	9	24
ASV_64	215	176	282	304	322	228	469	776	97	211	381	143	313	262	270	365	187	142	92	24	227	33	300	442	286	356	213	210	149	235	146	217	74	52	100	23	44	132	60	235	214	161	182	114	233
ASV_74	27	277	72	91	143	29	76	23	110	191	16	118	57	274	226	117	321	192	404	8	558	8	539	918	359	65	15	268	54	752	327	337	444	84	256	608	101	323	106	137	18	105	247	44	159
ASV_89	1	3	25	153	6	12	6	4	9	6	7	16	9	5	3	2	1	7	853	14	25	9	1	1	3	13	1	4	1	4	8	1214	39	2960	273	1807	338	13	393	331	20	288	243	29	407
ASV_1365	237	312	707	188	475	273	451	81	111	307	12	305	436	298	382	235	133	379	214	32	407	12	35	90	97	206	335	262	1042	496	20	100	47	20	35	134	17	31	20	151	27	73	52	26	76
ASV_73	30	11	46	25	22	21	18	12	15	35	16	27	20	13	9	31	5	14	39	29	51	15	34	11	7	29	7	28	9	5	511	468	175	847	570	386	998	482	451	670	571	1029	543	634	514
ASV_57	163	73	22	17	22	6	15	277	949	552	362	410	274	90	45	330	15	5	11	9	10	14	49	108	76	95	180	14	22	12	496	327	46	86	26	176	186	370	623	398	359	495	602	477	330
ASV_47	13	13	9	74	2	20	13	13	11	9	11	23	7	10	11	21	20	33	66	3289	23	4800	3	15	8	19	148	29	9	3	1	6	22	11	16	1	12	2	1	5	0	12	1	21	5
ASV_82	58	166	76	195	118	89	143	77	89	159	37	179	207	88	92	94	44	71	29	27	124	99	39	164	77	62	29	92	56	164	220	50	68	88	195	55	55	140	96	115	274	86	150	36	4541
ASV_54	53	179	40	55	18	63	41	121	186	146	103	82	162	72	207	199	276	156	49	7	71	26	207	219	172	231	167	278	43	55	193	231	53	77	74	22	79	375	247	133	659	320	567	1390	276
ASV_75	55	417	218	161	75	239	208	82	348	363	70	346	210	85	210	59	234	191	164	101	282	61	163	110	178	125	473	333	59	118	214	54	86	119	96	130	184	357	445	122	251	49	148	70	65
ASV_49	42	652	246	547	57	209	161	134	180	294	61	283	183	79	118	127	653	99	118	3	78	1	204	208	264	245	144	869	22	78	122	93	108	131	126	74	160	69	125	173	118	140	53	144	123
ASV_76	262	309	912	1060	43	726	409	5	141	38	2	206	11	196	73	17	122	7	5	8	9	2	44	94	28	2	234	2	20	164	24	9	1027	836	679	28	90	3	6	16	11	10	8	36	8
ASV_465	224	135	17	73	18	18	12	189	34	262	125	35	202	86	54	218	896	79	157	6	185	5	481	234	420	352	330	779	481	287	22	144	28	32	26	24	141	214	31	191	146	59	149	22	52
ASV_507	28	134	39	32	25	49	38	119	94	139	48	75	106	96	55	335	88	49	15	1	74	5	139	143	133	191	70	72	93	71	447	461	61	48	92	12	124	610	283	732	594	262	945	69	485
ASV_61	47	7	51	64	45	31	33	21	28	35	19	44	25	7	4	26	11	44	23	46	43	42	25	23	23	47	8	11	12	7	50	656	394	785	498	618	604	64	44	40	48	740	958	791	576
ASV_63	29	7	25	17	8	8	9	9	12	8	16	9	10	2	0	11	7	16	2	11	7	23	7	13	10	8	7	6	1	2	868	27	634	687	624	273	484	1005	1395	306	595	34	66	66	40
ASV_67	165	5	1	4	1	1	2	119	230	230	60	9	13	4	2	6	675	79	47	2	514	5	1083	1611	548	746	6	815	5	3	17	3	3	1	2	2	0	39	7	25	6	35	66	85	12
ASV_1412	25	177	193	282	413	347	377	169	155	51	79	148	315	692	156	246	26	131	14	12	133	27	125	184	143	73	12	132	250	229	225	53	28	53	223	66	27	189	85	285	333	30	47	34	340
ASV_81	138	222	29	46	12	41	25	282	422	442	380	330	231	88	184	311	410	299	97	2	127	4	156	222	204	322	542	262	204	135	66	26	91	97	63	52	117	49	116	48	70	29	32	65	23
ASV_62	243	25	18	42	5	11	9	265	793	1071	73	164	260	21	44	17	237	4	9	22	7	11	415	14	12	5	13	233	32	29	992	28	12	17	10	4	8	610	736	275	247	24	18	18	127
ASV_91	411	22	233	226	346	233	598	3	96	54	2	520	302	598	88	388	57	45	16	13	50	2	72	55	33	3	605	99	1510	275	1	13	5	4	13	2	8	1	3	7	2	2	3	5	1
ASV_60	5	52	37	37	9	13	5	4	1	2	6	6	11	0	26	6	49	76	116	1	253	12	3	2	1	3	5	37	4	10	7	126	633	826	952	981	1759	24	18	8	11	180	117	192	346
ASV_71	29	50	73	460	4	300	51	74	44	50	93	56	12	19	32	17	42	168	104	2675	60	1441	43	32	27	32	81	70	23	8	75	26	142	69	45	15	109	29	25	52	42	26	19	33	36
ASV_80	3	10	10	19	11	8	4	12	15	17	18	26	5	8	11	3099	3	5	8	5	3	8	9	14	8	162	15	23	10	7	39	16	9	283	527	21	27	11	41	8	20	24	15	1857	554
ASV_94	45	53	39	40	27	71	58	47	13	42	41	84	62	87	72	20	41	65	65	12	23	8	49	29	89	41	16	46	51	41	117	557	514	287	830	219	492	205	79	297	291	476	530	121	554
ASV_68	66	221	125	198	47	158	120	104	256	241	79	185	220	98	208	251	302	201	159	5	221	6	321	240	382	187	275	268	81	51	120	81	88	57	68	69	82	83	132	66	158	96	51	130	68
ASV_88	228	95	125	129	94	84	87	121	126	139	150	123	96	91	125	161	99	95	83	146	84	169	118	154	115	114	119	159	119	94	311	134	156	210	159	112	214	302	308	260	269	125	123	162	160
ASV_72	72	78	37	71	13	28	24	167	572	237	280	87	18	28	16	254	248	97	65	114	72	21	77	96	142	93	229	415	238	48	324	98	68	97	53	14	69	182	428	273	324	69	79	397	142
ASV_392	15	12	17	10	11	2	4	1	7	2	2	9	10	4	10	11	54	140	143	5	164	2	2	4	5	7	7	14	26	3	461	217	11	859	291	29	1267	241	110	405	695	431	216	313	401
ASV_83	56	257	134	64	23	109	79	56	272	177	67	328	156	127	234	46	260	276	70	6	113	10	122	123	222	138	361	334	73	181	114	81	167	203	173	158	233	129	214	79	98	38	116	104	52
ASV_98	108	85	133	61	206	17	76	73	22	48	25	28	90	183	59	48	7	12	1	6	6	7	14	17	18	9	16	11	73	44	65	1887	120	33	752	716	21	165	13	819	190	173	62	25	23
ASV_102	11	553	302	362	173	325	187	506	95	100	167	61	234	129	276	6	20	281	177	9	417	7	147	123	246	364	603	8	6	52	6	3	9	11	3	6	7	4	2	1	86	9	2	9	7
ASV_300	217	159	279	391	140	399	493	213	52	226	226	149	196	122	202	97	45	180	193	9	100	7	138	179	325	216	126	175	89	59	179	19	52	34	50	39	44	34	43	124	37	42	25	6	45
ASV_157	214	137	335	153	343	213	221	10	7	20	11	119	52	246	211	166	87	25	322	12	276	7	7	3	37	3	37	164	569	77	13	119	164	165	313	611	112	42	12	83	140	100	141	9	7
ASV_87	42	764	585	469	814	354	359	65	12	167	41	18	168	318	98	24	10	59	3	4	117	31	10	214	239	10	16	8	3	397	8	204	43	15	15	14	105	8	9	6	92	24	7	4	1
ASV_125	38	22	51	34	50	25	36	12	63	29	5	21	63	25	37	56	45	24	20	30	37	20	25	20	57	18	25	29	36	34	37	226	600	109	1599	66	78	96	448	65	142	377	589	516	177
ASV_206	7	248	615	47	743	366	620	3	7	285	3	90	115	415	1157	2	8	83	5	9	502	0	101	11	325	2	5	23	8	31	1	4	13	10	9	4	7	1	3	0	5	2	4	1	0
ASV_117	5	45	778	542	137	520	226	8	10	90	13	11	87	27	155	8	20	9	1014	11	69	13	58	22	50	8	5	37	8	39	59	297	245	106	453	36	118	36	38	116	187	18	59	12	94
ASV_122	13	4	45	20	34	11	7	7	6	63	22	8	2	15	2	7	6	20	222	12	343	6	8	157	63	3	25	9	67	9	48	106	1303	132	1135	1248	35	28	139	41	9	157	40	71	81
ASV_77	0	0	2	0	0	1	1	2	0	0	0	0	0	2	0	0	0	3	18	2647	9	3176	2	0	1	5	0	0	0	0	0	3	2	0	0	0	1	2	0	1	0	0	0	1	0
ASV_95	36	223	113	39	18	86	66	42	223	166	64	282	133	101	200	47	275	261	68	5	99	5	110	114	175	135	305	303	66	197	108	62	149	182	126	135	203	138	222	76	82	37	109	96	52
ASV_85	226	122	495	434	289	424	554	106	22	140	17	99	137	65	201	44	61	236	157	10	177	3	52	86	107	85	134	195	143	76	22	65	65	39	18	22	35	49	44	130	62	61	20	30	81
ASV_78	240	155	290	193	298	313	319	104	92	113	139	68	155	272	169	96	134	213	161	8	183	3	53	85	195	50	84	318	134	159	43	43	79	79	94	40	184	22	34	52	62	51	26	11	54
ASV_130	143	107	299	204	358	262	299	21	100	36	16	124	120	197	94	176	129	156	384	6	296	18	165	194	168	32	278	132	43	410	46	44	70	41	42	90	29	21	11	83	49	62	61	16	29
ASV_142	286	862	36	27	28	68	227	22	78	636	161	14	296	178	1173	7	35	1	9	3	3	6	330	35	524	170	11	13	8	52	30	36	12	9	24	3	18	24	33	21	11	6	59	5	20
ASV_118	388	15	196	193	299	190	630	4	86	52	3	466	291	574	101	393	56	42	16	10	33	1	40	18	15	1	515	92	622	152	0	9	3	4	10	5	8	1	4	7	3	4	6	2	11
ASV_720	6	15	2	7	3	6	4	16	13	17	12	17	5	3	8	11	7	119	63	0	117	9	4	14	11	28	9	12	7	5	90	450	54	203	184	6	205	62	36	23	50	936	1300	1039	674
ASV_93	80	134	105	68	47	105	72	94	300	201	95	321	170	80	72	150	164	99	109	30	41	67	84	197	76	94	415	37	97	31	338	32	90	126	40	193	159	123	297	144	115	53	55	91	59
ASV_126	22	15	14	23	24	27	25	6	20	9	8	30	22	24	24	47	27	1452	602	24	1572	13	12	18	18	13	15	16	161	962	8	7	7	27	6	17	6	12	8	29	22	17	9	9	9
ASV_1658	194	56	55	80	23	46	99	128	34	149	76	77	89	56	53	78	265	82	84	7	98	17	159	119	172	135	99	231	211	96	74	377	56	109	218	22	153	81	24	134	138	326	460	172	172
ASV_1450	39	13	389	305	475	21	290	9	248	79	3	13	282	252	5	48	716	2	591	10	152	12	152	458	117	7	120	91	11	383	11	9	14	19	13	22	9	7	8	39	12	9	10	7	19
ASV_101	138	144	154	38	51	162	33	112	95	413	209	477	308	77	102	121	157	88	56	5	22	10	175	210	298	343	216	212	62	102	32	58	20	36	15	25	20	63	108	24	141	74	50	30	106
ASV_96	94	566	457	303	205	311	239	153	69	199	160	48	189	71	240	50	29	379	43	5	237	1	238	249	272	226	23	25	11	32	5	10	5	20	12	37	10	8	4	6	6	2	5	3	8
ASV_84	22	29	632	677	118	522	202	37	71	124	8	159	46	67	37	90	97	359	169	47	132	16	79	54	136	34	103	166	19	11	43	54	61	96	81	59	87	28	25	71	23	102	30	116	95
ASV_100	171	198	167	80	213	77	126	248	61	247	73	71	209	195	387	188	75	93	55	6	105	6	204	279	308	151	147	160	213	559	16	15	18	7	8	7	15	5	18	32	21	15	19	4	11
ASV_333	33	42	46	70	47	68	60	37	69	49	22	48	74	59	23	184	68	58	36	14	117	60	166	226	224	37	87	166	253	207	104	79	117	52	286	55	53	141	128	391	772	132	259	36	131
ASV_90	39	427	197	252	465	176	390	111	30	126	112	66	149	535	593	152	103	78	91	5	56	2	123	134	173	50	126	45	95	82	30	9	15	22	15	38	21	12	22	9	22	18	13	3	12
ASV_103	118	133	124	28	33	156	31	106	111	430	212	459	309	58	87	110	166	111	65	4	29	15	221	221	310	352	230	222	38	99	26	40	23	24	10	8	27	68	97	28	88	54	47	24	75
ASV_107	1011	451	66	40	63	52	228	19	229	575	118	12	145	437	572	7	33	4	7	1	5	1	171	21	287	162	8	10	3	50	20	29	11	12	39	4	24	60	57	26	9	6	39	1	94
ASV_99	12	206	31	41	19	38	33	24	46	74	33	264	156	26	355	92	98	719	153	40	113	23	255	166	266	139	121	122	88	24	91	66	71	108	77	104	61	178	107	39	121	31	134	51	136
ASV_111	301	98	102	136	164	119	105	79	46	154	15	217	64	272	103	303	86	73	146	10	69	14	174	172	114	45	384	88	272	129	27	162	87	86	190	17	131	49	27	42	37	85	53	32	100
ASV_104	70	202	45	34	18	44	41	67	68	149	120	128	111	67	153	41	175	39	28	11	25	15	72	104	49	167	153	122	74	61	384	90	60	103	63	54	212	261	625	171	252	79	123	120	86
ASV_135	4	160	112	112	44	256	200	17	12	30	9	5	37	8	147	15	351	124	456	5	542	11	786	466	259	23	5	378	4	319	1	5	5	6	3	9	9	1	5	5	3	0	3	5	165
ASV_112	1	8	1	106	0	1041	3516	1	3	7	2	1	96	0	4	3	0	14	20	23	20	1	1	3	0	1	3	2	4	4	16	3	1	6	9	2	3	1	1	3	4	4	7	3	6
ASV_86	158	88	107	205	11	86	27	105	41	84	30	67	43	4	57	75	882	529	201	15	93	7	75	42	43	146	486	838	134	99	12	19	4	17	2	2	18	9	9	13	8	7	12	27	12
ASV_106	104	138	146	50	51	148	40	128	144	412	210	516	256	64	108	102	106	116	56	6	21	28	172	190	245	282	213	179	28	68	35	54	25	27	19	31	24	53	87	10	89	61	52	35	74
ASV_119	110	57	12	14	12	8	11	182	739	302	225	304	200	78	42	125	36	12	3	0	2	0	25	47	33	53	73	19	31	39	218	169	14	42	21	118	42	149	212	123	107	245	358	160	234
ASV_136	5	2	8	6	2	7	2	2	2	2	5	5	3	0	3	4	0	5	6	14	1537	7	11	2	0	6	4	6	2	4	10	23	21	589	7	4	320	21	1708	7	6	524	56	10	8
ASV_128	7	8	72	87	46	31	187	13	6	26	3	7	8	31	11	4	3	17	32	6	36	10	90	42	46	34	2	5	3	4	175	747	128	109	205	36	586	113	226	343	187	588	416	52	222
ASV_114	84	73	64	100	28	135	67	91	132	359	145	432	93	75	91	123	312	465	191	6	293	5	135	142	83	138	78	346	32	65	19	13	25	36	10	25	28	12	22	9	9	15	25	11	15
ASV_116	0	1	5	0	0	6	1	2	1	0	0	0	1	1	0	1	0	5	15	3688	5	1005	4	0	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	3	0	0	0	0	0
ASV_129	27	132	65	24	28	58	33	26	54	101	37	264	86	40	290	18	165	52	15	10	50	15	197	128	244	175	10	267	25	61	147	92	77	73	68	144	101	200	303	52	233	100	181	81	96
ASV_113	58	177	296	165	218	125	175	175	38	38	423	43	54	136	27	113	131	129	61	8	157	1	136	128	187	355	82	321	220	258	7	2	5	5	4	6	7	3	32	10	9	0	3	3	3
ASV_155	11	64	17	51	20	36	16	24	20	14	6	41	18	37	27	22	6	10	19	2	15	14	18	68	25	52	6	6	6	20	232	213	114	82	17	183	92	44	291	967	83	470	257	88	748
ASV_115	4	3	7	8	3	8	4	4	3	2	10	0	2	1	5	1	4	12	32	2579	5	1631	5	12	3	3	4	3	0	4	4	9	2	3	0	3	1	6	11	8	4	9	3	8	6
ASV_124	745	127	6	13	7	102	5	3	40	309	16	5	253	10	353	6	16	91	11	7	57	0	40	853	568	18	7	7	8	293	1	8	8	8	3	201	1	10	3	2	11	50	3	47	18
ASV_121	51	9	5	20	12	10	6	133	38	50	109	12	15	6	9	23	86	29	11	10	10	20	38	40	41	213	33	47	23	10	61	53	320	579	252	942	548	66	73	26	41	43	65	68	58
ASV_110	50	347	12	12	1	27	42	43	53	41	42	284	245	56	58	84	225	146	93	140	163	98	116	298	442	260	186	224	54	54	51	14	1	0	1	5	1	68	56	63	74	8	15	75	2
ASV_377	179	29	55	78	87	63	66	203	90	93	104	86	66	122	61	103	82	65	106	2	82	5	132	148	239	153	72	95	57	60	121	96	12	36	25	15	37	171	87	232	223	149	170	29	192
