ANC	CMD	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Unassigned	0.00295	0.00266666666666667	0.00243809523809524	0.0434166666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Merdimonas	0.0037	0.00225	0.00205119047619048	0.101787423687424
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola	0.00278333333333333	0.00145	0.0017547619047619	0.0564357142857143
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Marvinbryantia	0.00225	0.00158333333333333	0.00175238095238095	0.0551375763125763
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Pseudescherichia	3.33333333333333e-05	0.00188333333333333	0.00106666666666667	0.0579082251082251
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Rikenella	0.00133333333333333	0.00125	0.00105	0.0575357142857143
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Flavonifractor	0.001	0.000533333333333333	0.000916666666666667	0.0244820512820513
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Duncaniella	0.000666666666666667	0.001	0.000642857142857143	0.0249309523809524
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Dysosmobacter	-0.00025	0.000916666666666667	0.000535714285714286	0.0624446386946387
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Muricomes	0.001	0.000333333333333333	5e-04	0.0018
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Flintibacter	0.000666666666666667	4e-04	5e-04	0.0342873931623932
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium	7e-04	0.000666666666666667	0.000447619047619048	0.0689515151515152
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Unassigned	0.000333333333333333	5e-04	0.000428571428571429	0.0234666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnotalea	0.00025	0.000666666666666667	0.000428571428571429	0.01934835997336
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Neglecta	5e-04	0.000333333333333333	0.000428571428571429	0.0138416666666667
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Unassigned	0.00108333333333333	-1e-04	0.000422222222222222	0.0428484848484848
