OTUID	All	HMAT	LMAT	MD	NC
ASV_244	0.064007	0.05937087	0.10040369	0.03021489	0.06603884
ASV_262	0.070979	0.007302377	0.008991792	0.010847286	0.256775940
ASV_230	0.062538	0.02259554	0.08519773	0.12218702	0.02017257
ASV_232	0.064309	0.04782313	0.11174000	0.03660424	0.06106866
ASV_178	0.060763	0.07907745	0.04288123	0.10243477	0.01865971
ASV_338	0.065294	0.013491670	0.004793031	0.064325706	0.178564078
ASV_471	0.060024	0.058229480	0.083344805	0.096569475	0.001953216
ASV_316	0.059518	0.022734228	0.002589405	0.187817250	0.024929270
ASV_261	0.059289	0.0758290945	0.0686576769	0.0918209350	0.0008467103
ASV_315	0.065629	0.009065533	0.082772847	0.007413250	0.163263016
ASV_200	0.059636	0.09183863	0.01526436	0.08022397	0.05121618
ASV_254	0.058401	0.05432005	0.05086161	0.10317092	0.02525214
ASV_383	0.059612	0.03817688	0.07327711	0.05826078	0.06873472
ASV_278	0.059404	0.05455321	0.05008040	0.09102359	0.04195948
ASV_297	0.05664	0.033927861	0.073240115	0.115191213	0.004199395
ASV_240	0.065019	0.011385345	0.007562508	0.007561509	0.233565784
ASV_1128	0.056998	0.01695458	0.03008480	0.16928759	0.01166534
ASV_288	0.061752	0.05546120	0.05500430	0.01688306	0.11965861
ASV_271	0.057307	0.048158672	0.114029125	0.065718723	0.001320769
ASV_236	0.055988	0.03325110	0.10146945	0.06823576	0.02099389
ASV_272	0.057256	0.06306489	0.11601713	0.03914292	0.01079811
ASV_249	0.058498	0.04668768	0.07243794	0.02144685	0.09341781
ASV_255	0.055862	0.1705017472	0.0512956199	0.0008068235	0.0008435526
ASV_259	0.055146	0.09668211	0.05866035	0.05426154	0.01097928
ASV_257	0.057373	0.07845535	0.05880347	0.01447294	0.07775875
ASV_300	0.052077	0.026134538	0.016619440	0.158749552	0.006802705
ASV_322	0.056684	0.09347095	0.09880549	0.01870387	0.01575711
ASV_296	0.058799	0.067424682	0.088203657	0.007458048	0.072110983
ASV_360	0.054035	0.002199288	0.141910735	0.066394040	0.005637873
ASV_1357	0.058536	0.051622747	0.095841830	0.004767459	0.081911159
ASV_423	0.059085	0.000000000	0.001828158	0.001651702	0.232858419
ASV_287	0.0531	0.04099191	0.04655962	0.08193751	0.04291240
ASV_301	0.052855	0.070579639	0.068289897	0.068796558	0.003753401
ASV_291	0.052371	0.06447139	0.07068808	0.06232710	0.01199762
ASV_351	0.051788	0.042278390	0.033295905	0.127675123	0.003901356
ASV_295	0.052693	0.06271335	0.09222826	0.04460160	0.01122720
ASV_252	0.054578	0.06168368	0.08420092	0.03224215	0.04018411
ASV_1211	0.051109	0.06449942	0.04242438	0.08520459	0.01230882
ASV_256	0.055523	0.01910188	0.04179214	0.02860512	0.13259263
ASV_308	0.052011	0.003312938	0.001699394	0.003994176	0.199037818
ASV_228	0.051989	0.01867203	0.07783710	0.09981677	0.01162841
ASV_303	0.050324	0.094763253	0.066089353	0.037501923	0.002942735
ASV_208	0.051245	0.008893393	0.009643981	0.010245497	0.176196067
ASV_321	0.0551	0.0003765287	0.0004649130	0.0008138894	0.2187446492
ASV_305	0.050919	0.095958806	0.083527388	0.016028996	0.008161013
ASV_359	0.060251	0.001742387	0.001258845	0.001196186	0.236806611
ASV_283	0.048336	0.02711034	0.02562309	0.12258561	0.01802401
ASV_246	0.054448	0.002550030	0.001288762	0.029638235	0.184316469
ASV_326	0.049511	0.07940143	0.02906155	0.07140310	0.01817682
ASV_366	0.048606	0.04731138	0.05066182	0.03795831	0.05849158
ASV_350	0.062728	0.0008136829	0.0004589725	0.0011854478	0.2484542309
ASV_320	0.048805	0.056855491	0.082905674	0.005204423	0.050254844
ASV_277	0.052039	0.02234060	0.04388331	0.02623168	0.11570116
ASV_365	0.046357	0.01084204	0.04229130	0.11103456	0.02126169
ASV_1454	0.045216	0.04357038	0.11394921	0.02071187	0.00263335
ASV_354	0.044434	0.01697232	0.03904320	0.02514259	0.09657919
ASV_465	0.045974	0.04198581	0.04232339	0.03217477	0.06741157
ASV_284	0.046134	0.02025718	0.01282074	0.05495950	0.09649903
ASV_407	0.055263	0.013620318	0.002560088	0.003584367	0.201285441
ASV_341	0.049707	0.027885324	0.006204096	0.011768169	0.152970266
ASV_435	0.046773	0.05904589	0.04572840	0.03572941	0.04659023
ASV_302	0.046693	0.01040287	0.10076329	0.01044343	0.06516438
ASV_142	0.051566	0.006954874	0.003391458	0.003576249	0.192340723
ASV_216	0.046646	0.002110182	0.003435341	0.008794342	0.172243402
ASV_314	0.044701	0.04138377	0.02106880	0.04124619	0.07510492
ASV_994	0.041873	0.026281337	0.069168437	0.066904779	0.005139324
ASV_333	0.043305	0.080946398	0.045026552	0.042089430	0.005156986
ASV_258	0.042505	0.072503759	0.077091218	0.016996310	0.003428241
ASV_332	0.046057	0.017612588	0.007023973	0.023302466	0.136288878
ASV_434	0.040992	0.160979447	0.001757438	0.000000000	0.001230500
ASV_265	0.044679	0.017445466	0.007052934	0.003208029	0.151009002
ASV_253	0.043529	0.03546728	0.03198661	0.04954703	0.05711659
ASV_389	0.040317	0.006948607	0.035228844	0.117398519	0.001693421
ASV_415	0.052079	0.0000000000	0.0004103372	0.0000000000	0.2079040821
ASV_420	0.04253	0.04702615	0.03482205	0.04460841	0.04366183
ASV_1477	0.040672	0.02462327	0.02590151	0.09618239	0.01598245
ASV_310	0.041602	0.02252868	0.04433422	0.05021548	0.04932771
ASV_270	0.041919	0.091294285	0.036198866	0.033423041	0.006758233
ASV_330	0.039987	0.04601605	0.03931363	0.05641395	0.01820587
ASV_393	0.043587	0.0004153686	0.0025990086	0.0008085905	0.1705269573
ASV_409	0.049604	0.001281135	0.001245773	0.000000000	0.195887330
ASV_139	0.046409	0.002076843	0.003859840	0.002820433	0.176880809
ASV_352	0.040182	0.048696708	0.023064086	0.085312048	0.003656816
ASV_318	0.040916	0.03732787	0.06842656	0.01573501	0.04217471
ASV_378	0.041752	0.07200116	0.01472400	0.01161001	0.06867296
ASV_422	0.047813	0.0004977650	0.0004091486	0.0000000000	0.1903440483
ASV_451	0.040208	0.159148067	0.000000000	0.001683119	0.000000000
ASV_402	0.042639	0.01197394	0.01068132	0.05491145	0.09299058
ASV_269	0.038992	0.04850032	0.04839536	0.04877965	0.01029264
ASV_1400	0.039554	0.05928048	0.03312930	0.04684460	0.01896325
ASV_431	0.050143	0.021584168	0.012785604	0.005172555	0.161029798
ASV_345	0.038052	0.033162796	0.026542339	0.083959285	0.008544578
ASV_201	0.038859	0.060264470	0.037608793	0.004410765	0.053150944
ASV_286	0.039803	0.06824897	0.05271857	0.01891818	0.01932709
ASV_518	0.038387	0.01394944	0.03341039	0.04684688	0.05934218
ASV_331	0.037997	0.054365277	0.030712232	0.061417535	0.005491379
ASV_510	0.038472	0.04610367	0.03412541	0.02601353	0.04764611
ASV_425	0.037505	0.049159029	0.049585768	0.047572619	0.003703487
ASV_395	0.042166	0.001290171	0.001674829	0.032297556	0.133401242
ASV_1468	0.036529	0.01307913	0.09723035	0.02393986	0.01186731
ASV_410	0.037079	0.02536948	0.09927972	0.01002544	0.01364030
ASV_319	0.037825	0.03192595	0.04601575	0.01323208	0.06012490
ASV_404	0.036363	0.044868130	0.033963879	0.056625624	0.009994433
ASV_281	0.036674	0.046238354	0.033030920	0.059698244	0.007727906
ASV_375	0.037404	0.05099024	0.06182581	0.01461203	0.02218893
ASV_367	0.037859	0.03312140	0.05658061	0.02135777	0.04037750
ASV_299	0.035711	0.074750974	0.019826167	0.040128125	0.008138081
ASV_530	0.035784	0.04669234	0.02916444	0.05547526	0.01180416
ASV_248	0.035097	0.03913022	0.02266118	0.06676511	0.01183040
ASV_379	0.037578	0.06379949	0.03772311	0.01410317	0.03468516
ASV_457	0.034459	0.02706213	0.02062431	0.05746931	0.03268219
ASV_312	0.035079	0.053471125	0.035425367	0.044853870	0.006566872
ASV_742	0.035296	0.1007402310	0.0395619759	0.0004207798	0.0004595546
ASV_337	0.046423	0.0009394299	0.0025766296	0.0012017000	0.1809742184
ASV_874	0.035327	0.01956347	0.02109653	0.05473935	0.04590925
ASV_369	0.034263	0.05406788	0.03718972	0.03110423	0.01469086
ASV_329	0.034966	0.0801429487	0.0289240328	0.0298604255	0.0009367713
ASV_1399	0.035983	0.041178115	0.069597804	0.031996674	0.001158309
