OTUID	ANC	BMD	CLMAT	DHMAT
ASV_63	0.4667533	0.1037393	0.2228241	0.4547777
ASV_82	0.2242364	0.2283297	0.2008479	0.5370966
ASV_100	0.94822493	0.07491942	0.07583368	0.13526541
ASV_76	0.5566092	0.2019312	0.2195084	0.1769231
ASV_148	0.6872599	0.1578779	0.1157042	0.1902068
ASV_59	0.03480443	0.36060828	0.24727670	0.51817860
ASV_90	1.03200166	0.05297394	0.01698622	0.02306232
ASV_73	0.3510335	0.2244088	0.2903579	0.2253782
ASV_74	1.118192048	0.012419531	0.004855538	0.006628772
ASV_91	0.1337216	0.5768950	0.1685981	0.1826159
ASV_88	0.1388913	0.4476917	0.1944219	0.2648604
ASV_1277	0.06182591	0.41543936	0.14486314	0.40866719
ASV_83	0.62881375	0.21000417	0.13611237	0.04968509
ASV_70	0.04184978	0.54019527	0.16601535	0.25628525
ASV_72	1.168803782	0.006170127	0.002795870	0.002708959
ASV_80	0.02133355	0.30487175	0.29212020	0.38237324
ASV_66	0.06780192	0.25566864	0.34468582	0.31350947
ASV_135	0.1465746	0.3149431	0.1856931	0.3170534
ASV_89	0.78349570	0.10001240	0.02289374	0.05823261
ASV_94	0.60341308	0.05770782	0.22349808	0.06499668
ASV_108	0.2362093	0.2817848	0.1876369	0.2288777
ASV_81	0.1170063	0.2597754	0.1932273	0.3255716
ASV_107	0.238765561	0.330979188	0.318169961	0.005956281
ASV_69	0.003232317	0.004049702	0.008172613	0.893871350
ASV_84	0.1158668	0.4486687	0.2084939	0.1049126
ASV_101	0.67672419	0.05106796	0.07366960	0.06852999
ASV_867	0.08401226	0.23520267	0.17642673	0.37491435
ASV_75	0.03734295	0.35236470	0.24439229	0.21817115
ASV_79	0.02432479	0.23127705	0.25753254	0.32779502
ASV_86	0.01277311	0.22829961	0.19576763	0.36383738
ASV_92	0.22882273	0.13452261	0.43037567	0.02404417
ASV_134	0.005300326	0.013088055	0.504903477	0.293984920
ASV_113	0.2927241	0.1588744	0.1758678	0.1758761
ASV_114	0.1412502	0.1885837	0.2211109	0.2309241
ASV_78	0.06583089	0.33174008	0.08673803	0.27156660
ASV_131	0.36274290	0.06032967	0.27824042	0.07062178
ASV_109	0.31970548	0.18372120	0.22566253	0.05842184
ASV_127	0.603878805	0.006248978	0.099003834	0.005683677
ASV_104	0.02825045	0.16738280	0.29061315	0.28095506
ASV_552	0.3104284	0.1423223	0.1414050	0.1623873
ASV_164	0.2096897	0.1723502	0.1691472	0.1839737
ASV_112	0.005399017	0.059356130	0.111750027	0.546266012
ASV_133	0.009356511	0.209059221	0.173488273	0.329235997
ASV_98	0.0103228	0.2325968	0.2295327	0.2594056
ASV_275	0.48994887	0.06541571	0.11830056	0.06348750
ASV_110	0.05623979	0.09617746	0.34378832	0.23632882
ASV_87	0.04138865	0.09572776	0.35799116	0.24148497
ASV_124	0.56445839	0.03352978	0.05096267	0.05643430
ASV_99	0.009578001	0.248020221	0.060089206	0.363599254
ASV_118	0.764227194	0.008478983	0.009929541	0.008797485
ASV_97	0.1011460	0.2209296	0.2091867	0.1672672
