module1	module2	Both	P1A2	P2A1	A1A2	p_raw	p_adj
HMATmodel_22-MDmodel_242	HMATmodel_22	MDmodel_24	1	2	2	332	0.0265474239653786	0.0265474239653786
HMATmodel_48-MDmodel_222	HMATmodel_48	MDmodel_22	1	2	3	331	0.0352910099776657	0.0352910099776657
HMATmodel_49-MDmodel_132	HMATmodel_49	MDmodel_13	2	2	1	332	0.000316665928517649	0.000316665928517649
HMATmodel_57-NCmodel_71	HMATmodel_57	NCmodel_7	2	1	56	402	0.0429657039967107	0.0429657039967107
HMATmodel_10-NCmodel_31	HMATmodel_10	NCmodel_3	2	1	26	432	0.0102912050418583	0.0102912050418583
HMATmodel_35-NCmodel_41	HMATmodel_35	NCmodel_4	2	1	37	421	0.0198390639225919	0.0198390639225919
HMATmodel_15-NCmodel_61	HMATmodel_15	NCmodel_6	2	2	22	435	0.0146372688011193	0.0146372688011193
HMATmodel_22-NCmodel_21	HMATmodel_22	NCmodel_2	2	1	42	416	0.0251332247193574	0.0251332247193574
HMATmodel_8-NCmodel_11	HMATmodel_8	NCmodel_1	2	3	23	433	0.025559229329596	0.025559229329596
HMATmodel_8-NCmodel_51	HMATmodel_8	NCmodel_5	2	3	19	437	0.0182138785133516	0.0182138785133516
HMATmodel_29-NCmodel_51	HMATmodel_29	NCmodel_5	2	1	19	439	0.00577774572370996	0.00577774572370996
HMATmodel_1-NCmodel_301	HMATmodel_1	NCmodel_30	4	7	4	446	1.1836560535727e-05	1.1836560535727e-05
HMATmodel_11-NCmodel_81	HMATmodel_11	NCmodel_8	2	1	18	440	0.00523529226837392	0.00523529226837392
HMATmodel_6-NCmodel_361	HMATmodel_6	NCmodel_36	1	3	3	454	0.0343686175429678	0.0343686175429678
HMATmodel_56-NCmodel_151	HMATmodel_56	NCmodel_15	2	3	1	455	0.000281705942146107	0.000281705942146107
HMATmodel_6-NCmodel_181	HMATmodel_6	NCmodel_18	1	3	2	455	0.025860852058765	0.025860852058765
LMATmodel_1-MDmodel_3	LMATmodel_1	MDmodel_3	5	32	12	322	0.0190992611501869	0.0190992611501869
LMATmodel_9-MDmodel_7	LMATmodel_9	MDmodel_7	5	0	11	355	7.66210312639431e-08	7.66210312639431e-08
LMATmodel_22-MDmodel_7	LMATmodel_22	MDmodel_7	2	1	14	354	0.00511246898729642	0.00511246898729642
LMATmodel_2-MDmodel_4	LMATmodel_2	MDmodel_4	3	10	12	346	0.0120275418576428	0.0120275418576428
LMATmodel_41-MDmodel_5	LMATmodel_41	MDmodel_5	4	0	4	363	9.01279438264972e-08	9.01279438264972e-08
LMATmodel_7-MDmodel_12	LMATmodel_7	MDmodel_12	4	10	2	355	1.84982481739285e-05	1.84982481739285e-05
LMATmodel_42-MDmodel_11	LMATmodel_42	MDmodel_11	3	1	3	364	9.41837012986895e-06	9.41837012986895e-06
LMATmodel_4-MDmodel_8	LMATmodel_4	MDmodel_8	3	22	5	341	0.0121357027374554	0.0121357027374554
LMATmodel_2-MDmodel_8	LMATmodel_2	MDmodel_8	2	11	6	352	0.0282145214951058	0.0282145214951058
LMATmodel_12-MDmodel_10	LMATmodel_12	MDmodel_10	2	3	5	361	0.00297742021479888	0.00297742021479888
LMATmodel_30-MDmodel_39	LMATmodel_30	MDmodel_39	3	0	1	367	4.73815476116443e-07	4.73815476116443e-07
LMATmodel_29-MDmodel_24	LMATmodel_29	MDmodel_24	1	2	2	366	0.0241277501286705	0.0241277501286705
HMATmodel_10-LMATmodel_44	HMATmodel_10	LMATmodel_4	2	1	23	319	0.0144888231184428	0.0144888231184428
HMATmodel_29-LMATmodel_64	HMATmodel_29	LMATmodel_6	2	1	11	331	0.00385906782184201	0.00385906782184201
HMATmodel_7-LMATmodel_74	HMATmodel_7	LMATmodel_7	2	2	12	329	0.00877717911708348	0.00877717911708348
HMATmodel_2-LMATmodel_94	HMATmodel_2	LMATmodel_9	4	5	1	335	1.07332080894285e-06	1.07332080894285e-06
HMATmodel_56-LMATmodel_424	HMATmodel_56	LMATmodel_42	4	1	0	340	8.6195279508622e-09	8.6195279508622e-09
HMATmodel_1-LMATmodel_414	HMATmodel_1	LMATmodel_41	3	8	1	333	9.55733259191601e-05	9.55733259191601e-05
HMATmodel_30-LMATmodel_114	HMATmodel_30	LMATmodel_11	1	2	2	340	0.0259354355637964	0.0259354355637964
HMATmodel_15-LMATmodel_204	HMATmodel_15	LMATmodel_20	1	3	2	339	0.0344798615676228	0.0344798615676228
HMATmodel_22-LMATmodel_294	HMATmodel_22	LMATmodel_29	1	2	2	340	0.0259354355637964	0.0259354355637964
HMATmodel_59-LMATmodel_304	HMATmodel_59	LMATmodel_30	3	2	0	340	1.47393927959744e-06	1.47393927959744e-06
HMATmodel_8-MDmodel_13	HMATmodel_8	MDmodel_1	4	1	25	307	0.000211447618263819	0.000211447618263819
HMATmodel_29-MDmodel_13	HMATmodel_29	MDmodel_1	2	1	27	307	0.0203574117542849	0.0203574117542849
HMATmodel_9-MDmodel_33	HMATmodel_9	MDmodel_3	2	2	15	318	0.0135659413269656	0.0135659413269656
HMATmodel_2-MDmodel_73	HMATmodel_2	MDmodel_7	5	4	11	317	1.39913784259457e-05	1.39913784259457e-05
HMATmodel_15-MDmodel_73	HMATmodel_15	MDmodel_7	2	2	14	319	0.0120189729428668	0.0120189729428668
HMATmodel_1-MDmodel_53	HMATmodel_1	MDmodel_5	4	7	4	322	4.0880940191316e-05	4.0880940191316e-05
HMATmodel_56-MDmodel_113	HMATmodel_56	MDmodel_11	4	1	2	330	1.41390530372079e-07	1.41390530372079e-07
HMATmodel_10-MDmodel_83	HMATmodel_10	MDmodel_8	2	1	6	328	0.00146596394880199	0.00146596394880199
HMATmodel_48-MDmodel_93	HMATmodel_48	MDmodel_9	2	1	4	330	0.000788501325504736	0.000788501325504736
HMATmodel_59-MDmodel_393	HMATmodel_59	MDmodel_39	4	1	0	332	9.4715442796021e-09	9.4715442796021e-09
HMATmodel_8-MDmodel_153	HMATmodel_8	MDmodel_15	1	4	2	330	0.0439820819598489	0.0439820819598489
HMATmodel_59-MDmodel_243	HMATmodel_59	MDmodel_24	1	4	2	330	0.0439820819598489	0.0439820819598489
HMATmodel_22-MDmodel_243	HMATmodel_22	MDmodel_24	1	2	2	332	0.0265474239653786	0.0265474239653786
HMATmodel_48-MDmodel_223	HMATmodel_48	MDmodel_22	1	2	3	331	0.0352910099776657	0.0352910099776657
HMATmodel_49-MDmodel_133	HMATmodel_49	MDmodel_13	2	2	1	332	0.000316665928517649	0.000316665928517649
HMATmodel_57-NCmodel_72	HMATmodel_57	NCmodel_7	2	1	56	402	0.0429657039967107	0.0429657039967107
HMATmodel_10-NCmodel_32	HMATmodel_10	NCmodel_3	2	1	26	432	0.0102912050418583	0.0102912050418583
HMATmodel_35-NCmodel_42	HMATmodel_35	NCmodel_4	2	1	37	421	0.0198390639225919	0.0198390639225919
HMATmodel_15-NCmodel_62	HMATmodel_15	NCmodel_6	2	2	22	435	0.0146372688011193	0.0146372688011193
HMATmodel_22-NCmodel_22	HMATmodel_22	NCmodel_2	2	1	42	416	0.0251332247193574	0.0251332247193574
HMATmodel_8-NCmodel_12	HMATmodel_8	NCmodel_1	2	3	23	433	0.025559229329596	0.025559229329596
HMATmodel_8-NCmodel_52	HMATmodel_8	NCmodel_5	2	3	19	437	0.0182138785133516	0.0182138785133516
HMATmodel_29-NCmodel_52	HMATmodel_29	NCmodel_5	2	1	19	439	0.00577774572370996	0.00577774572370996
HMATmodel_1-NCmodel_302	HMATmodel_1	NCmodel_30	4	7	4	446	1.1836560535727e-05	1.1836560535727e-05
HMATmodel_11-NCmodel_82	HMATmodel_11	NCmodel_8	2	1	18	440	0.00523529226837392	0.00523529226837392
HMATmodel_6-NCmodel_362	HMATmodel_6	NCmodel_36	1	3	3	454	0.0343686175429678	0.0343686175429678
HMATmodel_56-NCmodel_152	HMATmodel_56	NCmodel_15	2	3	1	455	0.000281705942146107	0.000281705942146107
HMATmodel_6-NCmodel_182	HMATmodel_6	NCmodel_18	1	3	2	455	0.025860852058765	0.025860852058765
LMATmodel_1-MDmodel_31	LMATmodel_1	MDmodel_3	5	32	12	322	0.0190992611501869	0.0190992611501869
LMATmodel_9-MDmodel_71	LMATmodel_9	MDmodel_7	5	0	11	355	7.66210312639431e-08	7.66210312639431e-08
LMATmodel_22-MDmodel_71	LMATmodel_22	MDmodel_7	2	1	14	354	0.00511246898729642	0.00511246898729642
LMATmodel_2-MDmodel_41	LMATmodel_2	MDmodel_4	3	10	12	346	0.0120275418576428	0.0120275418576428
LMATmodel_41-MDmodel_51	LMATmodel_41	MDmodel_5	4	0	4	363	9.01279438264972e-08	9.01279438264972e-08
LMATmodel_7-MDmodel_121	LMATmodel_7	MDmodel_12	4	10	2	355	1.84982481739285e-05	1.84982481739285e-05
LMATmodel_42-MDmodel_111	LMATmodel_42	MDmodel_11	3	1	3	364	9.41837012986895e-06	9.41837012986895e-06
