Number.hub.removed	remain.mean	remain.sd	remain.se	weighted	Group
35	2	0.651653543307087	0.00674940253231447	0.000674940253231447	unweighted	LMAT
36	3	0.650944881889764	0.0080162919484436	0.00080162919484436	unweighted	LMAT
37	4	0.649881889763779	0.00879905890849462	0.000879905890849462	unweighted	LMAT
38	5	0.65	0.0079433044627618	0.00079433044627618	unweighted	LMAT
39	6	0.646062992125984	0.00821461702939729	0.000821461702939729	unweighted	LMAT
40	7	0.646338582677165	0.00789496537017802	0.000789496537017802	unweighted	LMAT
41	8	0.643976377952756	0.00755445971691363	0.000755445971691363	unweighted	LMAT
42	9	0.643700787401575	0.00784413322752458	0.000784413322752458	unweighted	LMAT
43	10	0.640314960629921	0.007264227035747	0.0007264227035747	unweighted	LMAT
44	11	0.638031496062992	0.0075661602653016	0.00075661602653016	unweighted	LMAT
45	12	0.636062992125984	0.00683789888712095	0.000683789888712095	unweighted	LMAT
46	13	0.633858267716535	0	0	unweighted	LMAT
47	1	0.692479674796748	0.00488129836193015	0.000488129836193015	weighted	MD
48	2	0.68869918699187	0.00703326674164624	0.000703326674164624	weighted	MD
49	3	0.686626016260163	0.00800793102669024	0.000800793102669024	weighted	MD
50	4	0.684674796747967	0.00853580321541878	0.000853580321541878	weighted	MD
51	5	0.679918699186992	0.00907353335652206	0.000907353335652206	weighted	MD
52	6	0.677032520325203	0.00942994207005161	0.000942994207005161	weighted	MD
53	7	0.675528455284553	0.00801386927197589	0.000801386927197589	weighted	MD
54	8	0.672804878048781	0.00836275020282357	0.000836275020282357	weighted	MD
55	9	0.669674796747967	0.00812227596086066	0.000812227596086066	weighted	MD
56	10	0.668048780487805	0.00719840260489036	0.000719840260489036	weighted	MD
57	11	0.664756097560976	0.00474536220273846	0.000474536220273846	weighted	MD
58	12	0.66260162601626	0	0	weighted	MD
59	1	0.725975609756098	0.00396505936566558	0.000396505936566558	unweighted	MD
60	2	0.719227642276423	0.00557953950195947	0.000557953950195947	unweighted	MD
61	3	0.713821138211382	0.00643388265937453	0.000643388265937453	unweighted	MD
62	4	0.708373983739837	0.00644994731024783	0.000644994731024783	unweighted	MD
63	5	0.703089430894309	0.00678540723729077	0.000678540723729077	unweighted	MD
64	6	0.698170731707317	0.00662244954135759	0.000662244954135759	unweighted	MD
65	7	0.692439024390244	0.00715187676448898	0.000715187676448898	unweighted	MD
66	8	0.686016260162602	0.00726533587201525	0.000726533587201525	unweighted	MD
67	9	0.680243902439024	0.00777795375157279	0.000777795375157279	unweighted	MD
68	10	0.675569105691057	0.0065545537701334	0.00065545537701334	unweighted	MD
69	11	0.668211382113821	0.00499637496773556	0.000499637496773556	unweighted	MD
70	12	0.66260162601626	0	0	unweighted	MD
71	1	0.572333333333333	0.00467019267145129	0.000467019267145129	weighted	NC
72	2	0.573027777777778	0.00628359532995301	0.000628359532995301	weighted	NC
73	3	0.5735	0.00868074915609025	0.000868074915609025	weighted	NC
74	4	0.575333333333333	0.010979012730602	0.0010979012730602	weighted	NC
75	5	0.576555555555555	0.012922737009316	0.0012922737009316	weighted	NC
76	6	0.578916666666667	0.0135053381159318	0.00135053381159318	weighted	NC
77	7	0.582666666666667	0.0133545939734996	0.00133545939734996	weighted	NC
78	8	0.580416666666667	0.0107863235121885	0.00107863235121885	weighted	NC
79	9	0.584083333333333	0.0131826916171964	0.00131826916171964	weighted	NC
80	10	0.584083333333333	0.0133121265602197	0.00133121265602197	weighted	NC
81	11	0.587611111111111	0.0107866486686059	0.00107866486686059	weighted	NC
82	12	0.584305555555556	0.0107501337657744	0.00107501337657744	weighted	NC
83	13	0.584583333333333	0.0106627772440359	0.00106627772440359	weighted	NC
84	14	0.587	0.00889765280647216	0.000889765280647216	weighted	NC
85	15	0.586972222222222	0.00778393815678042	0.000778393815678042	weighted	NC
86	16	0.588833333333333	0.00535525563703753	0.000535525563703753	weighted	NC
87	17	0.5895	0.0037368049435224	0.00037368049435224	weighted	NC
88	18	0.588888888888889	0	0	weighted	NC
89	1	0.694055555555556	0.00350964679860437	0.000350964679860437	unweighted	NC
90	2	0.690888888888889	0.00462255351484766	0.000462255351484766	unweighted	NC
91	3	0.688138888888889	0.00489723232035717	0.000489723232035717	unweighted	NC
92	4	0.685861111111111	0.00531310170774354	0.000531310170774354	unweighted	NC
93	5	0.683388888888889	0.00448390173119396	0.000448390173119396	unweighted	NC
94	6	0.680722222222222	0.00486473730390853	0.000486473730390853	unweighted	NC
95	7	0.679333333333333	0.00513746681570345	0.000513746681570345	unweighted	NC
96	8	0.676888888888889	0.00475224823895008	0.000475224823895008	unweighted	NC
97	9	0.675	0.00569411936878377	0.000569411936878377	unweighted	NC
98	10	0.672083333333333	0.00594031029868761	0.000594031029868761	unweighted	NC
99	11	0.669583333333333	0.00680843236111387	0.000680843236111387	unweighted	NC
100	12	0.669	0.00557963356878753	0.000557963356878753	unweighted	NC
101	13	0.665555555555556	0.00600068583185913	0.000600068583185913	unweighted	NC
102	14	0.663333333333333	0.00585606974105255	0.000585606974105255	unweighted	NC
103	15	0.661305555555556	0.00480728172678679	0.000480728172678679	unweighted	NC
104	16	0.659305555555556	0.00385577936907188	0.000385577936907188	unweighted	NC
105	17	0.657472222222222	0.00334302276721195	0.000334302276721195	unweighted	NC
106	18	0.655555555555556	0	0	unweighted	NC
