Proportion.removed	remain.mean	remain.sd	remain.se	weighted	Group
114	0.7	0.113048780487805	0.0208777245750212	0.00208777245750212	unweighted	MD
115	0.75	0.0838211382113821	0.017484687341702	0.0017484687341702	unweighted	MD
116	0.8	0.0528455284552846	0.0158336945238435	0.00158336945238435	unweighted	MD
117	0.85	0.0334959349593496	0.0128693218091265	0.00128693218091265	unweighted	MD
118	0.9	0.0158536585365854	0.0111363200170383	0.00111363200170383	unweighted	MD
119	0.95	0.00353658536585366	0.00512419279087407	0.000512419279087407	unweighted	MD
120	1	0	0	0	unweighted	MD
121	0.05	0.645	0.0105940287693955	0.00105940287693955	weighted	NC
122	0.1	0.603777777777778	0.014188793485745	0.0014188793485745	weighted	NC
123	0.15	0.558416666666667	0.0188953865829458	0.00188953865829458	weighted	NC
124	0.2	0.51875	0.01818888011315	0.001818888011315	weighted	NC
125	0.25	0.476388888888889	0.0184995694297441	0.00184995694297441	weighted	NC
126	0.3	0.435222222222222	0.0208464418169142	0.00208464418169142	weighted	NC
127	0.35	0.391777777777778	0.0180060401942443	0.00180060401942443	weighted	NC
128	0.4	0.348083333333333	0.0213445325483937	0.00213445325483937	weighted	NC
129	0.45	0.311305555555556	0.0194514778044409	0.00194514778044409	weighted	NC
130	0.5	0.270555555555556	0.0203818455587955	0.00203818455587955	weighted	NC
131	0.55	0.233333333333333	0.0220036954576326	0.00220036954576326	weighted	NC
132	0.6	0.192388888888889	0.0198141854583963	0.00198141854583963	weighted	NC
133	0.65	0.157638888888889	0.018923908746205	0.0018923908746205	weighted	NC
134	0.7	0.129194444444444	0.0168919261180026	0.00168919261180026	weighted	NC
135	0.75	0.0951111111111111	0.0159650291224963	0.00159650291224963	weighted	NC
136	0.8	0.0662222222222222	0.0132585350516065	0.00132585350516065	weighted	NC
137	0.85	0.0392777777777778	0.0113059516058327	0.00113059516058327	weighted	NC
138	0.9	0.0192777777777778	0.00828944672751206	0.000828944672751206	weighted	NC
139	0.95	0.00519444444444444	0.00568939512250271	0.000568939512250271	weighted	NC
140	1	0	0	0	weighted	NC
141	0.05	0.671138888888889	0.0104376052183249	0.00104376052183249	unweighted	NC
142	0.1	0.624222222222222	0.012448171640012	0.0012448171640012	unweighted	NC
143	0.15	0.580277777777778	0.0157654786795315	0.00157654786795315	unweighted	NC
144	0.2	0.53325	0.0173200355837545	0.00173200355837545	unweighted	NC
145	0.25	0.489083333333333	0.0196230175955066	0.00196230175955066	unweighted	NC
146	0.3	0.4475	0.019699307754987	0.0019699307754987	unweighted	NC
147	0.35	0.404611111111111	0.0188613881802294	0.00188613881802294	unweighted	NC
148	0.4	0.359305555555556	0.0207508655842731	0.00207508655842731	unweighted	NC
149	0.45	0.315888888888889	0.018548292562986	0.0018548292562986	unweighted	NC
150	0.5	0.276166666666667	0.0227839360977805	0.00227839360977805	unweighted	NC
151	0.55	0.239166666666667	0.0173427231466231	0.00173427231466231	unweighted	NC
152	0.6	0.1975	0.018953231009684	0.0018953231009684	unweighted	NC
153	0.65	0.164111111111111	0.0192356109668497	0.00192356109668497	unweighted	NC
154	0.7	0.124861111111111	0.0177859084591755	0.00177859084591755	unweighted	NC
