manhatten	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
MD15	51.0	57.0	56.0	55.0	60.0	56.0	55.0	45.0	46.0	66.0	38.0	63.0	56.0	59.0	53.0	46.0	48.0	62.0	48.0	19.0	61.0	0	49.0	52.0	61.0	51.0	59.0	56.0	47.0	60.0	54.0	49.0	50.0	51.0	50.0	48.0	50.0	48.0	53.0	57.0	56.0	47.0	48.0	54.0	55.0
MD2	46.0	38.0	49.0	44.0	47.0	51.0	44.0	38.0	41.0	47.0	33.0	44.0	31.0	48.0	38.0	39.0	29.0	51.0	37.0	62.0	50.0	49.0	0	27.0	26.0	34.0	46.0	29.0	34.0	35.0	49.0	50.0	57.0	60.0	67.0	59.0	55.0	49.0	52.0	56.0	55.0	60.0	51.0	67.0	64.0
MD3	39.0	43.0	44.0	45.0	46.0	56.0	47.0	37.0	36.0	44.0	38.0	45.0	32.0	47.0	39.0	36.0	32.0	56.0	46.0	65.0	49.0	52.0	27.0	0	27.0	39.0	53.0	34.0	43.0	34.0	52.0	53.0	56.0	55.0	64.0	60.0	54.0	48.0	55.0	55.0	52.0	59.0	52.0	62.0	65.0
MD4	42.0	36.0	51.0	50.0	53.0	57.0	48.0	46.0	47.0	41.0	45.0	42.0	31.0	52.0	38.0	43.0	41.0	61.0	55.0	74.0	58.0	61.0	26.0	27.0	0	38.0	54.0	45.0	46.0	41.0	63.0	62.0	65.0	72.0	75.0	65.0	67.0	57.0	66.0	68.0	65.0	70.0	61.0	73.0	72.0
MD5	48.0	36.0	51.0	50.0	57.0	47.0	50.0	20.0	49.0	51.0	25.0	40.0	35.0	58.0	40.0	41.0	37.0	57.0	53.0	64.0	58.0	51.0	34.0	39.0	38.0	0	52.0	39.0	40.0	51.0	63.0	60.0	63.0	66.0	67.0	55.0	61.0	55.0	62.0	66.0	61.0	62.0	55.0	63.0	68.0
MD6	52.0	52.0	59.0	62.0	67.0	63.0	60.0	52.0	41.0	57.0	49.0	38.0	49.0	56.0	60.0	33.0	39.0	49.0	65.0	72.0	72.0	59.0	46.0	53.0	54.0	52.0	0	43.0	40.0	57.0	63.0	68.0	71.0	70.0	71.0	69.0	67.0	59.0	62.0	68.0	67.0	64.0	59.0	67.0	70.0
MD7	49.0	43.0	48.0	47.0	54.0	50.0	49.0	45.0	40.0	46.0	40.0	35.0	42.0	55.0	49.0	42.0	26.0	40.0	44.0	69.0	53.0	56.0	29.0	34.0	45.0	39.0	43.0	0	39.0	42.0	56.0	61.0	60.0	59.0	66.0	66.0	58.0	52.0	55.0	61.0	58.0	61.0	56.0	60.0	69.0
MD8	36.0	44.0	39.0	46.0	43.0	43.0	40.0	36.0	47.0	49.0	37.0	34.0	37.0	44.0	40.0	33.0	45.0	45.0	49.0	62.0	60.0	47.0	34.0	43.0	46.0	40.0	40.0	39.0	0	39.0	59.0	58.0	63.0	60.0	63.0	57.0	61.0	57.0	60.0	60.0	65.0	54.0	55.0	61.0	64.0
MD9	49.0	49.0	44.0	53.0	36.0	52.0	43.0	51.0	50.0	52.0	50.0	51.0	38.0	39.0	39.0	48.0	38.0	52.0	42.0	73.0	51.0	60.0	35.0	34.0	41.0	51.0	57.0	42.0	39.0	0	64.0	65.0	68.0	67.0	78.0	66.0	68.0	58.0	63.0	67.0	66.0	71.0	66.0	74.0	79.0
NC1	67.0	65.0	72.0	69.0	76.0	74.0	71.0	55.0	36.0	64.0	46.0	63.0	62.0	69.0	69.0	46.0	48.0	68.0	60.0	65.0	71.0	54.0	49.0	52.0	63.0	63.0	63.0	56.0	59.0	64.0	0	43.0	50.0	43.0	52.0	56.0	44.0	26.0	25.0	33.0	30.0	51.0	38.0	44.0	49.0
NC10	60.0	64.0	67.0	66.0	67.0	71.0	62.0	52.0	45.0	67.0	43.0	66.0	59.0	60.0	64.0	51.0	53.0	69.0	55.0	62.0	68.0	49.0	50.0	53.0	62.0	60.0	68.0	61.0	58.0	65.0	43.0	0	45.0	42.0	49.0	45.0	39.0	43.0	42.0	28.0	43.0	34.0	27.0	49.0	28.0
NC11	67.0	63.0	60.0	61.0	68.0	66.0	61.0	59.0	54.0	72.0	54.0	69.0	62.0	65.0	65.0	56.0	50.0	64.0	54.0	61.0	61.0	50.0	57.0	56.0	65.0	63.0	71.0	60.0	63.0	68.0	50.0	45.0	0	29.0	26.0	36.0	32.0	48.0	51.0	53.0	52.0	45.0	40.0	50.0	51.0
NC12	66.0	70.0	65.0	64.0	69.0	67.0	64.0	62.0	47.0	69.0	53.0	70.0	67.0	64.0	70.0	51.0	51.0	67.0	59.0	62.0	72.0	51.0	60.0	55.0	72.0	66.0	70.0	59.0	60.0	67.0	43.0	42.0	29.0	0	25.0	41.0	21.0	45.0	40.0	44.0	47.0	40.0	39.0	45.0	42.0
NC13	71.0	67.0	60.0	61.0	70.0	64.0	65.0	63.0	56.0	78.0	56.0	71.0	66.0	69.0	67.0	56.0	60.0	68.0	60.0	61.0	71.0	50.0	67.0	64.0	75.0	67.0	71.0	66.0	63.0	78.0	52.0	49.0	26.0	25.0	0	36.0	34.0	48.0	53.0	53.0	52.0	41.0	38.0	42.0	43.0
NC14	63.0	61.0	62.0	67.0	66.0	64.0	61.0	53.0	56.0	74.0	48.0	67.0	62.0	65.0	63.0	56.0	52.0	70.0	52.0	61.0	61.0	48.0	59.0	60.0	65.0	55.0	69.0	66.0	57.0	66.0	56.0	45.0	36.0	41.0	36.0	0	40.0	52.0	55.0	57.0	60.0	49.0	46.0	56.0	47.0
NC15	65.0	67.0	66.0	67.0	68.0	70.0	63.0	57.0	48.0	68.0	48.0	67.0	62.0	69.0	65.0	54.0	50.0	68.0	60.0	63.0	69.0	50.0	55.0	54.0	67.0	61.0	67.0	58.0	61.0	68.0	44.0	39.0	32.0	21.0	34.0	40.0	0	46.0	43.0	43.0	46.0	35.0	34.0	46.0	45.0
NC2	59.0	57.0	66.0	63.0	72.0	70.0	67.0	47.0	36.0	58.0	40.0	61.0	52.0	63.0	63.0	44.0	40.0	68.0	56.0	59.0	67.0	48.0	49.0	48.0	57.0	55.0	59.0	52.0	57.0	58.0	26.0	43.0	48.0	45.0	48.0	52.0	46.0	0	29.0	39.0	24.0	49.0	36.0	36.0	53.0
NC3	66.0	66.0	71.0	70.0	73.0	73.0	70.0	56.0	39.0	63.0	45.0	64.0	61.0	66.0	66.0	51.0	49.0	71.0	57.0	64.0	70.0	53.0	52.0	55.0	66.0	62.0	62.0	55.0	60.0	63.0	25.0	42.0	51.0	40.0	53.0	55.0	43.0	29.0	0	36.0	39.0	46.0	39.0	47.0	50.0
NC4	64.0	70.0	73.0	70.0	73.0	73.0	70.0	56.0	47.0	67.0	45.0	66.0	61.0	64.0	68.0	51.0	55.0	73.0	63.0	70.0	72.0	57.0	56.0	55.0	68.0	66.0	68.0	61.0	60.0	67.0	33.0	28.0	53.0	44.0	53.0	57.0	43.0	39.0	36.0	0	31.0	42.0	35.0	55.0	38.0
NC5	63.0	67.0	74.0	69.0	74.0	74.0	69.0	53.0	42.0	64.0	46.0	65.0	56.0	63.0	69.0	48.0	50.0	74.0	66.0	67.0	73.0	56.0	55.0	52.0	65.0	61.0	67.0	58.0	65.0	66.0	30.0	43.0	52.0	47.0	52.0	60.0	46.0	24.0	39.0	31.0	0	49.0	38.0	40.0	49.0
NC6	56.0	66.0	61.0	62.0	67.0	63.0	60.0	52.0	49.0	65.0	45.0	62.0	65.0	66.0	64.0	47.0	57.0	67.0	67.0	62.0	74.0	47.0	60.0	59.0	70.0	62.0	64.0	61.0	54.0	71.0	51.0	34.0	45.0	40.0	41.0	49.0	35.0	49.0	46.0	42.0	49.0	0	25.0	35.0	32.0
NC7	61.0	61.0	64.0	65.0	72.0	68.0	63.0	51.0	38.0	58.0	40.0	57.0	58.0	63.0	61.0	44.0	46.0	66.0	62.0	59.0	69.0	48.0	51.0	52.0	61.0	55.0	59.0	56.0	55.0	66.0	38.0	27.0	40.0	39.0	38.0	46.0	34.0	36.0	39.0	35.0	38.0	25.0	0	34.0	31.0
NC8	63.0	69.0	72.0	71.0	78.0	76.0	73.0	53.0	48.0	68.0	48.0	65.0	66.0	77.0	69.0	48.0	54.0	72.0	72.0	67.0	83.0	54.0	67.0	62.0	73.0	63.0	67.0	60.0	61.0	74.0	44.0	49.0	50.0	45.0	42.0	56.0	46.0	36.0	47.0	55.0	40.0	35.0	34.0	0	45.0
NC9	66.0	70.0	73.0	70.0	77.0	73.0	70.0	58.0	51.0	71.0	49.0	68.0	67.0	70.0	72.0	49.0	63.0	75.0	69.0	68.0	80.0	55.0	64.0	65.0	72.0	68.0	70.0	69.0	64.0	79.0	49.0	28.0	51.0	42.0	43.0	47.0	45.0	53.0	50.0	38.0	49.0	32.0	31.0	45.0	0
