OTUID	HDA	HDB	HDC	MDA	MDB	MDC	NCA	NCB	NCC
ASV_1610	0.05324755	0.14696508	0.14808423	0.16449048	0.11319891	0.15765734	0.27334092	0.04001167	0.07680427
ASV_177	0.022456626	0.010660969	0.006718358	0.023953943	0.018054978	0.003365916	0.987517735	0.037116983	0.019925767
ASV_176	0.137861901	0.259806296	0.261127787	0.335655792	0.118536376	0.030744872	0.012052790	0.008779418	0.004829549
ASV_619	0.17506849	0.22734075	0.20169039	0.08894327	0.28506552	0.04929174	0.02206852	0.05279308	0.06732736
ASV_191	0.02935277	0.02589878	0.03375609	0.01992740	0.02340552	0.07502620	0.03079226	0.36631120	0.55228730
ASV_180	0.04242684	0.07724743	0.06890671	0.04652368	0.03687675	0.03241315	0.26793832	0.43607311	0.10317398
ASV_145	0.08228910	0.10074905	0.03091871	0.13471654	0.10558057	0.04517744	0.23125968	0.36779048	0.03096193
ASV_156	0.007614308	0.003248501	0.005264017	0.007513291	0.002572233	0.005226898	0.008047949	0.213353869	0.905619118
ASV_197	0.06866326	0.06816682	0.08071581	0.11564267	0.23987439	0.08491368	0.12289551	0.20929892	0.14615523
ASV_173	0.25788972	0.21783035	0.20491292	0.23659323	0.02029578	0.01899714	0.06953356	0.03950240	0.07680740
ASV_147	0.0047523645	0.0058331699	0.0186443738	0.0061325271	0.0186104541	1.0585047974	0.0000000000	0.0006861242	0.0037706498
ASV_170	0.01405851	0.04034886	0.07395143	0.05139006	0.04202377	0.12796824	0.21455713	0.32328792	0.20559168
ASV_158	0.07640600	0.10313630	0.07431690	0.13308309	0.49117479	0.10275243	0.03973118	0.03028548	0.08156847
ASV_193	0.04591398	0.15305180	0.20708030	0.04375097	0.15889992	0.13349037	0.06842428	0.03220485	0.26935886
ASV_187	0.12284641	0.25662974	0.15934132	0.18722786	0.14572613	0.06431607	0.04831345	0.04499988	0.06500157
ASV_166	0.01196094	0.43071827	0.17187252	0.02951312	0.26262060	0.12567207	0.02017335	0.01640746	0.01834177
ASV_1446	0.076867927	0.121313026	0.257500964	0.089403468	0.320792354	0.067535529	0.006326519	0.045587322	0.081866722
ASV_239	0.370215907	0.110727272	0.065963717	0.316763260	0.133797159	0.006999872	0.016003033	0.007729001	0.031356327
ASV_217	0.050937703	0.005828005	0.013895598	0.009282890	0.005328458	0.013853350	0.305451605	0.278623674	0.344477555
