OTUID	All	HDC	MDC	NCC
ASV_207	0.190735	0.2278292	0.1319670	0.2124077
ASV_191	0.187649	0.03797767	0.10842580	0.41654366
ASV_144	0.186313	0.33553622	0.16458339	0.05881896
ASV_43	0.182956	0.006702622	0.533524650	0.008641855
ASV_148	0.181322	0.16448948	0.07515273	0.30432490
ASV_127	0.180832	0.12151803	0.36783560	0.05314187
ASV_170	0.177546	0.07242969	0.20910397	0.25110388
ASV_193	0.173911	0.1804823	0.2153645	0.1258863
ASV_14	0.176805	0.47477394	0.04253878	0.01310168
ASV_91	0.170291	0.43081092	0.06953438	0.01052740
ASV_1610	0.162224	0.1106459	0.2585682	0.1174590
ASV_179	0.165802	0.2356661	0.1528224	0.1089177
ASV_1446	0.163213	0.30522435	0.10898193	0.07543197
ASV_82	0.165899	0.2276198	0.1393536	0.1307234
ASV_109	0.161401	0.07123649	0.07506160	0.33790495
ASV_720	0.15992	0.009544372	0.186427377	0.283786797
ASV_1658	0.15713	0.1132462	0.1622562	0.1958868
ASV_231	0.154726	0.23230920	0.15411367	0.07775497
ASV_573	0.150677	0.36577815	0.02908277	0.05716923
ASV_152	0.152053	0.01577699	0.14953976	0.29084187
ASV_465	0.149171	0.06877872	0.25502026	0.12371488
ASV_314	0.144788	0.04604341	0.10221263	0.28610733
ASV_390	0.142557	0.0048341344	0.0006646992	0.4221725668
ASV_50	0.142296	0.20896512	0.09663896	0.12128466
ASV_154	0.140622	0.1288164	0.1350208	0.1580293
ASV_118	0.142288	0.360435534	0.057178090	0.009251797
ASV_217	0.139747	0.01646066	0.01713263	0.38564753
ASV_1035	0.139862	0.13993935	0.23933643	0.04030898
ASV_1413	0.136537	0.03860044	0.26925752	0.10175256
ASV_238	0.13837	0.05447786	0.07501774	0.28561342
ASV_240	0.1376	0.05471830	0.06658468	0.29149774
ASV_255	0.137855	0.07887387	0.05396293	0.28072934
ASV_1497	0.138253	0.22161867	0.16183894	0.03130283
ASV_256	0.134556	0.1373304	0.1154810	0.1508577
ASV_67	0.133007	0.003817122	0.392681112	0.002523342
ASV_244	0.13407	0.21148776	0.15534243	0.03537874
ASV_259	0.136147	0.17912870	0.22240171	0.00690914
ASV_54	0.134441	0.09920081	0.17497973	0.12914289
ASV_333	0.128286	0.1156177	0.1304470	0.1387930
ASV_100	0.126709	0.19793451	0.15725777	0.02493492
ASV_106	0.126916	0.21172282	0.12191606	0.04710932
ASV_205	0.126663	0.1694907	0.0835290	0.1269705
ASV_72	0.125254	0.08545932	0.14551791	0.14478544
ASV_101	0.122798	0.21751934	0.10391403	0.04696048
ASV_223	0.123019	0.13409897	0.07791903	0.15703889
ASV_188	0.122532	0.04566107	0.08491963	0.23701494
ASV_104	0.121457	0.07629706	0.05716708	0.23090569
ASV_204	0.123258	0.08424351	0.10441933	0.18110999
ASV_103	0.121423	0.18981362	0.12861345	0.04584088
ASV_108	0.122433	0.1044520	0.1018566	0.1609896
ASV_195	0.121273	0.0099214661	0.0006646992	0.3532314782
ASV_174	0.120738	0.20708544	0.08550850	0.06961903
ASV_261	0.120674	0.15340770	0.15466661	0.05394842
ASV_197	0.11836	0.07100904	0.11898379	0.16508693
ASV_800	0.11766	0.1160323	0.1082665	0.1286802
ASV_1567	0.110428	0.002518033	0.317740762	0.011025907
ASV_133	0.116066	0.16962849	0.08739933	0.09117155
ASV_473	0.11831	0.001929381	0.353000260	0.000000000
ASV_137	0.116958	0.18599981	0.15137466	0.01350069
ASV_167	0.113835	0.21584134	0.08012768	0.04553659
ASV_182	0.112382	0.05083379	0.04941133	0.23690201
ASV_1582	0.112706	0.13863325	0.07937944	0.12010495
ASV_455	0.115079	0.326562314	0.016205923	0.002467626
ASV_209	0.112137	0.04696227	0.26293690	0.02651164
ASV_377	0.109624	0.12282572	0.15377928	0.05226767
ASV_281	0.110656	0.0005790254	0.0006646992	0.3307228322
ASV_276	0.109745	0.1765257	0.1507974	0.0019134
ASV_33	0.109806	0.1013046	0.2021739	0.0259391
ASV_187	0.109233	0.15822212	0.10186266	0.06761407
ASV_243	0.106801	0.03866361	0.03692060	0.24481772
ASV_129	0.106479	0.09034097	0.07361565	0.15548155
ASV_594	0.1064	0.167834972	0.143319772	0.008045451
ASV_327	0.104916	0.0042551090	0.0006095405	0.3098848461
ASV_619	0.105816	0.17347472	0.07261933	0.07135472
ASV_192	0.104777	0.13298676	0.11869140	0.06265183
ASV_383	0.102864	0.01759422	0.09545252	0.19554385
ASV_211	0.104907	0.11974376	0.09497024	0.10000579
ASV_241	0.105269	0.28171208	0.01327822	0.02081601
ASV_200	0.103837	0.09890073	0.08632995	0.12628020
ASV_158	0.105634	0.04576673	0.16945663	0.10167903
ASV_176	0.103761	0.256276010	0.050651097	0.004355554
ASV_242	0.104217	0.06717705	0.07994957	0.16552397
