OTUID	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
ASV_30	1	1	2	3	2	0	10	5	3	0	3	9	1	10	3	0	7	1	60	5	4	17	13	1	0	3	0	1	13	2	6	6	6	6	7	351	546	257	38	171	152	12	45	448	350	217	312
ASV_26	128	92	73	88	85	78	134	115	80	51	156	214	38	203	99	153	71	43	127	136	97	59	146	45	40	4	33	31	43	86	33	36	22	34	47	7	1	8	8	15	23	36	15	26	14	8	10
ASV_24	22	107	68	40	54	120	145	66	33	47	149	36	92	31	76	20	74	172	90	200	57	134	142	55	30	128	90	73	105	27	64	25	27	85	67	34	71	28	10	47	6	22	41	31	5	19	60
ASV_27	606	7	5	378	5	190	1	86	14	0	3	2	1	1	2	172	3	37	44	231	1	3	66	1	2	0	3	2	49	4	0	2	10	11	0	7	0	5	30	179	228	8	12	7	5	629	1
ASV_119	51	104	64	24	167	15	78	59	11	108	49	77	82	74	146	44	90	53	42	7	165	51	47	123	153	108	72	42	48	94	85	14	157	127	137	4	15	7	3	3	8	20	2	6	9	16	3
ASV_157	74	81	26	179	105	57	83	97	42	80	95	66	71	63	48	39	45	68	52	83	45	85	139	90	60	139	63	57	69	99	70	40	56	29	106	17	16	35	26	48	52	55	34	17	32	19	32
ASV_34	0	1	0	1	2	2	1	0	0	2	0	3	4	6	3	0	0	2	1	2	1	5	1	0	0	1	2	3	4	0	3	2	1	2	5	36	63	467	284	255	155	288	363	480	240	9	267
ASV_32	39	20	62	138	140	218	74	61	53	44	125	80	57	102	82	29	68	15	50	48	86	32	53	65	67	50	20	29	34	89	102	83	115	79	61	4	0	8	2	9	16	1	4	7	8	4	1
ASV_31	1	1	2	0	2	1	223	8	3	8	270	200	9	3	0	2	1	117	21	1	1	21	87	160	4	120	96	10	178	19	80	323	142	134	6	3	7	24	5	70	189	17	26	1	0	2	4
ASV_37	2	4	8	4	4	2	1	4	2	2	7	1	4	3	1	3	4	5	7	6	4	3	0	4	2	4	8	4	2	0	0	2	2	4	3	6	6	221	421	681	152	929	385	8	14	6	11
ASV_38	25	152	135	169	36	73	20	43	13	70	163	29	128	41	11	8	23	147	56	153	59	13	15	38	26	222	20	27	138	30	78	28	39	45	79	1	5	5	4	5	2	5	4	2	0	1	3
ASV_39	1	0	2	3	2	133	10	27	1	0	6	1	2	6	7	6	1	3	3	91	1	6	5	8	1	0	3	0	2	5	8	13	1	3	2	125	26	331	42	783	9	7	423	82	174	149	30
ASV_40	1	191	4	0	2	1	1	2	0	1	0	1	2	35	625	5	6	3	3	5	249	8	6	212	5	73	4	173	352	2	134	2	0	1	1	3	1	0	2	0	2	0	0	0	3	1	4
ASV_1214	98	96	59	74	88	21	34	23	55	170	23	47	32	45	56	23	49	20	84	20	99	45	46	49	104	50	34	23	20	72	50	18	117	85	78	13	3	12	5	17	10	28	2	21	29	15	5
ASV_57	15	6	8	10	2	3	3	2	9	9	8	2	6	9	1	2	4	2	14	3	0	14	6	1	7	3	5	6	1	5	5	7	5	2	2	270	27	23	16	212	126	11	25	173	383	499	149
ASV_48	7	27	27	6	8	12	13	14	10	22	15	24	22	36	30	23	20	40	28	67	46	73	125	84	47	63	46	57	114	10	12	4	2	38	16	100	75	22	30	237	14	78	105	84	24	80	73
