Species	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerotaenia|Unassigned	0.0896966835831465	0.012539499423183	0.0366157301176585	0.833759590792839	0.199376947040498	0.257048971804113	0.219621093278629	0.504343629343629	0.185016220600162	0.428624214804779	0.50772033569274	0.314024941261522	0.242526493383245	0.15974076356085	0.0208681135225376	0.669977511244378	0.301636377347108	0.357053195347151	0.349372334530034	0.214799107757552	0.00694203401596668	0.440702169042519	0.39523751074015
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerotignum|Unassigned	0.0731736102915142	0.0752369965390982	0.0439388761411903	0.317135549872123	0.179439252336449	0.129849480602078	0.0892964884759262	0.1496138996139	0.0963098134630981	0.108387732479369	0.101544067138548	0.0451834447858305	0.247798808456793	0.082152392688437	0.0834724540901502	0.0163980509745127	0.057813638991529	0.050210605595693	0.0265041081367612	0.1294302315975	0.115700566932778	0.0418543959425856	0.0564625015343071
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia|Unassigned	1.31948542428892	1.09344434970156	0.9007469608944	2.0537084398977	1.37320872274143	0.781746873012508	1.94280197900326	1.98600386100386	0.570255474452555	1.26123906885084	1.51121464623839	1.05955178022772	1.37607423419624	0.607014901531229	0.568076423669078	0.318590704647676	1.18140914460951	1.14089653825769	0.534901091487362	1.7239005314901	0.805275945852135	2.33646010291257	1.72578863385295
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Clostridium_XlVa|Unassigned	1.47055352295527	0.426342980388223	0.205048088658888	1.19437340153453	0.700311526479751	0.776446894212423	0.562326535537589	1.74710424710425	0.509428223844282	0.243872398078581	0.719768240599707	0.487981203686969	0.321611219486477	0.716551425115812	0.479966611018364	0.974512743628186	1.12108186914009	1.20226505620798	3.47444763029179	1.75419271335334	0.293879440009256	1.35903685648866	0.527801644777219
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Cuneatibacter|Unassigned	0.247846099374484	0.260821588002207	0.0756725089098277	0.253196930946292	0.119626168224299	0.105999576001696	0.231688186315917	0.168918918918919	0.220498783454988	0.192141889395246	0.155302690917779	0.250768118561359	0.0632677808825855	0.228201090801214	0.11825264329438	0.126499250374813	0.120654550938843	0.0725264303048899	0.110835361299183	0.110153388593617	0.0740483628369779	0.125563187827757	0.122744568552842
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Eisenbergiella|Unassigned	5.51162516228018	2.10412800321011	1.10335400087878	8.9002557544757	2.98566978193146	2.39029043883824	2.98057198020997	4.95656370656371	1.33059610705596	4.24436506958985	1.12893109936386	3.51301283209832	1.70032161121949	1.09992925766185	2.16332776850306	6.64121064467766	1.70675916848905	2.17300343105805	2.06250150591523	2.31597499518079	2.19136873770681	3.45175665361794	2.56781637412544
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Enterocloster|Unassigned	8.23557181635784	3.29036464864323	0.876336474149295	5.34271099744246	3.32461059190031	2.61023955904176	4.32967298177869	1.94498069498069	2.86648418491484	3.92412858726444	3.68843890929726	3.21254292427255	1.34180418621817	0.878574199584674	1.59757002411426	2.80172413793103	1.65145916597542	3.49521604507797	2.13478543719731	3.19444826921488	1.01122295499248	2.07056158751262	2.56781637412544
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Faecalicatena|Unassigned	1.24159093591408	1.20379194462557	0.988624713176781	1.30179028132992	0.847352024922118	1.14744541021836	1.6338843972487	1.73503861003861	0.889598540145985	0.615839389087326	1.83675297912373	2.81718778239653	0.363789740074867	2.62887656602999	1.54655907994806	2.3332083958021	0.826986401226655	0.563474573907222	1.96612293087247	1.78448489521659	1.51104940414208	0.812467685944309	2.18976310298269
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Faecalimonas|Unassigned	0.13454502537472	0.185584591463109	0.134257677098081	0.186700767263427	0.378816199376947	0.153699385202459	0.265476046820321	0.28957528957529	0.321877534468775	0.162581598719054	0.185168593017352	0.16266040122899	0.195075657721305	0.248739188973323	0.271285475792988	0.0374812593703148	0.160872734585124	0.0669474741275907	0.12047321880346	0.159722413460744	0.122642600948745	0.164955560479602	0.184116852829262
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Falcatimonas|Unassigned	0.00236043904166175	0	0	0.00255754475703325	0.00249221183800623	0.257048971804113	0.00241341860745746	0	0	0.0024633575563493	0.0657049846190604	0.0225917223929152	0.0052723150735488	0.00456402181602428	0.176219625301428	0.0374812593703148	0.0075409094336777	0.00557895617729923	0.0048189287521384	0.0110153388593617	0.00231401133865556	0.396385749809193	0.00490978274211366
