#OTUID	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
ASV_897	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	5	19	0	4	2	1	5	1	5	4	1	6
ASV_927	1	0	0	1	0	1	3	2	1	1	1	2	1	0	1	4	1	0	0	1	0	0	3	0	0	0	0	1	0	1	1	0	0	1	0	1	1	12	6	5	1	2	0	2	3	1	1
ASV_980	1	0	0	1	0	2	3	3	1	0	0	2	1	1	2	0	2	1	1	2	0	0	1	2	1	0	0	1	4	3	0	0	1	9	0	0	1	1	0	7	0	0	0	0	3	2	4
ASV_1138	2	2	2	0	0	0	0	3	2	2	2	0	2	0	3	1	0	2	0	0	0	2	1	6	0	2	0	0	0	1	3	1	1	3	1	0	2	0	5	3	1	2	1	0	1	2	1
ASV_1147	2	2	2	2	1	0	0	0	1	2	0	2	1	1	1	3	1	1	3	3	0	0	0	3	1	2	3	2	1	2	1	2	1	3	0	4	0	0	0	4	0	1	1	1	1	0	1
ASV_1459	0	0	5	0	2	0	0	0	0	1	2	2	3	0	0	0	0	2	4	5	10	3	0	0	0	2	2	2	5	0	0	0	0	0	0	3	1	0	0	0	0	0	1	3	3	1	0
ASV_921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	5	34	4	5	1	1	1	3	1
ASV_946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	32	8	0	5	0	0	0	1	1	0	3
ASV_1353	2	0	1	1	5	0	0	0	1	2	0	0	4	0	0	0	0	3	1	0	4	0	6	0	1	1	5	1	3	0	2	0	1	3	0	2	1	0	2	1	0	0	1	0	2	1	4
ASV_873	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	6	35	11	0
ASV_987	1	2	0	0	15	20	0	12	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
