Family	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae	0.0611082593923395	0.0208463623097769	0.552704303197789	0.0724462690171456	0.0845656297853861	0.093601497623962	0.0825530108262377	0.0363865709295556	0.120892671486254	0.0186894054432893	0.0833143982428236	0.0414593698175788	0.472317581733982	0.312160052972615	0.290366791330809	0.281247415005377	0.583728566216709	0.0423634336677815	0.092429207629611	0.524560832791152	0.308456214264219	0.0675690403016631	0.140046531589528	0.241828924733864
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned	0.0122216518784679	0	0.00493485984998026	0.147307413668196	0.00228555756176719	0.00480007680122882	0.00235865745217822	0	0.0241785342972509	0.00233617568041117	0.14895604534323	0	0.251134714190263	0.156080026486308	0.220678761411415	0.763779744671464	0.198998374846605	0.272017837235229	0.484553118785536	0.418835393623943	0.100310963988364	0.0675690403016631	0.126493641435703	0.206925780957842
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae	0.0366649556354037	0.898709841799273	0.0863600473746546	0.0313933832407631	0.0411400361118095	0.0504008064129026	0.943462980871288	0.754414903939453	0.236949636113059	0.616750379628548	0.0151480724077861	0.269485903814262	0.0184319056286432	0.0094593955446247	0.00696880299193942	0.0165439655885516	0.149248781134954	0.0557413600891862	0.00560177015937036	0	0	0.0305150504588156	0.275575433127781	0.221884271147566
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae	0.0268876341326294	0.0370601996618257	0.0172720094749309	0.0676165177493359	0.0182844604941375	0.0336005376086017	0.0165106021652475	0.00970308558121483	0.00483570685945018	0.0070085270412335	0.00757403620389305	0.0310945273631841	0.00921595281432159	0.014189093316937	0.00696880299193942	0.176468966277883	0.192365095685052	0.11371237458194	0.145646024143629	0.166720884840599	0.137927575484	0.102443383683167	0.180705202051004	0.164543392086959
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae	0.383759868983892	0.2710027100271	0.310896170548756	0.420188360299445	0.315406943523873	0.336005376086017	0.202844540887327	0.28138948185523	0.210353248386083	0.217264338278239	0.229745764851423	0.373134328358209	0.255742690597424	0.30270065742799	0.334502543613092	0.259188794220641	0.205631654008159	0.158305462653289	0.145646024143629	0.406636304489265	0.102818738088073	0.0915451513764467	0.266540173025231	0.147091820198948
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae	0.261543350199213	0.115813123943205	0.125838926174497	0.0941801497222893	0.164560144447238	0.816013056208899	0.301908153878812	0.101882398602756	0.13298193863488	0.413503095432777	0.0530182534272514	0.523424543946932	0.170495127064949	0.153715177600151	1.69574206137192	1.60200733449141	1.40293854266857	0.486064659977703	0.285690278127888	1.43135979180221	0.381181663155783	0.313869090433532	0.582774276614488	0.428810052105407
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae	0.320207279215859	0.282584022421421	0.315831030398737	0.434677614102874	0.329120288894476	0.436806988911823	0.412765054131189	0.2619833106928	0.169249740080756	0.177549351711249	0.24741851599384	0.194340796019901	0.225790843950879	0.323984297403396	0.506399684080931	0.468745691675628	0.361513714304667	0.245261984392419	0.310898243845055	0.443233571893299	0.228207443073528	0.174371716907518	0.325269363691807	0.201939617561267
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae	0	0.0023162624788641	0.00246742992499013	0	0	0	0	0	0	0.00233617568041117	0.00252467873463102	0	0.156671197843467	0.16080972425862	0.209064089758183	0.270218104613009	0.0331663958077676	0.0334448160535117	0.109234518107722	0.642485361093038	0.0200621927976728	0.0152575252294078	0.0383998554358384	0.114681758121214
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1	0.505976387768571	0.528107845181016	4.3994275562574	0.871770103839652	0.662811692912486	1.00321605145682	0.403330424322476	0.041238113720163	0.0411035083053265	0.0303702838453452	0.0530182534272514	0.0647802653399668	0.0391677994608668	0.0874994087877785	0.0557504239355153	0.534921554029834	0.401313389273988	0.309921962095875	1.07834075567879	0.41476903057905	0.238238539472364	0.311689443972188	0.325269363691807	0.0872578594400538
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_2	0.00977732150277431	0	0	0.00724462690171456	0.0617100541677142	0.0384006144098306	0.021227917069604	0.118862798369882	0.053192775453952	0.0770937974535685	0.0631169683657755	0.101057213930348	18.5355850978043	21.1275599489193	5.04773630049479	11.9447431549342	4.54711286524493	0.274247491638796	0.126039828585833	3.11890045543266	2.99428227505266	0.11552126245123	2.1413566443044	8.2147041958565
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII	0.173547456674244	0.067171611887059	0.108566916699566	0.111084279159623	0.0777089571000846	0.0792012672202755	0.13208481732198	0.111585484183971	0.0652820426025774	0.0537320406494568	0.164104117751016	0.129560530679934	0.0622076814966707	0.132431537624746	0.320564937629213	0.0799625003446659	0.135982222811847	0.0824972129319955	0.092429207629611	0.21551724137931	0.0476477078944729	0.0414132827655354	0.0519527455896637	0.186981127371544
Bacteria|Firmicutes|Clostridia|Clostridiales|Defluviitaleaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.023039882035804	0.0094593955446247	0.267137448024344	0.195770259464527	0.11276574574641	0.0334448160535117	0.0672212419124443	0.581489915419649	0.0125388704985455	0.0283354039974716	0.0767997108716767	0.0747924509486176
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae	0.141771161790228	0.201514835661177	0.0690880378997236	0.130403284230862	2.82494914634425	0.2832045312725	0.485883435148713	0.645255191150786	0.435213617350516	0.52096717673169	0.378701810194653	0.868055555555556	0.0668156579038315	0.108783048763184	2.37636182025134	0.286762070201561	0.0994991874233027	0.0468227424749164	0.0728230120718147	0.150455432661028	0.494031497642692	0.246300050131869	0.0496939305640261	1.49086285557578
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	55.6647356456699	64.6885785097167	47.50789577576	43.6488770828302	30.0756519552945	56.5641050256804	75.6067646295729	72.2394721521444	75.8166299958897	70.5174629132111	67.2372440606933	60.1549543946932	37.79923046794	29.5227734947737	52.6330460637878	39.7055174125238	52.459288249146	78.5172798216277	57.6086043189648	45.831977878985	72.9787340756345	82.1661326532836	74.9497413656796	47.5405749046396
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae_1	0.0244433037569358	0.00926504991545642	0.0468811685748125	0.082105771552765	0.164560144447238	0.00240003840061441	0	0.00242577139530371	0.00241785342972509	0.467235136082233	0	0.222844112769486	0.046079764071608	0.0449321288369673	0.0185834746451718	0.00551465519618386	0.189048456104275	0.0981047937569677	0.0196061955577963	0.0284645413142485	0.0300932891965092	0.0959044442991347	0.108423121230602	0.029916980379447
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae_2	0.36909388672973	0.238575035323003	0.273884721673904	0.099009900990099	0.0159989029323703	0.156002496039937	0.181616623817723	0.30079565301766	0.377185135037114	0.0116808784020558	0.330732914236663	0.0129560530679934	0.11519941017902	0.0283781866338741	0.00696880299193942	0.00827198279427579	0.152565420715731	0.182831661092531	0.120438058426463	0.00406636304489265	0.0526632560938911	0.246300050131869	0.0338822253845633	0.0473685522674578
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae	0.469311432133167	0.176035948393672	0.498420844848006	0.403284230862111	0.308550270838571	1.13041808668939	0.455220888270396	0.2619833106928	0.157160472932131	0.119144959700969	1.29516019086571	0.334266169154229	3.85687625279359	5.19557300288512	0.699203233524588	0.749993106681005	0.218898212331266	0.040133779264214	0.182057530179537	0.272446324007807	0.496539271742401	0.246300050131869	0.828985114408981	6.16289795816609
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	9.60132971572438	5.97827345794825	6.81750888274773	5.14851485148515	5.83731401275341	7.08491335861374	7.84489468594476	11.0566660197943	11.1632292850407	10.4170073589534	11.6968365775455	7.24243366500829	1.5160242379559	1.38580144728752	2.99193941787266	3.0054870819202	5.11425823355776	5.13266443701226	4.2517435509621	3.67192582953806	2.22188785234226	5.11780989123564	3.17815274107203	2.83962005434918
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned	0.69663415707267	1.96650684455563	0.866067903671536	0.548176768896402	0.557676045071195	0.352805644890318	0.889213859471189	0.465748107898312	0.824488019536256	1.06295993458708	0.507460425660835	0.795501658374793	1.4929843559201	4.57834744359835	3.78173709029246	10.0752750434279	2.00988358595071	1.55406911928651	4.7446993249867	5.2537410540013	2.3974320393219	0.952505503607315	0.932890605588308	1.86731819201715
