Family	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae	1.26799177518849	0.166586796284886	0.204043776664812	0.339673913043478	0.389613654073348	1.86616084130659	0.534901091487362	0.735273868862391	0.356357746152956	0.866632198340596	0.508162513808764	0.942331175264383	0.435132195052736	0.150990731492021	0.0799625003446659	0.497495937116514	0.1917502787068	0.224070806374814	0.170787247885491	0.253285184070619	0.111161969528542	0.264281357999593	0.396399990027673
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae	0.0843570411767807	0.00228201090801214	0.0370988684845112	0.00702773613193403	0.0653545484252067	0.106000167368685	0.0819217887863528	0.0605843637264891	0.0740483628369779	0.103404978211094	0.0908309807291027	0.472317581733982	0.312160052972615	0.290366791330809	0.281247415005377	0.583728566216709	0.0423634336677815	0.092429207629611	0.524560832791152	0.308456214264219	0.0675690403016631	0.140046531589528	0.241828924733864
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned	0.0052723150735488	0.00684603272403642	0.113615284733816	0.00234257871064468	0	0	0	0.00275383471484042	0	0	0	0.251134714190263	0.156080026486308	0.220678761411415	0.763779744671464	0.198998374846605	0.272017837235229	0.484553118785536	0.418835393623943	0.100310963988364	0.0675690403016631	0.126493641435703	0.206925780957842
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae	0.17398639742711	0.0456402181602428	0.0046373585605639	0.0163980509745127	0.0452454566020662	0.0223158247091969	0.0168662506324844	0.0192768430038829	0.550734698600023	0.0344683260703646	0.0245489137105683	0.0184319056286432	0.0094593955446247	0.00696880299193942	0.0165439655885516	0.149248781134954	0.0557413600891862	0.00560177015937036	0	0	0.0305150504588156	0.275575433127781	0.221884271147566
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae	0.255707281067117	0.182560872640971	0.0231867928028195	0.0234257871064468	0.0377045471683885	0.0251053027978465	0.0337325012649688	0.0275383471484042	0.0370241814184889	0.0270822561981436	0.0171842395973978	0.00921595281432159	0.014189093316937	0.00696880299193942	0.176468966277883	0.192365095685052	0.11371237458194	0.145646024143629	0.166720884840599	0.137927575484	0.102443383683167	0.180705202051004	0.164543392086959
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae	0.52723150735488	0.486068323406586	0.104340567612688	0.0773050974512744	0.0553000025136365	0.0613685179502915	0.137339469435944	0.0550766942968083	0.0671063288210112	0.123101164537017	0.407511967595434	0.255742690597424	0.30270065742799	0.334502543613092	0.259188794220641	0.205631654008159	0.158305462653289	0.145646024143629	0.406636304489265	0.102818738088073	0.0915451513764467	0.266540173025231	0.147091820198948
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae	0.408604418200032	0.773601697816116	0.333889816360601	0.248313343328336	0.140763642761984	0.164579207230327	0.0674650025299376	0.773827554870157	0.360985768830267	0.0984809316296132	0.446790229532343	0.170495127064949	0.153715177600151	1.69574206137192	1.60200733449141	1.40293854266857	0.486064659977703	0.285690278127888	1.43135979180221	0.381181663155783	0.313869090433532	0.582774276614488	0.428810052105407
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae	0.224073390625824	0.271559298053445	0.199406418104248	0.128841829085457	0.17595455345248	0.186895031939524	0.142158398188083	0.20102993418335	0.148096725673956	0.219120072875889	0.527801644777219	0.225790843950879	0.323984297403396	0.506399684080931	0.468745691675628	0.361513714304667	0.245261984392419	0.310898243845055	0.443233571893299	0.228207443073528	0.174371716907518	0.325269363691807	0.201939617561267
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae	0.0026361575367744	0.00228201090801214	0	0	0	0	0	0	0	0.00246202329074033	0.00245489137105683	0.156671197843467	0.16080972425862	0.209064089758183	0.270218104613009	0.0331663958077676	0.0334448160535117	0.109234518107722	0.642485361093038	0.0200621927976728	0.0152575252294078	0.0383998554358384	0.114681758121214
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1	2.22228080350082	0.109536523584583	0.505472083101465	0.69106071964018	0.462509111932232	3.50916343552121	1.68421559887237	1.89739211852505	0.650237186162212	2.14688430952557	3.17417454277648	0.0714236343109923	0.397294612874237	0.0650421612581012	0.551465519618386	0.404630028854764	0.309921962095875	1.08674341091785	0.422901756668835	0.263316280469455	0.313869090433532	0.393033814460934	0.107202513026352
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_2	0.0500869931987135	0.0182560872640971	0.0440549063253571	0.00702773613193403	0.00502727295578513	0.00278947808864961	0.0072283931282076	0.107399553878776	0.0532222607890779	0.014772139744442	0.0466429360500798	18.5355850978043	21.1275599489193	5.04773630049479	11.9447431549342	4.54711286524493	0.274247491638796	0.126039828585833	3.11890045543266	2.99428227505266	0.11552126245123	2.1413566443044	8.2147041958565
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII	0.139716349449043	0.408479952534173	0.301428306436654	0.196776611694153	0.150818188673554	0.14505286060978	0.122882683179529	0.212045273042712	0.0925604535462224	0.199423886549967	0.284767399042592	0.0760316107181531	0.14189093316937	0.332179609282446	0.0882344831389417	0.149248781134954	0.0891861761426979	0.109234518107722	0.231782693558881	0.0677099006921456	0.0414132827655354	0.0519527455896637	0.251801251527013
Bacteria|Firmicutes|Clostridia|Clostridiales|Defluviitaleaceae	0	0	0	0	0	0	0	0	0	0.00246202329074033	0	0.023039882035804	0.0094593955446247	0.267137448024344	0.195770259464527	0.11276574574641	0.0334448160535117	0.0672212419124443	0.581489915419649	0.0125388704985455	0.0283354039974716	0.0767997108716767	0.0747924509486176
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae	2.77851004376022	9.2855023847014	6.31840103876832	11.8698463268366	11.7336550788025	1.38079165388156	1.7444522082741	7.06633987828051	1.2079139187782	1.37627101952384	9.40959862526083	0.0645116697002511	0.108783048763184	2.39959116355781	0.292276725397745	0.0795993499386422	0.0512820512820513	0.0700221269921295	0.150455432661028	0.50155481994182	0.246300050131869	0.0564703756409388	1.49834210067064
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	42.6925713080614	56.2926450788435	51.1245594509367	46.9101386806597	43.2420883291858	41.0499595525677	68.2239838083994	44.6231377192741	55.3974314474141	53.2560258020041	45.2436479685774	37.8476142202152	29.67885352126	52.8258496132314	39.9454049135578	52.4327551324998	78.5685618729097	57.6506175951601	46.2345478204294	72.9536563346374	82.1225397240568	75.277269544397	47.6328189274763
