orig_model	model	color	OTU	X1	X2
112	11	model_11	#6DC4A4	ASV_160	-5.51958764371867	-16.6604421260511
113	9	model_9	#FDB567	ASV_150	11.8437467124418	2.57938514737528
114	77	mini_model	#C1C1C1	ASV_202	20.1802763136231	6.03853478153581
115	80	mini_model	#C1C1C1	ASV_145	9.34888447959176	6.56127676758599
116	7	model_7	#FEF6B1	ASV_453	9.6931309370025	15.9022525655999
117	4	model_4	#BA2148	ASV_159	-1.02881805213625	0.622406032503647
118	2	model_2	#E65948	ASV_1445	-9.68456650414467	-19.3778473384552
119	5	model_5	#D6404E	ASV_141	-13.2388098507046	-0.0504735042809986
120	25	mini_model	#C1C1C1	ASV_156	16.3799259089036	10.7854695585989
121	1	model_1	#9E0142	ASV_195	-13.9983871584739	5.86482801123413
122	7	model_7	#FEF6B1	ASV_174	8.66954530859504	16.2984325131659
123	6	model_6	#FEE695	ASV_166	9.28663078291276	-21.5797387628161
124	2	model_2	#E65948	ASV_1200	-4.87714162443904	-21.293237396048
125	6	model_6	#FEE695	ASV_162	6.93244667932355	-22.7737283903227
126	74	mini_model	#C1C1C1	ASV_153	9.92678708922328	-5.34263692527353
127	1	model_1	#9E0142	ASV_182	-9.03832543894893	13.9669245534312
128	8	model_8	#D3ED9B	ASV_175	7.87477143681876	-11.9905048018953
129	31	mini_model	#C1C1C1	ASV_193	-22.4290370109457	-11.7512001465337
130	1	model_1	#9E0142	ASV_264	-13.5850969413891	11.415263931575
131	90	mini_model	#C1C1C1	ASV_266	12.8718451029293	-21.588512430217
132	4	model_4	#BA2148	ASV_161	-5.62705370147075	1.06515496130287
133	32	model_32	#466DB0	ASV_197	-2.54172581689186	-15.1908336520174
134	91	mini_model	#C1C1C1	ASV_201	-20.4988223412087	7.47047098996918
135	4	model_4	#BA2148	ASV_191	-1.67290541238119	-2.35241947970175
136	40	mini_model	#C1C1C1	ASV_196	11.1701247253476	9.28003877342636
137	22	mini_model	#C1C1C1	ASV_235	-10.7498251378895	-20.5171373573094
138	5	model_5	#D6404E	ASV_190	-13.1358768941226	-1.34555841339383
139	3	model_3	#F47346	ASV_1427	13.8587500202543	-14.699689602119
140	29	mini_model	#C1C1C1	ASV_979	8.14817716350403	-0.262335117811502
141	34	mini_model	#C1C1C1	ASV_231	18.6474000857709	-15.7250857782043
142	5	model_5	#D6404E	ASV_208	-17.9688383391019	0.378035531108183
143	7	model_7	#FEF6B1	ASV_194	9.37826544220863	13.4470910832061
144	77	mini_model	#C1C1C1	ASV_184	20.4357698163901	5.21132308908493
145	4	model_4	#BA2148	ASV_176	-3.13967337700065	1.49415080063553
146	58	model_58	#FDD07D	ASV_209	19.653221739649	-0.611127885870113
147	2	model_2	#E65948	ASV_185	-2.81221691917976	-25.1934001183262
148	92	mini_model	#C1C1C1	ASV_181	-16.6828104097076	-19.6911888202346
149	8	model_8	#D3ED9B	ASV_213	9.6004519436171	-13.2253200132627
150	3	model_3	#F47346	ASV_203	20.1569766365773	-11.2886423342033
151	2	model_2	#E65948	ASV_1405	-6.98649375571362	-19.6927712944154
152	1	model_1	#9E0142	ASV_216	-13.9324258629027	7.5727779416332
153	9	model_9	#FDB567	ASV_183	12.6804510462457	0.860669712637612
154	82	model_82	#B4E0A2	ASV_604	-19.7371199867335	-15.0809677401307
155	4	model_4	#BA2148	ASV_163	-0.982002195207106	1.38006173403596
156	3	model_3	#F47346	ASV_225	19.1668391964902	-8.14150324741579
157	3	model_3	#F47346	ASV_206	18.4752241398432	-8.81805359208527
158	9	model_9	#FDB567	ASV_177	14.8902709906934	1.41966825005372
159	3	model_3	#F47346	ASV_237	20.5576632319977	-9.94849279135347
160	8	model_8	#D3ED9B	ASV_306	7.03255622908329	-11.0764849834094
161	8	model_8	#D3ED9B	ASV_373	8.86529596608732	-12.9997067949108
162	5	model_5	#D6404E	ASV_224	-8.19707067533071	3.62560923345477
163	10	mini_model	#C1C1C1	ASV_274	-12.05391390104	-23.1777581353703
164	61	mini_model	#C1C1C1	ASV_583	2.90707219557753	17.8187514059321
165	3	model_3	#F47346	ASV_1309	14.3527647854213	-14.3068377998147
166	60	mini_model	#C1C1C1	ASV_293	8.6898299022758	9.20707548119516
167	2	model_2	#E65948	ASV_1211	0.543487660088953	-25.4318285307842
168	24	mini_model	#C1C1C1	ASV_199	11.8408089554987	-8.94058452583828
169	7	model_7	#FEF6B1	ASV_211	7.33331516297463	16.8660556937363
170	8	model_8	#D3ED9B	ASV_426	9.17750894252045	-14.1066335336262
171	48	mini_model	#C1C1C1	ASV_263	-15.9776384810222	-18.1278788547443
172	3	model_3	#F47346	ASV_214	19.5541005518505	-9.1497055025385
173	5	model_5	#D6404E	ASV_262	-15.484591809306	0.937206055353824
174	39	mini_model	#C1C1C1	ASV_215	-14.0356306965196	-11.3777445032493
