PathwayL2	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
Protein families: metabolism	6394513.569999984	6990497.559999993	8284033.45000001	7116410.410000007	8439994.30000001	7490320.470000003	7927704.939999987	7454916.139999987	4633633.280000001	6188644.809999998	6981492.859999996	6166430.950000003	7854786.229999973	8311881.740000027	7632738.040000021	5852500.1700000195	6341325.179999987	6538321.640000005	8993219.600000016	8883686.429999987	7633572.970000014	8537830.610000005	7585315.560000008	6791394.080000008	6886057.360000013	6956988.510000005	5227425.409999998	6771900.930000016	7569293.959999977	8174906.490000012	6101162.090000016	7963899.10000002	6746420.769999991	6941360.450000003	7684913.900000014	6931360.909999999	6570736.969999996	6347188.339999995	5890627.230000017	7976403.63000001	6801527.709999994	6947797.239999994	6317142.840000002	6171291.790000005	7559988.77
Protein families: signaling and cellular processes	16067022.880000008	17906154.100000054	21165090.340000026	17086644.970000062	22149851.08	18931256.019999873	20585707.19999984	19112791.370000046	10319463.56000007	14999865.21000015	17484257.570000008	14813404.660000017	21119977.940000065	21857837.879999936	20298258.679999907	13886998.889999995	15300597.179999905	15805337.269999992	23574551.59000008	17002110.849999927	19437932.369999785	16339720.780000119	19159329.84000006	16867717.739999965	17106702.20999999	18147997.139999956	11622952.800000045	15806360.719999986	19441339.850000046	21521115.690000106	14290990.820000049	20803893.51999992	15315545.310000027	17002902.049999963	18343643.13000003	17600189.009999994	15110932.260000061	14905585.05999998	13778757.050000085	20398955.750000093	16466290.500000076	17632813.36000006	15363787.810000043	14124627.159999996	19095931.30999999
Replication and repair	2925436.1800000025	3230480.3700000043	3756206.1699999995	3259772.000000001	3814794.59	3408767.5800000047	3596520.6899999985	3408826.4400000023	2173412.210000003	2833392.2699999977	3162870.789999998	2832604.2400000007	3555614.7299999963	3767775.089999999	3462834.8700000034	2718453.2800000017	2948029.949999996	3000184.8999999994	4025233.82	3634037.6100000003	3497662.040000001	3389355.9200000013	3471896.6200000024	3126268.810000003	3189224.8299999987	3173388.130000002	2458055.250000003	3150008.7299999995	3413922.7699999954	3702908.8400000026	2863044.0800000005	3601751.12	3155820.3700000015	3188473.0199999996	3600528.99	3169052.3600000017	3058586.5100000007	3084844.1100000027	2746268.7900000005	3648820.2300000037	3234681.590000001	3171669.6200000006	2910321.449999999	2963487.820000004	3465546.6799999974
Signal transduction	2770058.5400000014	2889034.7699999986	3435390.5000000005	2845980.1300000004	3596600.190000002	3116645.0700000008	3361516.72	3122516.7700000005	1724524.4999999981	2465272.4800000004	2951018.630000001	2418101.3000000026	3343617.8299999987	3567945.5800000015	3302043.0800000015	2274864.410000001	2469803.0400000005	2616005.220000002	3759300.700000003	3028006.140000002	3173884.780000001	2965076.36	3139870.6100000017	2751643.3300000024	2782707.3700000024	2931289.3900000015	1958966.32	2631493.4900000007	3187099.23	3478465.7699999996	2368666.8799999994	3417778.100000003	2546456.930000002	2742932.4400000013	3051718.68	2854802.200000001	2511096.400000001	2415932.500000001	2284371.8400000003	3301895.2600000002	2688492.020000001	3015396.14	2612671.3299999987	2382315.970000002	3199738.8
Signaling molecules and interaction	5.0	16.0	8.0	5.0	2.0	3.0	11.0	6.0	4.0	15.0	1.0	4.0	13.0	5.0	5.0	7.0	9.0	3.0	5.0	14.0	12.0	5.0	16.0	34.0	20.0	7.0	6.0	29.0	11.0	16.0	18.0	7.0	3.0	7.0	11.0	9.0	6.0	1.0	109.0	13.0	2.0	2.0	11.0	52.0	40.0
Substance dependence	48.510000000000005	46.29	281.85	328.5	239.21999999999997	103.92	94.77000000000001	57.989999999999995	71.49	47.760000000000005	48.63	36.900000000000006	52.5	104.16	77.34	40.349999999999994	35.76	208.70999999999998	165.48	221.43	197.70000000000002	171.48	38.01	43.5	93.75	45.35999999999999	31.5	27.869999999999997	33.03	55.77000000000001	51.510000000000005	96.06	260.90999999999997	451.29	345.99	391.20000000000005	340.04999999999995	111.35999999999999	83.21999999999998	123.47999999999999	106.97999999999999	59.489999999999995	69.87	64.86	136.17000000000002
Transcription	158538.69000000006	168130.27000000008	197293.94000000003	169256.07000000004	201769.98000000007	176604.58	190045.78000000003	178697.03000000006	116563.97000000004	148676.98000000004	168399.78	145777.22000000003	182837.77	198766.22000000003	179355.96000000002	143532.43000000002	155852.24000000002	157312.48000000007	210042.89	172852.94000000003	186840.47999999995	159156.14000000004	183313.06	166612.27000000002	169591.43	163765.46000000008	127641.84000000005	164467.61	179611.13999999998	193882.5899999999	154068.40000000002	192094.63	169948.33000000007	164172.74000000005	195011.78000000006	163644.37000000005	161403.19000000006	170888.29000000007	144931.06000000003	192314.76	175655.08	171067.8	158510.79	167201.21000000008	184260.10000000003
Translation	3269659.3800000045	3495752.380000003	4106304.91	3584957.1700000004	4168832.5999999987	3707357.8200000036	3922896.429999997	3707728.0800000043	2429425.350000002	3124580.3399999985	3500821.649999998	3091702.6299999985	3795889.8299999963	4096948.579999997	3731359.9100000034	2989353.1400000015	3258299.3399999966	3278715.99	4357515.339999997	3678056.9500000034	3828984.4899999974	3377259.770000004	3815339.330000003	3462643.7500000065	3515713.549999997	3416484.6900000027	2727069.6100000036	3479053.4399999995	3717089.029999995	4014488.9099999997	3202303.3000000007	3977228.819999999	3557922.530000003	3491066.660000001	4050353.2499999995	3451065.3000000045	3435624.870000003	3471860.000000004	3071474.009999999	3988793.7100000046	3609583.770000002	3562420.190000001	3299207.67	3390121.180000005	3838011.4499999955
Transport and catabolism	190498.05	227561.61999999997	247286.1000000001	258606.60000000003	219914.59000000005	240052.11000000002	215281.80000000005	240275.79000000004	212797.29000000004	222075.32000000004	232351.55	237223.17000000004	237557.16	209280.34000000005	223336.85000000003	243260.75999999998	219978.59000000003	230541.81000000008	275169.47	904709.7199999999	211255.98999999996	844325.1399999999	221335.56	205372.24	213085.08999999997	227894.45000000007	215344.86000000002	248681.72000000006	213688.54000000004	228292.43999999994	217698.10000000003	215924.71999999997	213954.19000000003	256593.31000000003	215957.42000000007	241170.06000000006	245968.17000000004	197673.81999999995	233609.67000000004	229446.13000000006	198934.53999999998	199268.0	191597.02999999997	194830.94000000006	221516.43999999997
Unclassified: genetic information processing	846412.77	871377.7500000002	1051588.22	883858.9300000002	1092153.2100000004	954051.5999999999	1020218.7499999999	935733.8300000002	561813.3499999999	765333.35	882112.68	757059.7600000001	1012879.3800000001	1101576.0800000005	992435.02	714753.8100000003	776896.2300000002	850180.5100000001	1136062.86	1055686.3	1030159.2299999995	1152563.7799999998	957436.1699999997	850608.6600000001	850670.4899999998	865158.5500000004	620610.25	836791.75	972763.9999999999	1052032.7699999996	767732.77	1051803.64	788351.9700000006	836466.4600000002	962375.5000000003	842409.7500000002	790661.2400000005	819680.9099999999	722911.5300000001	1030996.0000000001	874371.8300000001	921192.0400000002	847063.0899999997	771434.5300000001	1005497.2
Unclassified: metabolism	2643908.8999999985	3079514.080000004	3445981.040000008	2913173.310000006	3505171.5600000042	3134143.5100000044	3317621.1300000004	3071625.1500000013	1826369.7200000035	2530950.1299999966	2741417.069999999	2558932.0100000007	3495405.499999992	3449561.2100000028	3346842.6300000083	2472248.570000007	2556187.059999995	2783015.8200000026	3770421.22000001	4901326.109999993	3206905.060000006	4743726.350000002	2985869.6400000085	2730109.2200000016	2934226.3000000045	3000532.3300000024	2149705.610000003	2691015.5000000023	3039418.909999995	3393012.5500000003	2401857.4400000037	3523034.660000004	2730926.990000004	2958161.4400000004	3114660.6900000074	3041189.3100000033	2680536.3100000047	2640340.690000002	2375136.3300000043	3344549.490000003	2788835.5100000016	3137868.649999995	2801304.790000002	2632749.630000003	3263898.3599999966
Unclassified: signaling and cellular processes	1679279.0899999994	1982006.1499999994	2314395.580000002	1917004.0000000014	2401907.520000002	2077860.4800000023	2282872.3	2026904.6499999983	1202572.99	1687706.5099999984	1806195.9899999981	1648577.7900000026	2248557.689999998	2380140.860000003	2158015.0300000035	1609946.9000000025	1746153.2700000007	1787929.5400000026	2506018.3300000005	2149814.880000001	2154439.6500000022	2012539.7699999989	2094229.4399999997	1897534.4300000002	1980224.56	1934331.690000002	1425284.6600000025	1801864.2100000025	2109373.989999998	2323844.480000001	1605356.7700000023	2275488.680000003	1838692.0500000005	1879316.4399999997	2166934.350000002	1965450.0999999987	1746105.529999997	1705806.1099999996	1541896.6400000001	2226338.1599999997	1867142.3799999987	1944185.809999997	1761599.200000002	1602408.6900000016	2102149.98
Xenobiotics biodegradation and metabolism	612854.0300000003	731068.5700000002	810616.2000000002	690991.8900000001	811471.9600000003	735290.5900000001	785126.5200000004	682448.9100000003	437694.6700000001	602513.9900000002	618449.04	609476.0700000002	795094.2	796116.3200000002	780540.44	576300.8399999997	599500.1	709594.3400000002	864749.5399999996	978145.3100000002	795085.5299999998	955698.4099999999	675198.52	635577.0699999998	714336.4999999997	681308.63	538209.3499999999	651929.3799999999	694428.93	768625.7599999997	598567.28	849535.7899999999	680328.7900000004	687079.1200000001	749830.8100000002	725211.2300000004	652861.2200000002	671444.0600000002	578206.4599999997	790296.6199999999	684593.09	786848.3300000003	714634.77	716522.6400000002	793742.73
