variable	group	value
ureolysis	HD2	0
ureolysis	HD3	0
ureolysis	HD4	2
ureolysis	HD5	2
ureolysis	HD6	1
ureolysis	HD7	1
ureolysis	HD8	0
ureolysis	HD9	0
ureolysis	MD1	0
ureolysis	MD10	0
ureolysis	MD11	1
ureolysis	MD12	0
ureolysis	MD13	0
ureolysis	MD14	0
ureolysis	MD15	0
ureolysis	MD2	0
ureolysis	MD3	0
ureolysis	MD4	0
ureolysis	MD5	0
ureolysis	MD6	2
ureolysis	MD7	0
ureolysis	MD8	0
ureolysis	MD9	0
ureolysis	NC1	1
ureolysis	NC10	0
ureolysis	NC11	0
ureolysis	NC12	0
ureolysis	NC13	7
ureolysis	NC14	2
ureolysis	NC15	0
ureolysis	NC2	1
ureolysis	NC3	1
ureolysis	NC4	0
ureolysis	NC5	0
ureolysis	NC6	0
ureolysis	NC7	2
ureolysis	NC8	2
ureolysis	NC9	0
reductive_acetogenesis	HD1	0
reductive_acetogenesis	HD10	0
reductive_acetogenesis	HD11	0
reductive_acetogenesis	HD12	0
reductive_acetogenesis	HD13	0
reductive_acetogenesis	HD14	0
reductive_acetogenesis	HD15	1
reductive_acetogenesis	HD2	1
reductive_acetogenesis	HD3	0
reductive_acetogenesis	HD4	0
reductive_acetogenesis	HD5	0
reductive_acetogenesis	HD6	0
reductive_acetogenesis	HD7	0
reductive_acetogenesis	HD8	1
reductive_acetogenesis	HD9	0
reductive_acetogenesis	MD1	0
reductive_acetogenesis	MD10	0
reductive_acetogenesis	MD11	0
reductive_acetogenesis	MD12	0
reductive_acetogenesis	MD13	0
reductive_acetogenesis	MD14	1
reductive_acetogenesis	MD15	0
reductive_acetogenesis	MD2	0
reductive_acetogenesis	MD3	0
reductive_acetogenesis	MD4	0
reductive_acetogenesis	MD5	0
reductive_acetogenesis	MD6	1
reductive_acetogenesis	MD7	0
reductive_acetogenesis	MD8	0
reductive_acetogenesis	MD9	0
reductive_acetogenesis	NC1	0
reductive_acetogenesis	NC10	0
reductive_acetogenesis	NC11	0
reductive_acetogenesis	NC12	0
reductive_acetogenesis	NC13	12
reductive_acetogenesis	NC14	0
reductive_acetogenesis	NC15	0
reductive_acetogenesis	NC2	0
reductive_acetogenesis	NC3	0
reductive_acetogenesis	NC4	0
reductive_acetogenesis	NC5	2
reductive_acetogenesis	NC6	0
reductive_acetogenesis	NC7	0
reductive_acetogenesis	NC8	0
reductive_acetogenesis	NC9	0
chemoheterotrophy	HD1	1019
chemoheterotrophy	HD10	1538
chemoheterotrophy	HD11	938
chemoheterotrophy	HD12	1679
chemoheterotrophy	HD13	434
chemoheterotrophy	HD14	1213
chemoheterotrophy	HD15	801
chemoheterotrophy	HD2	874
chemoheterotrophy	HD3	1842
chemoheterotrophy	HD4	891
chemoheterotrophy	HD5	903
chemoheterotrophy	HD6	1293
chemoheterotrophy	HD7	819
chemoheterotrophy	HD8	647
chemoheterotrophy	HD9	729
chemoheterotrophy	MD1	2217
chemoheterotrophy	MD10	1213
chemoheterotrophy	MD11	1029
chemoheterotrophy	MD12	682
chemoheterotrophy	MD13	6942
chemoheterotrophy	MD14	650
chemoheterotrophy	MD15	5862
chemoheterotrophy	MD2	782
chemoheterotrophy	MD3	1007
chemoheterotrophy	MD4	940
chemoheterotrophy	MD5	806
chemoheterotrophy	MD6	1649
chemoheterotrophy	MD7	1469
chemoheterotrophy	MD8	578
chemoheterotrophy	MD9	568
chemoheterotrophy	NC1	1343
chemoheterotrophy	NC10	639
chemoheterotrophy	NC11	2029
chemoheterotrophy	NC12	997
chemoheterotrophy	NC13	1396
chemoheterotrophy	NC14	960
chemoheterotrophy	NC15	1056
chemoheterotrophy	NC2	1813
chemoheterotrophy	NC3	1147
chemoheterotrophy	NC4	837
chemoheterotrophy	NC5	1328
chemoheterotrophy	NC6	1121
chemoheterotrophy	NC7	929
chemoheterotrophy	NC8	2631
chemoheterotrophy	NC9	1193
