Order	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	All
Coriobacteriales	0.05	0.02	0	0	0	0	0	0.17	0.21	0.01	0.04	0.01	0	0.01	0	0.05	0.01	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0.39	0.28	0	0.13	0.1	0.02	0.14	1.21	0.36	0.04	0.77	0.17	0.29	1.22	0.17	0.2
Rhodospirillales	0	0	0.06	0.14	0.1	0.03	0	0.02	0	0	0	0	0	0	0	0.02	0	0.02	0	0.01	0	0	0	0	0	0.03	0.07	0.02	0	0	0	0	0.08	0.04	0.14	0.07	0.11	0	0	0	0	0	0	0	0	0.2
Mycobacteriales	0	0	0.11	0.09	0.09	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.05	0.1	0.08	0.07	0	0	0	0	0	0	0	0	0.2
Nitrosomonadales	0	0	0	0	0.01	0	0	0	0	0	0	0.02	0.01	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0.01	0.01	0.01	0	0	0.01	0	0.01	0.1
Selenomonadales	0.04	0.03	0.01	0.02	0	0.02	0.01	0.01	0.03	0.05	0.01	0.04	0.03	0	0.02	0.06	0.01	0.05	0	0	0.01	0	0.07	0.05	0.03	0.03	0.01	0.01	0	0.01	0.06	0.04	0.03	0.03	0.07	0.02	0.11	0.05	0.05	0.04	0.06	0.07	0.03	0.15	0.05	0.1
Rhodobacterales	0	0.01	0	0	0.01	0.09	0.08	0	0	0	0	0	0	0	0	0	0	0.12	0.08	0.05	0.12	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0.1
Oceanospirillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0.01	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0.01	0.1
Propionibacteriales	0	0	0.15	0.07	0.07	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.08	0.2	0.1	0.17	0.12	0	0	0	0	0	0	0	0	0.1
Bifidobacteriales	0.1	0.03	0.04	0.04	0	0.03	0.01	0.04	0.11	0.06	0.04	0.02	0.02	0	0.01	0.31	0.39	0.02	0.11	0.07	0.08	0.02	0.02	0.02	0.01	0.03	0.3	0.02	0.03	0.04	0.33	0.15	0.18	0.07	0.2	0.03	0.2	1.43	0.39	0.1	0.93	0.02	0.45	1.01	0.04	0.1
Cytophagales	0.03	0.02	0	0.02	0	0.01	0	0	0.03	0.02	0.02	0	0.03	0.03	0.01	0.01	0.01	0	0.02	0.02	0.01	0.03	0.05	0	0.04	0.02	0.03	0.02	0.01	0.02	0.01	0	0.02	0.01	0.02	0.02	0.03	0.02	0.02	0.01	0.02	0.04	0	0.02	0	0.1
Thiotrichales	0	0	0	0	0	0	0.01	0	0	0.02	0.02	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.06	0.02	0	0.01	0	0	0	0	0.01	0.02	0	0.1
Acholeplasmatales	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0.02	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0.02	0	0	0.01	0	0.01	0.01	0.1
Thermosediminibacterales	0.01	0.01	0.01	0.02	0	0.02	0.01	0.01	0	0	0.03	0	0	0.01	0.01	0.02	0	0.02	0	0.03	0.02	0	0.02	0.01	0.01	0	0.01	0.01	0.02	0	0.04	0.01	0.02	0.05	0.02	0.03	0.03	0.03	0.03	0.03	0.01	0.02	0.04	0.03	0.03	0.1
Verrucomicrobiales	1.6	0.08	0.28	0.18	0.11	0.13	0.05	1.9	12.8	1.2	3.74	0.16	0.06	0.05	0.12	15.8	0.09	0.16	0.11	0.27	0.03	0.05	0.14	0.08	0.1	0.1	0.19	0.16	0.22	0.08	4.65	1.16	0.4	0.96	0.36	0.19	1.01	3.71	4.86	2.39	2.46	0.6	0.43	1.85	2.2	0.1
Veillonellales	0.16	0.05	0.01	0	0.17	0	0	0.32	0.14	0.01	0.19	0.17	0.04	0.17	0	0.27	0.04	0.18	0.01	0	0	0.01	0.1	0.08	0.06	0.1	0.29	0	0	0	0.21	0.12	0.05	0.11	0.16	0.04	0.27	0.16	0.14	0.19	0.36	0.27	0.03	0.07	0.09	0.1
Sphingomonadales	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.01	0	0	0	0	0	0	0	0	0	0.1
Halanaerobiales	0.02	0	0.01	0.02	0.01	0.04	0	0.01	0	0.02	0.01	0.01	0.02	0.04	0.02	0	0.01	0.01	0.03	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0	0.01	0.02	0.02	0.01	0.02	0.01	0	0	0.01	0.02	0.02	0.02	0.02	0.04	0	0.01	0.1
Acidimicrobiales	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.02	0	0	0	0	0	0.1
Deferribacterales	20.9	0.18	0.2	0.76	3.08	1.88	1.58	0.81	0.1	0.14	8.71	1.96	0.96	0.66	3.82	0.1	0.12	0.08	0.1	0.03	0.05	0	0.03	0.11	0.08	0.15	0.03	0.15	2.12	0.53	0.12	0.23	0.02	0.02	0.06	0.06	0.03	0.15	0.2	1.09	0.09	0.07	0.38	0.02	0.19	0.1
Kiloniellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0.03	0	0.03	0.01	0	0.01	0.01	0.01	0.02	0	0	0.03	0	0.02	0.02	0.1
Pseudomonadales	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0.03	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.1
Petrotogales	0.03	0	0.02	0.02	0.01	0	0	0.03	0	0	0.02	0.02	0.01	0	0	0.02	0.02	0.01	0.02	0.01	0	0.02	0.02	0.02	0.02	0.04	0.02	0.01	0.01	0.01	0	0.05	0.01	0	0	0.01	0.03	0.01	0	0.01	0.01	0	0	0.02	0.02	0.1
Natranaerobiales	0	0	0.02	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0.03	0	0.01	0	0	0.1
