Family	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	All
Peptostreptococcaceae	0.78	3.74	0.35	0.38	0.22	0.23	0.22	0.44	0.63	0.63	0.66	3.63	2.63	0.87	0.74	1.03	2.33	0.68	0.45	7.63	0.6	2.37	0.99	2.45	3.19	2.21	1.72	2.32	0.77	0.6	1.03	0.26	0.32	0.34	0.32	0.27	0.43	0.96	1.12	1.01	1.27	0.35	0.45	0.9	0.51	0.3
Thermoanaerobacteraceae	0.01	0	0.01	0.01	0	0	0	0.02	0.01	0.03	0.01	0	0.01	0	0.02	0.04	0	0	0.02	0.01	0	0.01	0.01	0.03	0	0	0	0.01	0	0.02	0.01	0.02	0	0.01	0.01	0	0.01	0	0.03	0.01	0.02	0.01	0	0.03	0	0.3
Peptococcaceae_1	0.03	0.17	0.17	0.33	0.01	0.19	0.3	0.02	0.01	0.27	0.22	0.06	0.12	0.01	0.19	0.03	0.1	0.05	0.3	0	0.17	0	0.19	0.14	0.34	0.21	0.02	0.15	0.27	0.23	0.12	0.08	0.16	0.06	0.03	0.07	0.16	0.08	0.03	0	0.06	0.01	0.07	0.02	0.05	0.3
Peptococcaceae_2	0.03	0	0.01	0.03	0.01	0.01	0	0.01	0.03	0.01	0	0.03	0.01	0.01	0.02	0.02	0.01	0	0.02	0.02	0.01	0.01	0.02	0.04	0.01	0.01	0.01	0.01	0.01	0	0.02	0.02	0	0.01	0.02	0.02	0.04	0.09	0.02	0.04	0.08	0.09	0.04	0.05	0.02	0.3
Barnesiellaceae	0	0	0	0	0.01	0	0.01	0.02	0.02	0.02	0.01	0.01	0	0	0	0.02	0	0	0.01	0.02	0	0.01	0	0.01	0	0.02	0	0	0	0	0.03	0.03	0.08	0.16	0.08	0.04	0.13	0.01	0.07	0.05	0.02	0	0.04	0.02	0	0.2
Thiovulaceae	0	0.02	0	0	0	0	0.01	0	0	0.06	0.07	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0.03	0	0	0	0.06	0	0	0	0.06	0.06	0	0.06	0	0	0	0	0.01	0.06	0	0.2
Synergistaceae	0	0	0	0	0.01	0	0	0.01	0.01	0.01	0	0.01	0	0	0.02	0.01	0	0	0	0	0.01	0.02	0	0	0.01	0.02	0.02	0	0	0	0	0	0	0.02	0	0	0.01	0.01	0.02	0.03	0	0	0.02	0.01	0.01	0.2
Bacillaceae_1	0.03	0.01	0.03	0.02	0.01	0	0	0	0	0	0	0	0.03	0	0	0	0.01	0.01	0	0	0.01	0	0	0	0.01	0	0.01	0.02	0	0	0.01	0.01	0.01	0	0.01	0.03	0	0	0	0	0	0	0.01	0	0	0.2
Corynebacteriaceae	0	0	0.11	0.09	0.09	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.05	0.1	0.08	0.07	0	0	0	0	0	0	0	0	0.2
Caldicoprobacteraceae	0.04	0.01	0.02	0.03	0.01	0	0.02	0.03	0.03	0.02	0.01	0.04	0.01	0.02	0.01	0.01	0	0.01	0.05	0	0.01	0.01	0	0.01	0.01	0.02	0	0.01	0.02	0.02	0.01	0	0.01	0.02	0.01	0	0.03	0.02	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.2
Enterococcaceae	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0.01	0	0	0.01	0.07	0	0.1	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Micrococcaceae	0.05	0	0.01	0	0.02	0	0	0	0	0	0.02	0	0.01	0	0	0	0.02	0.04	0	0.01	0	0	0.02	0.01	0.03	0	0	0.02	0	0	0	0	0	0	0	0.05	0.02	0.05	0.01	0.01	0.01	0	0	0.03	0	0.1
Rhodobacteraceae	0	0.01	0	0	0.01	0.09	0.08	0	0	0	0	0	0	0	0	0	0	0.12	0.08	0.05	0.12	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0.1
Propionibacteriaceae	0	0	0.15	0.07	0.07	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.08	0.2	0.1	0.17	0.12	0	0	0	0	0	0	0	0	0.1
Methylophilaceae	0	0	0	0	0.01	0	0	0	0	0	0	0.02	0.01	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0.01	0.01	0.01	0	0	0.01	0	0.01	0.1
Piscirickettsiaceae	0	0	0	0	0	0	0.01	0	0	0.02	0.02	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.06	0.02	0	0.01	0	0	0	0	0.01	0.02	0	0.1
Staphylococcaceae	0	0	0	0	0	0.02	0.01	0	0	0.01	0	0	0	0	0	0.01	0	0.01	0.01	0.01	0.03	0.02	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Oceanospirillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0.01	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0.01	0.1
Sporomusaceae	0.04	0.03	0.01	0.02	0	0.02	0.01	0.01	0.03	0.05	0.01	0.04	0.03	0	0.02	0.06	0.01	0.05	0	0	0.01	0	0.07	0.05	0.03	0.03	0.01	0.01	0	0.01	0.06	0.04	0.03	0.03	0.07	0.02	0.11	0.05	0.05	0.04	0.06	0.07	0.03	0.15	0.05	0.1
Atopobiaceae	0.05	0.02	0	0	0	0	0	0.16	0.21	0.01	0.04	0.01	0	0.01	0	0.05	0.01	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0.39	0.28	0	0.13	0.1	0.02	0.14	1.21	0.36	0.04	0.77	0.17	0.29	1.2	0.17	0.1
Heliobacteriaceae	0.09	0.05	0.06	0.11	0.05	0.05	0.01	0.05	0.11	0.1	0.06	0.11	0.05	0.03	0.03	0.11	0.08	0.06	0.04	0.09	0.03	0.11	0.02	0.14	0.11	0.04	0.11	0.08	0.09	0.07	0.17	0.07	0.03	0.1	0.1	0.07	0.08	0.15	0.18	0.05	0.13	0.07	0.12	0.1	0.05	0.1
Helicobacteraceae	0	0	0	0.02	0.01	0.02	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0.01	0	0	0.01	0	0	0.1
Bifidobacteriaceae	0.1	0.03	0.04	0.04	0	0.03	0.01	0.04	0.11	0.06	0.04	0.02	0.02	0	0.01	0.31	0.39	0.02	0.11	0.07	0.08	0.02	0.02	0.02	0.01	0.03	0.3	0.02	0.03	0.04	0.33	0.15	0.18	0.07	0.2	0.03	0.2	1.43	0.39	0.1	0.93	0.02	0.45	1.01	0.04	0.1
Acetobacteraceae	0	0	0.06	0.11	0.1	0.02	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.04	0.14	0.07	0.11	0	0	0	0	0	0	0	0	0.1
Clostridiaceae_4	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0.01	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.01	0.05	0.03	0	0	0	0.02	0.01	0.04	0	0.01	0	0.03	0.03	0.02	0	0.1
Acholeplasmataceae	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0.02	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0.02	0	0	0.01	0	0.01	0.01	0.1
Bogoriellaceae	0	0	0	0	0	0.04	0.06	0	0	0	0	0	0	0	0	0	0	0.05	0.08	0.11	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Burkholderiaceae	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0.03	0.05	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Rhodospirillaceae	0	0	0	0.03	0	0.01	0	0.02	0	0	0	0	0	0	0	0.02	0	0.01	0	0	0	0	0	0	0	0.03	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Carnobacteriaceae	0	0	0	0	0	0.03	0.04	0	0	0	0	0	0	0	0	0	0	0.01	0.03	0.07	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Tepidanaerobacteraceae	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0	0.02	0	0.01	0	0	0	0	0	0.1
Akkermansiaceae	1.6	0.08	0.28	0.18	0.11	0.13	0.05	1.9	12.8	1.2	3.74	0.16	0.06	0.05	0.12	15.8	0.09	0.16	0.11	0.27	0.03	0.05	0.14	0.08	0.1	0.1	0.19	0.16	0.22	0.08	4.65	1.16	0.4	0.96	0.36	0.19	1.01	3.71	4.86	2.39	2.46	0.6	0.43	1.85	2.2	0.1
Veillonellaceae	0.16	0.05	0.01	0	0.17	0	0	0.32	0.14	0.01	0.19	0.17	0.04	0.17	0	0.27	0.04	0.18	0.01	0	0	0.01	0.1	0.08	0.06	0.1	0.29	0	0	0	0.21	0.12	0.05	0.11	0.16	0.04	0.27	0.16	0.14	0.19	0.36	0.27	0.03	0.07	0.09	0.1
Streptococcaceae	0.02	0.03	0	0	0	0	0	0	0	0.02	0	0	0.03	0	0	0.02	0.02	0	0	0	0	0	0.02	0	0	0.01	0.01	0.02	0	0	0.01	0	0	0.01	0	0	0	0.07	0.03	0	0.01	0	0.01	0.04	0	0.1
Bacillales_incertae_sedis	0.01	0	0	0.01	0	0	0	0	0.02	0.01	0.02	0	0	0	0.02	0	0	0	0	0.01	0.01	0.02	0	0	0.02	0.02	0	0	0.01	0	0	0.01	0.02	0	0	0	0	0.01	0	0	0.01	0	0.01	0	0	0.1
Bacillaceae_2	0.05	0.01	0.05	0.02	0.01	0.01	0	0.03	0.02	0.04	0.04	0.01	0	0.01	0	0	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0.02	0.03	0.01	0.03	0.02	0.02	0	0	0.01	0.04	0.01	0.02	0	0.02	0.02	0.01	0.1
Clostridiaceae_3	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.01	0	0.01	0	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0.01	0	0	0.01	0.01	0.02	0	0	0.01	0	0	0	0.1
Iamiaceae	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.02	0	0	0	0	0	0.1
Natranaerobiaceae	0	0	0.02	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0.03	0	0.01	0	0	0.1
Halanaerobiaceae	0.02	0	0.01	0.02	0.01	0.04	0	0.01	0	0.02	0.01	0.01	0.02	0.04	0.02	0	0.01	0.01	0.03	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0	0.01	0.02	0.02	0.01	0.02	0.01	0	0	0.01	0.02	0.02	0.02	0.02	0.04	0	0.01	0.1
Morganellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.1
Marinilabiliaceae	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.01	0.01	0	0	0	0	0	0	0.01	0.02	0	0	0	0	0	0	0.01	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0.01	0	0.01	0	0.1
Kiloniellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0.03	0	0.03	0.01	0	0.01	0.01	0.01	0.02	0	0	0.03	0	0.02	0.02	0.1
Moraxellaceae	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0.03	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.1
Planococcaceae	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0.01	0	0	0.1
Coriobacteriaceae	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.1
Clostridiales_Incertae_Sedis_XI	0.02	0	0.02	0.03	0	0.01	0.01	0.03	0.04	0.02	0.01	0.03	0	0.03	0	0.04	0.01	0.01	0.01	0.03	0.01	0.04	0.01	0.02	0.04	0	0.03	0.02	0.02	0	0.02	0.02	0.03	0.03	0.01	0.02	0.02	0.04	0.03	0.06	0.01	0.02	0.02	0.03	0.01	0.1
Deferribacteraceae	20.9	0.18	0.2	0.76	3.08	1.88	1.58	0.81	0.1	0.14	8.71	1.96	0.96	0.66	3.82	0.1	0.12	0.08	0.1	0.03	0.05	0	0.03	0.11	0.08	0.15	0.03	0.15	2.12	0.53	0.12	0.23	0.02	0.02	0.06	0.06	0.03	0.15	0.2	1.09	0.09	0.07	0.38	0.02	0.19	0.1
Erythrobacteraceae	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.01	0	0	0	0	0	0	0	0	0	0.1
Defluviitaleaceae	0.01	0.01	0	0.01	0.01	0.02	0	0	0.01	0.01	0	0.03	0	0	0	0.01	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0.01	0.01	0.01	0	0	0.01	0.01	0	0	0.1
Petrotogaceae	0.03	0	0.02	0.02	0.01	0	0	0.03	0	0	0.02	0.02	0.01	0	0	0.02	0.02	0.01	0.02	0.01	0	0.02	0.02	0.02	0.02	0.04	0.02	0.01	0.01	0.01	0	0.05	0.01	0	0	0.01	0.03	0.01	0	0.01	0.01	0	0	0.02	0.02	0.1
