Genus	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	All
Clostridium_IV	0.64	1.09	0.91	0.78	0.88	0.57	0.55	0.95	0.87	0.86	0.65	0.62	0.83	0.53	1.13	0.73	1.43	0.92	0.49	0.04	0.96	0.06	1.09	1.06	1.32	1.26	0.75	1.23	0.3	0.73	0.66	0.44	0.91	0.62	0.34	0.32	0.49	0.6	1.06	0.9	1.14	0.66	0.63	0.47	0.85	1.0
Lachnospiracea_incertae_sedis	2.61	1.22	1.1	2.35	0.89	2.72	1.9	1.98	1.55	2.69	0.98	2.37	2.33	1.36	1.42	5.33	6.14	2.09	1.86	0.14	2.16	0.27	4.1	2.82	2.97	3.93	9.91	5.02	4.7	1.36	0.91	2.39	1.32	0.65	1.76	0.25	1.18	1.71	0.97	4.07	6.18	1.22	2.59	0.66	1.63	0.9
Anaerocolumna	1.41	0.95	0.59	0.37	0.55	0.88	0.5	1.46	0.28	0.65	0.75	0.62	0.64	0.74	0.47	0.64	0.29	0.44	0.51	0.05	3.19	0.13	0.54	0.69	0.68	1.39	0.44	0.38	0.89	0.56	0.23	0.58	0.45	2.22	0.65	0.17	1.48	0.17	3.42	0.65	0.29	2.36	0.34	0.12	0.86	0.9
Parabacteroides	0.13	0.08	0.16	0.61	0.01	0.25	0.12	0.11	0.1	0.1	0.11	0.1	0.07	0.1	0.07	0.14	0.09	0.6	0.4	7.98	0.16	12.8	0.09	0.07	0.05	0.15	0.66	0.24	0.09	0.02	0.04	0.02	0.25	0.16	0.1	0.05	0.14	0.1	0.06	0.05	0.02	0.04	0.06	0.14	0.04	0.8
Anaerotignum	0.38	0.09	0.08	0.11	0.11	0.09	0.1	0.3	0.07	0.14	0.47	0.07	0.09	0.06	0.14	0.13	0.17	0.06	0.08	0.01	0.44	0.01	0.14	0.09	0.07	0.4	0.13	0.07	0.36	0.1	0.3	0.16	0.17	0.21	0.16	0.1	0.31	0.06	0.26	0.47	0.09	0.06	0.17	0.06	0.08	0.8
Clostridium_sensu_stricto	0.03	0.23	0.04	0.01	0.01	0.01	0.03	0.02	0.03	0.01	0	0.04	0.08	0	0.04	0.02	0.23	0.01	0.07	0.75	0	0.13	0.01	0.01	0.04	0	0.01	0.04	0.02	0.22	0.1	0.03	0.07	0.04	0.07	0.04	0.14	0.11	0.08	0.03	0.03	0.06	0.12	0.13	0.09	0.8
Intestinimonas	0.2	0.12	0.11	0.18	0.1	0.13	0.16	0.13	0.15	0.15	0.13	0.14	0.18	0.13	0.22	0.16	0.43	0.16	0.26	0.03	0.17	0.05	0.09	0.31	0.25	0.41	0.11	0.29	0.14	0.16	0.32	0.16	0.2	0.35	0.04	0.28	0.39	0.16	0.4	0.38	0.34	0.18	0.22	0.18	0.28	0.8
Acetivibrio	0.03	0.06	0.07	0.06	0.02	0.03	0.02	0.02	0.06	0.01	0	0.15	0.16	0.11	0.05	0.03	0.15	0.07	0.11	0.02	0.15	0.01	0.13	0.11	0.12	0.05	0.1	0.09	0.02	0.08	0.1	0.5	0.31	0.19	0.3	0.06	0.66	0.32	0.13	0.44	0.24	0.64	0.67	0.14	0.09	0.7
Alkaliphilus	0.12	0.13	0.1	0.09	0.04	0.04	0.02	0.07	0.07	0.11	0.13	0.14	0.03	0.07	0.07	0.1	0.01	0.05	0.03	0.04	0.04	0.16	0.02	0.11	0.08	0.05	0.09	0.16	0.03	0.02	0.51	0.24	11.1	1.67	5.32	4.36	0.31	0.31	0.3	0.07	0.3	4.68	1.16	9.69	3.57	0.7
Ruminococcus	0.02	0.11	0.04	0.03	0.03	0.01	0.03	0.06	0.25	0.03	0.06	0.04	0.04	0.04	0.02	0.01	0.27	0.08	0.11	0.05	0.57	0.04	0.26	0.14	0.05	0.26	0.01	0.08	0.03	0.06	0.13	0.12	0.03	0.01	0.01	0.02	0.02	0.08	0.18	0.02	0.22	0.26	0.18	0.12	0.06	0.6
Christensenella	0	0	0	0.01	0	0	0.01	0.02	0.01	0	0.02	0.02	0.01	0.01	0.02	0	0	0.03	0	0	0.03	0.02	0.02	0.02	0.01	0.03	0	0.04	0.02	0.01	0.15	0.08	0.19	0.14	0.08	0.05	0.31	0.09	0.09	0.05	0.14	0.07	0.11	0.06	0.03	0.6
Anaerotruncus	0.29	0.32	0.18	0.22	0.15	0.23	0.37	0.24	0.07	0.17	0.28	0.05	0.17	0.08	0.17	0.11	0.03	0.09	0.09	0.01	0.04	0.01	0.22	0.3	0.07	0.28	0.04	0.09	0.07	0.05	0.21	0.05	0.09	0.05	0.17	0.1	0.03	0.1	0.17	0.23	0.08	0.06	0.04	0.07	0.07	0.6
Harryflintia	0.26	0.29	0.26	0.14	0.27	0.27	0.4	0.08	0.13	0.15	0.17	0.28	0.23	0.1	0.2	0.16	0.19	0.17	0.26	0	0.19	0.01	0.16	0.19	0.18	0.16	0.32	0.19	0.3	0.17	0.35	0.16	0.06	0.11	0.08	0.21	0.21	0.13	0.25	0.12	0.21	0.08	0.11	0.13	0.16	0.6
Allobaculum	0.11	0.71	0.06	0.08	0.07	0.07	0.07	0.13	0.13	0.21	0.23	0.42	0.29	0.36	0.42	0.19	0.39	0.15	0.12	0.2	0.1	0.19	0.14	0.14	0.13	0.26	0.72	0.47	0.34	0.51	0.13	0.21	0.13	0.09	0.1	0.09	0.14	0.14	0.19	0.09	0.11	0.44	0.36	0.48	0.43	0.5
Butyricimonas	0.01	0.09	0.05	0.05	0.02	0.09	0.03	0.02	0.05	0.08	0.02	0.04	0.02	0.07	0.09	0.12	0.09	0.17	0.01	0	0.07	0.01	0.06	0.06	0.02	0.03	0.22	0.22	0	0.02	0	0.02	0	0.01	0.01	0	0	0	0	0	0	0.01	0.01	0.02	0.01	0.5
Phocea	0.54	0.45	0.93	1.09	0.63	1.13	1.01	0.38	0.16	0.42	0.25	0.36	0.34	0.22	0.54	0.25	0.16	0.71	0.26	0.02	0.43	0.01	0.16	0.39	0.28	0.24	0.5	0.45	0.41	0.19	0.26	0.19	0.2	0.12	0.1	0.29	0.36	0.21	0.23	0.28	0.25	0.22	0.14	0.16	0.2	0.5
Aminipila	0.21	0.3	0.09	0.07	0.05	0.1	0.07	0.37	0.08	0.14	0.2	0.21	0.27	0.09	0.22	0.14	0.13	0.13	0.05	0.01	0.26	0	0.11	0.18	0.14	0.32	0.2	0.12	0.09	0.12	0.3	0.17	0.07	0.06	0.08	0.03	0.08	0.2	0.26	0.3	0.24	0.11	0.2	0.06	0.07	0.5
Dysosmobacter	0.15	0.17	0.21	0.12	0.15	0.11	0.08	0.1	0.08	0.1	0.19	0.19	0.15	0.24	0.18	0.08	0.18	0.33	0.31	0	0.38	0	0.19	0.19	0.21	0.26	0.04	0.21	0.18	0.16	0.33	0.36	0.88	0.2	0.85	0.55	0.49	0.24	0.42	0.56	0.77	0.43	0.11	0.14	0.34	0.5
Thermoclostridium	0.07	0.02	0.02	0.03	0.03	0.02	0	0.04	0.01	0.01	0.02	0.06	0.03	0.07	0.01	0.03	0.02	0.01	0.03	0.04	0.03	0.1	0	0.05	0.05	0	0.02	0.06	0.02	0.05	0.02	0.02	0.03	0.04	0.04	0	0.07	0.05	0.07	0.07	0.04	0.02	0.05	0.01	0	0.5
Merdimonas	0.36	0.19	0.89	0.39	0.57	0.32	0.37	0.14	0.07	0.54	0.11	0.14	0.24	0.29	0.48	0.3	0.22	0.13	0.22	0.06	0.18	0.09	0.39	0.37	0.59	0.27	0.4	0.1	0.59	0.15	0.34	0.89	0.9	0.43	0.69	0.31	0.5	0.38	0.12	0.94	0.57	0.62	0.66	0.08	0.61	0.4
Saccharibacteria_genera_incertae_sedis	0.01	0.01	0.03	0.08	0.01	0.02	0.02	0.01	0.02	0.04	0.01	0.01	0	0	0.01	0	0.02	0.03	0	0.02	0.02	0.03	0.15	0.04	0.01	0.04	0.01	0.03	0.01	0	0.38	0.14	0.24	0.18	0.24	0.08	0.36	0.71	0.53	0.25	1.02	0.25	0.17	0.17	0.16	0.4
Prevotella	0.06	0.15	0.15	0.27	0.04	0.16	0.1	0.16	1.17	0.75	0.03	0.53	0.21	0.16	0.06	1.08	0.74	2.26	0.33	0.06	0.89	0.12	0.33	0.52	0.3	0.26	0.53	0.57	0.12	0.16	0.92	0.08	4.67	3.31	2.79	2.04	4.01	0.35	0.53	0.63	0.56	0.25	0.99	0.89	0.8	0.4
Proteiniphilum	0.03	0	0.01	0.04	0.01	0.04	0.01	0.02	0.03	0.04	0.02	0.05	0.02	0.01	0.01	0.01	0	0	0.02	0.06	0.03	0.02	0.01	0.01	0.02	0.02	0.02	0.03	0.02	0.03	0.02	0.04	0.03	0	0.04	0	0.02	0.02	0.06	0.09	0.05	0.03	0.01	0.04	0.02	0.4
Faecalibaculum	3.74	3.29	0.47	0.69	0.1	0.36	0.35	5.11	7.69	2.4	4.47	2.96	1.41	0.27	0.56	1.75	0.83	0.09	0.02	0.09	0.04	0.03	0.37	0.74	2.14	1.36	0.64	0.22	0.15	0.1	0.29	0.28	0.03	0.03	0.04	0.1	0.06	0.53	0.42	0.5	0.98	0.05	0.26	0.65	0.12	0.4
Flavonifractor	0.46	0.58	0.24	0.17	0.48	0.05	0.13	0.46	0.26	0.18	0.61	0.27	0.19	0.22	0.26	0.22	0.56	0.31	0.04	0	0.1	0	0.42	0.25	0.42	0.22	1.08	0.05	0.09	0.32	0.19	0.03	0.16	0.27	0.04	0.24	0.25	0.03	0.13	0.03	0.14	0.04	0.04	0.03	0.08	0.4
Desulfovibrio	1.32	1.42	1.95	1.65	2.55	1.69	1.99	2.15	0.55	1.66	3	0.84	1.5	3.08	2.77	1.19	0.82	1.08	2.3	0.25	0.6	0.22	1.83	2.05	1.47	2.3	0.8	1.01	1.72	1.31	0.54	9.64	0.47	0.58	0.81	1.15	2.74	0.42	0.67	0.68	0.24	18.2	15.4	9.62	9.52	0.4
Anaerostipes	0.02	0.03	0.03	0.01	0	0.02	0	0.01	0.01	0.04	0.01	0	0.02	0.01	0.02	0.01	0.01	0	0.03	0.03	0.08	0.04	0.02	0	0.05	0.01	0	0.03	0.01	0.03	0.18	0.07	0.03	0.12	0.03	0.01	0.23	0.09	0.59	0.11	0.19	0.18	0.13	0.03	0.09	0.4
Stomatobaculum	0.06	0.08	0.22	0.13	0.12	0.05	0.4	0.04	0.03	0.09	0.02	0.03	0.05	0.12	0.04	0.03	0.03	0.04	0.06	0.03	0.16	0.01	0.22	0.13	0.12	0.08	0.06	0.01	0.07	0.12	0.31	1.44	0.65	0.35	0.59	0.13	1.13	0.22	0.38	0.69	0.27	1.09	0.59	0.11	0.38	0.4
Acutalibacter	0.1	0.36	0.32	0.17	0.2	0.3	0.5	0.34	0.13	0.11	0.4	0.13	0.3	0.3	0.39	0.09	0.14	0.12	0.1	0.04	0.13	0.01	0.27	0.26	0.4	0.24	0.56	0.17	0.11	0.17	0.08	0.2	0.23	0.19	0.12	0.07	0.16	0.01	0.26	0.28	0.12	0.15	0.2	0.15	0.22	0.4
Amedibacillus	0	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.01	0.01	0.03	0.02	0.02	0	0.02	0	0.04	0.02	0.04	0	0.03	0	0.01	0.03	0.06	0.05	0.01	0.01	0.01	0	0	0.12	0.04	0	0.09	0	0.04	0	0	0	0.01	0.11	0.05	0.06	0.29	0.4
