Genus	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	All
Lachnotalea	0.38	0.04	0	0.01	0	0.11	0.01	0	0	0.09	0.01	0.01	0.1	0.02	0.18	0.01	0.01	0.04	0	0	0.02	0.01	0.01	0.5	0.21	0	0	0	0.01	0.11	0	0	0	0.01	0	0.15	0	0	0	0	0.01	0.03	0	0.01	0	0.1
Lentilactobacillus	0	0	0.01	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.03	0.01	0.01	0	0	0	0	0	0	0	0	0.1
Longicatena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.02	0	0	0	0	0.01	0	0.01	0.01	0.1
Frisingicoccus	0.09	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Desulfotomaculum	0.03	0	0	0	0	0	0	0.01	0.01	0.01	0	0.01	0	0.01	0.02	0	0	0	0	0.01	0	0	0.01	0.01	0	0	0.01	0	0	0	0	0	0	0.01	0	0.02	0.02	0.01	0.01	0	0.03	0.01	0.01	0	0	0.1
Dethiobacter	0	0	0.02	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0.03	0	0.01	0	0	0.1
Dolosigranulum	0	0	0	0	0	0.03	0.04	0	0	0	0	0	0	0	0	0	0	0.01	0.03	0.07	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Cytobacillus	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0.1
Defluviitalea	0.01	0.01	0	0.01	0.01	0.02	0	0	0.01	0.01	0	0.03	0	0	0	0.01	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0.01	0.01	0.01	0	0	0.01	0.01	0	0	0.1
Defluviitoga	0.03	0	0.02	0.02	0.01	0	0	0.03	0	0	0.02	0.02	0.01	0	0	0.02	0.02	0.01	0.02	0.01	0	0.02	0.02	0.02	0.02	0.04	0.02	0.01	0.01	0.01	0	0.05	0.01	0	0	0.01	0.03	0.01	0	0.01	0.01	0	0	0.02	0.02	0.1
Eggerthella	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Ethanoligenens	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0.01	0	0	0	0.01	0	0	0.01	0	0.06	0.01	0.1
Extibacter	0.01	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0.01	0.01	0.02	0	0	0	0.01	0.01	0	0.01	0	0.02	0	0	0.01	0.1
Falcatimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0.01	0.01	0	0.02	0.01	0.18	0.04	0	0	0	0	0.1
Enhydrobacter	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0.03	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.1
Ercella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0.1
Erythrobacter	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.01	0	0	0	0	0	0	0	0	0	0.1
