z	module	p	roles	label	role_7
ASV_136	0.185917750097388	2	0.540816326530612	Peripherals		peripheral
ASV_222	1.83763668579018	2	0.408163265306122	Peripherals		peripheral
ASV_220	1.14217608128795	2	0.277777777777778	Peripherals		peripheral
ASV_168	1.05524350572518	2	0	Peripherals		ultra peripheral
ASV_246	1.05524350572518	2	0.611111111111111	Peripherals		peripheral
ASV_281	1.17115360647555	2	0.612244897959184	Peripherals		peripheral
ASV_385	1.40297380797629	2	0.312757201646091	Peripherals		peripheral
ASV_443	-0.161812552153727	2	0.48	Peripherals		peripheral
ASV_454	0.794445779036839	2	0.185	Peripherals		peripheral
ASV_422	1.7507041102274	2	0.359861591695502	Peripherals		peripheral
ASV_720	-0.0459024514033551	2	0.456747404844291	Peripherals		peripheral
ASV_126	-1.0890933581567	2	0.625	Connectors	ASV_126	non hub connector
ASV_121	-0.161812552153727	2	0.634958382877527	Connectors	ASV_121	non hub connector
ASV_120	-0.973183257406328	2	0.562906952320941	Peripherals		peripheral
ASV_156	-0.480565329217248	2	0.378698224852071	Peripherals		peripheral
ASV_182	-0.915228207031142	2	0.489795918367347	Peripherals		peripheral
ASV_228	-0.509542854404841	2	0	Peripherals		ultra peripheral
ASV_235	-0.944205732218735	2	0	Peripherals		ultra peripheral
ASV_243	-1.20500345890707	2	0.574628682736791	Peripherals		peripheral
ASV_232	0.939333404974803	2	0.433852505160443	Peripherals		peripheral
ASV_325	0.649558153098874	2	0.627885503231764	Connectors	ASV_325	non hub connector
ASV_329	-0.509542854404841	2	0.631001371742112	Connectors	ASV_329	non hub connector
ASV_1297	0.0410301241594236	2	0.237777777777778	Peripherals		peripheral
ASV_94	0.0989851745346094	2	0.563100137174211	Peripherals		peripheral
ASV_297	0.127962699722202	2	0	Peripherals		ultra peripheral
ASV_367	0.620580627911282	2	0.298676748582231	Peripherals		peripheral
ASV_247	-0.857273156655956	2	0	Peripherals		ultra peripheral
ASV_319	1.05524350572518	2	0.222486615110054	Peripherals		peripheral
ASV_376	0.678535678286467	2	0.521481481481481	Peripherals		peripheral
ASV_345	-0.538520379592434	2	0.347750865051903	Peripherals		peripheral
ASV_128	0.417737951598131	2	0.618036318867344	Peripherals		peripheral
ASV_155	0.0410301241594236	2	0.592345679012346	Peripherals		peripheral
ASV_195	0.475693001973317	2	0.503104769454353	Peripherals		peripheral
ASV_186	0.330805376035353	2	0.569692165411547	Peripherals		peripheral
ASV_318	-0.0459024514033551	2	0.477720082115687	Peripherals		peripheral
ASV_183	-1.20500345890707	2	0.394768133174792	Peripherals		peripheral
ASV_196	-1.0890933581567	2	0.576675849403122	Peripherals		peripheral
ASV_390	-0.770340581093177	2	0.11094674556213	Peripherals		peripheral
ASV_1652	-0.828295631468363	2	0.505679012345679	Peripherals		peripheral
ASV_1569	-0.538520379592434	2	0.60913872452334	Peripherals		peripheral
ASV_170	-0.19079007734132	2	0.144641683103222	Peripherals		peripheral
ASV_407	-0.741363055905584	2	0.546384222059898	Peripherals		peripheral
ASV_147	-0.132835026966134	2	0.56	Peripherals		peripheral
ASV_122	-1.23398098409466	2	0.444444444444444	Peripherals		peripheral
ASV_123	-0.335677703279284	2	0.5	Peripherals		peripheral
ASV_255	-0.248745127716505	2	0.446480633069554	Peripherals		peripheral
ASV_424	-0.59647542996762	2	0.42603550295858	Peripherals		peripheral
ASV_238	-0.364655228466877	2	0.473086419753086	Peripherals		peripheral
ASV_180	-1.03113830778151	2	0.442906574394464	Peripherals		peripheral
ASV_354	-1.37886861003263	2	0.568047337278107	Peripherals		peripheral
ASV_459	-1.37886861003263	2	0.48961937716263	Peripherals		peripheral
ASV_487	-1.14704840853189	2	0.277008310249307	Peripherals		peripheral
ASV_1242	-1.32091355965744	2	0.499540863177227	Peripherals		peripheral
ASV_324	-1.34989108484504	2	0.475308641975309	Peripherals		peripheral
ASV_320	-1.40784613522022	2	0.444444444444444	Peripherals		peripheral
ASV_278	-1.26295850928226	2	0.313253012048193	Peripherals		peripheral
ASV_415	-1.17602593371948	2	0.403077500469131	Peripherals		peripheral
ASV_411	-1.43682366040781	2	0.527089072543618	Peripherals		peripheral
ASV_353	-1.34989108484504	2	0.459183673469388	Peripherals		peripheral
ASV_218	-1.29193603446985	2	0.450443786982249	Peripherals		peripheral
ASV_1230	-1.37886861003263	2	0.112456747404844	Peripherals		peripheral
ASV_22	0.446715476785724	2	0.095	Peripherals		peripheral
ASV_41	-1.23398098409466	2	0.18	Peripherals		peripheral
