manhatten	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
H95	51.0	35.0	41.0	56.0	49.0	41.0	34.0	44.0	44.0	48.0	0	29.0	51.0	44.0	39.0	40.0	51.0	51.0	58.0	51.0	42.0	48.0	43.0	43.0	39.0	52.0	44.0	42.0	48.0	53.0	51.0	57.0	45.0	45.0	42.0	56.0	55.0	66.0	60.0	62.0	70.0	71.0	67.0	67.0	80.0	64.0	65.0
H96	46.0	36.0	34.0	47.0	52.0	50.0	31.0	47.0	39.0	41.0	29.0	0	52.0	43.0	38.0	39.0	44.0	50.0	49.0	50.0	43.0	49.0	34.0	42.0	36.0	49.0	33.0	33.0	47.0	46.0	46.0	42.0	40.0	46.0	37.0	49.0	50.0	55.0	55.0	55.0	61.0	62.0	60.0	58.0	69.0	61.0	60.0
L36	54.0	42.0	26.0	59.0	22.0	42.0	51.0	59.0	47.0	45.0	51.0	52.0	0	49.0	30.0	51.0	30.0	38.0	43.0	50.0	37.0	37.0	48.0	44.0	50.0	45.0	33.0	39.0	47.0	50.0	48.0	58.0	50.0	44.0	37.0	49.0	48.0	57.0	51.0	59.0	67.0	70.0	62.0	60.0	73.0	59.0	56.0
L37	53.0	49.0	37.0	54.0	45.0	51.0	46.0	48.0	48.0	50.0	44.0	43.0	49.0	0	37.0	42.0	37.0	61.0	52.0	59.0	30.0	54.0	53.0	51.0	47.0	64.0	44.0	46.0	58.0	51.0	53.0	59.0	53.0	57.0	50.0	52.0	53.0	60.0	56.0	58.0	68.0	67.0	65.0	61.0	74.0	58.0	63.0
L38	42.0	34.0	24.0	51.0	32.0	34.0	37.0	43.0	27.0	35.0	39.0	38.0	30.0	37.0	0	27.0	18.0	34.0	29.0	42.0	19.0	29.0	32.0	32.0	40.0	39.0	25.0	21.0	41.0	36.0	36.0	44.0	38.0	34.0	27.0	41.0	40.0	47.0	43.0	49.0	61.0	54.0	52.0	52.0	63.0	49.0	50.0
L39	39.0	45.0	47.0	52.0	51.0	43.0	40.0	44.0	36.0	44.0	40.0	39.0	51.0	42.0	27.0	0	43.0	45.0	36.0	47.0	42.0	40.0	43.0	49.0	49.0	54.0	38.0	32.0	52.0	41.0	43.0	47.0	45.0	45.0	48.0	52.0	55.0	62.0	56.0	60.0	68.0	67.0	67.0	63.0	70.0	58.0	63.0
L70	44.0	42.0	24.0	51.0	32.0	46.0	39.0	45.0	35.0	43.0	51.0	44.0	30.0	37.0	18.0	43.0	0	44.0	35.0	52.0	25.0	35.0	42.0	42.0	46.0	47.0	29.0	33.0	45.0	44.0	44.0	48.0	44.0	40.0	35.0	45.0	42.0	49.0	45.0	51.0	61.0	56.0	56.0	52.0	65.0	53.0	52.0
L73	54.0	48.0	38.0	57.0	50.0	38.0	49.0	57.0	43.0	51.0	51.0	50.0	38.0	61.0	34.0	45.0	44.0	0	33.0	30.0	51.0	27.0	36.0	40.0	56.0	45.0	29.0	31.0	35.0	50.0	44.0	50.0	50.0	40.0	47.0	45.0	46.0	55.0	55.0	57.0	63.0	64.0	58.0	58.0	67.0	55.0	56.0
L76	43.0	49.0	39.0	50.0	49.0	41.0	48.0	50.0	38.0	46.0	58.0	49.0	43.0	52.0	29.0	36.0	35.0	33.0	0	33.0	44.0	30.0	35.0	49.0	59.0	56.0	36.0	34.0	38.0	49.0	47.0	51.0	53.0	43.0	48.0	44.0	47.0	54.0	50.0	54.0	58.0	65.0	61.0	53.0	64.0	46.0	51.0
L77	54.0	50.0	40.0	49.0	60.0	34.0	55.0	55.0	47.0	51.0	51.0	50.0	50.0	59.0	42.0	47.0	52.0	30.0	33.0	0	51.0	33.0	34.0	54.0	64.0	53.0	43.0	39.0	39.0	60.0	60.0	66.0	62.0	60.0	55.0	43.0	44.0	53.0	55.0	53.0	71.0	66.0	56.0	56.0	69.0	61.0	54.0
L91	45.0	43.0	23.0	50.0	35.0	39.0	44.0	42.0	38.0	44.0	42.0	43.0	37.0	30.0	19.0	42.0	25.0	51.0	44.0	51.0	0	48.0	45.0	43.0	45.0	48.0	36.0	34.0	46.0	45.0	39.0	53.0	43.0	45.0	36.0	42.0	43.0	50.0	46.0	52.0	64.0	55.0	55.0	53.0	66.0	50.0	53.0
L92	45.0	49.0	39.0	54.0	47.0	37.0	42.0	50.0	40.0	46.0	48.0	49.0	37.0	54.0	29.0	40.0	35.0	27.0	30.0	33.0	48.0	0	31.0	43.0	55.0	50.0	30.0	30.0	36.0	41.0	49.0	51.0	53.0	41.0	46.0	46.0	45.0	54.0	50.0	56.0	60.0	65.0	59.0	55.0	68.0	52.0	53.0
L93	50.0	48.0	42.0	49.0	52.0	44.0	37.0	51.0	45.0	47.0	43.0	34.0	48.0	53.0	32.0	43.0	42.0	36.0	35.0	34.0	45.0	31.0	0	44.0	52.0	47.0	35.0	35.0	43.0	46.0	50.0	52.0	48.0	48.0	45.0	53.0	52.0	61.0	59.0	53.0	63.0	64.0	68.0	64.0	69.0	59.0	60.0
M30	42.0	32.0	36.0	53.0	40.0	44.0	37.0	53.0	35.0	37.0	43.0	42.0	44.0	51.0	32.0	49.0	42.0	40.0	49.0	54.0	43.0	43.0	44.0	0	36.0	39.0	25.0	29.0	39.0	34.0	34.0	42.0	30.0	26.0	35.0	51.0	52.0	61.0	59.0	57.0	67.0	70.0	62.0	60.0	75.0	57.0	60.0
M31	44.0	30.0	42.0	59.0	46.0	56.0	45.0	55.0	39.0	35.0	39.0	36.0	50.0	47.0	40.0	49.0	46.0	56.0	59.0	64.0	45.0	55.0	52.0	36.0	0	47.0	37.0	35.0	55.0	38.0	42.0	52.0	32.0	42.0	31.0	51.0	52.0	63.0	57.0	59.0	71.0	68.0	64.0	62.0	75.0	61.0	62.0
M32	51.0	39.0	41.0	58.0	47.0	55.0	48.0	62.0	50.0	48.0	52.0	49.0	45.0	64.0	39.0	54.0	47.0	45.0	56.0	53.0	48.0	50.0	47.0	39.0	47.0	0	36.0	34.0	44.0	57.0	47.0	61.0	49.0	47.0	42.0	54.0	51.0	64.0	62.0	62.0	76.0	69.0	67.0	67.0	80.0	66.0	63.0
M33	37.0	31.0	23.0	42.0	37.0	33.0	32.0	42.0	26.0	32.0	44.0	33.0	33.0	44.0	25.0	38.0	29.0	29.0	36.0	43.0	36.0	30.0	35.0	25.0	37.0	36.0	0	20.0	28.0	31.0	35.0	37.0	35.0	29.0	34.0	36.0	35.0	42.0	40.0	46.0	54.0	55.0	49.0	47.0	58.0	46.0	45.0
M34	31.0	33.0	33.0	46.0	41.0	37.0	36.0	44.0	30.0	36.0	42.0	33.0	39.0	46.0	21.0	32.0	33.0	31.0	34.0	39.0	34.0	30.0	35.0	29.0	35.0	34.0	20.0	0	32.0	35.0	29.0	37.0	31.0	39.0	30.0	34.0	35.0	46.0	40.0	48.0	56.0	51.0	47.0	45.0	56.0	46.0	43.0
M35	53.0	53.0	37.0	56.0	55.0	39.0	48.0	52.0	46.0	54.0	48.0	47.0	47.0	58.0	41.0	52.0	45.0	35.0	38.0	39.0	46.0	36.0	43.0	39.0	55.0	44.0	28.0	32.0	0	55.0	49.0	49.0	53.0	41.0	52.0	44.0	43.0	50.0	46.0	52.0	54.0	61.0	55.0	51.0	68.0	52.0	53.0
M54	24.0	44.0	40.0	37.0	42.0	44.0	37.0	53.0	33.0	33.0	53.0	46.0	50.0	51.0	36.0	41.0	44.0	50.0	49.0	60.0	45.0	41.0	46.0	34.0	38.0	57.0	31.0	35.0	55.0	0	22.0	30.0	24.0	28.0	29.0	51.0	54.0	61.0	57.0	57.0	61.0	72.0	64.0	62.0	69.0	61.0	62.0
M55	26.0	42.0	42.0	41.0	38.0	48.0	37.0	49.0	39.0	37.0	51.0	46.0	48.0	53.0	36.0	43.0	44.0	44.0	47.0	60.0	39.0	49.0	50.0	34.0	42.0	47.0	35.0	29.0	49.0	22.0	0	34.0	24.0	26.0	29.0	51.0	54.0	63.0	57.0	59.0	63.0	72.0	66.0	64.0	69.0	59.0	62.0
M56	36.0	56.0	50.0	53.0	56.0	54.0	37.0	59.0	37.0	49.0	57.0	42.0	58.0	59.0	44.0	47.0	48.0	50.0	51.0	66.0	53.0	51.0	52.0	42.0	52.0	61.0	37.0	37.0	49.0	30.0	34.0	0	34.0	30.0	43.0	53.0	56.0	63.0	59.0	59.0	61.0	76.0	68.0	64.0	73.0	63.0	64.0
M57	30.0	38.0	44.0	45.0	44.0	52.0	41.0	55.0	33.0	35.0	45.0	40.0	50.0	53.0	38.0	45.0	44.0	50.0	53.0	62.0	43.0	53.0	48.0	30.0	32.0	49.0	35.0	31.0	53.0	24.0	24.0	34.0	0	34.0	25.0	49.0	52.0	65.0	59.0	57.0	61.0	70.0	66.0	60.0	69.0	59.0	60.0
M58	34.0	42.0	38.0	49.0	36.0	42.0	31.0	49.0	29.0	35.0	45.0	46.0	44.0	57.0	34.0	45.0	40.0	40.0	43.0	60.0	45.0	41.0	48.0	26.0	42.0	47.0	29.0	39.0	41.0	28.0	26.0	30.0	34.0	0	35.0	55.0	56.0	63.0	59.0	57.0	61.0	76.0	68.0	62.0	73.0	59.0	62.0
M59	35.0	25.0	29.0	44.0	35.0	45.0	44.0	56.0	34.0	28.0	42.0	37.0	37.0	50.0	27.0	48.0	35.0	47.0	48.0	55.0	36.0	46.0	45.0	35.0	31.0	42.0	34.0	30.0	52.0	29.0	29.0	43.0	25.0	35.0	0	46.0	45.0	56.0	52.0	52.0	64.0	63.0	57.0	57.0	68.0	58.0	55.0
N12	49.0	49.0	35.0	54.0	55.0	39.0	60.0	58.0	44.0	52.0	56.0	49.0	49.0	52.0	41.0	52.0	45.0	45.0	44.0	43.0	42.0	46.0	53.0	51.0	51.0	54.0	36.0	34.0	44.0	51.0	51.0	53.0	49.0	55.0	46.0	0	15.0	36.0	34.0	34.0	48.0	51.0	37.0	25.0	38.0	24.0	21.0
N13	52.0	50.0	32.0	55.0	54.0	44.0	59.0	61.0	47.0	55.0	55.0	50.0	48.0	53.0	40.0	55.0	42.0	46.0	47.0	44.0	43.0	45.0	52.0	52.0	52.0	51.0	35.0	35.0	43.0	54.0	54.0	56.0	52.0	56.0	45.0	15.0	0	33.0	31.0	37.0	51.0	52.0	42.0	32.0	49.0	37.0	22.0
N15	61.0	59.0	41.0	64.0	59.0	49.0	64.0	64.0	52.0	60.0	66.0	55.0	57.0	60.0	47.0	62.0	49.0	55.0	54.0	53.0	50.0	54.0	61.0	61.0	63.0	64.0	42.0	46.0	50.0	61.0	63.0	63.0	65.0	63.0	56.0	36.0	33.0	0	26.0	34.0	42.0	43.0	27.0	41.0	50.0	42.0	41.0
N16	57.0	55.0	41.0	62.0	57.0	49.0	64.0	62.0	50.0	58.0	60.0	55.0	51.0	56.0	43.0	56.0	45.0	55.0	50.0	55.0	46.0	50.0	59.0	59.0	57.0	62.0	40.0	40.0	46.0	57.0	57.0	59.0	59.0	59.0	52.0	34.0	31.0	26.0	0	40.0	40.0	45.0	31.0	37.0	50.0	44.0	37.0
N17	55.0	57.0	45.0	56.0	59.0	49.0	62.0	64.0	50.0	56.0	62.0	55.0	59.0	58.0	49.0	60.0	51.0	57.0	54.0	53.0	52.0	56.0	53.0	57.0	59.0	62.0	46.0	48.0	52.0	57.0	59.0	59.0	57.0	57.0	52.0	34.0	37.0	34.0	40.0	0	32.0	45.0	35.0	39.0	46.0	42.0	43.0
N51	61.0	71.0	57.0	62.0	69.0	61.0	66.0	72.0	62.0	68.0	70.0	61.0	67.0	68.0	61.0	68.0	61.0	63.0	58.0	71.0	64.0	60.0	63.0	67.0	71.0	76.0	54.0	56.0	54.0	61.0	63.0	61.0	61.0	61.0	64.0	48.0	51.0	42.0	40.0	32.0	0	47.0	51.0	37.0	36.0	42.0	43.0
N52	70.0	70.0	56.0	71.0	70.0	66.0	69.0	69.0	67.0	71.0	71.0	62.0	70.0	67.0	54.0	67.0	56.0	64.0	65.0	66.0	55.0	65.0	64.0	70.0	68.0	69.0	55.0	51.0	61.0	72.0	72.0	76.0	70.0	76.0	63.0	51.0	52.0	43.0	45.0	45.0	47.0	0	46.0	52.0	51.0	55.0	56.0
N53	64.0	62.0	48.0	65.0	64.0	52.0	71.0	69.0	55.0	63.0	67.0	60.0	62.0	65.0	52.0	67.0	56.0	58.0	61.0	56.0	55.0	59.0	68.0	62.0	64.0	67.0	49.0	47.0	55.0	64.0	66.0	68.0	66.0	68.0	57.0	37.0	42.0	27.0	31.0	35.0	51.0	46.0	0	42.0	55.0	53.0	52.0
N86	60.0	60.0	48.0	65.0	64.0	50.0	69.0	65.0	53.0	61.0	67.0	58.0	60.0	61.0	52.0	63.0	52.0	58.0	53.0	56.0	53.0	55.0	64.0	60.0	62.0	67.0	47.0	45.0	51.0	62.0	64.0	64.0	60.0	62.0	57.0	25.0	32.0	41.0	37.0	39.0	37.0	52.0	42.0	0	27.0	31.0	22.0
N87	69.0	71.0	61.0	72.0	71.0	63.0	74.0	68.0	68.0	72.0	80.0	69.0	73.0	74.0	63.0	70.0	65.0	67.0	64.0	69.0	66.0	68.0	69.0	75.0	75.0	80.0	58.0	56.0	68.0	69.0	69.0	73.0	69.0	73.0	68.0	38.0	49.0	50.0	50.0	46.0	36.0	51.0	55.0	27.0	0	38.0	35.0
N88	57.0	61.0	49.0	64.0	61.0	49.0	66.0	58.0	56.0	60.0	64.0	61.0	59.0	58.0	49.0	58.0	53.0	55.0	46.0	61.0	50.0	52.0	59.0	57.0	61.0	66.0	46.0	46.0	52.0	61.0	59.0	63.0	59.0	59.0	58.0	24.0	37.0	42.0	44.0	42.0	42.0	55.0	53.0	31.0	38.0	0	33.0
N90	60.0	58.0	44.0	65.0	64.0	52.0	69.0	69.0	55.0	63.0	65.0	60.0	56.0	63.0	50.0	63.0	52.0	56.0	51.0	54.0	53.0	53.0	60.0	60.0	62.0	63.0	45.0	43.0	53.0	62.0	62.0	64.0	60.0	62.0	55.0	21.0	22.0	41.0	37.0	43.0	43.0	56.0	52.0	22.0	35.0	33.0	0
