Species	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Phocea|Unassigned	0.139265903458043	0.102823895270101	0.0781135575843382	0.219948849104859	0.179439252336449	0.185499258002968	0.118257511765416	0.115830115830116	0.159671532846715	0.182288459169849	0.167249051757608	0.0813302006144948	0.102810143934202	0.0912804363204856	0.111296605453534	0.126499250374813	0.128195460372521	0.0725264303048899	0.06023660940173	0.0385536860077658	0.120328589610089	0.108329024792575	0.0785565238738186	0.0855515631492753	0.0602228244504667	0.19492696407422	0.082105771552765	0.0411400361118095	0.0336005376086017	0.108498242800198	0.138268969532311	0.130564085205155	0.203247284195772	0.219647049912899	0.230617744610282	0.034559823053706	0.00709454665846852	0.00464586866129294	0.00551465519618386	0.179098537361945	0.0981047937569677	0.0112035403187407	0.00406636304489265	0.0275855150968001	0.0370539898428475	0.0587291906665763	0.0498616339657451
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Pseudoflavonifractor|Unassigned	0.018883512333294	0.00752369965390982	0.017087340721574	0.0255754475703325	0.00996884735202492	0.0238499046003816	0.0217207674671172	0.0120656370656371	0.00506893755068938	0.00739007266904791	0.020906131469701	0.0180733779143322	0.0369062055148416	0.0593322836083156	0.0347801892042293	0.0374812593703148	0.0226227283010331	0.0139473904432481	0.0216851793846228	0.0302921818632446	0.0138840680319334	0.014772139744442	0.00981956548422732	0.00977732150277431	0.0138975748731846	0.00986971969996052	0.0193190050712388	0.0182844604941375	0.0216003456055297	0.00707597235653466	0.0169803997671259	0.0145071205783505	0.00467235136082233	0.0328208235502032	0.00259121061359867	0.0184319056286432	0.00236484888615617	0.00464586866129294	0.00551465519618386	0.013266558323107	0.00445930880713489	0	0.0081327260897853	0.0100310963988364	0.00653893938403191	0.00677644507691265	0.0174515718880108
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus|Unassigned	0.0613714150832055	0.00501579976927321	0.280720597568715	0.0690537084398977	0.0224299065420561	0.71814712741149	0.0772293954386388	0.202702702702703	0.0709651257096513	0.0344870057888903	0.020906131469701	0.300469907825773	0.384879000369062	0.629835010611351	0.345483212762011	0.107758620689655	0.894854586129754	0.0976317331027365	0.318049297641134	0.46264423209319	0.242971190558834	0.243740305783293	0.343684791947956	0.0977732150277432	0.00926504991545642	0	0.127988408596957	0.294836925467968	0.458407334517352	0.0448144915913862	0.111585484183971	0.0338499480161513	0.0303702838453452	0.143906687873968	0.00518242122719735	0.0391677994608668	0.0094593955446247	0.102209110548445	0.176468966277883	0.155882060296508	0.164994425863991	0.0504159314343332	0.081327260897853	0.0952954157889457	0.0283354039974716	0.131011271486978	0.117174839819501
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruthenibacterium|Unassigned	0.028325268499941	0.00250789988463661	0.00488209734902114	0.00767263427109974	0	0.026499894000424	0.0265476046820321	0.041023166023166	0.0126723438767234	0.0123167877817465	0.00597318041991458	0.0135550334357491	0.0052723150735488	0.00228201090801214	0.0139120756816917	0.0819902548725637	0	0.0278947808864961	0.0313230368888996	0.0110153388593617	0.00462802267731112	0.022158209616663	0.0392782619369093	0.0146659822541615	0.00926504991545642	0	0.0120743781695243	0.00457111512353439	0.00720011520184323	0.00707597235653466	0.00727731418591112	0.00725356028917527	0.0233617568041117	0.0530182534272514	0	0.0322558348501256	0.0307430355200303	0.00696880299193942	0.038602586373287	0.0364830353885443	0.020066889632107	0.0644203568327592	0.0325309043591412	0.102818738088073	0.178731009830206	0.0135528901538253	0.32659370247563
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Unassigned|Unassigned	1.35017113183052	0.165521392386016	0.368598349851096	0.447570332480818	0.448598130841121	1.2375450498198	2.43755279353204	1.00144787644788	0.587996755879968	0.512378371720655	0.887017292357316	0.709380083137538	0.448146781251648	0.387941854362064	0.526340196624003	0.393553223388306	0.713872759721489	0.555106139641273	0.530082162735224	0.418582876655743	0.381811870878167	0.999581456040574	1.06051307229655	0.689301165945589	1.15349871447432	0.143110935649428	0.147307413668196	0.102850090279524	0.499207987327797	1.16753543882822	0.570056277896371	0.369931574747939	0.292021960051396	1.52743063445177	0.564883913764511	0.168191138861369	0.144255782055527	0.543566633371275	0.780323710260016	0.461012901727969	0.356744704570792	0.361314175279388	1.23617436564736	0.203129702076437	0.488240807341049	0.189740462153554	0.316621375682481
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned|Unassigned|Unassigned	0.727015224831819	1.30912373978031	0.541912805741346	0.506393861892583	1.24859813084112	11.5804536781853	1.13913358271992	1.53716216216216	1.01885644768856	0.872028574947654	0.695875518920049	0.933038134827399	1.0808245900775	2.07891193719906	4.97588573548507	3.42250749625187	3.12947741497625	0.315211024017406	0.399971086427487	2.13697573871616	2.12889043156311	0.615505822685083	0.522891862035105	0.703967148199751	1.97113936951335	0.908014212396368	0.550591644530307	0.617100541677142	0.458407334517352	0.997712102271387	0.560353192315156	0.877680794990208	1.07931316434996	0.527657855537883	0.870646766169154	1.50680828514158	4.5972662346876	3.82354990824409	10.1249069401936	2.07621637756625	1.56075808249721	4.77270817578355	5.28627195836044	2.40495536162103	0.972122321759411	0.962255200921597	1.9371244795692
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae|Vallitalea|Unassigned	0	0.00250789988463661	0.00244104867451057	0.00255754475703325	0	0.0105999576001696	0.00482683721491493	0	0	0	0.00895977062987188	0.00451834447858305	0.0026361575367744	0.00228201090801214	0.0046373585605639	0.00468515742128936	0	0.00278947808864961	0	0.00275383471484042	0	0.00246202329074033	0.00245489137105683	0	0.0023162624788641	0	0.00241487563390485	0.00228555756176719	0	0	0.00242577139530371	0.00483570685945018	0.00233617568041117	0.00504935746926204	0.00518242122719735	0.359422159758542	0.5935770704252	1.43325048200887	1.53307414453911	0.24543132897748	0.30546265328874	0.305296473685685	0.841737150292778	0.190590831577891	0.0632097473789751	0.198775722256104	0.877564757797113
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Allobaculum|Unassigned	0	0	0	0	0	0	0	0	0	0	0	0.00225917223929152	0	0	0	0	0	0	0	0.00275383471484042	0.00231401133865556	0	0.00245489137105683	0	0	0	0	0	0	0	0.00242577139530371	0	0	0	0	0.133631315807663	0.165539422030932	0.00232293433064647	0	0	0.00222965440356745	0.00280088507968518	0.00406636304489265	0.180559735179055	0.135138080603326	0.243952022768855	0.184488045673257
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Amedibacillus|Unassigned	0.00236043904166175	0	0.0268515354196163	0.00255754475703325	0.0174454828660436	0.0211999152003392	0.0120670930372873	0.0434362934362934	0.00760340632603406	0.032023648232541	0.020906131469701	0.0429242725465389	0.0105446301470976	0.203098970813081	0.0370988684845112	0.508339580209895	0.0854636402483473	0.0195263466205473	0.0216851793846228	0.0247845124335637	0.0370241814184889	0.00246202329074033	0.0220940223395115	0.0904402239006624	0.00694878743659231	0.0419463087248322	0.0217338807051437	0.0274266907412063	0.0144002304036865	0.00943462980871288	0.00242577139530371	0.0193428274378007	0.00233617568041117	0.0176727511424171	0.00259121061359867	0.0391677994608668	0.0378375821784988	0.188157680782364	0.267460777014917	0.321714039335345	0.0668896321070234	0.285690278127888	0.231782693558881	0.0451399337947638	0.0610301009176312	0.0090352601025502	0.107202513026352
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Breznakia|Unassigned	0	0	0.00244104867451057	0	0	0	0	0	0	0	0	0	0	0.00228201090801214	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228555756176719	0	0	0	0	0.00233617568041117	0	0	0.271870608022487	0.0638509199262167	0	0	0.212264933169712	0.00445930880713489	0.00280088507968518	0.0406636304489265	0.0150466445982546	0	0.0338822253845633	0.0249308169828725
