Genus	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	All
Falcatimonas	0	0	0.05	0.02	0	0.31	0.01	0.04	0	0.03	0.08	0.01	0.03	0.02	0.24	0.07	0	0	0.01	0.03	0.01	0.4	0.02	0	0.01	0	0.03	0	0.17	0.01	0.02	0.01	0	0.02	0.02	0.03	0.01	0.03	0.28	0.14	0.54	0.68	0.67	0.14	0.22	0.64	0.03	0.2
Faecalicatena	1.3	1.15	0.97	1.37	0.96	1.1	1.52	1.78	0.85	0.59	1.94	2.8	0.46	2.64	1.59	2.11	0.93	0.58	1.98	2.01	1.46	0.87	2.29	0.57	0.47	0.11	0.42	0.45	0.71	1.44	0.41	0.62	0.34	0.55	0.5	0.14	0.03	0.14	0.15	0.19	0.28	0.55	0.22	0.46	0.36	0.14	0.28	0.2
Peptococcus	0	0.02	0.01	0	0.1	0	0.01	0	0	0.03	0.02	0.01	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0.03	0	0.01	0	0	0.01	0	0.01	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Marvinbryantia	1.21	0.35	0.41	1	0.69	1.49	2.11	2.43	0.7	1.78	1.53	0.63	0.35	3.45	1.96	1.96	0.51	0.19	0.23	0.25	4.64	1.16	0.41	0.94	0.77	0.23	1.18	0.73	2.37	3.29	3.84	4.04	2.73	6.06	1.46	0.2	0.16	0.42	0.2	0.22	2.38	0.32	0.1	0.19	0.31	1.12	0.2	0.2
Novosphingobium	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0.04	0.02	0	0.01	0.04	0	0	0	0	0.02	0.02	0	0.01	0.01	0	0	0	0.01	0	0	0.02	0	0	0	0.04	0.05	0	0	0.02	0	0	0	0.02	0.01	0.2
Parasutterella	0	0.04	0.01	0.04	0.01	0	0.01	0	0	0.04	0.02	0.05	0	0	0	0.02	0	0.01	0.02	0.05	0	0.01	0.01	0.08	0.01	0.02	0	0.02	0	0	0	0	0.03	0.01	0.02	0.52	0.68	0.11	2.74	0.06	0.02	0.3	0.35	0.1	0.1	0.47	0.19	0.2
Oribacterium	0	0.02	0.01	0	0.01	0	0.06	0.07	0.04	0.04	0.04	0.06	0	0.49	0.06	0.02	0.03	0	0.01	0.02	0.23	0.03	0	0.01	0.11	0.1	0.01	0.06	0	0.03	0.05	0.04	0.02	0.02	0.04	0	0.05	0.16	0.08	0.11	0.14	0.3	0.07	0.09	0.2	0.02	0.04	0.2
Ruthenibacterium	0.03	0.01	0	0.01	0	0.01	0.03	0.03	0.03	0.02	0	0.01	0.01	0.01	0.01	0.09	0.01	0.01	0.05	0.03	0	0.03	0.03	0.01	0.01	0	0.01	0.01	0	0.01	0	0.01	0.04	0.09	0	0.02	0.03	0.01	0.02	0.06	0.01	0.1	0.01	0.14	0.21	0.02	0.36	0.2
Schaedlerella	0.65	0.43	0.73	0.75	1.28	0.45	1.21	1.65	0.35	0.42	0.48	1.18	0.57	1.25	0.34	0.29	0.35	0.24	0.46	0.99	0.84	0.23	0.75	0.32	0.27	0.48	0.19	0.85	0.65	0.73	0.78	0.38	0.32	0.28	0.54	0.42	0.45	0.93	2.09	0.77	1.39	2.07	1.87	1.1	1.14	0.42	0.96	0.2
Ihubacter	0.04	0.07	0.07	0.09	0.07	0.19	0.09	0.07	0.07	0.05	0.1	0.05	0.07	0.18	0.21	0.15	0.07	0.1	0.05	0.19	0.06	0.16	0.2	0.09	0.04	0.05	0.07	0.03	0.08	0.07	0.04	0.07	0.04	0.09	0.09	0.03	0.02	0.08	0.07	0.05	0.02	0.03	0.06	0.03	0.01	0.01	0.06	0.2
Limosilactobacillus	0	0.03	0.07	0	0.01	0.05	0.05	0.05	0.1	0.2	0.06	0.02	0.06	0.21	0.18	0.09	0.07	0.01	0	0.14	0.01	0.02	0.26	0.28	0.08	0.08	0.02	0.09	0.62	0.01	0.01	0.02	0	0	0.19	0	0.02	0.07	0.14	0.03	0.04	0	0.05	0.03	0.03	0.03	0.03	0.2
Pseudoflavonifractor	0.01	0	0.01	0.02	0.01	0.05	0.05	0.01	0	0.01	0.01	0.03	0.04	0.06	0.05	0.02	0.04	0.02	0.02	0.06	0.02	0.01	0	0.02	0.01	0.03	0.02	0.01	0.05	0	0.02	0.01	0	0.04	0.01	0.01	0	0	0	0.03	0.03	0	0.01	0.03	0.02	0.03	0.04	0.2
Dysosmobacter	0.05	0.05	0.17	0.28	0.17	0.25	0.1	0.18	0.08	0.14	0.03	0.05	0.14	0.34	0.29	0.07	0.3	0.1	0.17	0.19	0.16	0.12	0.02	0.23	0.02	0.46	0.09	0.08	0.11	0.26	0.22	0.19	0.12	0.23	0.01	0.05	0.02	0.04	0.02	0.04	0.16	0.02	0	0.12	0.23	0.1	0.07	0.2
Enterococcus	0.14	0.25	0.29	0.15	0.26	0.44	0.56	0.42	0.47	0.33	0.6	0.36	0.57	0.35	0.1	0.09	0.03	0.06	0.08	0.07	0.06	0.07	0.44	0.38	0.26	0.34	0.32	0.32	0.4	0.19	0.35	0.17	0.19	0.24	0.21	0.32	0.35	0.35	0.26	0.17	0.15	0.1	0.2	0.12	0.13	0.17	0.13	0.2
Dorea	0.03	0.05	0.02	0.03	0.03	0.05	0.04	0.03	0.03	0.03	0.01	0.03	0.03	0.02	0	0.01	0	0	0	0.25	0.02	0.03	0.02	0.11	0.03	0.02	0.01	0.02	0.02	0	0.03	0	0.01	0.01	0.01	0.04	0.06	0.01	0.12	0.08	0.08	0.04	0.07	0.04	0.04	0.03	0.07	0.2
Anaerosporobacter	0.03	0.01	0.07	0.05	0.52	0.04	0.04	0.05	0.07	0	0.02	0.06	0.28	0.15	0.11	0.03	0.09	0.03	0.08	0.53	0.11	0.24	0.14	0.03	0.01	0.02	0.02	0.03	0.03	0.14	0.07	0.14	0.06	0.04	0.01	0.01	0	0.06	0.03	0.02	0.04	0.07	0.08	0	0.02	0.01	0.01	0.2
Anaeromassilibacillus	0.03	0	0.01	0.04	0.02	0.03	0.07	0.04	0.01	0.02	0.05	0.05	0	0.16	0.05	0.11	0.01	0.02	0.04	0.03	0.07	0.02	0.05	0.11	0.06	0.03	0.03	0.06	0.03	0.04	0.01	0.06	0.03	0	0	0.02	0.01	0.14	0.09	0.03	0.05	0.03	0.11	0.03	0.19	0.03	0.02	0.2
Enteroscipio	0.02	0	0.03	0	0.04	0.01	0.01	0.06	0	0	0	0	0.01	0.07	0.04	0.12	0.02	0.01	0.02	0.01	0	0.02	0.02	0	0	0.02	0	0.08	0.04	0.01	0.01	0.01	0	0	0	0.01	0.04	0.08	0.1	0.03	0.02	0.06	0.19	0.02	0.04	0.03	0.11	0.2
Megamonas	0	0.01	0	0.03	0.02	0	0	0	0	0	0.01	0.02	0.02	0	0	0	0	0.02	0	0.01	0.01	0	0	0	0	0.01	0.02	0.02	0.04	0	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0.01	0.01	0	0	0	0	0.1
Azospira	0.04	0.02	0	0.02	0	0.01	0	0	0.01	0	0	0.01	0.02	0	0.01	0	0.02	0.01	0	0.05	0.01	0	0	0	0.02	0	0.01	0.02	0.01	0	0	0	0	0	0	0.02	0.02	0	0	0	0.01	0	0	0	0	0	0.01	0.1
Ureaplasma	0	0.02	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0.09	0.04	0.06	0.16	0.04	0.11	0.05	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pseudolabrys	0	0.01	0.02	0.02	0.04	0.02	0.02	0	0	0.01	0	0	0.01	0.02	0.01	0	0	0	0	0	0.02	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0.03	0.03	0.01	0.02	0.01	0	0.01	0	0.01	0	0	0	0.1
Colidextribacter	0.15	0.14	0.38	0.15	0.11	0.49	0.54	0.7	0.29	0.15	0.75	0.65	0.23	0.34	0.73	1.48	0.36	0.64	1.21	0.81	0.23	0.68	1.05	0.44	0.02	0.64	0.42	1.23	0.74	0.18	0.27	0.43	0.24	0.48	0.18	0.09	0.06	0.14	0.19	0.41	0.12	0.14	0.18	0.23	0.22	0.16	0.13	0.1
Longibaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.03	0.02	0	0	0	0	0.03	0.02	0.01	0	0.11	0.1
Lactobacillus	0.41	1.44	0.08	0.02	0.52	0.25	0.04	0.49	1.15	0.93	0.25	0.14	0.2	0.58	0.2	0.07	0.01	0.1	0.01	0.54	0.33	0.05	0.2	0.03	0	0.01	0.02	0.01	0.02	0.31	0.05	0.08	0.24	0.02	0.33	0.07	0.01	0.95	1.23	1.35	0.12	0.2	0.71	0.24	0.13	0.46	0.33	0.1
Prevotella	0.28	0.19	0.68	0.97	0.06	0.2	0.6	0.14	0.29	0.25	0.39	0.61	0.37	0.39	0.31	0.12	0.74	0.68	0.21	1.4	0.36	0.81	0.72	0.46	0.21	0.91	1.02	0.48	1.61	0.19	0.17	0.1	0.15	0.2	0.03	0.33	0.59	0.7	0.36	0.33	0.14	0.74	0.45	0.3	0.15	0.11	0.43	0.1
Candidatus_Kuenenia	0.01	0	0.01	0	0.01	0	0	0	0	0.01	0	0	0.02	0.01	0	0.02	0	0	0	0	0.01	0	0.02	0	0	0	0	0.01	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.01	0	0.01	0	0.1
Ligilactobacillus	0.03	0.03	0.02	0.05	0.08	0.01	0.18	0.12	0.04	0.02	0.04	0.13	0.12	0.03	0.05	0.05	0.08	0.02	0.04	0.05	0.06	0.05	0.04	0.05	0.04	0.06	0.07	0.12	0.47	0	0.04	0.07	0.06	0.03	0.04	0.08	0.12	0.81	0.38	0.12	0.22	0.1	0.87	0.13	0.13	0.11	0.14	0.1
Citrobacter	0.05	0	0	0	0	0.01	0	0.02	0.01	0	0	0	0	0	0.01	0.02	0.04	0	0	0	0	0.04	0	0.02	0.04	0	0.01	0.01	0	0	0	0.01	0	0	0	0	0.01	0	0	0.02	0.01	0	0.01	0	0	0.01	0	0.1
Paenibacillus	0	0	0.01	0.02	0.01	0	0	0.01	0	0	0	0	0.01	0	0	0	0.01	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0.02	0	0	0.01	0	0	0.03	0	0	0	0.1
Vibrio	0	0	0.01	0	0.04	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.1
Agathobacter	0.05	0.11	0.03	0	0.01	0.07	0.22	0	0.07	0.24	0.06	0.02	0.03	0.05	0.22	0	0.02	0.1	0	0.04	0.01	0.02	0.23	0.03	0.07	0.11	0.04	0.02	0.02	0.04	0.15	0	0.06	0.07	0.01	0	0.05	0.1	0.19	0.03	0.13	0.25	0.05	0.02	0.06	0.02	0.31	0.1
Acetitomaculum	0	0	0	0	0	0	0.05	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0.02	0	0	0.01	0.08	0.01	0	0.05	0.1
Acidovorax	0	0.02	0.11	0	0	0	0	0	0.01	0.02	0.11	0	0	0.01	0	0	0	0.04	0.09	0	0	0	0.02	0	0	0	0.1	0	0	0	0	0	0	0.02	0.13	0	0	0	0	0	0	0	0.09	0	0	0	0	0.1
Olsenella	0	0.01	0.02	0	0.08	0.01	0	0.05	0	0	0.08	0.01	0.07	0.09	0.14	0.49	0.01	0.01	0	0	0.03	0	0.01	0	0.01	0	0.03	0.01	0.01	0	0.01	0	0.01	0	0.03	0.01	0	0.03	0.18	0.06	0	0.03	0.06	0	0	0.02	0	0.1
Mycobacterium	0.01	0.04	0.02	0.01	0.09	0.05	0.03	0.01	0.01	0	0.01	0	0.05	0.02	0.01	0	0.01	0.01	0	0	0.03	0.02	0.02	0.01	0	0.02	0	0	0.08	0.01	0.04	0.01	0	0	0	0	0.03	0.02	0.01	0.04	0	0	0	0	0.04	0.02	0.02	0.1
Monoglobus	0.02	0.01	0	0.03	0.01	0.01	0.04	0.01	0	0	0	0.01	0.01	0	0.02	0.02	0.01	0.01	0.03	0.05	0	0	0.07	0.01	0	0	0.01	0	0.03	0	0.01	0.02	0.01	0	0.01	0.02	0.07	0.03	0.14	0.05	0.01	0.04	0.06	0.06	0.01	0	0.13	0.1
Aminipila	0.14	0.03	0.03	0.13	0.12	0.02	0.07	0.12	0.02	0.1	0.07	0.07	0.08	0.22	0.12	0.09	0.06	0.03	0.04	0.05	0.06	0.09	0.08	0.15	0.01	0.1	0.1	0.03	0.08	0.09	0.11	0.02	0.03	0.05	0.05	0	0.01	0.06	0.01	0.02	0	0.06	0.05	0	0	0	0.08	0.1
Allobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.22	0	0	0	0	0.01	0.01	0.16	0.15	0.41	0.34	0.1
Niastella	0	0	0.01	0	0	0	0	0.01	0	0	0.02	0	0	0	0	0.01	0	0.04	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0.1
Gp16	0	0.02	0.02	0.02	0.04	0.02	0.01	0	0	0.01	0.01	0.02	0.02	0.02	0	0.02	0.01	0.01	0	0.02	0.05	0	0	0	0	0	0	0	0.03	0	0.01	0	0	0.01	0	0.01	0.05	0	0	0.01	0	0	0	0.02	0	0	0	0.1
Romboutsia	0.43	0.44	0.49	0.4	1.15	3.06	0.36	0.63	1.57	0.9	0.78	0.46	1.82	0.73	1.56	1.62	0.34	6.84	1.53	1.25	0.49	1.7	3.76	0.46	0.09	0.53	0.37	0.28	1.1	0.44	0.25	0.11	0.1	1.48	0.3	0.02	0.02	0.03	0.05	0.02	0.02	0.03	0	0.03	0.03	0.03	0	0.1
Haliangium	0.01	0	0	0.01	0	0	0	0	0.01	0	0	0.02	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.1
Haemophilus	0.02	0.01	0	0	0.03	0.01	0	0	0.01	0	0.01	0	0.03	0.01	0.01	0.01	0.03	0	0	0	0.03	0.02	0	0.01	0.01	0.01	0	0.01	0.02	0	0	0	0.01	0	0	0	0.02	0	0	0	0.03	0.01	0	0	0.01	0.02	0	0.1
Dialister	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0.02	0.04	0	0	0	0	0	0	0	0.04	0	0	0	0.01	0	0	0.01	0.02	0.01	0	0	0.01	0.01	0	0	0.05	0	0	0	0.01	0.1
Fusobacterium	0	0	0.04	0.02	0	0	0	0.01	0	0	0.03	0.02	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0.01	0.01	0.02	0.05	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0.02	0.02	0	0	0	0.1
Sporobacter	0.01	0.02	0.02	0	0.01	0.03	0	0.03	0	0.01	0.01	0.01	0.01	0.01	0.02	0	0	0.01	0.01	0	0	0.01	0	0.01	0	0	0	0	0	0.01	0	0	0	0.01	0.01	0	0.01	0.02	0.05	0.02	0.02	0.01	0	0	0.03	0.01	0	0.1
Devosia	0	0	0.01	0	0.02	0.01	0.01	0.01	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0.01	0	0.1
Curvibacter	0.02	0	0.06	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.04	0	0.01	0	0	0	0	0.01	0.01	0	0.01	0	0	0	0	0	0	0	0.05	0	0	0	0	0.1
Reyranella	0.01	0.02	0.01	0	0	0.07	0.08	0.13	0.01	0	0.01	0.01	0	0.03	0.03	0.15	0.05	0.01	0.02	0.01	0	0.07	0.07	0.11	0.06	0.01	0.01	0.01	0	0.04	0.08	0.09	0.04	0.01	0.01	0	0	0.07	0.06	0.11	0.02	0	0.01	0	0	0.01	0.08	0.1
Sphingomonas	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.02	0	0.01	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.03	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0.01	0.1
Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0.03	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.1
Pseudorhodoplanes	0	0.02	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.01	0	0.01	0	0	0	0	0	0.1
Pelomonas	0.01	0	0.02	0.02	0	0	0	0	0	0.01	0.04	0	0	0	0	0	0	0.01	0.03	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0.04	0.01	0	0	0	0.01	0.01	0.01	0.02	0	0	0	0	0.1
Spiroplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.07	0	0	0.01	0	0.23	0	0.01	0	0	0.01	0.1
Rothia	0.03	0.07	0.02	0.07	0.05	0.05	0.02	0	0.03	0	0.04	0.02	0	0.02	0.02	0.03	0.05	0.02	0.02	0.04	0.02	0.04	0.06	0.06	0.02	0.04	0.03	0	0.06	0	0	0.01	0	0.02	0.01	0.03	0.04	0.03	0.05	0.07	0.02	0.09	0.03	0.01	0.05	0.03	0.01	0.1
Vampirovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.04	0.21	0.05	0.01	0.06	0.07	0	0	0.06	0.02	0.1
Pelotomaculum	0.21	0.22	0.2	0.22	0.17	0.09	0.23	0.23	0.18	0.18	0	0	0.29	0.21	0.18	0.05	0.19	0.06	0.11	0.12	0.02	0.08	0.16	0.42	0.27	0.36	0.1	0.02	0.13	0.12	0.3	0.37	0.02	0.32	0.01	0.07	0.05	0	0.01	0.15	0.21	0.14	0.01	0.06	0.21	0.04	0.11	0.1
Siccibacter	0.02	0.04	0.09	0	0.02	0.02	0.06	0.06	0.09	0.09	0.14	0.06	0.08	0.13	0.15	0.15	0.17	0.22	0.25	0.24	0.16	0.16	0.09	0.03	0.01	0.04	0.06	0.05	0.03	0.01	0.07	0.04	0.09	0.06	0.13	0.11	0.14	0.08	0.07	0.05	0.07	0.03	0.08	0.07	0.04	0.01	0.05	0.1
Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0.1
