Family	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	All
Peptococcaceae_1	0.06	0.11	0.09	0.01	0.11	0	0.02	0.01	0.04	0.04	0.24	0.19	0.07	0.22	0.12	0.01	0.14	0.01	0	0.02	0.55	0	0	0.03	0	0.09	0.09	0.19	0.01	0	0.01	0	0.6	0.03	0.24	0.02	0.06	0.02	0.01	0.14	0.12	0	0.04	0.01	0.08	0.12	0.01	0.3
Staphylococcaceae	0.01	0.03	0.02	0.01	0.04	0.08	0.2	0.12	0.19	0.15	0.24	0.14	0.33	0.32	0.03	0.04	0.02	0.03	0.03	0.04	0.04	0.03	0.04	0.02	0.08	0.03	0.07	0.05	0.04	0.01	0.01	0	0.01	0.01	0.03	0.03	0.02	0	0.18	0.14	0.14	0.2	0.19	0.13	0.13	0.29	0.19	0.3
Erythrobacteraceae	0.01	0.01	0	0	0	0.01	0	0	0	0.02	0	0.01	0	0.04	0.02	0	0.01	0.05	0	0	0	0	0.02	0.02	0	0.04	0.01	0	0	0	0.01	0	0	0.02	0	0	0	0.04	0.06	0	0	0.03	0.02	0	0	0.02	0.01	0.3
Rhodospirillaceae	0.01	0.01	0.1	0.09	0.02	0.05	0.03	0	0.03	0.01	0.01	0.02	0.04	0.01	0	0.03	0.02	0.02	0.03	0.17	0.01	0.04	0.02	0.01	0.02	0.02	0.01	0.04	0.01	0.01	0.03	0	0.01	0.01	0.01	0.02	0.07	0.01	0.04	0	0	0.01	0.04	0.03	0	0.01	0.02	0.2
Selenomonadaceae	0.01	0.06	0	0.03	0.02	0	0	0	0.08	0.02	0.01	0.02	0.04	0	0	0	0	0.07	0.03	0.03	0.01	0.04	0.01	0	0	0.01	0.02	0.02	0.04	0	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0.01	0.01	0	0	0	0	0.2
Bradyrhizobiaceae	0	0.03	0.02	0.03	0.04	0.02	0.02	0	0.01	0.01	0.01	0	0.01	0.02	0.01	0	0	0	0	0	0.02	0.01	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0.03	0.05	0.01	0.02	0.02	0	0.02	0	0.01	0	0	0	0.2
Streptomycetaceae	0.01	0	0	0.02	0	0	0.01	0.02	0.04	0	0	0.02	0	0	0	0.01	0.01	0.02	0.01	0.07	0	0	0.03	0.05	0.02	0	0	0.01	0	0.01	0	0.04	0	0.01	0	0.05	0	0	0.01	0.09	0	0	0.01	0	0	0	0	0.2
Chitinophagaceae	0	0.04	0.01	0	0	0.01	0.01	0.03	0	0.01	0.02	0.01	0	0	0	0.01	0	0.05	0	0	0	0.02	0	0.01	0.01	0	0.01	0	0	0	0	0.01	0	0	0.02	0	0	0.02	0	0.01	0.01	0.02	0.01	0.01	0	0	0	0.2
Clostridiaceae_4	0	0	0.04	0.01	0	0.01	0	0.06	0.01	0	0.05	0.01	0.01	0.03	0	0.08	0	0	0.03	0	0.03	0.03	0.04	0.12	0.01	0	0.05	0	0	0.01	0.02	0.04	0.01	0	0.04	0.05	0.06	0.03	0	0.18	0	0	0.11	0.01	0	0	0.05	0.2
Prevotellaceae	0.4	2.16	2.9	1.21	0.86	0.89	1.22	1.43	4.77	1.49	2.65	1.33	6.65	0.65	0.85	0.49	1.88	1.83	0.41	3.41	0.99	1.91	1.61	2.26	3.48	4.73	6.18	2.51	3.05	0.49	0.36	0.32	0.48	0.9	1.38	0.55	0.67	1.48	0.74	0.85	0.39	1.48	2.44	0.41	0.33	0.59	0.63	0.2
