OTU	Group
ASV_97	CLMAT
ASV_97	DHMAT
ASV_105	ANC
ASV_96	BMD
ASV_96	CLMAT
ASV_96	DHMAT
ASV_137	BMD
ASV_137	CLMAT
ASV_137	DHMAT
ASV_143	ANC
ASV_143	BMD
ASV_143	CLMAT
ASV_143	DHMAT
ASV_115	ANC
ASV_115	BMD
ASV_115	CLMAT
ASV_115	DHMAT
ASV_129	CLMAT
ASV_129	DHMAT
ASV_1446	BMD
ASV_1446	CLMAT
ASV_1446	DHMAT
ASV_122	BMD
ASV_122	CLMAT
ASV_122	DHMAT
ASV_142	ANC
ASV_117	BMD
ASV_117	CLMAT
ASV_117	DHMAT
ASV_151	BMD
ASV_151	DHMAT
ASV_573	ANC
ASV_573	CLMAT
ASV_573	DHMAT
ASV_103	ANC
ASV_103	DHMAT
ASV_111	BMD
ASV_111	CLMAT
ASV_111	DHMAT
ASV_102	ANC
ASV_102	BMD
ASV_102	DHMAT
ASV_132	BMD
ASV_132	CLMAT
ASV_132	DHMAT
ASV_106	CLMAT
ASV_219	CLMAT
ASV_219	DHMAT
ASV_121	BMD
ASV_121	CLMAT
ASV_121	DHMAT
ASV_139	ANC
ASV_152	ANC
ASV_147	ANC
ASV_147	CLMAT
ASV_147	DHMAT
ASV_154	ANC
ASV_167	BMD
ASV_167	CLMAT
ASV_570	BMD
ASV_570	DHMAT
ASV_130	BMD
ASV_130	CLMAT
ASV_130	DHMAT
ASV_123	BMD
ASV_123	CLMAT
ASV_123	DHMAT
ASV_1343	BMD
ASV_1343	CLMAT
ASV_1343	DHMAT
ASV_170	BMD
ASV_170	CLMAT
ASV_170	DHMAT
ASV_125	ANC
ASV_125	BMD
ASV_125	CLMAT
ASV_126	BMD
ASV_126	CLMAT
ASV_126	DHMAT
ASV_1357	ANC
ASV_1357	DHMAT
ASV_128	ANC
ASV_128	CLMAT
ASV_128	DHMAT
ASV_136	BMD
ASV_136	CLMAT
ASV_136	DHMAT
ASV_160	BMD
ASV_160	CLMAT
ASV_160	DHMAT
ASV_202	ANC
ASV_202	BMD
ASV_202	DHMAT
ASV_150	BMD
ASV_150	CLMAT
ASV_150	DHMAT
ASV_145	BMD
ASV_145	CLMAT
ASV_145	DHMAT
ASV_453	BMD
ASV_453	DHMAT
ASV_1445	BMD
ASV_1445	CLMAT
ASV_1445	DHMAT
ASV_174	BMD
ASV_174	DHMAT
ASV_156	CLMAT
ASV_195	ANC
ASV_173	CLMAT
ASV_173	DHMAT
ASV_141	ANC
ASV_166	ANC
ASV_166	CLMAT
ASV_159	ANC
ASV_192	BMD
ASV_192	DHMAT
ASV_162	CLMAT
ASV_1200	BMD
ASV_1200	DHMAT
ASV_146	BMD
ASV_146	DHMAT
ASV_182	ANC
ASV_182	CLMAT
ASV_153	CLMAT
ASV_153	DHMAT
ASV_193	DHMAT
ASV_201	ANC
ASV_201	DHMAT
ASV_175	CLMAT
ASV_175	DHMAT
ASV_264	ANC
ASV_266	ANC
ASV_266	CLMAT
ASV_165	ANC
ASV_165	CLMAT
ASV_196	BMD
ASV_197	BMD
ASV_197	DHMAT
ASV_208	ANC
ASV_158	BMD
ASV_158	CLMAT
ASV_171	BMD
ASV_171	CLMAT
ASV_171	DHMAT
ASV_235	ANC
ASV_235	BMD
ASV_1368	BMD
ASV_1368	DHMAT
ASV_979	CLMAT
ASV_979	DHMAT
ASV_180	ANC
ASV_1427	BMD
ASV_191	ANC
ASV_194	BMD
ASV_194	DHMAT
ASV_161	ANC
ASV_190	ANC
ASV_190	BMD
ASV_184	BMD
ASV_144	BMD
ASV_144	CLMAT
ASV_231	CLMAT
ASV_209	ANC
ASV_209	BMD
ASV_181	DHMAT
ASV_176	ANC
ASV_178	BMD
ASV_185	BMD
ASV_185	DHMAT
ASV_203	BMD
ASV_203	CLMAT
ASV_203	DHMAT
ASV_1405	BMD
ASV_169	BMD
ASV_169	CLMAT
ASV_222	BMD
ASV_187	DHMAT
ASV_213	CLMAT
ASV_213	DHMAT
ASV_216	ANC
ASV_883	BMD
ASV_163	ANC
ASV_205	CLMAT
ASV_225	BMD
ASV_172	CLMAT
ASV_206	BMD
ASV_237	BMD
ASV_183	CLMAT
ASV_183	DHMAT
ASV_604	CLMAT
ASV_188	ANC
ASV_188	DHMAT
ASV_177	CLMAT
ASV_306	CLMAT
ASV_189	BMD
ASV_373	CLMAT
ASV_204	CLMAT
ASV_199	CLMAT
ASV_583	DHMAT
ASV_274	BMD
ASV_1309	BMD
ASV_1211	DHMAT
ASV_211	BMD
ASV_211	DHMAT
ASV_210	DHMAT
ASV_251	CLMAT
ASV_251	DHMAT
ASV_426	CLMAT
ASV_426	DHMAT
ASV_198	BMD
ASV_214	BMD
ASV_293	ANC
ASV_293	DHMAT
ASV_1356	CLMAT
ASV_1356	DHMAT
ASV_262	ANC
ASV_238	CLMAT
ASV_244	CLMAT
ASV_217	CLMAT
ASV_217	DHMAT
ASV_297	DHMAT
ASV_234	CLMAT
ASV_236	CLMAT
ASV_256	ANC
ASV_247	ANC
ASV_223	DHMAT
ASV_229	CLMAT
ASV_240	ANC
ASV_212	DHMAT
ASV_227	ANC
ASV_428	ANC
ASV_255	CLMAT
ASV_328	BMD
ASV_273	BMD
ASV_273	DHMAT
ASV_207	CLMAT
ASV_309	ANC
ASV_1467	BMD
ASV_284	ANC
ASV_241	BMD
ASV_224	ANC
ASV_472	DHMAT
ASV_338	ANC
ASV_221	ANC
ASV_315	ANC
ASV_315	CLMAT
ASV_323	BMD
ASV_292	DHMAT
ASV_277	ANC
ASV_250	CLMAT
ASV_250	DHMAT
ASV_994	DHMAT
ASV_310	ANC
ASV_313	DHMAT
ASV_265	ANC
ASV_326	DHMAT
ASV_307	BMD
ASV_335	ANC
ASV_354	ANC
ASV_339	ANC
ASV_242	ANC
ASV_300	BMD
ASV_336	DHMAT
ASV_402	ANC
ASV_1454	CLMAT
ASV_341	ANC
ASV_1128	BMD
ASV_332	ANC
ASV_267	CLMAT
ASV_407	ANC
ASV_280	CLMAT
ASV_282	CLMAT
ASV_246	ANC
ASV_337	ANC
ASV_350	ANC
ASV_380	ANC
ASV_311	CLMAT
ASV_308	ANC
ASV_321	ANC
ASV_357	ANC
ASV_431	ANC
ASV_359	ANC
ASV_348	DHMAT
ASV_466	ANC
ASV_393	ANC
ASV_355	DHMAT
ASV_423	ANC
ASV_445	ANC
ASV_409	ANC
ASV_390	BMD
ASV_442	CLMAT
ASV_415	ANC
ASV_424	ANC
ASV_422	ANC
