ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93
ASV_79	-3.404	12.7	0.00228244312654243	0.00955773059239641	Depleted	0.024	0.258	0.012	0.005	0.021	0.011	0.043	0.033	0.064	0.033	0.008	0.048	0.002	0.012	0.111	0.555	0.311	0.665	0.266	0.047	0.246	0.138	0.155	0.165	0.174
ASV_86	-3.938	12.042	0.000238974241423378	0.00285888354556883	Depleted	0.013	0.196	0.005	0.002	0.007	0.003	0.073	0.013	0.003	0.004	0.01	0.011	0	0.022	0.422	0.201	0.123	0.052	0.259	0.123	0.125	0.149	0.317	0.273	0.11
ASV_92	-0.911	13.964	0.304546304286487	0.361143405083091	NotSig	0.229	0.43	0.009	0.014	0.007	0.609	0.007	1.039	0.014	0.024	0.313	0.244	0.041	0.424	1.598	0.055	0.012	0.021	0.928	0.036	1.118	0.295	0.023	0.517	0.133
ASV_134	-6.574	14.51	0.0574086345706339	0.094972309042777	NotSig	0.005	0.505	0.002	0.014	0.002	0.006	0.01	0.002	0.003	0	0	0.015	0.009	0	2.333	0.705	0.292	0.009	0.55	0.025	0.022	0.03	1.56	0.02	0.007
ASV_113	0.735	12.559	0.103996882454666	0.151473720097014	NotSig	0.293	0.176	0.394	0.437	0.086	0.488	0.235	0.058	0.129	0.333	0.454	0.17	0.124	0.603	0.206	0.03	0.125	0.152	0.01	0.073	0.253	0.498	0.148	0.084	0.356
ASV_114	-0.647	12.839	0.242433481180621	0.298037490625718	NotSig	0.141	0.221	0.053	0.04	0.17	0.091	0.149	0.285	0.16	0.138	0.098	0.305	0.084	0.122	0.15	0.733	0.38	0.183	0.309	0.05	0.169	0.044	0.255	0.079	0.081
ASV_78	-0.398	12.427	0.712516343584024	0.740133256126041	NotSig	0.066	0.087	0.018	0.009	0.007	0.017	0.149	0.056	0.006	0	0	0.031	0.276	0.222	0.174	0.046	0.005	0.016	0.045	0.022	0.017	0.019	0.551	0.034	0.025
ASV_131	0.383	14.162	0.691727837025048	0.7287122221441	NotSig	0.363	0.278	1.083	0.116	0.023	0.102	0.05	0.076	0.014	0.659	0.303	0.44	1.385	0.102	0.024	0.073	0.028	0.012	0.073	0.611	1.834	0.039	0.088	0.214	0.066
ASV_109	0.503	13.519	0.327817671635276	0.379033422548713	NotSig	0.32	0.226	0.38	0.359	0.135	0.102	1.174	0.062	0.28	0.301	0.316	0.054	0.37	0.302	0.098	0.167	0.134	0.152	0.131	0.298	0.164	0.311	0.199	0.31	0.518
ASV_127	2.609	14.107	0.0382395337217679	0.0716433308440051	Enriched	0.604	0.099	1.765	1.298	0.06	0.157	0.03	0.054	0.05	0.008	1.246	1.576	0.029	0.972	0.003	0	0.009	0.002	0.008	0	0.027	1.008	0.025	0.007	0
ASV_104	-3.363	13.016	0.00331507335060516	0.0118547154843098	Depleted	0.028	0.291	0.012	0.002	0.042	0.069	0.066	0.018	0.031	0.053	0.005	0.002	0.029	0.01	0.385	0.078	0.121	0.073	0.153	0.828	0.282	0.457	0.093	0.355	0.373
ASV_552	1.134	14	0.226001866074728	0.280409722722348	NotSig	0.31	0.141	0.023	0.019	0.297	0.356	0.401	0.401	1.639	0.285	0.048	0.083	0.126	0.047	0.105	0.447	0.19	0.021	0.153	0.128	0.055	0.157	0.118	0.091	0.088
ASV_164	0.31	12.165	0.328118485191423	0.379033422548713	NotSig	0.21	0.169	0.203	0.255	0.353	0.163	0.269	0.109	0.459	0.089	0.15	0.161	0.147	0.157	0.221	0.189	0.139	0.155	0.096	0.365	0.019	0.16	0.162	0.214	0.14
ASV_112	-4.371	12.69	0.108202866363605	0.155775551738553	NotSig	0.005	0.112	0.009	0.007	0.007	0.003	0.017	0	0	0	0.008	0.002	0	0.012	0.092	0.267	0.141	0.661	0.01	0.014	0.002	0.008	0.019	0.01	0.005
ASV_133	-4.213	12.584	0.0267174988826894	0.0559397632856309	Depleted	0.009	0.173	0.012	0.009	0.009	0.008	0.01	0.004	0.006	0	0.01	0.011	0.02	0.012	0.008	0.614	0.049	0.136	0.03	0.268	0.012	0.416	0.007	0.357	0.012
ASV_98	-4.475	13.251	0.0543053986376335	0.0921129546511758	NotSig	0.01	0.23	0.009	0.005	0.002	0.008	0	0	0	0.008	0.05	0.009	0.025	0.007	0.169	0.025	0.049	0.012	0.023	0.017	0.072	0.642	0.002	0.975	0.54
ASV_275	2.05	13.801	0.0101037970556812	0.02820643344711	Enriched	0.49	0.118	0.088	0.142	0.293	0.728	0.219	0.816	0.543	0.858	0.514	1.428	0.102	0.15	0.016	0.007	0.028	0.152	0.04	0.056	0.34	0.317	0.009	0.187	0.15
ASV_110	-2.612	12.554	0.000794722836051705	0.00626428588417226	Depleted	0.056	0.344	0.032	0.002	0.016	0.052	0.056	0.051	0.176	0.041	0.115	0.041	0.045	0.045	0.024	0.424	0.408	0.387	0.138	0.142	0.583	0.57	0.361	0.143	0.601
ASV_87	-3.113	14.572	0.165232487685184	0.21289570528668	NotSig	0.041	0.358	0.005	0.002	0.005	0.063	0.033	0.009	0.174	0.012	0.15	0.017	0.016	0.01	0.011	0.112	0.093	2.436	0.043	0.245	0.137	0.281	0.035	0.13	0.415
ASV_124	3.469	13.463	0.000129744672954555	0.00248368373941577	Enriched	0.564	0.051	0.479	0.203	0.311	0.334	0.69	0.582	0.35	0.309	0.78	1.129	1.125	0.481	0.013	0.021	0.007	0.054	0.028	0.059	0.063	0.146	0.053	0.052	0.066
ASV_99	-2.649	11.854	0.153930044501488	0.200258504497082	NotSig	0.01	0.06	0.012	0.012	0.012	0.006	0.017	0.013	0.003	0.008	0.013	0.007	0.005	0.01	0.024	0.078	0.016	0.37	0.035	0.003	0.002	0.006	0.009	0.111	0.007
ASV_118	6.266	14.766	0.0224474563404178	0.0501326524935998	Enriched	0.764	0.01	0.12	0.35	1.345	2.705	0.391	0.346	0.49	2.785	0.171	0.028	0.305	0.135	0.008	0.005	0.002	0.009	0.015	0	0.002	0.019	0.014	0.015	0.02
ASV_97	-1.048	12.113	0.0384949240355848	0.0716433308440051	Depleted	0.101	0.209	0.129	0.033	0.028	0.041	0.335	0.096	0.05	0.069	0.148	0.098	0.106	0.08	0.443	0.078	0.097	0.117	0.158	0.427	0.108	0.132	0.113	0.323	0.304
ASV_105	8.133	15.327	0.0667793663984769	0.106528989254713	NotSig	0.741	0.003	0.355	0.523	2.504	0.008	4.109	0.138	0.017	0.439	0.283	0.011	0.215	0.289	0	0.009	0	0.007	0	0	0	0.006	0	0.005	0.002
ASV_96	-3.082	12.9	0.00635383622078904	0.0193503193996757	Depleted	0.028	0.241	0.104	0.035	0.007	0	0.02	0.029	0.003	0.004	0.035	0.026	0.063	0.015	0.258	0.025	0.079	0.145	0.111	0.764	0.289	0.394	0.1	0.261	0.223
ASV_137	-1.202	11.843	0.00336578891634143	0.0118547154843098	Depleted	0.088	0.203	0.014	0.021	0.107	0.058	0.083	0.163	0.109	0.053	0.12	0.144	0.095	0.09	0.179	0.367	0.285	0.248	0.299	0.092	0.183	0.069	0.268	0.145	0.091
ASV_143	1.057	12.715	0.0315117631608282	0.0630235263216565	Enriched	0.232	0.112	0.113	0.092	0.137	0.13	0.219	0.234	0.672	0.216	0.188	0.44	0.156	0.192	0.045	0.185	0.144	0.136	0.07	0.033	0.123	0.077	0.197	0.106	0.113
ASV_115	1.021	12.722	0.0618900967175865	0.101137475123861	NotSig	0.209	0.103	0.048	0.033	0.139	0.108	0.206	0.212	0.305	0.094	0.286	0.676	0.258	0.147	0.04	0.237	0.07	0.126	0.09	0.05	0.092	0.113	0.097	0.123	0.096
ASV_129	-1.784	12.66	0.00201591978644777	0.00931493970289661	Depleted	0.09	0.309	0.124	0.196	0.072	0.03	0.126	0.025	0.045	0.167	0.083	0.009	0.041	0.16	0.258	0.18	0.192	0.084	0.241	0.647	0.267	0.554	0.15	0.384	0.439
ASV_1446	-0.709	11.067	0.0324812741940944	0.0630795759711398	Depleted	0.07	0.114	0.046	0.028	0.072	0.039	0.05	0.091	0.151	0.028	0.09	0.089	0.095	0.055	0.079	0.215	0.125	0.197	0.096	0.053	0.125	0.066	0.062	0.101	0.133
ASV_122	-2.155	12.457	0.0140804766541617	0.0349404420677345	Depleted	0.051	0.229	0.012	0	0.002	0.003	0.007	0.007	0.008	0.004	0.008	0.002	0.562	0.002	0.19	0.021	0.012	0.279	0.297	0.354	0.345	0.204	0.002	0.431	0.385
ASV_103	6.457	14.033	0.063829281814238	0.103049683892866	NotSig	0.368	0.004	0	0.005	0.323	1.676	0.143	0.025	0.7	1.525	0.008	0.007	0.002	0.007	0.011	0.014	0.002	0	0	0.003	0.007	0	0.005	0.002	0.002
ASV_102	2.11	12.511	0.00150217245610078	0.00788455216460591	Enriched	0.28	0.065	0.472	0.312	0.29	0.281	0.584	0.042	0.092	0.525	0.308	0.068	0.14	0.242	0.084	0.002	0.037	0.007	0.065	0.106	0.082	0.061	0.074	0.103	0.091
