ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96
ASV_64	-2.352	13.443	0.000707168792169851	0.00434238760393367	Depleted	0.088	0.452	0.062	0.043	0.058	0.05	0.09	0.096	0.249	0.134	0.038	0.085	0.093	0.065	0.33	0.534	0.188	0.307	0.274	0.223	0.697	0.598	0.378	0.18	0.597	1.114
ASV_71	-0.463	12.748	0.394263056956389	0.447722454509798	NotSig	0.169	0.232	0.023	0.05	0.121	0.094	0.232	0.239	0.594	0.11	0.118	0.207	0.129	0.107	0.142	0.038	0.176	0.156	0.187	0.034	0.688	0.565	0.117	0.273	0.081	0.332
ASV_63	0.037	13.922	0.947989770733042	0.955117513370133	NotSig	0.467	0.455	0.104	0.028	0.915	1.175	1.25	0.198	0.193	0.565	0.253	0.148	0.481	0.289	0.406	1.552	0.076	0.038	0.446	0.212	0.034	0.386	1.049	0.82	0.284	0.154
ASV_82	-1.26	14.418	0.127955087246145	0.163295063723652	NotSig	0.224	0.537	0.168	0.118	0.123	0.097	0.153	0.192	0.468	0.122	0.326	0.294	0.219	0.411	1.185	0.91	0.112	0.059	0.117	0.342	0.06	0.391	2.19	0.158	0.869	0.052
ASV_100	2.809	14.776	0.00193387261028799	0.00809809155558096	Enriched	0.948	0.135	0.488	0.168	0.971	0.846	1.005	0.812	2.806	1.399	0.692	0.665	1.319	0.207	0.146	0.11	0.024	0.092	0.042	0.085	0.118	0.169	0.284	0.126	0.182	0.244
ASV_76	1.654	13.66	0.00634216675275107	0.0184038062377247	Enriched	0.557	0.177	0.265	0.206	0.177	0.43	0.491	0.994	0.95	0.146	0.958	1.295	0.479	0.289	0.347	0.098	0.117	0.105	0.092	0.103	0.292	0.145	0.243	0.18	0.161	0.239
ASV_148	1.853	14.008	0.0102459118303295	0.025524929634084	Enriched	0.687	0.19	0.108	0.106	0.302	0.347	0.597	1.588	0.613	0.317	1.648	1.375	0.4	0.845	0.248	0.261	0.076	0.253	0.12	0.106	0.232	0.169	0.22	0.192	0.155	0.251
ASV_59	-3.896	14.318	0.0128308142713469	0.0275965232518076	Depleted	0.035	0.518	0.016	0.009	0.012	0.039	0.05	0.123	0.006	0.016	0.01	0.113	0.007	0.017	0.994	0.033	0.19	0.043	0.137	0.753	2.042	0.524	0.388	0.227	0.633	0.255
ASV_90	5.484	14.691	0.00188580039297377	0.00809809155558096	Enriched	1.032	0.023	0.104	0.201	0.295	0.604	0.491	2.241	1.092	0.459	2.646	2.029	0.811	1.411	0.021	0.02	0.015	0.038	0.01	0.016	0.039	0.022	0.015	0.052	0.009	0.02
ASV_73	0.639	13.069	0.22050165998554	0.266191193135697	NotSig	0.351	0.225	0.859	0.596	0.128	0.044	0.103	0.107	0.081	0.045	0.697	0.183	0.741	0.628	0.276	0.313	0.31	0.217	0.097	0.453	0.212	0.154	0.129	0.172	0.308	0.061
ASV_74	7.398	16.221	0.10978204613943	0.142823244492074	NotSig	1.118	0.007	0.041	0.035	7.64	0.438	0.113	0.06	1.535	2.765	0.206	0.512	0.027	0.045	0	0.008	0.002	0.003	0	0.056	0.002	0	0	0	0.009	0
ASV_91	-0.45	13.093	0.551312343328625	0.600616699236063	NotSig	0.134	0.183	0.092	0.052	0.088	0.074	0.166	0.459	0.16	0.024	0.07	0.185	0.108	0.125	0.054	0.038	0.015	0.102	0.047	0.04	0.874	0.495	0.16	0.113	0.051	0.203
ASV_88	-0.931	12.169	0.0204851073865877	0.0391588994221647	Depleted	0.139	0.265	0.037	0.04	0.081	0.03	0.441	0.372	0.081	0.008	0.123	0.207	0.136	0.11	0.319	0.331	0.149	0.215	0.224	0.156	0.316	0.077	0.286	0.461	0.269	0.375
ASV_1277	-2.725	14.005	0.038423170336189	0.0598686607563876	Depleted	0.062	0.409	0.078	0.061	0.03	0.041	0.023	0.076	0.073	0	0.133	0.076	0.097	0.052	1.235	0.155	0.022	1.645	0.027	0.405	0.302	0.241	0.155	0.498	0.048	0.172
ASV_83	3.662	14.749	0.0247344724487481	0.0430444065991201	Enriched	0.629	0.05	0.309	0.147	0.546	0.314	0.358	0.787	1.479	0.224	0.306	0.251	2.753	0.072	0.017	0.008	0.01	0.013	0.005	0.048	0.408	0.041	0.033	0.01	0.003	0.002
ASV_70	-2.614	12.6	0.00123012097745373	0.00598248253305894	Depleted	0.042	0.256	0.037	0.017	0.039	0.025	0.06	0.114	0.003	0.008	0.035	0.061	0.079	0.025	0.621	0.158	0.063	0.519	0.364	0.159	0.265	0.212	0.17	0.057	0.311	0.176
ASV_72	8.753	15.525	0.0229506568389739	0.0413322337990467	Enriched	1.169	0.003	0	0.002	1.145	2.115	2.919	0.836	4.717	2.208	0.025	0.028	0.02	0.01	0	0.008	0.002	0	0	0	0	0.007	0	0.012	0.003	0
ASV_80	-4.164	13.617	0.00280920764663825	0.0107552521328436	Depleted	0.021	0.382	0.014	0.012	0.021	0.017	0.023	0.027	0.064	0.012	0.008	0.037	0.007	0.015	0.399	0.554	0.217	0.358	0.294	0.13	0.282	0.08	0.16	0.177	0.681	1.256
ASV_66	-2.209	12.124	1.27521331234593e-08	1.70878583854354e-06	Depleted	0.068	0.314	0.088	0.066	0.058	0.022	0.199	0.076	0.042	0.037	0.07	0.031	0.063	0.062	0.267	0.258	0.3	0.371	0.336	0.366	0.446	0.302	0.195	0.202	0.334	0.384
ASV_135	-1.113	12.756	0.0166517370742026	0.0333034741484051	Depleted	0.147	0.317	0.115	0.073	0.067	0.116	0.146	0.201	0.104	0.069	0.083	0.388	0.258	0.14	0.692	0.206	0.496	0.138	0.297	0.056	0.348	0.116	0.132	0.308	0.49	0.529
ASV_89	3.75	14.996	0.0538997371843474	0.0776619869107801	NotSig	0.783	0.058	0.544	0.078	0.056	0.16	0.561	3.269	3.165	0.691	0.075	0.619	0.117	0.067	0.009	0.248	0.002	0.005	0.002	0.005	0.022	0.005	0.228	0.094	0.012	0.066
