ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96
ASV_86	-0.894	12.906	0.0193026502212396	0.206429818100269	NotSig	0.196	0.364	0.422	0.201	0.123	0.052	0.259	0.123	0.125	0.149	0.317	0.273	0.11	0.486	0.564	0.117	0.384	0.396	0.276	0.355	0.767	0.476	0.18	0.272	0.093
ASV_92	4.162	13.964	0.0339022444188652	0.206429818100269	NotSig	0.43	0.024	1.598	0.055	0.012	0.021	0.928	0.036	1.118	0.295	0.023	0.517	0.133	0.017	0	0.007	0.013	0.007	0.18	0.031	0.005	0.01	0.007	0.006	0.005
ASV_134	0.78	14.51	0.485335882758026	0.660734088827385	NotSig	0.505	0.294	2.333	0.705	0.292	0.009	0.55	0.025	0.022	0.03	1.56	0.02	0.007	0.026	0.04	0.662	0.066	2.223	0.042	0.024	0.036	0.023	0.315	0.027	0.043
ASV_113	0	12.283	0.999887301033334	0.999887301033334	NotSig	0.176	0.176	0.206	0.03	0.125	0.152	0.01	0.073	0.253	0.498	0.148	0.084	0.356	0.019	0.038	0.134	0.253	0.12	0.082	0.348	0.405	0.15	0.062	0.182	0.319
ASV_114	-0.063	12.839	0.892917568274719	0.935444084529686	NotSig	0.221	0.231	0.15	0.733	0.38	0.183	0.309	0.05	0.169	0.044	0.255	0.079	0.081	0.09	0.434	0.124	0.092	0.381	0.048	0.164	0.229	0.383	0.222	0.236	0.368
ASV_78	-1.647	13.946	0.20340688200266	0.485934614079293	NotSig	0.087	0.272	0.174	0.046	0.005	0.016	0.045	0.022	0.017	0.019	0.551	0.034	0.025	0.571	0.113	0.027	0.051	0.479	0.082	0.053	1.578	0.165	0.062	0.072	0.007
ASV_131	1.978	14.162	0.24099127632422	0.485934614079293	NotSig	0.278	0.071	0.024	0.073	0.028	0.012	0.073	0.611	1.834	0.039	0.088	0.214	0.066	0.007	0.015	0.044	0.005	0.057	0.366	0.041	0.265	0.008	0.002	0.021	0.016
ASV_109	1.95	12.339	0.00109002429407109	0.100642801360232	Enriched	0.226	0.058	0.098	0.167	0.134	0.152	0.131	0.298	0.164	0.311	0.199	0.31	0.518	0.024	0.058	0.068	0.041	0.045	0.042	0.056	0.024	0.053	0.086	0.078	0.127
ASV_127	4.123	13.299	0.329189857818407	0.544777736237776	NotSig	0.099	0.006	0.003	0	0.009	0.002	0.008	0	0.027	1.008	0.025	0.007	0	0	0	0	0	0.007	0.037	0.005	0	0	0	0.003	0.016
ASV_104	0.049	13.016	0.906909114757567	0.937413870568902	NotSig	0.291	0.281	0.385	0.078	0.121	0.073	0.153	0.828	0.282	0.457	0.093	0.355	0.373	0.104	0.293	0.171	0.246	0.416	0.681	0.261	0.212	0.203	0.239	0.367	0.178
ASV_552	-0.2	12.251	0.654735582879578	0.777313071132301	NotSig	0.141	0.162	0.105	0.447	0.19	0.021	0.153	0.128	0.055	0.157	0.118	0.091	0.088	0.057	0.128	0.171	0.123	0.167	0.151	0.154	0.487	0.144	0.177	0.125	0.063
ASV_164	-0.121	12.156	0.738281357281708	0.848965988598239	NotSig	0.169	0.184	0.221	0.189	0.139	0.155	0.096	0.365	0.019	0.16	0.162	0.214	0.14	0.087	0.456	0.066	0.194	0.232	0.27	0.104	0.145	0.109	0.335	0.042	0.167
ASV_112	-2.289	13.993	0.0257381083359643	0.206429818100269	NotSig	0.112	0.546	0.092	0.267	0.141	0.661	0.01	0.014	0.002	0.008	0.019	0.01	0.005	0.274	0.808	0.01	0.015	0.237	0.331	0.888	0.516	0.025	0.264	1.631	1.557
ASV_133	-0.924	14.506	0.453597367392655	0.646482229227849	NotSig	0.173	0.329	0.008	0.614	0.049	0.136	0.03	0.268	0.012	0.416	0.007	0.357	0.012	0.64	0.013	0.01	2.327	0.01	0.019	0.48	0.005	0.22	0.2	0.003	0.025
ASV_98	-0.177	13.251	0.820712865572778	0.906972472121503	NotSig	0.23	0.259	0.169	0.025	0.049	0.012	0.023	0.017	0.072	0.642	0.002	0.975	0.54	0.25	0.003	0.01	0.673	0.032	0.003	0.714	0.347	0.01	0.096	0.681	0.294
ASV_275	0.898	11.73	0.193129007924325	0.471234779335352	NotSig	0.118	0.063	0.016	0.007	0.028	0.152	0.04	0.056	0.34	0.317	0.009	0.187	0.15	0.083	0.028	0.032	0.113	0.072	0.199	0.113	0.029	0.033	0.02	0.012	0.029
ASV_110	0.541	12.663	0.217718568771342	0.485934614079293	NotSig	0.344	0.236	0.024	0.424	0.408	0.387	0.138	0.142	0.583	0.57	0.361	0.143	0.601	0.014	0.238	0.186	0.368	0.017	0.334	0.106	0.456	0.015	0.091	0.361	0.648
ASV_87	0.568	14.572	0.620063622209578	0.765665606372151	NotSig	0.358	0.241	0.011	0.112	0.093	2.436	0.043	0.245	0.137	0.281	0.035	0.13	0.415	0.05	0.035	0.173	0.051	0.037	0.185	0.311	0.492	0.058	0.025	1.111	0.368
ASV_124	-0.147	11.488	0.833065873014736	0.908299973822439	NotSig	0.051	0.056	0.013	0.021	0.007	0.054	0.028	0.059	0.063	0.146	0.053	0.052	0.066	0.017	0.005	0.022	0.038	0.025	0.095	0.101	0.287	0.02	0.002	0.03	0.034
ASV_99	-2.597	13.626	0.0356057286353688	0.206429818100269	NotSig	0.06	0.364	0.024	0.078	0.016	0.37	0.035	0.003	0.002	0.006	0.009	0.111	0.007	0.014	0.033	0.027	0.307	0.027	0.122	0.893	1.264	0.038	0.153	0.774	0.712
ASV_118	0.175	7.668	0.673172459953121	0.792795373912472	NotSig	0.01	0.009	0.008	0.005	0.002	0.009	0.015	0	0.002	0.019	0.014	0.015	0.02	0.012	0.003	0.005	0.01	0.01	0.016	0.007	0.01	0.008	0.002	0.003	0.02
ASV_97	0.323	12.113	0.450148575330663	0.646482229227849	NotSig	0.209	0.167	0.443	0.078	0.097	0.117	0.158	0.427	0.108	0.132	0.113	0.323	0.304	0.078	0.075	0.071	0.189	0.085	0.4	0.142	0.116	0.073	0.394	0.266	0.117
ASV_105	-0.355	7.535	0.705235041987188	0.827294953100355	NotSig	0.003	0.003	0	0.009	0	0.007	0	0	0	0.006	0	0.005	0.002	0	0	0.002	0.005	0.002	0.019	0	0.01	0	0	0	0.002
ASV_96	0.099	12.9	0.834839684176369	0.908299973822439	NotSig	0.241	0.225	0.258	0.025	0.079	0.145	0.111	0.764	0.289	0.394	0.1	0.261	0.223	0.073	0.15	0.161	0.176	0.127	0.257	0.471	0.092	0.578	0.217	0.242	0.154
ASV_137	0.047	12.512	0.902174440659918	0.936681733929585	NotSig	0.203	0.196	0.179	0.367	0.285	0.248	0.299	0.092	0.183	0.069	0.268	0.145	0.091	0.236	0.073	0.132	0.038	0.279	0.146	0.292	0.584	0.086	0.123	0.099	0.264
ASV_143	-0.351	11.426	0.259766948242958	0.489067402556186	NotSig	0.112	0.142	0.045	0.185	0.144	0.136	0.07	0.033	0.123	0.077	0.197	0.106	0.113	0.227	0.183	0.051	0.069	0.077	0.064	0.121	0.275	0.205	0.185	0.093	0.16
ASV_115	-0.604	12.368	0.267875283150948	0.492408517640133	NotSig	0.103	0.157	0.04	0.237	0.07	0.126	0.09	0.05	0.092	0.113	0.097	0.123	0.096	0.255	0.01	0.049	0.12	0.05	0.17	0.307	0.528	0.035	0.02	0.14	0.197
ASV_129	0.688	12.66	0.0698894710016231	0.300229417683029	NotSig	0.309	0.192	0.258	0.18	0.192	0.084	0.241	0.647	0.267	0.554	0.15	0.384	0.439	0.087	0.349	0.239	0.087	0.169	0.284	0.331	0.14	0.137	0.121	0.266	0.093
ASV_1446	-0.977	11.907	0.00344462721356677	0.100642801360232	Depleted	0.114	0.224	0.079	0.215	0.125	0.197	0.096	0.053	0.125	0.066	0.062	0.101	0.133	0.352	0.334	0.09	0.271	0.167	0.082	0.198	0.152	0.233	0.177	0.248	0.384
ASV_122	0.101	12.3	0.823709425500512	0.906972472121503	NotSig	0.229	0.214	0.19	0.021	0.012	0.279	0.297	0.354	0.345	0.204	0.002	0.431	0.385	0.068	0.008	0.034	0.008	0.197	0.249	0.217	0.504	0.18	0.286	0.502	0.31
ASV_142	-0.596	6.986	0.316732762652265	0.539684316251067	NotSig	0.003	0.005	0.003	0.002	0.002	0.002	0.01	0.003	0	0.003	0.002	0.002	0.007	0	0	0	0.008	0.012	0.005	0.002	0.007	0.013	0.002	0	0.011
ASV_117	-0.839	12.869	0.145128153323553	0.406092539116364	NotSig	0.111	0.198	0.079	0.144	0.09	0.045	0.138	0.073	0.113	0.198	0.09	0.059	0.189	0.25	0.01	0.195	0.197	0.204	0.143	0.154	0.748	0.056	0.074	0.122	0.224
ASV_151	-1.722	13.308	0.101038061593273	0.380451960320348	NotSig	0.076	0.251	0.016	0.007	0	0.333	0.013	0.003	0.231	0.011	0.007	0.199	0.017	0.316	0.013	0	0.1	0.012	0.008	0.664	0.113	0.259	0.025	0.487	1.014
ASV_573	-0.412	11.321	0.0355898196053439	0.206429818100269	NotSig	0.126	0.168	0.195	0.146	0.146	0.033	0.151	0.067	0.108	0.16	0.113	0.098	0.167	0.135	0.181	0.103	0.187	0.192	0.143	0.191	0.256	0.119	0.158	0.185	0.163
ASV_103	-6.013	13.869	0.055506582598849	0.268722344327761	NotSig	0.004	0.271	0.011	0.014	0.002	0	0	0.003	0.007	0	0.005	0.002	0.002	0.007	0.003	0.01	0.005	0.498	0.379	0.082	0.362	0.005	0.005	1.496	0.398
ASV_111	-0.583	12.283	0.164729473923478	0.444312082698537	NotSig	0.166	0.248	0.079	0.064	0.167	0.021	0.339	0.053	0.116	0.107	0.264	0.387	0.226	0.418	0.053	0.066	0.43	0.498	0.291	0.246	0.326	0.223	0.143	0.23	0.054
ASV_102	-1.305	12.816	0.121710694067711	0.402066841522308	NotSig	0.065	0.16	0.084	0.002	0.037	0.007	0.065	0.106	0.082	0.061	0.074	0.103	0.091	0.229	0.068	0.188	0.721	0.102	0.029	0.273	0.041	0.025	0.118	0.084	0.043
ASV_132	0.214	11.931	0.494326394685021	0.665103949532928	NotSig	0.202	0.174	0.198	0.16	0.167	0.068	0.108	0.391	0.13	0.281	0.079	0.288	0.356	0.111	0.261	0.137	0.143	0.197	0.294	0.181	0.13	0.084	0.133	0.311	0.111
ASV_106	5.994	15.582	0.237073457771429	0.485934614079293	NotSig	0.568	0.009	0.182	4.904	0.019	0.009	1.091	0.014	0.005	0.008	0	0.015	0	0.002	0	0	0.003	0	0.021	0.017	0.007	0.023	0.01	0.015	0.009
ASV_219	-1.571	15.084	0.436405106488747	0.636307922153328	NotSig	0.117	0.348	0.024	0.34	0.174	0.059	0.314	0.028	0.092	0.061	0.109	0.012	0.079	0.071	0.023	0.037	0.056	0.09	3.474	0.072	0.036	0.109	0.057	0.018	0.138
ASV_121	-0.403	11.307	0.22759062881874	0.485934614079293	NotSig	0.123	0.163	0.206	0.205	0.197	0.061	0.156	0.061	0.135	0.102	0.012	0.081	0.137	0.22	0.198	0.176	0.24	0.229	0.09	0.234	0.253	0.162	0.135	0.012	0.002
ASV_139	0.571	6.961	0.519006995501881	0.67648347704305	NotSig	0.003	0.002	0.008	0	0	0.002	0.005	0.003	0	0.003	0.002	0	0.007	0.002	0	0	0.005	0.012	0	0	0	0	0.002	0	0
ASV_152	0.498	7.89	0.576325991832631	0.729375217879471	NotSig	0.007	0.005	0.024	0.005	0.005	0	0	0	0.012	0	0.023	0.002	0.002	0	0	0.02	0.005	0	0	0.002	0.002	0	0	0.018	0.009
ASV_147	0.015	11.659	0.972070438174597	0.984988317751669	NotSig	0.106	0.105	0.045	0.132	0.056	0.059	0.128	0.047	0.084	0.171	0.025	0.199	0.216	0.323	0.03	0.051	0.136	0.122	0.064	0.08	0.053	0.142	0.025	0.102	0.129
ASV_154	0.401	6.783	0.600748029691273	0.747869996146279	NotSig	0.003	0.002	0	0.002	0.002	0	0	0	0	0.011	0.002	0.005	0.007	0.005	0	0	0	0.002	0.005	0.002	0	0.003	0	0.003	0.005
ASV_167	1.429	12.693	0.0283700783582611	0.206429818100269	NotSig	0.235	0.087	0.037	0.194	0.192	0.068	0.234	0.346	0.104	0.41	0.067	0.662	0.27	0.127	0.018	0.1	0.105	0.249	0.013	0.171	0.056	0	0.02	0.131	0.056
ASV_570	-0.796	12.131	0.123240536865636	0.402066841522308	NotSig	0.09	0.157	0.148	0.073	0.121	0.091	0.131	0.089	0.075	0.069	0.016	0.101	0.079	0.163	0.346	0.01	0.171	0.449	0.034	0.193	0.056	0.18	0.195	0.051	0.032
ASV_130	0.547	12.041	0.18386739557567	0.469502615319678	NotSig	0.199	0.136	0.119	0.126	0.109	0.26	0.038	0.167	0.176	0.421	0.106	0.355	0.314	0.068	0.118	0.095	0.105	0.08	0.138	0.297	0.084	0.028	0.067	0.308	0.249
ASV_123	-0.47	12.837	0.499689956051839	0.668444897350048	NotSig	0.128	0.177	0.045	0.281	0.206	0.005	0.196	0.19	0.181	0.091	0.051	0.094	0.066	0.021	0	0.254	0.192	0.506	0.003	0.123	0	0.167	0.732	0.003	0.122
ASV_1343	-0.968	11.94	0.0341482581990863	0.206429818100269	NotSig	0.104	0.204	0.053	0.055	0.09	0.096	0.015	0.12	0.101	0.135	0.002	0.202	0.277	0.132	0.248	0.005	0.11	0.01	0.199	0.232	0.171	0.393	0.362	0.257	0.328
ASV_170	-0.581	11.968	0.177220367449309	0.466913853962728	NotSig	0.135	0.202	0.134	0.094	0.021	0.401	0.075	0.103	0.14	0.245	0.123	0.113	0.034	0.177	0.286	0.298	0.284	0.207	0.397	0.036	0.362	0.048	0.067	0.125	0.133
ASV_125	1.302	12.645	0.108466422387057	0.387009366398227	NotSig	0.216	0.088	0.641	0.062	0.042	0.063	0.108	0.605	0.075	0.063	0.134	0.441	0.142	0.09	0.005	0.015	0.143	0.04	0.074	0.352	0.051	0.147	0.027	0.09	0.018
ASV_126	0.785	12.743	0.301105650719826	0.519205913431402	NotSig	0.235	0.136	0.032	0.009	0.028	0.005	0.008	0.424	0.258	0.686	0.012	0.569	0.552	0.106	0.351	0.007	0.143	0.045	0.13	0.179	0.442	0.215	0.002	0.009	0.005
ASV_1357	-1.491	13.381	0.25280770945614	0.485934614079293	NotSig	0.069	0.194	0.008	0.016	0.009	0.131	0.013	0.042	0.142	0.306	0.002	0.022	0.066	1.067	0.025	0.012	0.747	0.03	0.228	0.007	0.159	0.033	0.007	0	0.007
ASV_128	0.707	12.21	0.267999389928728	0.492408517640133	NotSig	0.175	0.107	0.011	0.005	0.032	0.241	0.093	0.209	0.395	0.151	0.002	0.313	0.474	0.142	0.055	0.007	0.056	0.02	0.156	0.133	0.162	0.056	0.094	0.003	0.404
ASV_136	-0.586	11.961	0.190427761948777	0.469502615319678	NotSig	0.117	0.176	0.264	0.171	0.158	0.042	0.226	0.145	0.031	0.091	0.081	0.03	0.052	0.035	0.158	0.098	0.015	0.399	0.183	0.244	0.285	0.337	0.047	0.215	0.097
ASV_160	-0.927	12.298	0.0326180361054275	0.206429818100269	NotSig	0.11	0.209	0.129	0.23	0.09	0.052	0.058	0.075	0.036	0.077	0.049	0.138	0.272	0.234	0.303	0.322	0.176	0.269	0.503	0.164	0.101	0.117	0.081	0.137	0.095
ASV_202	-0.643	10.968	0.112727954885257	0.387009366398227	NotSig	0.073	0.114	0.029	0.171	0.023	0.016	0.143	0.006	0.031	0.146	0.13	0.079	0.027	0.153	0.155	0.095	0.174	0.132	0.064	0.128	0.2	0.094	0.108	0.057	0.005
ASV_150	0.242	11.756	0.456127194674678	0.647064159887335	NotSig	0.174	0.147	0.203	0.114	0.172	0.075	0.058	0.346	0.099	0.234	0.093	0.214	0.304	0.066	0.231	0.105	0.113	0.222	0.281	0.104	0.125	0.076	0.116	0.212	0.113
ASV_145	-0.428	11.643	0.345184458964599	0.553017394709784	NotSig	0.114	0.153	0	0.014	0.035	0.124	0.211	0.165	0.176	0.138	0.002	0.199	0.189	0.208	0.105	0.32	0.046	0.147	0.019	0.27	0.041	0.041	0.099	0.257	0.287
ASV_453	-0.956	12.123	0.0290049210892718	0.206429818100269	NotSig	0.095	0.184	0.053	0.18	0.056	0.03	0.101	0.086	0.092	0.072	0.141	0.138	0.096	0.446	0.103	0.051	0.095	0.13	0.074	0.304	0.28	0.264	0.217	0.111	0.136
ASV_1445	-0.416	12.656	0.481246560998655	0.660734088827385	NotSig	0.14	0.187	0.069	0.153	0.107	0.054	0.078	0.031	0.414	0.008	0.345	0.148	0.137	0.309	0.344	0.222	0.138	0.237	0.024	0.116	0.125	0.013	0.645	0.033	0.041
ASV_174	-0.829	12.24	0.133580286036598	0.402066841522308	NotSig	0.092	0.163	0.018	0.265	0.042	0.035	0.106	0.061	0.065	0.063	0.1	0.167	0.088	0.484	0.04	0.032	0.192	0.092	0.101	0.208	0.335	0.028	0.064	0.239	0.145
ASV_156	6.793	15.548	0.323733026965026	0.542519633100731	NotSig	0.454	0.004	0.003	0.023	0.007	0.005	0.025	0.025	0.036	0.025	0.023	4.791	0.034	0	0.003	0.005	0.005	0	0.024	0.002	0	0	0.007	0.003	0
ASV_195	0.733	6.72	0.274582197986911	0.495547753763361	NotSig	0.004	0.002	0.011	0.002	0.002	0	0.003	0	0.002	0	0.009	0.005	0.005	0	0.003	0	0.003	0.002	0.008	0.002	0	0.003	0	0.003	0.002
ASV_173	-0.01	12.187	0.978789782075049	0.985250440702607	NotSig	0.147	0.148	0.192	0.308	0.162	0.061	0.096	0.148	0.014	0.143	0.204	0.155	0.137	0.085	0.163	0.466	0.082	0.179	0.119	0.154	0.068	0.091	0.101	0.087	0.185
ASV_141	-0.433	10.798	0.111170996218684	0.387009366398227	NotSig	0.073	0.099	0.047	0.178	0.065	0.077	0.053	0.031	0.063	0.088	0.023	0.084	0.096	0.094	0.128	0.071	0.169	0.057	0.064	0.094	0.094	0.091	0.116	0.099	0.108
ASV_166	1.257	13.185	0.236902317994131	0.485934614079293	NotSig	0.194	0.081	0.214	0.931	0.072	0.03	0.211	0.064	0.099	0.017	0.419	0.054	0.02	0.017	0.023	0.273	0.013	0.451	0.05	0.024	0.043	0.01	0.012	0.015	0.041
ASV_159	3.584	11.515	0.188082349583089	0.469502615319678	NotSig	0.045	0.004	0.293	0.016	0.002	0	0.166	0.003	0.002	0.003	0.002	0.002	0	0.002	0.003	0.005	0.005	0.002	0.003	0.002	0.005	0	0	0.006	0.011
ASV_192	-3.004	12.836	0.0254672083157335	0.206429818100269	NotSig	0.026	0.21	0.011	0.007	0.109	0.03	0.01	0.036	0.005	0.019	0.014	0.032	0.015	0.017	0.311	0.19	0.09	0.032	0.731	0.195	0.029	0.661	0.187	0.054	0.02
ASV_162	1.519	13.004	0.12867827505284	0.402066841522308	NotSig	0.229	0.08	0.018	0.712	0.058	0.012	0.241	0.061	0.178	0.055	0.821	0.308	0.054	0.002	0.005	0.198	0.049	0.381	0.024	0.191	0.072	0	0.02	0.006	0.011
ASV_1200	-0.492	11.443	0.383568012564742	0.584941219161232	NotSig	0.082	0.116	0.05	0.005	0.06	0.267	0.018	0.059	0.14	0.058	0.009	0.143	0.096	0.245	0.073	0.01	0.258	0.01	0.079	0.123	0.125	0.018	0.278	0.003	0.163
ASV_146	-1.367	12.4	0.0180391819247964	0.203775943965292	NotSig	0.079	0.203	0.195	0.027	0.095	0.019	0.05	0.061	0.099	0.212	0.049	0.052	0.005	0.156	0.263	0.066	0.166	0.047	0.114	0.541	0.186	0.233	0.212	0.4	0.047
ASV_182	0.381	10.907	0.166070745664371	0.444312082698537	NotSig	0.112	0.086	0.129	0.192	0.093	0.045	0.065	0.098	0.06	0.124	0.192	0.118	0.12	0.085	0.12	0.124	0.09	0.042	0.148	0.101	0.065	0.053	0.054	0.119	0.032
ASV_153	0.367	11.4	0.250359331218793	0.485934614079293	NotSig	0.146	0.113	0.171	0.105	0.102	0.126	0.131	0.184	0.137	0.226	0.058	0.236	0.125	0.045	0.063	0.144	0.077	0.082	0.27	0.072	0.075	0.066	0.071	0.266	0.124
ASV_193	-0.963	11.86	0.02443057660412	0.206429818100269	NotSig	0.09	0.176	0.124	0.1	0.079	0.009	0.141	0.053	0.099	0.061	0.153	0.094	0.081	0.073	0.11	0.095	0.125	0.326	0.095	0.333	0.372	0.114	0.16	0.23	0.077
ASV_201	-2.121	12.855	0.259242201204154	0.489067402556186	NotSig	0.023	0.1	0.018	0.014	0.005	0.005	0	0	0.002	0.099	0.007	0.094	0.01	0.009	0.003	0.005	0.01	0.007	0.329	0.072	0.741	0.01	0.005	0.006	0.005
ASV_175	0.317	12.32	0.648564664576274	0.777313071132301	NotSig	0.159	0.127	0.511	0.203	0.088	0.052	0.199	0.167	0.118	0.063	0.137	0.138	0.069	0.031	0.003	0.005	0.161	0.476	0.318	0.002	0.495	0.005	0.012	0.009	0.011
ASV_264	0.971	9.487	0.0143611215408375	0.188105566974216	Enriched	0.041	0.021	0.037	0.041	0.07	0.023	0.065	0.014	0.036	0.033	0.072	0.022	0.037	0.014	0.008	0.022	0.018	0.022	0.005	0.048	0.051	0.008	0.025	0.003	0.027
ASV_266	1.799	13.312	0.299766477794606	0.519205913431402	NotSig	0.144	0.041	0.008	0.007	0.009	0.009	0.018	0.343	1.017	0.025	0.021	0.096	0.032	0.024	0.013	0.022	0.005	0.007	0.233	0.017	0.123	0.01	0.025	0.009	0.009
ASV_165	0.331	11.807	0.515298352164144	0.674532177725596	NotSig	0.104	0.083	0.053	0.205	0.042	0.358	0.048	0.086	0.106	0.041	0.051	0.054	0.098	0.12	0.123	0.178	0.041	0.045	0.021	0.075	0.068	0.066	0.054	0.09	0.111
ASV_196	0.056	11.799	0.918205280391764	0.942938082557199	NotSig	0.099	0.095	0.042	0.226	0.174	0.08	0.141	0.008	0.043	0.077	0.044	0.057	0.199	0.092	0.01	0.015	0.038	0.356	0.077	0.164	0.188	0.084	0.002	0.066	0.052
ASV_197	-3.942	12.757	0.0341399849632425	0.206429818100269	NotSig	0.011	0.17	0.013	0.005	0.002	0.021	0.005	0.011	0.014	0.028	0	0.007	0.015	0.196	0.692	0.01	0.079	0.007	0.019	0.01	0.014	0.218	0.549	0.048	0.194
ASV_208	-0.835	9.87	0.438113651318685	0.636307922153328	NotSig	0.008	0.014	0.008	0.005	0.005	0.005	0.013	0.008	0.005	0	0.005	0.027	0.01	0.014	0	0.005	0.003	0.005	0.005	0.005	0.005	0.033	0.094	0.003	0.002
ASV_158	1.4	12.584	0.0900920968247786	0.361553809625756	NotSig	0.184	0.07	0.092	0.614	0.227	0.108	0.005	0.008	0.316	0.003	0.081	0.236	0.339	0	0	0.217	0.008	0	0.008	0.07	0.128	0.058	0.034	0.015	0.3
ASV_171	0.051	11.663	0.902899769755075	0.936681733929585	NotSig	0.116	0.112	0.324	0.027	0.081	0.016	0.173	0.139	0.072	0.118	0.053	0.145	0.13	0.042	0.098	0.288	0.054	0.102	0.159	0.084	0.048	0.104	0.172	0.078	0.12
ASV_235	1.269	10.866	0.017407826425464	0.203775943965292	NotSig	0.07	0.029	0.018	0.009	0.072	0.052	0.083	0.098	0.058	0.091	0.058	0.047	0.187	0.017	0.023	0.049	0.018	0.03	0.048	0.017	0.027	0.041	0.027	0.039	0.016
ASV_1368	-1.008	11.13	0.0243972648330398	0.206429818100269	NotSig	0.065	0.131	0.224	0.155	0.016	0.016	0.025	0.031	0.017	0.025	0.021	0.039	0.145	0.061	0.075	0.098	0.074	0.095	0.114	0.164	0.176	0.16	0.138	0.218	0.194
ASV_979	0.92	12.612	0.177580351015333	0.466913853962728	NotSig	0.19	0.101	0.018	0.463	0.288	0.108	0.626	0.039	0.145	0.085	0.192	0.005	0.123	0.09	0.005	0.071	0.092	0.135	0.032	0.104	0.075	0.213	0.118	0.024	0.249
ASV_180	-0.25	11.887	0.654981833708201	0.777313071132301	NotSig	0.082	0.098	0.182	0.055	0.039	0.005	0.113	0.195	0.024	0.08	0.067	0.049	0.093	0.009	0.379	0.156	0.079	0.095	0.056	0.154	0.041	0.028	0.042	0.087	0.045
ASV_1427	-1.453	11.945	0.234516093372321	0.485934614079293	NotSig	0.029	0.08	0.011	0.007	0.007	0	0.013	0.103	0.029	0.008	0.005	0.022	0.118	0.007	0	0.007	0.01	0	0.008	0.278	0.017	0.013	0.02	0.394	0.208
ASV_191	0.114	10.275	0.746382861144176	0.849428256152887	NotSig	0.057	0.052	0.124	0.034	0.072	0.056	0.088	0.022	0.041	0.05	0.037	0.042	0.059	0.054	0.018	0.037	0.041	0.06	0.005	0.104	0.092	0.038	0.025	0.042	0.115
ASV_194	-0.779	11.701	0.0937033317393352	0.361766027601231	NotSig	0.076	0.131	0.04	0.23	0.058	0.037	0.121	0.042	0.133	0.025	0.095	0.039	0.017	0.101	0.05	0.068	0.166	0.112	0.056	0.229	0.333	0.079	0.071	0.176	0.124
ASV_161	-0.859	9.021	0.244389050484215	0.485934614079293	NotSig	0.008	0.014	0	0.002	0.005	0.002	0.003	0.017	0.007	0.033	0.002	0.005	0.01	0.007	0.033	0.012	0.018	0	0	0.007	0	0.008	0.012	0.021	0.052
ASV_190	-1.537	10.86	0.122603578174581	0.402066841522308	NotSig	0.015	0.044	0.011	0.034	0.012	0.019	0.01	0.014	0.034	0.014	0.005	0.007	0.007	0.007	0.028	0.007	0.056	0.012	0	0.186	0.019	0.025	0.143	0.021	0.02
ASV_184	-0.128	10.741	0.759587614193195	0.861242462189311	NotSig	0.07	0.077	0.021	0.171	0.037	0.03	0.126	0.008	0.029	0.132	0.134	0.049	0.034	0.099	0.09	0.054	0.107	0.12	0.032	0.094	0.15	0.066	0.047	0.054	0.009
ASV_144	0.528	12.281	0.540267413461429	0.694982170865447	NotSig	0.115	0.08	0.195	0.027	0.104	0.012	0.498	0.098	0.019	0.118	0.081	0.096	0.02	0.057	0.02	0.215	0.013	0.007	0.117	0.002	0.029	0.018	0.022	0.006	0.454
ASV_231	4.224	13.216	0.0256710053442965	0.206429818100269	NotSig	0.291	0.016	0.003	0	0.037	0.009	0.01	0.756	0.952	0.501	0.023	0.458	0.447	0.002	0.088	0.002	0.018	0.005	0.008	0.046	0.005	0	0.005	0.003	0.005
ASV_209	0.447	10.722	0.351377485091279	0.553017394709784	NotSig	0.062	0.045	0.04	0.169	0.012	0.014	0.093	0.025	0.041	0.063	0.062	0.027	0.133	0.071	0.02	0.029	0.09	0.017	0.024	0.072	0.08	0.023	0.027	0.036	0.054
ASV_181	-8.584	15.278	0.33222511127943	0.544777736237776	NotSig	0.001	0.336	0	0	0	0	0	0	0.01	0	0	0	0	0.007	0.013	3.974	0.013	0.007	0.016	0	0	0	0	0.006	0
ASV_176	-0.234	6.313	0.840793511273621	0.908299973822439	NotSig	0.001	0.001	0	0.002	0	0	0	0	0	0.003	0	0.002	0.002	0	0	0	0.003	0	0.008	0	0	0	0	0	0.002
ASV_178	0.247	11.254	0.63146665922969	0.77348325728938	NotSig	0.096	0.081	0.053	0.244	0.174	0.054	0.219	0.022	0.031	0.096	0.127	0.025	0.007	0.05	0.04	0.117	0.243	0.077	0.148	0.051	0.053	0.038	0.057	0.06	0.034
ASV_185	-1.299	12.254	0.0510085191467211	0.250929005479838	NotSig	0.056	0.138	0.166	0.043	0.03	0.037	0.05	0.039	0.041	0.069	0.081	0.022	0.037	0.142	0.193	0.054	0.488	0.187	0.072	0.15	0.014	0.152	0.074	0.099	0.029
ASV_203	0.053	11.116	0.876994519101817	0.928761556687688	NotSig	0.105	0.101	0.055	0.189	0.16	0.15	0.05	0.081	0.147	0.094	0.086	0.054	0.088	0.222	0.05	0.063	0.182	0.052	0.148	0.193	0.075	0.03	0.067	0.078	0.054
