ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	H64	H66	H67	H68	H95	H96	M30	M31	M32	M33	M34	M35
ASV_112	2.823	12.363	0.00235682374206845	0.0235682374206845	Enriched	0.86	0.084	0.237	0.331	0.888	0.516	1.631	1.557	0.039	0.25	0.012	0.184	0.009	0.012
ASV_106	3.027	6.988	0.00381046130433041	0.0360991070936565	Enriched	0.012	0.001	0	0.021	0.017	0.007	0.015	0.009	0	0.005	0	0	0	0
ASV_131	2.472	9.758	0.0049145744723172	0.0442311702508548	Enriched	0.128	0.017	0.057	0.366	0.041	0.265	0.021	0.016	0.007	0.005	0.035	0.024	0.009	0.019
ASV_219	3.587	11.943	0.00611118389053329	0.0523815762045711	Enriched	0.638	0.036	0.09	3.474	0.072	0.036	0.018	0.138	0.007	0.012	0.062	0.01	0.121	0.005
ASV_101	1.902	9.149	0.0091255517430943	0.0713854321832847	Enriched	0.077	0.015	0.097	0.053	0.109	0.111	0.042	0.047	0.015	0.002	0	0.014	0.011	0.048
ASV_89	-2.638	9.695	0.00925999670386476	0.0713854321832847	Depleted	0.019	0.091	0.002	0.005	0.022	0.005	0.012	0.066	0.137	0.266	0.012	0.065	0.064	0.002
ASV_65	-2.963	10.991	0.00951805762443796	0.0713854321832847	Depleted	0.041	0.236	0.002	0.04	0.012	0.111	0.012	0.07	0.614	0.03	0.017	0.724	0.016	0.017
ASV_1	-3.317	17.174	0.0109120834298318	0.0771920497638129	Depleted	2.204	16.31	0.167	0.079	0.109	0.133	0.735	11.999	8.936	10.032	11.891	27.208	39.185	0.605
ASV_90	-1.718	8.951	0.0111499627436619	0.0771920497638129	Depleted	0.019	0.046	0.01	0.016	0.039	0.022	0.009	0.02	0.015	0.086	0.091	0.01	0.041	0.034
ASV_26	1.495	13.209	0.0138081729794873	0.0920544865299151	Enriched	1.296	0.337	0.8	0.771	1.414	1.207	1.434	2.149	0.43	0.334	0.052	0.357	0.37	0.478
ASV_39	3.1	10.76	0.0146916792500052	0.094446509464319	Enriched	0.274	0.025	0.017	1.285	0.058	0.249	0.03	0.005	0.095	0.002	0	0.022	0.018	0.014
ASV_54	-2.875	12.595	0.0159346786927277	0.0989049022307237	Depleted	0.146	0.76	0.147	0.101	0.319	0.174	0.122	0.014	0.012	0.019	3.83	0.314	0.011	0.372
ASV_35	-1.623	12.88	0.016646745810278	0.099880474861668	Depleted	0.343	0.776	0.09	0.215	0.524	0.147	0.415	0.666	0.428	0.227	0.943	1.188	0.423	1.447
ASV_97	-1.395	11.841	0.0221226818362534	0.128454281629859	Depleted	0.188	0.368	0.085	0.4	0.142	0.116	0.266	0.117	0.174	0.176	0.501	0.27	0.267	0.821
ASV_166	2.032	9.62	0.024134256607344	0.13575519341631	Enriched	0.104	0.021	0.451	0.05	0.024	0.043	0.015	0.041	0.064	0.012	0.02	0.005	0.011	0.014
ASV_88	-1.331	12.143	0.0270028854238005	0.147288465948003	Depleted	0.236	0.441	0.224	0.156	0.316	0.077	0.269	0.375	0.518	1.019	0.289	0.292	0.304	0.221
ASV_28	-2.006	13.76	0.0290531557885298	0.153810824762805	Depleted	0.519	1.535	1.685	0.146	0.883	0.2	0.137	0.061	1.459	3.542	2.81	0.495	0.795	0.106
ASV_85	-2.606	10.982	0.0379038988699836	0.193093343255139	Depleted	0.051	0.251	0.01	0.204	0.056	0.014	0.012	0.011	0.007	0.009	0.007	0.326	0.009	1.147
ASV_20	-2.069	14.203	0.0386186686510278	0.193093343255139	Depleted	0.673	2.104	2.56	0.053	0.948	0.186	0.194	0.097	1.501	5.321	4.173	0.609	0.891	0.132
ASV_29	-1.906	14.021	0.0467913536688693	0.227633612443148	NotSig	0.654	1.812	2.295	0.098	1.033	0.162	0.248	0.09	1.203	4.586	3.684	0.529	0.738	0.134
ASV_60	-1.565	13.003	0.0489995495386372	0.232103129393544	NotSig	0.379	0.835	0.371	0.132	0.362	0.053	0.6	0.752	0.618	2.858	0.259	0.229	0.672	0.372
ASV_573	1.109	10.562	0.0562502879971383	0.251057284559578	NotSig	0.188	0.063	0.192	0.143	0.191	0.256	0.185	0.163	0.093	0.081	0.005	0.08	0.05	0.07
ASV_1357	2.375	9.026	0.0566783573570618	0.251057284559578	NotSig	0.072	0.011	0.03	0.228	0.007	0.159	0	0.007	0.002	0.005	0.002	0	0.005	0.053
ASV_124	1.399	9.523	0.0579559229356183	0.251057284559578	NotSig	0.095	0.025	0.025	0.095	0.101	0.287	0.03	0.034	0.044	0.005	0.015	0.036	0.032	0.017
ASV_32	1.009	13.168	0.0585800330639015	0.251057284559578	NotSig	1.138	0.425	1.401	1.794	0.748	0.62	1.425	0.84	0.56	0.635	0.466	0.249	0.293	0.346
ASV_175	2.205	10.55	0.0601922940856114	0.251967742683955	NotSig	0.219	0.039	0.476	0.318	0.002	0.495	0.009	0.011	0.017	0.002	0.035	0.024	0.002	0.151
ASV_92	-2.625	10.639	0.0644053208629735	0.260760611034053	NotSig	0.039	0.202	0.007	0.18	0.031	0.005	0.006	0.005	0	0.007	0.01	0.174	0.005	1.018
ASV_46	-1.428	12.905	0.0651901527585132	0.260760611034053	NotSig	0.376	0.716	0.057	0.204	0.507	0.297	0.227	0.962	0.413	1.663	0.296	0.415	1.298	0.211
ASV_159	1.87	6.56	0.0734965012609583	0.285948997152279	NotSig	0.005	0.001	0.002	0.003	0.002	0.005	0.006	0.011	0	0	0	0	0.005	0
ASV_125	-1.223	10.783	0.0760877123629171	0.285948997152279	NotSig	0.104	0.163	0.04	0.074	0.352	0.051	0.09	0.018	0.115	0.093	0.084	0.254	0.114	0.322
ASV_570	-1.527	11.491	0.078144442005625	0.285948997152279	NotSig	0.136	0.289	0.449	0.034	0.193	0.056	0.051	0.032	0.191	0.723	0.572	0.082	0.139	0.029
ASV_75	-0.966	11.972	0.0792471375382782	0.285948997152279	NotSig	0.253	0.366	0.137	0.387	0.222	0.164	0.37	0.237	0.469	0.127	0.229	0.357	0.341	0.672
ASV_41	1.169	11.508	0.0794302769867442	0.285948997152279	NotSig	0.365	0.122	0.429	1.033	0.176	0.198	0.266	0.086	0.086	0.053	0.143	0.142	0.075	0.233
ASV_83	-2.037	11.042	0.0811341168057455	0.28635570637322	NotSig	0.084	0.242	0.005	0.048	0.408	0.041	0.003	0.002	0.328	0.005	0.609	0.155	0.014	0.343
ASV_218	-1.4	12.665	0.0872888472299539	0.30215370194984	NotSig	0.33	0.654	1.097	0.056	0.34	0.278	0.137	0.07	0.692	1.441	1.15	0.321	0.187	0.134
ASV_137	0.913	11.169	0.108366102200931	0.368035818795616	NotSig	0.277	0.11	0.279	0.146	0.292	0.584	0.099	0.264	0.247	0.086	0.101	0.094	0.066	0.067
ASV_1385	0.998	10.045	0.121891294420398	0.406304314734659	NotSig	0.124	0.042	0.1	0.167	0.092	0.082	0.164	0.138	0.01	0.058	0.057	0.041	0.078	0.01
ASV_52	0.926	12.481	0.126224510118266	0.412447183705612	NotSig	0.704	0.26	0.725	0.347	0.878	1.269	0.326	0.678	0.164	0.22	0.2	0.089	0.505	0.379
ASV_108	2.004	11.423	0.128316901597302	0.412447183705612	NotSig	0.431	0.084	0.005	0.016	0.145	2.387	0.024	0.011	0.015	0.021	0.02	0.017	0.009	0.42
ASV_102	-1.152	10.647	0.142146190924578	0.448882708182878	NotSig	0.095	0.148	0.102	0.029	0.273	0.041	0.084	0.043	0.061	0.021	0.553	0.072	0.085	0.094
ASV_193	0.803	10.959	0.151031484476461	0.468718400099361	NotSig	0.239	0.101	0.326	0.095	0.333	0.372	0.23	0.077	0.196	0.114	0.114	0.068	0.037	0.079
ASV_61	-0.687	11.814	0.154241379157925	0.469436109399071	NotSig	0.26	0.309	0.187	0.278	0.335	0.27	0.287	0.201	0.352	0.176	0.513	0.174	0.222	0.415
ASV_27	1.772	11.648	0.156478703133024	0.469436109399071	NotSig	0.447	0.111	0.067	1.852	0.007	0.724	0.012	0.02	0.024	0.032	0.01	0.014	0.03	0.554
ASV_87	1.202	11.603	0.159764287833368	0.471435603442725	NotSig	0.418	0.125	0.037	0.185	0.311	0.492	1.111	0.368	0.23	0.012	0.01	0.29	0.071	0.139
ASV_74	2.415	7.037	0.171165685486615	0.496932635283722	NotSig	0.011	0.001	0	0.056	0.002	0	0.009	0	0	0	0	0.007	0	0
ASV_8	1.588	12.617	0.189740292860588	0.542115122458822	NotSig	0.901	0.241	0.015	1.579	0.113	3.516	0.111	0.072	0.042	0.021	0.015	0.053	0.08	1.234
ASV_167	-1.057	10.875	0.196791746980772	0.553476788383422	NotSig	0.113	0.166	0.249	0.013	0.171	0.056	0.131	0.056	0.218	0.025	0.412	0.167	0.16	0.012
ASV_22	-1.263	13.307	0.200191196362669	0.554375620696621	NotSig	0.572	0.976	0.017	1.669	1.028	0.538	0.155	0.025	1.599	0.03	0.395	1.304	1.072	1.457
ASV_37	-0.692	8.986	0.213187261365535	0.573144000270219	NotSig	0.033	0.037	0.032	0.024	0.022	0.039	0.063	0.018	0.034	0.014	0.037	0.06	0.034	0.043
ASV_12	-1.711	14.866	0.214709360547359	0.573144000270219	NotSig	1.126	3.282	0.032	0.037	0.022	0.048	0.099	6.52	4.363	0.98	0.072	6.052	0.082	8.141
ASV_10	-1.159	14.362	0.216521066768749	0.573144000270219	NotSig	1.251	1.993	0.077	3.731	2.146	1.076	0.433	0.045	2.992	0.123	0.809	2.4	2.341	3.29
ASV_104	0.65	11.621	0.229096255547548	0.593343404046633	NotSig	0.353	0.168	0.416	0.681	0.261	0.212	0.367	0.178	0.127	0.107	0.259	0.133	0.112	0.271
ASV_53	0.848	12.537	0.231997909112782	0.593343404046633	NotSig	0.721	0.308	0.989	0.824	0.929	0.777	0.526	0.282	0.633	0.246	0.767	0.087	0.034	0.082
ASV_51	-0.63	12.624	0.236630569466757	0.593343404046633	NotSig	0.468	0.543	0.262	0.382	0.627	0.236	0.735	0.565	0.787	0.271	0.577	0.299	0.427	0.893
ASV_115	0.792	10.928	0.238233992433608	0.593343404046633	NotSig	0.232	0.098	0.05	0.17	0.307	0.528	0.14	0.197	0.083	0.102	0.239	0.012	0.059	0.091
ASV_84	-1.272	11.577	0.241137853484621	0.593343404046633	NotSig	0.176	0.336	0.072	0.162	0.603	0.089	0.06	0.07	0.034	0.007	0.163	0.01	0.034	1.766
ASV_21	0.923	13.383	0.24393006610806	0.593343404046633	NotSig	1.36	0.53	2.29	0.252	2.573	2.647	0.161	0.235	0.64	0.137	0.343	0.565	0.215	1.279
ASV_56	-1.358	10.835	0.255230010379708	0.597694625274666	NotSig	0.096	0.202	0.012	0.098	0.007	0.417	0.024	0.018	0.022	0.014	0.015	0.017	0.023	1.123
ASV_202	-0.848	10.512	0.255471074137721	0.597694625274666	NotSig	0.098	0.129	0.132	0.064	0.128	0.2	0.057	0.005	0.105	0.264	0.21	0.051	0.016	0.13
ASV_72	-1.662	6.634	0.259366901288688	0.597694625274666	NotSig	0.002	0.005	0	0	0	0.007	0.003	0	0.024	0	0.005	0	0	0
ASV_38	-0.802	13.075	0.261704676474239	0.597694625274666	NotSig	0.602	0.788	0.404	0.737	0.249	0.451	1.475	0.296	0.328	0.322	2.196	0.237	0.213	1.435
ASV_1390	-0.64	12.242	0.264332825877174	0.597694625274666	NotSig	0.349	0.407	0.578	0.278	0.43	0.389	0.128	0.294	0.526	0.804	0.432	0.299	0.183	0.197
ASV_123	1.564	9.974	0.265642055677629	0.597694625274666	NotSig	0.126	0.029	0.506	0.003	0.123	0	0.003	0.122	0.032	0.002	0	0.005	0.121	0.012
ASV_119	-0.723	13.427	0.282474803603843	0.621326321440993	NotSig	0.762	0.947	1.822	0.106	0.76	0.584	0.475	0.822	1.229	1.788	1.014	0.848	0.405	0.396
ASV_142	-0.755	7.299	0.283301401369561	0.621326321440993	NotSig	0.006	0.009	0.012	0.005	0.002	0.007	0	0.011	0.012	0.009	0.005	0.005	0.007	0.014
ASV_182	-0.612	10.192	0.286500470442236	0.621326321440993	NotSig	0.085	0.09	0.042	0.148	0.101	0.065	0.119	0.032	0.086	0.056	0.111	0.036	0.153	0.101
ASV_162	1.215	9.86	0.293603929538937	0.626935536259481	NotSig	0.114	0.041	0.381	0.024	0.191	0.072	0.006	0.011	0.002	0.009	0.002	0.012	0.002	0.216
ASV_130	-0.577	11.325	0.29904147956608	0.626935536259481	NotSig	0.193	0.211	0.08	0.138	0.297	0.084	0.308	0.249	0.274	0.086	0.22	0.121	0.215	0.353
ASV_121	-0.893	11.017	0.299535867323974	0.626935536259481	NotSig	0.137	0.192	0.229	0.09	0.234	0.253	0.012	0.002	0.369	0.239	0.274	0.099	0.016	0.156
ASV_42	0.605	12.762	0.306554831143391	0.63425137477943	NotSig	0.828	0.382	0.7	0.212	1.557	1.467	0.791	0.239	0.345	0.507	0.239	0.34	0.24	0.622
ASV_165	-0.646	9.951	0.311188943561536	0.636522839103141	NotSig	0.068	0.079	0.045	0.021	0.075	0.068	0.09	0.111	0.134	0.095	0.007	0.046	0.094	0.098
ASV_1214	-0.597	12.485	0.31898934867005	0.645146997310214	NotSig	0.416	0.473	0.892	0.212	0.396	0.316	0.251	0.429	0.521	0.998	0.543	0.326	0.247	0.204
ASV_151	1.17	11.57	0.328469616916176	0.655235755237473	NotSig	0.383	0.14	0.012	0.008	0.664	0.113	0.487	1.014	0.183	0.283	0.007	0	0.009	0.358
ASV_1343	0.908	10.719	0.331258076258945	0.655235755237473	NotSig	0.199	0.078	0.01	0.199	0.232	0.171	0.257	0.328	0.012	0.32	0.005	0.063	0.007	0.06
ASV_59	1.012	12.412	0.337481901389082	0.660290676630813	NotSig	0.724	0.257	0.137	0.753	2.042	0.524	0.633	0.255	0.416	1.066	0.007	0.017	0.03	0.007
ASV_164	-0.58	11.139	0.342989680985454	0.661755996190774	NotSig	0.16	0.182	0.232	0.27	0.104	0.145	0.042	0.167	0.142	0.109	0.313	0.053	0.222	0.252
ASV_23	-0.596	13.388	0.345736459875117	0.661755996190774	NotSig	0.786	0.891	0.648	0.323	0.606	0.849	0.932	1.36	1.049	1.496	1.656	0.394	0.551	0.202
ASV_275	-0.792	10.189	0.349260109100686	0.661755996190774	NotSig	0.076	0.101	0.072	0.199	0.113	0.029	0.012	0.029	0.046	0.012	0.328	0.051	0.016	0.154
ASV_111	0.564	11.278	0.356281129391742	0.662483368952168	NotSig	0.274	0.141	0.498	0.291	0.246	0.326	0.23	0.054	0.271	0.072	0.158	0.145	0.027	0.175
ASV_82	0.676	11.333	0.363103397245787	0.662483368952168	NotSig	0.305	0.142	0.117	0.342	0.06	0.391	0.869	0.052	0.093	0.067	0.121	0.116	0.037	0.418
ASV_43	-0.691	12.695	0.366342228803801	0.662483368952168	NotSig	0.475	0.529	0.162	0.424	0.5	0.43	0.684	0.653	0.34	0.009	0.691	0.36	1.118	0.658
ASV_2	-0.7	16.401	0.366449896170993	0.662483368952168	NotSig	6.039	7.346	14.555	0.17	4.663	5.586	3.969	7.291	11.909	9.564	6.721	9.773	3.643	2.465
ASV_127	1.118	7.257	0.3700850707937	0.662483368952168	NotSig	0.011	0.003	0.007	0.037	0.005	0	0.003	0.016	0	0	0	0	0.016	0.005
ASV_965	0.658	10.998	0.372392366118484	0.662483368952168	NotSig	0.224	0.105	0.052	0.339	0.294	0.205	0.075	0.377	0.254	0.016	0.027	0.169	0.105	0.058
ASV_141	-0.444	10.149	0.375407242406228	0.662483368952168	NotSig	0.086	0.086	0.057	0.064	0.094	0.094	0.099	0.108	0.134	0.13	0.044	0.051	0.087	0.07
ASV_19	0.74	13.455	0.397342648707261	0.694385211333077	NotSig	1.28	0.565	1.079	0.999	1.204	1.704	0.451	2.243	0.97	0.046	0.039	1.661	0.059	0.612
ASV_146	0.654	10.846	0.414967901893563	0.71232042145209	NotSig	0.223	0.094	0.047	0.114	0.541	0.186	0.4	0.047	0.213	0.019	0.015	0.225	0.043	0.048
ASV_143	-0.483	10.754	0.415520245847053	0.71232042145209	NotSig	0.132	0.133	0.077	0.064	0.121	0.275	0.093	0.16	0.1	0.322	0.133	0.104	0.075	0.062
ASV_156	1.016	6.623	0.425851902500777	0.713149024265065	NotSig	0.005	0.002	0	0.024	0.002	0	0.003	0	0	0	0.002	0.005	0	0.002
ASV_30	0.577	8.64	0.426091726690185	0.713149024265065	NotSig	0.038	0.02	0.022	0.019	0.051	0.043	0.03	0.063	0.002	0.009	0.015	0.007	0.009	0.077
ASV_14	-0.825	12.444	0.427889414559039	0.713149024265065	NotSig	0.382	0.471	0.067	0.318	0.036	1.24	0.349	0.278	0.061	0.051	0.027	0.039	1.205	1.442
ASV_1200	-0.787	10.341	0.433162806359985	0.715314726099057	NotSig	0.084	0.11	0.01	0.079	0.123	0.125	0.003	0.163	0.35	0.007	0.005	0.22	0.048	0.029
ASV_114	-0.571	11.678	0.441431710328606	0.717251889274761	NotSig	0.238	0.26	0.381	0.048	0.164	0.229	0.236	0.368	0.09	0.813	0.313	0.142	0.16	0.038
ASV_33	0.492	12.611	0.449939202127951	0.717251889274761	NotSig	0.669	0.371	0.695	1.826	0.304	0.372	0.57	0.246	0.384	0.123	0.355	0.261	0.224	0.881
ASV_154	0.752	6.409	0.452644317795908	0.717251889274761	NotSig	0.003	0.001	0.002	0.005	0.002	0	0.003	0.005	0	0.002	0	0	0.002	0.002
ASV_139	-0.952	6.577	0.452645603522228	0.717251889274761	NotSig	0.002	0.003	0.012	0	0	0	0	0	0	0	0.005	0.002	0.007	0.005
ASV_73	-0.468	11.409	0.454259529874015	0.717251889274761	NotSig	0.214	0.206	0.097	0.453	0.212	0.154	0.308	0.061	0.154	0.088	0.247	0.092	0.375	0.283
ASV_94	-0.417	9.039	0.459904723883255	0.719850872165095	NotSig	0.037	0.036	0.022	0.034	0.053	0.041	0.021	0.052	0.039	0.009	0.054	0.041	0.041	0.031
ASV_552	0.449	10.794	0.473864479611129	0.731466696426688	NotSig	0.191	0.102	0.167	0.151	0.154	0.487	0.125	0.063	0.161	0.107	0.192	0.089	0.027	0.036
ASV_157	-0.353	13.319	0.487027866855758	0.731466696426688	NotSig	0.846	0.79	1.121	0.525	0.804	0.927	1.012	0.685	0.882	0.591	1.48	0.642	0.521	0.624
ASV_79	0.661	11.845	0.490599407422627	0.731466696426688	NotSig	0.401	0.191	0.229	0.127	0.258	0.06	0.687	1.044	0.076	0.869	0.035	0.027	0.123	0.014
ASV_68	0.918	12.476	0.495796605137681	0.731466696426688	NotSig	0.707	0.31	0.017	1.436	0.034	2.7	0.024	0.032	0.017	0.023	0.015	0.012	0.048	1.747
ASV_105	0.752	6.743	0.505369532175818	0.731466696426688	NotSig	0.005	0.002	0.002	0.019	0	0.01	0	0.002	0.01	0	0	0.002	0.002	0
ASV_98	0.706	11.467	0.508146758941409	0.731466696426688	NotSig	0.345	0.143	0.032	0.003	0.714	0.347	0.681	0.294	0.354	0.007	0.017	0.406	0.011	0.065
ASV_453	0.357	10.68	0.509468279809478	0.731466696426688	NotSig	0.172	0.099	0.13	0.074	0.304	0.28	0.111	0.136	0.076	0.141	0.114	0.07	0.032	0.158
ASV_76	-0.345	11.047	0.513875989218528	0.731466696426688	NotSig	0.172	0.159	0.092	0.103	0.292	0.145	0.161	0.239	0.237	0.234	0.178	0.08	0.149	0.079
ASV_173	-0.326	10.712	0.517307663542172	0.731466696426688	NotSig	0.132	0.123	0.179	0.119	0.154	0.068	0.087	0.185	0.112	0.107	0.17	0.089	0.128	0.132
ASV_126	0.75	10.162	0.518776976136217	0.731466696426688	NotSig	0.135	0.056	0.045	0.13	0.179	0.442	0.009	0.005	0.002	0.005	0.027	0	0.114	0.185
ASV_25	0.591	12.746	0.520346842794561	0.731466696426688	NotSig	0.741	0.328	0.399	0.443	0.886	0.603	0.314	1.801	0.068	0.076	0.555	0.022	1.193	0.055
ASV_34	-0.479	8.352	0.521583667028997	0.731466696426688	NotSig	0.02	0.021	0.022	0.042	0.012	0.005	0.006	0.032	0.017	0.002	0.012	0.017	0.03	0.05
ASV_170	0.412	11.001	0.52408204282524	0.731466696426688	NotSig	0.21	0.123	0.207	0.397	0.036	0.362	0.125	0.133	0.31	0.065	0.057	0.116	0.069	0.12
ASV_174	0.325	10.804	0.524217799105793	0.731466696426688	NotSig	0.187	0.106	0.092	0.101	0.208	0.335	0.239	0.145	0.098	0.183	0.086	0.06	0.091	0.118
ASV_7	0.585	13.61	0.535359882063178	0.741267529010554	NotSig	1.379	0.692	0.045	2.003	1.726	1.725	0.355	2.417	2.075	0.044	0.042	1.108	0.576	0.305
ASV_152	-0.668	7.039	0.545848818165765	0.75002127686899	NotSig	0.005	0.006	0	0	0.002	0.002	0.018	0.009	0.002	0	0	0.017	0.002	0.014
ASV_62	0.5	12.762	0.553125139996177	0.752688983473581	NotSig	0.734	0.382	0.027	0.416	0.307	0.794	1.018	1.839	0.303	1.042	0.057	0.517	0.208	0.166
ASV_132	-0.321	11.27	0.556792697306902	0.752688983473581	NotSig	0.204	0.19	0.197	0.294	0.181	0.13	0.311	0.111	0.232	0.06	0.195	0.22	0.08	0.355
ASV_117	-0.44	11.713	0.560335132141444	0.752688983473581	NotSig	0.266	0.288	0.204	0.143	0.154	0.748	0.122	0.224	0.626	0.016	0.143	0.116	0.119	0.71
ASV_24	-0.308	13.388	0.580318768200601	0.76339951703549	NotSig	0.93	0.807	0.64	1.079	1.419	0.678	1.404	0.361	0.677	0.283	1.325	0.778	0.75	1.027
ASV_81	0.325	11.927	0.583133453630941	0.76339951703549	NotSig	0.402	0.225	0.7	0.31	0.244	0.466	0.493	0.201	0.269	0.12	0.067	0.403	0.258	0.23
ASV_45	0.591	7.923	0.583195166095017	0.76339951703549	NotSig	0.02	0.01	0.027	0.074	0.005	0.002	0	0.009	0.002	0	0.01	0.002	0.018	0.026
ASV_100	0.297	10.472	0.585272963060542	0.76339951703549	NotSig	0.14	0.082	0.042	0.085	0.118	0.169	0.182	0.244	0.066	0.1	0.081	0.097	0.073	0.077
ASV_1277	0.404	10.899	0.598816637249635	0.764869436487253	NotSig	0.199	0.112	0.027	0.405	0.302	0.241	0.048	0.172	0.296	0.023	0.017	0.152	0.087	0.096
ASV_66	-0.25	12.058	0.600176939430327	0.764869436487253	NotSig	0.361	0.314	0.336	0.366	0.446	0.302	0.335	0.384	0.501	0.183	0.271	0.263	0.359	0.307
ASV_70	0.368	11.214	0.60440023044715	0.764869436487253	NotSig	0.248	0.146	0.364	0.159	0.265	0.212	0.311	0.176	0.061	0.405	0.03	0.019	0.053	0.31
ASV_67	-0.331	10.996	0.605554589689256	0.764869436487253	NotSig	0.172	0.15	0.1	0.164	0.34	0.256	0.09	0.081	0.188	0.076	0.03	0.068	0.288	0.247
ASV_128	0.565	10.493	0.607646274542651	0.764869436487253	NotSig	0.146	0.089	0.02	0.156	0.133	0.162	0.003	0.404	0.12	0.012	0.007	0.002	0.007	0.386
ASV_91	0.411	11.31	0.619359593901588	0.774199492376984	NotSig	0.285	0.153	0.047	0.04	0.874	0.495	0.051	0.203	0.066	0.104	0.035	0.159	0.066	0.487
ASV_150	-0.262	11.06	0.628005176096807	0.779592632396036	NotSig	0.176	0.16	0.222	0.281	0.104	0.125	0.212	0.113	0.225	0.053	0.155	0.188	0.082	0.254
ASV_3	-0.356	15.851	0.636417326478049	0.780778018265958	NotSig	4.809	4.645	8.264	2.547	0.512	2.715	9.889	4.925	5.766	2.154	0.795	2.485	6.295	10.375
ASV_120	0.305	12.708	0.645328197378719	0.780778018265958	NotSig	0.728	0.412	0.449	0.111	0.611	0.695	2.115	0.386	0.623	0.72	0.126	0.283	0.359	0.362
ASV_78	0.501	11.727	0.646043205302889	0.780778018265958	NotSig	0.378	0.191	0.479	0.082	0.053	1.578	0.072	0.007	0.037	0.899	0.086	0.031	0.041	0.05
ASV_122	0.46	11.572	0.646310692897932	0.780778018265958	NotSig	0.33	0.163	0.197	0.249	0.217	0.504	0.502	0.31	0.012	0.591	0.01	0.353	0.007	0.007
ASV_136	0.254	11.199	0.654670222201876	0.785604266642251	NotSig	0.237	0.145	0.399	0.183	0.244	0.285	0.215	0.097	0.218	0.227	0.202	0.116	0.071	0.038
ASV_118	0.302	7.414	0.661907989944635	0.788331588880769	NotSig	0.011	0.007	0.01	0.016	0.007	0.01	0.003	0.02	0.007	0.014	0.007	0.005	0.005	0.002
ASV_153	0.26	10.558	0.666689490153953	0.788331588880769	NotSig	0.148	0.092	0.082	0.27	0.072	0.075	0.266	0.124	0.093	0.021	0.086	0.089	0.087	0.173
