ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59
ASV_101	3.728	14.053	0.000304297830430662	0.00339799243980906	Enriched	0.677	0.051	0.431	0.312	0.634	0.403	1.022	0.58	1.7	0.244	0.223	0.883	0.8	0.89	0.015	0.002	0	0.014	0.011	0.048	0.064	0.099	0.073	0.119	0.149	0.018
ASV_867	-1.485	12.512	0.00879210321616095	0.0261809295770126	Depleted	0.084	0.235	0.018	0.007	0.051	0.119	0.106	0.047	0.269	0.134	0.058	0.039	0.068	0.092	0.584	0.208	0.094	0.2	0.192	0.07	0.413	0.056	0.155	0.199	0.23	0.422
ASV_75	-3.238	12.714	9.62979774772628e-05	0.00150592545171894	Depleted	0.037	0.352	0.018	0.007	0.007	0.008	0.083	0.094	0.017	0.016	0.03	0.131	0.029	0.007	0.469	0.127	0.229	0.357	0.341	0.672	0.123	0.354	0.51	0.266	0.629	0.15
ASV_79	-3.249	13.084	0.010179717161115	0.0284183770747792	Depleted	0.024	0.231	0.012	0.005	0.021	0.011	0.043	0.033	0.064	0.033	0.008	0.048	0.002	0.012	0.076	0.869	0.035	0.027	0.123	0.014	0.226	0.301	0.21	0.308	0.278	0.308
ASV_86	-4.16	12.451	0.000713041523487734	0.00502881916565034	Depleted	0.013	0.228	0.005	0.002	0.007	0.003	0.073	0.013	0.003	0.004	0.01	0.011	0	0.022	0.33	0.278	0.56	0.089	0.114	0.11	0.04	0.058	0.145	0.402	0.265	0.347
ASV_92	0.766	13.343	0.465692388919938	0.491360473348596	NotSig	0.229	0.135	0.009	0.014	0.007	0.609	0.007	1.039	0.014	0.024	0.313	0.244	0.041	0.424	0	0.007	0.01	0.174	0.005	1.018	0.028	0.01	0	0.007	0.341	0.016
ASV_134	-1.304	8.681	0.0887048547891127	0.125120532018327	NotSig	0.005	0.013	0.002	0.014	0.002	0.006	0.01	0.002	0.003	0	0	0.015	0.009	0	0.015	0.002	0	0.041	0.002	0.019	0.033	0.01	0.012	0	0.023	0
ASV_113	0.882	12.559	0.043802804101647	0.0715801920685451	Enriched	0.293	0.159	0.394	0.437	0.086	0.488	0.235	0.058	0.129	0.333	0.454	0.17	0.124	0.603	0.095	0.019	0.252	0.121	0.361	0.247	0.222	0.277	0.157	0.002	0.05	0.104
ASV_114	-0.417	12.989	0.486297569845198	0.509092768431691	NotSig	0.141	0.189	0.053	0.04	0.17	0.091	0.149	0.285	0.16	0.138	0.098	0.305	0.084	0.122	0.09	0.813	0.313	0.142	0.16	0.038	0.085	0.061	0.097	0.107	0.076	0.28
ASV_78	-2.333	13.204	0.0305418662101868	0.0553055415157436	Depleted	0.066	0.332	0.018	0.009	0.007	0.017	0.149	0.056	0.006	0	0	0.031	0.276	0.222	0.037	0.899	0.086	0.031	0.041	0.05	0.943	0.754	0.237	0.617	0.015	0.269
ASV_131	2.588	13.757	0.0467324993858852	0.0745494633060549	Enriched	0.363	0.06	1.083	0.116	0.023	0.102	0.05	0.076	0.014	0.659	0.303	0.44	1.385	0.102	0.007	0.005	0.035	0.024	0.009	0.019	0.057	0.524	0.007	0.012	0.018	0.008
ASV_109	0.799	13.519	0.170959276720024	0.212116139634104	NotSig	0.32	0.184	0.38	0.359	0.135	0.102	1.174	0.062	0.28	0.301	0.316	0.054	0.37	0.302	0.396	0.206	0.269	0.232	0.261	0.458	0.068	0.053	0.029	0.028	0.126	0.078
ASV_127	6.594	14.107	0.0133687867934032	0.0361453098546662	Enriched	0.604	0.006	1.765	1.298	0.06	0.157	0.03	0.054	0.05	0.008	1.246	1.576	0.029	0.972	0	0	0	0	0.016	0.005	0.002	0.015	0.002	0.009	0.015	0.01
ASV_104	-2.567	11.745	0.000100238184442386	0.00150592545171894	Depleted	0.028	0.167	0.012	0.002	0.042	0.069	0.066	0.018	0.031	0.053	0.005	0.002	0.029	0.01	0.127	0.107	0.259	0.133	0.112	0.271	0.116	0.199	0.082	0.089	0.343	0.171
ASV_552	1.125	14	0.222383232321642	0.263847249160132	NotSig	0.31	0.142	0.023	0.019	0.297	0.356	0.401	0.401	1.639	0.285	0.048	0.083	0.126	0.047	0.161	0.107	0.192	0.089	0.027	0.036	0.184	0.133	0.16	0.178	0.109	0.332
ASV_164	0.283	12.165	0.39088607687558	0.429333887715801	NotSig	0.21	0.172	0.203	0.255	0.353	0.163	0.269	0.109	0.459	0.089	0.15	0.161	0.147	0.157	0.142	0.109	0.313	0.053	0.222	0.252	0.156	0.121	0.123	0.103	0.389	0.086
ASV_112	-3.459	11.289	0.0454486648831484	0.0733749529438782	Depleted	0.005	0.059	0.009	0.007	0.007	0.003	0.017	0	0	0	0.008	0.002	0	0.012	0.039	0.25	0.012	0.184	0.009	0.012	0.012	0.046	0.131	0.002	0.013	0.003
ASV_133	-4.482	13.171	0.0364757090861821	0.0622432265131294	Depleted	0.009	0.209	0.012	0.009	0.009	0.008	0.01	0.004	0.006	0	0.01	0.011	0.02	0.012	0	0.012	0.02	0.002	0.009	0.312	0.922	0.592	0.16	0.152	0.326	0.003
ASV_98	-4.494	13.305	0.0258210302222476	0.050882618379135	Depleted	0.01	0.233	0.009	0.005	0.002	0.008	0	0	0	0.008	0.05	0.009	0.025	0.007	0.354	0.007	0.017	0.406	0.011	0.065	1.012	0.143	0.044	0.484	0.01	0.238
ASV_275	2.905	13.801	0.00428627356359934	0.0157835784754751	Enriched	0.49	0.065	0.088	0.142	0.293	0.728	0.219	0.816	0.543	0.858	0.514	1.428	0.102	0.15	0.046	0.012	0.328	0.051	0.016	0.154	0.083	0.01	0.022	0.019	0.033	0.013
ASV_110	-0.774	12.16	0.328458419602105	0.366778568555684	NotSig	0.056	0.096	0.032	0.002	0.016	0.052	0.056	0.051	0.176	0.041	0.115	0.041	0.045	0.045	0.029	0.014	0.012	0.027	0.007	0.151	0.458	0.051	0.162	0.084	0.149	0.01
ASV_87	-1.21	11.501	0.0952324950823692	0.127611543410375	NotSig	0.041	0.096	0.005	0.002	0.005	0.063	0.033	0.009	0.174	0.012	0.15	0.017	0.016	0.01	0.23	0.012	0.01	0.29	0.071	0.139	0.052	0.065	0.155	0.023	0.056	0.047
ASV_124	4.073	13.463	0.000101144246757242	0.00150592545171894	Enriched	0.564	0.034	0.479	0.203	0.311	0.334	0.69	0.582	0.35	0.309	0.78	1.129	1.125	0.481	0.044	0.005	0.015	0.036	0.032	0.017	0.066	0.051	0.053	0.002	0.058	0.023
ASV_99	-4.695	13.113	0.0273354448408084	0.0523278515524047	Depleted	0.01	0.248	0.012	0.012	0.012	0.006	0.017	0.013	0.003	0.008	0.013	0.007	0.005	0.01	0.051	0.076	0.007	0.053	0.098	0.058	0.035	0.5	0.851	0.336	0.886	0.023
ASV_118	6.494	14.766	0.0222437584608016	0.0474579803329189	Enriched	0.764	0.008	0.12	0.35	1.345	2.705	0.391	0.346	0.49	2.785	0.171	0.028	0.305	0.135	0.007	0.014	0.007	0.005	0.005	0.002	0.007	0.01	0	0.019	0.003	0.023
ASV_97	-1.127	13.003	0.11554312570751	0.147455036617203	NotSig	0.101	0.221	0.129	0.033	0.028	0.041	0.335	0.096	0.05	0.069	0.148	0.098	0.106	0.08	0.174	0.176	0.501	0.27	0.267	0.821	0.163	0.015	0.027	0.023	0.111	0.104
ASV_105	7.2	15.327	0.0675422378625997	0.0988447644999342	NotSig	0.741	0.005	0.355	0.523	2.504	0.008	4.109	0.138	0.017	0.439	0.283	0.011	0.215	0.289	0.01	0	0	0.002	0.002	0	0.009	0.005	0.007	0.012	0.008	0.005
ASV_96	-2.673	11.325	3.09393241764095e-09	4.14586943963887e-07	Depleted	0.028	0.181	0.104	0.035	0.007	0	0.02	0.029	0.003	0.004	0.035	0.026	0.063	0.015	0.193	0.155	0.257	0.157	0.119	0.202	0.156	0.199	0.191	0.21	0.227	0.111
ASV_137	-0.812	12.188	0.0945039116823453	0.127611543410375	NotSig	0.088	0.155	0.014	0.021	0.107	0.058	0.083	0.163	0.109	0.053	0.12	0.144	0.095	0.09	0.247	0.086	0.101	0.094	0.066	0.067	0.134	0.133	0.467	0.206	0.23	0.023
ASV_143	0.679	12.715	0.114880777923285	0.147455036617203	NotSig	0.232	0.145	0.113	0.092	0.137	0.13	0.219	0.234	0.672	0.216	0.188	0.44	0.156	0.192	0.1	0.322	0.133	0.104	0.075	0.062	0.127	0.196	0.111	0.213	0.111	0.187
ASV_115	0.47	12.722	0.325071584790085	0.366046994637575	NotSig	0.209	0.151	0.048	0.033	0.139	0.108	0.206	0.212	0.305	0.094	0.286	0.676	0.258	0.147	0.083	0.102	0.239	0.012	0.059	0.091	0.179	0.357	0.23	0.138	0.25	0.073
ASV_129	0.334	10.939	0.445987829702374	0.478098953440945	NotSig	0.09	0.071	0.124	0.196	0.072	0.03	0.126	0.025	0.045	0.167	0.083	0.009	0.041	0.16	0.032	0.016	0.091	0.053	0.014	0.041	0.087	0.107	0.046	0.042	0.131	0.194
ASV_1446	-1.591	12.714	0.0180207670172999	0.0431211210771104	Depleted	0.07	0.21	0.046	0.028	0.072	0.039	0.05	0.091	0.151	0.028	0.09	0.089	0.095	0.055	0.051	0.672	0.183	0.039	0.091	0.055	0.167	0.31	0.167	0.301	0.225	0.254
ASV_122	-1.416	12.528	0.231044333237184	0.271578426787567	NotSig	0.051	0.137	0.012	0	0.002	0.003	0.007	0.007	0.008	0.004	0.008	0.002	0.562	0.002	0.012	0.591	0.01	0.353	0.007	0.007	0.113	0.002	0.251	0.07	0.119	0.111
ASV_103	3.53	14.033	0.0839240215558605	0.119636371154099	NotSig	0.368	0.032	0	0.005	0.323	1.676	0.143	0.025	0.7	1.525	0.008	0.007	0.002	0.007	0.005	0	0	0.002	0	0	0.064	0.049	0.046	0.049	0.008	0.161
ASV_102	1.404	12.511	0.0155600026837654	0.0393403841438597	Enriched	0.28	0.106	0.472	0.312	0.29	0.281	0.584	0.042	0.092	0.525	0.308	0.068	0.14	0.242	0.061	0.021	0.553	0.072	0.085	0.094	0.083	0.036	0.121	0.019	0.083	0.041
