""	"FBG"	"Weight"	"OGTT"	"Acetic.acid"	"Propionic.acid"	"Butyric.acid"	"Valeric.acid"	"Isovaleric.acid"
"Duncaniella"	"0.298483991052668"	"-0.104642281710084"	"0.0169352927772685"	"0.0540089195923016"	"-0.0387860553345275"	"-0.0253812920046079"	"-0.132773109243698"	"0.00504201680672269"
"Eisenbergiella"	"-0.243038753530341"	"0.173987479387189"	"0.0423738551988998"	"0.00844599414500916"	"0.0945150708173549"	"-0.0033870196992255"	"0.0302775548632157"	"0.107653528402545"
"Enterocloster"	"-0.150085170642302"	"0.165402316251424"	"-0.132095283662694"	"0.0202533448471131"	"0.102867364148095"	"0.0423021533410131"	"-0.119327731092437"	"0.152941176470588"
"Eubacterium"	"-0.101266147304309"	"-0.00506759648700549"	"0.0322041299511638"	"-0.0692571519890751"	"0.0135021529739078"	"0.128706748570569"	"0.198486192992192"	"0.104289355639965"
"Flintibacter"	"-0.258446314666412"	"0.287405826932759"	"0"	"-0.145393535977749"	"0.0253378739869032"	"0.0864417954340528"	"-0.0858587075280986"	"0.0993267400815258"
"Harryflintia"	"-0.083765089666939"	"-0.0889688661798178"	"-0.298717838717313"	"-0.0787032277744542"	"-0.23761933599397"	"0.0943418432006565"	"-0.182299724763688"	"0.107335351963667"
"Kineothrix"	"-0.153976311336717"	"0.206604646460821"	"-0.0883610351894193"	"0.0846740354347629"	"0.116751269035533"	"0.100170356770824"	"0.0118044516235519"	"0.0691403595093751"
"Lachnospiracea_incertae_sedis"	"0.236287677043387"	"-0.0658787543310714"	"0.0966123898534915"	"0.126689912175137"	"0.0641352266260623"	"0.0779014530821866"	"-0.090832664589647"	"-0.00336417276257952"
"Lacrimispora"	"0.0405748243018815"	"-0.0118443485966272"	"-0.0220715935985869"	"0.155668581555671"	"0.0338123535849012"	"-0.0508910428835526"	"-0.0134794027813312"	"-0.111205072945982"
"Lawsonibacter"	"-0.226542769018838"	"0.225042623335916"	"0.113753597777333"	"-0.0727581413792812"	"0.209636592226388"	"0.0814256686136841"	"0"	"0.111205072945982"
"Mediterraneibacter"	"-0.144313225856272"	"-0.101954451827529"	"-0.0545609746436715"	"-0.0169924086379214"	"-0.19524730557025"	"0.0936967632027257"	"0.0862963928156668"	"0.03214963653917"
"Muribaculum"	"0.330508949309375"	"-0.179813465866654"	"0.0238298649050733"	"-0.0339270690314441"	"-0.0898306375045993"	"-0.110544377551682"	"-0.173988720536971"	"-0.0962850201029841"
"Neglecta"	"0.0400513349489515"	"-0.263168461766554"	"-0.162636133578589"	"-0.214369011902557"	"-0.160205339795806"	"0.108331695265648"	"0.0242969887917713"	"0.104129951964734"
"Oscillibacter"	"-0.175824238641486"	"0.296108714915679"	"0.0865885595021486"	"-0.0626058425821722"	"0.155536826490546"	"0.0441055704990789"	"-0.0606573125159902"	"0.0876161180786525"
"Paramuribaculum"	"0.263291982991203"	"-0.170609081729185"	"0.0728830309421076"	"-0.0557435613570604"	"0"	"-0.0541923151876081"	"-0.090832664589647"	"-0.0538267642012723"
"Roseburia"	"-0.0578238818581428"	"0.248512888311574"	"0.194705451013165"	"0"	"0.136056192607395"	"0.0904438176971828"	"0.0593241642211075"	"0.0830538299095505"
"Saccharibacteria_genera_incertae_sedis"	"0.0609507931143426"	"0.127550523871787"	"-0.155807959439162"	"0.00554567495094724"	"0.0221639247688519"	"0.0370655208095683"	"-0.0773125449168376"	"0.15830663959162"
"Streptococcus"	"0.422859846747795"	"-0.284989574552861"	"0.0907539568529682"	"0.240619940191338"	"-0.00682032010883541"	"-0.0684351854353595"	"-0.105359018044495"	"-0.10875769604593"
"Vallitalea"	"-0.0631846193000202"	"0.258881147569193"	"0.00991462589036927"	"-0.130428669767685"	"-0.0197451935312563"	"0.162461304828615"	"-0.0983935560470672"	"0.173172658642838"
"Veillonella"	"0.0736354268294949"	"0.0325641456504003"	"0.368024777461737"	"0.0822673153273272"	"0.214056473341555"	"-0.149490052845801"	"0.168961908003732"	"-0.257709576854178"
