""	"FBG"	"Weight"	"OGTT"	"Acetic.acid"	"Propionic.acid"	"Butyric.acid"	"Valeric.acid"	"Isovaleric.acid"
"Lacrimispora"	"0.0579254869954472"	"0.00325999650002514"	"0.0820914172140781"	"0.184020898547784"	"0.0151852034233465"	"-0.116794164011944"	"-0.0408470194057478"	"-0.196677472694803"
"Lawsonibacter"	"-0.210210659996434"	"0.250697689713638"	"0.18360442764204"	"-0.102728850828214"	"0.309885611138795"	"0.0561429716320705"	"0.0179969065645113"	"0.131355738502252"
"Mediterraneibacter"	"-0.113083494130195"	"-0.313072265000088"	"-0.0931438037952798"	"0.0521272893873616"	"-0.214724126079952"	"0.127997477952512"	"0.0682516671483537"	"0.0639163097080598"
"Muribaculum"	"0.433166801335395"	"-0.104979996721419"	"0.119554568197463"	"0.0114183339201233"	"-0.00555965358363667"	"-0.05319178904791"	"-0.214905822875254"	"-0.123618551393485"
"Neglecta"	"0.0153766443361891"	"-0.192600472017696"	"-0.285398583142263"	"-0.228721479639747"	"-0.09048129252337"	"0.107822541993618"	"0.136252207409932"	"0.0744829856355732"
"Oscillibacter"	"-0.175151742644376"	"0.353696400227349"	"0.0679099598876263"	"-0.0860833953456261"	"0.232572072007115"	"0.111144104853986"	"-0.0549518229514405"	"0.151760630876054"
"Paramuribaculum"	"0.294692857856066"	"-0.0722735160987893"	"0.1915636913604"	"-0.0411403402513267"	"0.000358834190085755"	"-0.108898529618518"	"-0.117896284733525"	"-0.136877030291367"
"Roseburia"	"0.0283986522001808"	"0.240856755673391"	"0.272496983334579"	"-0.00476269238365451"	"0.230439977102706"	"0.0881003819998618"	"0.0907796388299145"	"0.19888027545787"
"Saccharibacteria_genera_incertae_sedis"	"0.105938966696181"	"0.00780277347500405"	"-0.14560148440108"	"0.187287343160601"	"0.0393325110033093"	"-0.00285676891298225"	"-0.0887443269856437"	"0.00792681744409157"
"Streptococcus"	"0.47414075599864"	"-0.464324961594752"	"0.0521417841765034"	"0.334628125010836"	"0.0383112312242783"	"-0.0443168767180934"	"-0.138776404276521"	"-0.10827227178957"
"Vallitalea"	"-0.130792893808995"	"-0.0384884249868946"	"-0.0875903505030919"	"-0.192304831342129"	"-0.222875787560956"	"-0.0307236250340355"	"-0.199269292649086"	"0.0747883304379238"
"Veillonella"	"0.101924742993015"	"0.183538497527422"	"0.341614793826261"	"-0.0149423641911013"	"0.144459319714753"	"-0.159050223154955"	"0.254560388437527"	"-0.224556367804218"
