jaccard_binary	HD1	HD10	HD9	HD7	HD4	MD2	MD3	MD4	HD11	HD12	HD13	HD14	HD15	MD5	HD8	MD9	MD10	MD7	MD14	HD3	MD1	MD11	HD6	HD2	HD5	MD8	MD12	MD6	NC1	NC3	NC10	NC4	NC7	NC9	NC2	NC5	NC6	NC11	NC15	NC12	NC13	NC8	NC14	MD13	MD15
NC4	0.528	0.547	0.530	0.547	0.525	0.519	0.491	0.520	0.543	0.528	0.576	0.560	0.566	0.528	0.562	0.552	0.548	0.530	0.535	0.527	0.532	0.555	0.522	0.533	0.567	0.533	0.561	0.567	0.419	0.424	0.409	0	0.416	0.435	0.422	0.410	0.446	0.474	0.437	0.474	0.453	0.489	0.517	0.709	0.678
NC7	0.533	0.540	0.543	0.556	0.535	0.534	0.545	0.531	0.571	0.553	0.602	0.568	0.576	0.535	0.578	0.559	0.551	0.552	0.563	0.533	0.541	0.577	0.538	0.560	0.583	0.585	0.584	0.566	0.436	0.441	0.409	0.416	0	0.405	0.438	0.419	0.415	0.480	0.453	0.451	0.462	0.478	0.518	0.726	0.690
NC9	0.532	0.528	0.536	0.543	0.546	0.507	0.536	0.521	0.557	0.551	0.604	0.543	0.572	0.525	0.577	0.555	0.556	0.526	0.566	0.516	0.552	0.561	0.530	0.547	0.558	0.565	0.564	0.570	0.438	0.437	0.419	0.435	0.405	0	0.436	0.462	0.413	0.475	0.468	0.498	0.474	0.446	0.514	0.723	0.693
NC2	0.526	0.569	0.575	0.565	0.552	0.553	0.553	0.539	0.577	0.566	0.615	0.587	0.609	0.549	0.600	0.585	0.561	0.551	0.591	0.545	0.556	0.574	0.551	0.579	0.577	0.592	0.597	0.585	0.411	0.420	0.461	0.422	0.438	0.436	0	0.397	0.456	0.511	0.474	0.486	0.486	0.463	0.527	0.732	0.699
NC5	0.521	0.549	0.550	0.541	0.529	0.521	0.524	0.531	0.553	0.540	0.579	0.571	0.577	0.538	0.564	0.541	0.548	0.532	0.557	0.524	0.545	0.572	0.524	0.568	0.566	0.569	0.591	0.573	0.424	0.415	0.431	0.410	0.419	0.462	0.397	0	0.462	0.477	0.431	0.455	0.471	0.465	0.514	0.727	0.682
NC6	0.538	0.546	0.540	0.560	0.548	0.523	0.520	0.534	0.555	0.545	0.602	0.570	0.583	0.555	0.563	0.553	0.556	0.556	0.578	0.525	0.559	0.570	0.541	0.561	0.582	0.560	0.592	0.572	0.450	0.460	0.426	0.446	0.415	0.413	0.456	0.462	0	0.467	0.470	0.461	0.465	0.454	0.506	0.721	0.689
NC11	0.522	0.549	0.545	0.555	0.520	0.528	0.528	0.529	0.521	0.510	0.570	0.545	0.578	0.525	0.559	0.555	0.545	0.540	0.546	0.540	0.531	0.551	0.540	0.559	0.553	0.542	0.567	0.578	0.490	0.489	0.466	0.474	0.480	0.475	0.511	0.477	0.467	0	0.404	0.414	0.421	0.499	0.472	0.707	0.673
NC15	0.524	0.554	0.547	0.555	0.520	0.526	0.533	0.526	0.547	0.529	0.569	0.557	0.588	0.546	0.565	0.556	0.536	0.530	0.558	0.528	0.535	0.556	0.538	0.561	0.565	0.565	0.570	0.593	0.465	0.439	0.449	0.437	0.453	0.468	0.474	0.431	0.470	0.404	0	0.418	0.435	0.495	0.477	0.721	0.687
NC12	0.515	0.549	0.537	0.544	0.502	0.521	0.522	0.531	0.519	0.512	0.524	0.544	0.568	0.521	0.540	0.537	0.530	0.520	0.543	0.501	0.525	0.538	0.556	0.546	0.555	0.553	0.545	0.566	0.465	0.474	0.468	0.474	0.451	0.498	0.486	0.455	0.461	0.414	0.418	0	0.412	0.509	0.460	0.708	0.671
NC13	0.545	0.567	0.559	0.573	0.526	0.545	0.546	0.556	0.544	0.537	0.576	0.571	0.573	0.577	0.593	0.575	0.567	0.539	0.574	0.546	0.551	0.585	0.554	0.587	0.588	0.560	0.586	0.584	0.470	0.459	0.472	0.453	0.462	0.474	0.486	0.471	0.465	0.421	0.435	0.412	0	0.495	0.459	0.737	0.705
NC8	0.567	0.592	0.592	0.600	0.577	0.568	0.565	0.568	0.605	0.600	0.638	0.617	0.632	0.568	0.624	0.603	0.583	0.578	0.604	0.553	0.573	0.595	0.569	0.588	0.584	0.609	0.636	0.569	0.475	0.461	0.480	0.489	0.478	0.446	0.463	0.465	0.454	0.499	0.495	0.509	0.495	0	0.516	0.720	0.689
NC14	0.533	0.534	0.534	0.551	0.514	0.537	0.527	0.533	0.536	0.542	0.524	0.570	0.572	0.552	0.547	0.548	0.555	0.540	0.555	0.541	0.535	0.550	0.555	0.574	0.571	0.551	0.582	0.565	0.512	0.505	0.505	0.517	0.518	0.514	0.527	0.514	0.506	0.472	0.477	0.460	0.459	0.516	0	0.740	0.708
MD13	0.686	0.698	0.702	0.689	0.687	0.671	0.691	0.680	0.677	0.656	0.692	0.646	0.677	0.685	0.690	0.697	0.692	0.672	0.661	0.671	0.684	0.662	0.669	0.681	0.696	0.668	0.639	0.689	0.738	0.726	0.714	0.709	0.726	0.723	0.732	0.727	0.721	0.707	0.721	0.708	0.737	0.720	0.740	0	0.557
MD15	0.664	0.686	0.693	0.680	0.657	0.670	0.680	0.671	0.688	0.663	0.699	0.662	0.701	0.664	0.673	0.687	0.702	0.668	0.694	0.672	0.665	0.686	0.670	0.647	0.646	0.682	0.661	0.673	0.699	0.687	0.688	0.678	0.690	0.693	0.699	0.682	0.689	0.673	0.687	0.671	0.705	0.689	0.708	0.557	0
