ANC	CLMAT	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Amedibacillus	0.0025	0.00141666666666667	0.00156666666666667	0.0448333333333333
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Enterobacter	0.00133333333333333	0.00216666666666667	0.00156666666666667	0.0476666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1|Clostridium_sensu_stricto	0.00125	0.00183333333333333	0.0013	0.034
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalibaculum	0.00133333333333333	0.00116666666666667	0.0012	0.0258333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Cuneatibacter	0.00118333333333333	0.00133333333333333	0.00112857142857143	0.0363333333333333
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella	0.001	0.000833333333333333	9e-04	0.0325
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Ligilactobacillus	0.002	0	0.000852380952380952	0.0446666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Caecibacterium	0.000666666666666667	0.001	8e-04	0.0566666666666667
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Paramuribaculum	-8.33333333333334e-05	0.00166666666666667	0.000733333333333333	0.078
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillibacter	0.000583333333333333	0.001	0.000733333333333333	0.0425
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter	0.00133333333333333	0.000583333333333333	0.000733333333333333	0.0161666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerocolumna	0.001	5e-04	0.000666666666666667	0.0218333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	5e-04	0.000833333333333333	0.000619047619047619	0.048
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Unassigned	0.001	0.000333333333333333	5e-04	0.0113333333333333
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae|Barnesiella	0.000333333333333333	0.001	5e-04	0.031
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes	8.33333333333333e-05	0.00125	5e-04	0.0388333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnotalea	0.001	0.000333333333333333	5e-04	0.0411666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaeromassilibacillus	0.000333333333333333	0.001	5e-04	0.0278333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Clostridium_XlVa	5e-04	0.000333333333333333	4e-04	0.0118333333333333
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Adlercreutzia	0.000333333333333333	0.000333333333333333	0.000333333333333333	0.021
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellamassilia	5e-04	0.00025	0.000333333333333333	0.0106666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Marvinbryantia	0.000333333333333333	0.000333333333333333	0.000333333333333333	0.0206666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Sellimonas	5e-04	0.00025	0.000333333333333333	0.0045
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	0.00025	0.000333333333333333	0.000285714285714286	0.00583333333333333
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Siccibacter	0.000333333333333333	0.00025	0.000285714285714286	0.0146666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae_2|Pelotomaculum	0.000333333333333333	0	0.00025	0.00906666666666667
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium	0	0	0	0.00933333333333333
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Unassigned|Unassigned	0	0	0	0.006
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned|Unassigned	0	0	0	0.006
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Enteroscipio	0	0	0	0.0016
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Duncaniella	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Unassigned	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Unassigned	0	0	0	0.0103333333333333
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae|Mucispirillum	0	0	0	0.00333333333333333
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	0	0	0	0.00583333333333333
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Limosilactobacillus	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Acetatifactor	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Agathobacter	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Eisenbergiella	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Enterocloster	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Falcatimonas	0	0	0	0.015
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Hungatella	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Kineothrix	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospira	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiracea_incertae_sedis	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Merdimonas	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Muricomes	0	0	0	0.00983333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae_1|Desulfitobacterium	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Acetivibrio	0	0	0	0.0045
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Acutalibacter	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Dysosmobacter	0	0	0	0.0158333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Gemmiger	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Harryflintia	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Neglecta	0	0	0	0.00783333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruthenibacterium	0	0	0	0.0105
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Unassigned	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned|Unassigned	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Allobaculum	0	0	0	0.00583333333333333
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Breznakia	0	0	0	0.0166666666666667
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Unassigned|Unassigned	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Reyranellaceae|Reyranella	0	0	0	0.00533333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Mediterraneibacter	0	-0.000133333333333333	-0.000166666666666667	0.0165
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Unassigned	-0.000166666666666667	-5e-04	-0.000266666666666667	0.0113333333333333
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	-0.000333333333333333	-0.000333333333333333	-0.000333333333333333	0.0151666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Monoglobus	-0.000333333333333333	-0.000333333333333333	-0.000333333333333333	0.00583333333333333
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia	-5e-04	-0.00025	-0.000333333333333333	0.00783333333333333
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia	-0.000333333333333333	-5e-04	-4e-04	0.00583333333333333
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum	-0.000333333333333333	-5e-04	-4e-04	0.006
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia	-5e-04	-0.000333333333333333	-4e-04	0.0136666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Fusicatenibacter	-5e-04	-0.000333333333333333	-4e-04	0.0103333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Stomatobaculum	-5e-04	-0.000333333333333333	-4e-04	0.006
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Syntrophococcus	-0.000333333333333333	-5e-04	-4e-04	0.0341666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Unassigned	-0.000333333333333333	-5e-04	-4e-04	0.007
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Pseudescherichia	-5e-04	-0.000333333333333333	-4e-04	0.00583333333333333
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Melissococcus	-0.000666666666666667	-0.000666666666666667	-0.000666666666666667	0.00533333333333333
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella	-0.000916666666666667	-0.000833333333333333	-0.000866666666666667	0.0593333333333333
