OTU	Group
ASV_14	NC5
ASV_14	NC7
ASV_14	NC8
ASV_16	HD10
ASV_16	HD11
ASV_16	HD12
ASV_16	HD13
ASV_16	HD14
ASV_16	HD15
ASV_16	HD2
ASV_16	HD3
ASV_16	HD4
ASV_16	HD5
ASV_16	HD6
ASV_16	HD7
ASV_16	HD8
ASV_16	HD9
ASV_16	MD1
ASV_16	MD10
ASV_16	MD11
ASV_16	MD12
ASV_16	MD14
ASV_16	MD2
ASV_16	MD3
ASV_16	MD4
ASV_16	MD5
ASV_16	MD6
ASV_16	MD7
ASV_16	MD8
ASV_16	MD9
ASV_16	NC1
ASV_16	NC14
ASV_16	NC2
ASV_16	NC3
ASV_16	NC4
ASV_16	NC5
ASV_10	HD10
ASV_10	HD11
ASV_10	HD12
ASV_10	HD13
ASV_10	HD14
ASV_10	HD15
ASV_10	HD2
ASV_10	HD3
ASV_10	HD4
ASV_10	HD5
ASV_10	HD6
ASV_10	HD7
ASV_10	HD9
ASV_10	MD1
ASV_10	MD10
ASV_10	MD11
ASV_10	MD12
ASV_10	MD14
ASV_10	MD2
ASV_10	MD3
ASV_10	MD4
ASV_10	MD5
ASV_10	MD6
ASV_10	MD7
ASV_10	MD8
ASV_10	MD9
ASV_10	NC1
ASV_10	NC10
ASV_10	NC11
ASV_10	NC12
ASV_10	NC13
ASV_10	NC14
ASV_10	NC15
ASV_10	NC2
ASV_10	NC3
ASV_10	NC4
ASV_10	NC5
ASV_10	NC6
ASV_10	NC7
ASV_10	NC8
ASV_10	NC9
ASV_22	HD11
ASV_22	HD12
ASV_22	HD2
ASV_22	HD3
ASV_22	HD4
ASV_22	HD5
ASV_22	HD6
ASV_22	MD1
ASV_22	MD10
ASV_22	MD11
ASV_22	MD12
ASV_22	MD15
ASV_22	MD2
ASV_22	MD3
ASV_22	MD4
ASV_22	MD5
ASV_22	MD6
ASV_22	MD7
ASV_22	MD8
ASV_22	NC1
ASV_22	NC10
ASV_22	NC11
ASV_22	NC12
ASV_22	NC13
ASV_22	NC14
ASV_22	NC15
ASV_22	NC2
ASV_22	NC3
ASV_22	NC4
ASV_22	NC5
ASV_22	NC6
ASV_22	NC7
ASV_22	NC8
ASV_22	NC9
ASV_27	HD10
ASV_27	HD11
ASV_27	HD12
ASV_27	HD13
ASV_27	HD14
ASV_27	HD15
ASV_27	HD2
ASV_27	HD4
ASV_27	HD5
ASV_27	HD6
ASV_27	HD7
ASV_27	HD9
ASV_27	MD10
ASV_27	MD11
ASV_27	MD12
ASV_27	MD14
ASV_27	MD2
ASV_27	MD3
ASV_27	MD4
ASV_27	MD5
ASV_27	MD7
ASV_27	MD8
ASV_27	MD9
ASV_27	NC1
ASV_27	NC12
ASV_27	NC13
ASV_27	NC15
ASV_27	NC2
ASV_27	NC4
ASV_27	NC5
ASV_97	HD10
ASV_97	HD11
ASV_97	HD12
ASV_97	HD13
ASV_97	HD14
ASV_97	HD15
ASV_97	HD2
ASV_97	HD3
ASV_97	HD4
ASV_97	HD5
ASV_97	HD6
ASV_97	HD7
ASV_97	HD8
ASV_97	HD9
ASV_97	MD1
ASV_97	MD10
ASV_97	MD11
ASV_97	MD12
ASV_97	MD14
ASV_97	MD2
ASV_97	MD3
ASV_97	MD4
ASV_97	MD5
ASV_97	MD6
ASV_97	MD7
ASV_97	MD8
ASV_97	MD9
ASV_97	NC1
ASV_97	NC10
ASV_97	NC11
ASV_97	NC12
ASV_97	NC13
ASV_97	NC15
ASV_97	NC2
ASV_97	NC3
ASV_97	NC4
ASV_97	NC5
ASV_97	NC6
ASV_97	NC7
ASV_97	NC8
ASV_97	NC9
ASV_21	HD11
ASV_21	HD12
ASV_21	HD13
ASV_21	HD14
ASV_21	HD15
ASV_21	HD3
ASV_21	HD4
ASV_21	HD6
ASV_21	HD8
ASV_21	MD1
ASV_21	MD10
ASV_21	MD11
ASV_21	MD12
ASV_21	MD2
ASV_21	MD3
ASV_21	MD4
ASV_21	MD6
ASV_21	MD7
ASV_21	MD8
ASV_21	MD9
ASV_21	NC12
ASV_21	NC13
ASV_21	NC6
ASV_21	NC8
ASV_21	NC9
ASV_24	MD15
ASV_24	MD7
ASV_24	NC1
ASV_24	NC10
ASV_24	NC11
ASV_24	NC12
ASV_24	NC13
ASV_24	NC14
ASV_24	NC15
ASV_24	NC3
ASV_24	NC5
ASV_24	NC6
ASV_24	NC7
ASV_24	NC8
ASV_24	NC9
ASV_19	HD10
ASV_19	HD12
ASV_19	HD14
ASV_19	HD15
ASV_19	HD2
ASV_19	HD3
ASV_19	HD4
ASV_19	HD6
ASV_19	HD7
ASV_19	MD1
ASV_19	MD10
ASV_19	MD11
ASV_19	MD2
ASV_19	MD3
ASV_19	MD4
ASV_19	MD6
ASV_19	MD8
ASV_19	MD9
ASV_19	NC1
ASV_19	NC11
ASV_19	NC12
ASV_19	NC13
ASV_19	NC15
ASV_19	NC2
ASV_19	NC3
ASV_19	NC4
ASV_19	NC5
ASV_19	NC6
ASV_17	HD3
ASV_17	MD1
ASV_17	MD12
ASV_17	MD13
ASV_17	MD14
ASV_17	NC1
ASV_17	NC10
ASV_17	NC11
ASV_17	NC12
ASV_17	NC13
ASV_17	NC14
ASV_17	NC15
ASV_17	NC2
ASV_17	NC3
ASV_17	NC4
ASV_17	NC5
ASV_17	NC6
ASV_17	NC7
ASV_17	NC8
ASV_17	NC9
ASV_23	HD10
ASV_23	HD11
ASV_23	HD12
ASV_23	HD13
ASV_23	HD14
ASV_23	HD15
ASV_23	HD2
ASV_23	HD3
ASV_23	HD4
ASV_23	HD5
ASV_23	HD6
ASV_23	HD7
ASV_23	HD8
ASV_23	HD9
ASV_23	MD1
ASV_23	MD10
ASV_23	MD11
ASV_23	MD12
ASV_23	MD14
ASV_23	MD15
ASV_23	MD2
ASV_23	MD3
ASV_23	MD4
ASV_23	MD5
ASV_23	MD6
ASV_23	MD7
ASV_23	MD8
ASV_23	MD9
ASV_23	NC1
ASV_23	NC10
ASV_23	NC11
ASV_23	NC12
ASV_23	NC13
ASV_23	NC14
ASV_23	NC15
ASV_23	NC2
ASV_23	NC3
ASV_23	NC4
ASV_23	NC5
ASV_23	NC6
ASV_23	NC7
ASV_23	NC8
ASV_23	NC9
ASV_20	HD10
ASV_20	HD12
ASV_20	HD14
ASV_20	HD2
ASV_20	HD3
ASV_20	HD4
ASV_20	HD6
ASV_20	HD7
ASV_20	HD8
ASV_20	MD1
ASV_20	MD10
ASV_20	MD11
ASV_20	MD12
ASV_20	MD14
ASV_20	MD2
ASV_20	MD3
ASV_20	MD4
ASV_20	MD5
ASV_20	MD6
ASV_20	MD7
ASV_20	MD9
ASV_20	NC1
ASV_20	NC11
ASV_20	NC12
ASV_20	NC13
ASV_20	NC14
ASV_20	NC15
ASV_20	NC2
ASV_20	NC3
ASV_20	NC4
ASV_20	NC5
ASV_20	NC6
ASV_20	NC7
ASV_20	NC8
ASV_20	NC9
ASV_28	HD10
ASV_28	HD11
ASV_28	HD12
ASV_28	HD13
ASV_28	HD14
ASV_28	HD15
ASV_28	HD2
ASV_28	HD3
ASV_28	HD4
ASV_28	HD5
ASV_28	HD6
ASV_28	HD7
ASV_28	HD8
ASV_28	HD9
ASV_28	MD1
ASV_28	MD11
ASV_28	MD14
ASV_28	MD2
ASV_28	MD3
ASV_28	MD4
ASV_28	MD5
ASV_28	MD7
ASV_28	MD8
ASV_28	MD9
ASV_31	NC1
ASV_31	NC10
ASV_31	NC11
ASV_31	NC12
ASV_31	NC13
ASV_31	NC14
ASV_31	NC15
ASV_31	NC2
ASV_31	NC3
ASV_31	NC4
ASV_31	NC5
ASV_31	NC6
ASV_31	NC7
ASV_31	NC8
ASV_31	NC9
ASV_29	HD10
ASV_29	HD11
ASV_29	HD12
ASV_29	HD13
ASV_29	HD14
ASV_29	HD15
ASV_29	HD2
ASV_29	HD4
ASV_29	HD5
ASV_29	HD6
ASV_29	HD7
ASV_29	HD9
ASV_29	MD10
ASV_29	MD11
ASV_29	MD12
ASV_29	MD14
ASV_29	MD2
ASV_29	MD3
ASV_29	MD4
ASV_29	MD5
ASV_29	MD7
ASV_29	MD8
ASV_29	MD9
ASV_29	NC13
ASV_29	NC14
ASV_29	NC4
ASV_41	HD11
ASV_41	HD12
ASV_41	HD13
ASV_41	HD14
ASV_41	HD15
ASV_41	HD3
ASV_41	HD7
ASV_41	HD8
ASV_41	MD2
ASV_41	MD3
ASV_41	NC1
ASV_41	NC12
ASV_41	NC13
ASV_41	NC14
ASV_41	NC2
ASV_41	NC3
ASV_41	NC4
ASV_41	NC5
ASV_41	NC7
ASV_41	NC8
ASV_25	HD10
ASV_25	HD11
ASV_25	HD12
ASV_25	HD13
ASV_25	HD14
ASV_25	HD15
ASV_25	HD2
ASV_25	HD4
ASV_25	HD6
ASV_25	HD7
ASV_25	HD8
ASV_25	HD9
ASV_25	MD10
ASV_25	MD11
ASV_25	MD12
ASV_25	MD13
ASV_25	MD14
ASV_25	MD4
ASV_25	MD6
ASV_25	MD7
ASV_25	MD9
ASV_25	NC1
ASV_25	NC10
ASV_25	NC11
ASV_25	NC12
ASV_25	NC13
ASV_25	NC14
ASV_25	NC15
ASV_25	NC2
ASV_25	NC3
ASV_25	NC4
ASV_25	NC5
ASV_25	NC6
ASV_25	NC7
ASV_25	NC8
ASV_25	NC9
ASV_201	HD10
ASV_201	HD11
ASV_201	HD12
ASV_201	HD13
ASV_201	HD14
ASV_201	HD15
ASV_201	HD2
ASV_201	HD4
ASV_201	HD5
ASV_201	HD6
ASV_201	HD7
ASV_201	HD9
ASV_201	MD10
ASV_201	MD11
ASV_201	MD12
ASV_201	MD14
ASV_201	MD2
ASV_201	MD3
ASV_201	MD4
ASV_201	MD5
ASV_201	MD7
ASV_201	MD8
ASV_201	MD9
ASV_201	NC12
ASV_201	NC13
ASV_201	NC14
ASV_201	NC15
ASV_201	NC4
ASV_51	HD10
ASV_51	HD14
ASV_51	HD15
ASV_51	HD2
ASV_51	HD4
ASV_51	HD5
ASV_51	MD5
ASV_51	NC14
ASV_44	HD10
ASV_44	HD11
ASV_44	HD12
ASV_44	HD13
ASV_44	HD14
ASV_44	HD15
ASV_44	HD2
ASV_44	HD3
ASV_44	HD4
ASV_44	HD5
ASV_44	HD6
ASV_44	HD7
ASV_44	HD8
ASV_44	HD9
ASV_44	MD1
ASV_44	MD10
ASV_44	MD11
ASV_44	MD12
ASV_44	MD14
ASV_44	MD2
ASV_44	MD3
ASV_44	MD4
ASV_44	MD5
ASV_44	MD6
ASV_44	MD7
ASV_44	MD8
ASV_44	MD9
ASV_44	NC10
ASV_44	NC11
ASV_44	NC14
ASV_44	NC15
ASV_44	NC2
ASV_44	NC4
ASV_44	NC7
ASV_44	NC9
ASV_46	HD10
ASV_46	HD11
ASV_46	HD12
ASV_46	HD13
ASV_46	HD14
ASV_46	HD15
ASV_46	HD3
ASV_46	HD4
ASV_46	HD6
ASV_46	HD7
ASV_46	HD8
ASV_46	HD9
ASV_46	MD1
ASV_46	MD10
ASV_46	MD11
ASV_46	MD12
ASV_46	MD14
ASV_46	MD2
ASV_46	MD3
ASV_46	MD4
ASV_46	MD6
ASV_46	MD8
ASV_46	MD9
ASV_46	NC1
ASV_46	NC10
ASV_46	NC11
ASV_46	NC12
ASV_46	NC13
ASV_46	NC14
ASV_46	NC15
ASV_46	NC3
ASV_46	NC4
ASV_46	NC5
ASV_46	NC6
ASV_46	NC7
ASV_46	NC8
ASV_46	NC9
ASV_32	HD10
ASV_32	HD11
ASV_32	HD12
ASV_32	HD14
ASV_32	HD15
ASV_32	HD2
ASV_32	HD3
ASV_32	HD4
ASV_32	HD5
ASV_32	HD6
ASV_32	HD7
ASV_32	HD9
ASV_32	MD1
ASV_32	MD10
ASV_32	MD11
ASV_32	MD12
ASV_32	MD13
ASV_32	MD14
ASV_32	MD15
ASV_32	MD2
ASV_32	MD3
ASV_32	MD4
ASV_32	MD5
ASV_32	MD7
ASV_32	NC1
ASV_32	NC10
ASV_32	NC11
ASV_32	NC12
ASV_32	NC13
ASV_32	NC14
ASV_32	NC15
ASV_32	NC2
ASV_32	NC3
ASV_32	NC4
ASV_32	NC5
ASV_32	NC6
ASV_32	NC7
ASV_32	NC8
ASV_32	NC9
ASV_30	HD10
ASV_30	HD2
ASV_30	HD3
ASV_30	HD4
ASV_30	HD5
ASV_30	HD6
ASV_30	HD7
ASV_30	HD8
ASV_30	HD9
ASV_30	MD1
ASV_30	MD10
ASV_30	MD11
ASV_30	MD12
ASV_30	MD13
ASV_30	MD14
ASV_30	MD15
ASV_30	MD2
ASV_30	MD3
ASV_30	MD4
ASV_30	MD5
ASV_30	MD6
