Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
NC10	0.0957	0.0136	743.8	0.976	0.743	65.4	136.2	10000.0	742.0	0.323	0.0242	4.91	7.09	2.13
NC11	0.104	0.0159	779.2	0.978	0.762	75.5	159.2	10000.0	777.0	0.317	0.0222	5.07	7.31	2.20
NC12	0.0582	0.0182	785.8	0.985	0.781	99.5	182.1	10000.0	784.0	0.312	0.015	5.20	7.51	2.26
NC13	0.124	0.0151	742.5	0.975	0.759	69.9	150.5	10000.0	740.0	0.308	0.0249	5.01	7.23	2.18
NC14	0.0935	0.0133	714.8	0.978	0.744	69.1	132.9	10000.0	713.0	0.314	0.0218	4.89	7.05	2.12
NC15	0.0698	0.0182	788.9	0.984	0.780	95.0	181.5	10000.0	787.0	0.299	0.0163	5.20	7.50	2.26
NC2	0.0847	0.0143	768.1	0.977	0.748	69.1	143.3	10000.0	766.0	0.316	0.0228	4.97	7.16	2.16
NC3	0.0533	0.0167	780.8	0.984	0.768	91.0	166.6	10000.0	779.0	0.324	0.016	5.12	7.38	2.22
NC4	0.0357	0.0211	774.8	0.989	0.805	130.7	210.9	10000.0	773.0	0.306	0.0105	5.35	7.72	2.32
NC5	0.055	0.0209	768.2	0.988	0.804	122.5	208.7	10000.0	766.0	0.295	0.0119	5.34	7.71	2.32
NC6	0.181	0.0122	742.4	0.958	0.727	45.6	122.1	10000.0	741.0	0.288	0.0424	4.80	6.93	2.09
NC7	0.153	0.0136	762.0	0.967	0.741	56.1	136.1	10000.0	760.0	0.330	0.0332	4.91	7.09	2.13
NC8	0.0956	0.0106	699.2	0.970	0.712	50.7	106.0	10000.0	697.0	0.350	0.0304	4.66	6.73	2.03
NC9	0.0946	0.0159	756.1	0.979	0.765	79.2	159.4	10000.0	754.0	0.327	0.0208	5.07	7.32	2.20
