H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
ASV_46	125	7	6	36	23	77	210	123	54	135	76	426	19	191	113	456	40	23	167	164	59	197	329	169	718	120	172	568	88	470	514	432	295	144	169	66	16	53	71	97	353	148	100	145	232	135	63
ASV_45	2	2	0	6	11	28	2	1	1	9	0	4	10	25	1	1	0	4	0	3	5	24	7	1	0	4	1	8	11	16	9	4	3	10	6	1438	749	28	30	57	21	25	21	17	1178	3773	754
ASV_56	10	4	7	72	5	37	3	173	4	2	8	8	42	13	169	22	183	215	196	196	8	79	100	9	6	6	7	10	468	80	34	27	6	127	8	44	11	355	163	37	881	1109	246	1622	498	157	83
ASV_36	0	0	0	1	4	2	6	0	0	0	1	3	5	3	8	0	0	0	0	4	2	3	10	0	0	0	0	4	7	3	13	6	9	4	6	1663	2175	286	257	60	9	58	64	191	109	353	2459
ASV_47	391	111	73	314	365	74	168	253	266	220	67	124	100	174	110	238	131	59	178	31	201	30	67	145	196	220	71	59	39	454	545	780	401	339	272	31	17	20	3	4	6	5	2	21	15	47	21
ASV_120	188	334	134	313	180	42	253	288	182	324	708	171	127	334	114	29	106	62	113	474	173	75	78	255	311	51	117	157	151	133	107	204	495	115	93	16	7	14	7	22	60	10	7	5	94	5	10
ASV_54	53	11	8	18	59	38	132	72	154	97	41	6	820	44	59	165	34	911	443	437	164	551	773	5	8	1552	130	5	155	7	5	2	3	7	4	1	9	3	2	3	1	3	3	0	10	17	7
ASV_44	100	295	483	179	237	310	112	111	103	152	236	176	324	81	86	41	68	300	89	239	112	148	156	217	79	393	113	66	130	137	153	112	144	327	192	40	23	86	12	64	140	37	46	59	14	48	78
ASV_60	231	203	36	82	149	50	150	22	144	382	201	333	27	63	23	39	124	57	12	59	34	29	358	253	1234	105	95	294	155	457	36	395	656	119	353	13	4	11	3	13	19	5	3	11	18	4	14
ASV_41	64	28	77	56	172	390	73	82	155	134	89	38	363	196	417	442	87	1581	298	236	151	287	728	35	23	58	59	33	97	28	16	9	16	101	25	2	6	5	8	5	7	5	1	3	2	7	9
ASV_50	14	11	472	5	1783	11	20	9	7	162	16	7	1839	571	214	11	334	13	1	10	1306	12	1	0	0	1	6	0	22	0	2	0	0	0	6	0	23	3	0	0	0	0	2	0	10	2	0
ASV_68	51	5	1	56	7	542	14	1119	8	11	8	14	8	6	3	13	3	2	10	180	6	95	19	7	10	6	5	21	728	9	17	17	7	12	4	317	131	44	65	22	154	97	7	1278	1172	492	61
ASV_43	66	25	92	62	65	160	207	178	47	19	229	289	111	164	248	588	114	233	431	244	87	276	396	139	4	280	149	489	274	48	78	69	26	131	11	59	5	79	53	77	64	56	39	72	49	43	54
ASV_218	114	242	9	67	440	21	141	115	104	302	46	31	203	65	162	74	144	81	118	33	10	99	44	283	622	466	133	82	56	195	236	136	492	278	496	30	21	29	7	47	24	10	7	20	68	293	8
ASV_1390	245	195	60	176	232	105	178	161	109	312	43	130	86	75	168	94	114	100	85	55	137	110	116	215	347	175	124	80	82	416	311	92	550	284	317	41	22	32	10	39	56	44	13	69	99	54	23
ASV_65	73	10	0	20	1	15	5	46	436	201	4	31	161	106	438	23	205	377	3	25	5	665	429	251	13	7	300	7	7	420	155	1333	34	383	7	18	14	28	12	18	30	11	3	60	78	25	20
ASV_77	285	205	200	342	284	149	295	464	125	264	156	181	197	23	6	5	258	89	91	115	164	166	241	26	214	526	263	121	46	205	74	68	7	177	3	100	21	3	7	6	11	15	5	6	271	3	15
ASV_62	164	423	21	53	11	157	127	329	361	305	341	814	64	27	153	230	23	145	68	22	23	168	78	124	450	23	214	91	69	159	157	158	192	174	16	12	15	32	20	48	58	134	44	40	43	38	27
ASV_55	190	196	89	131	129	84	225	222	177	104	194	458	44	276	138	257	111	40	110	89	73	124	149	102	405	193	24	121	75	136	129	90	132	140	113	20	22	100	68	144	143	287	47	37	99	105	49
ASV_51	55	97	136	132	105	144	260	98	37	62	246	250	99	124	125	321	41	144	184	418	110	383	243	322	117	234	124	187	372	122	82	49	52	152	20	18	17	108	59	59	98	90	84	18	33	29	18
ASV_49	3	0	5	1	1	13	503	9	11	10	452	547	9	6	3	7	3	249	47	4	2	53	283	299	6	323	191	27	465	83	196	834	375	401	6	14	11	61	10	139	477	34	30	2	4	7	9
ASV_61	217	118	271	129	75	105	139	112	54	80	96	89	210	128	112	70	76	110	132	248	90	203	203	144	76	208	72	97	173	89	127	45	113	116	75	279	298	120	79	175	16	68	104	105	51	73	213
ASV_85	11	1	4	4	4	77	23	6	10	3	4	5	829	42	10	20	481	26	702	159	10	339	104	3	4	3	135	4	478	22	9	2	5	200	5	4	5	3	379	16	954	5	8	224	184	34	417
ASV_63	172	619	31	15	179	80	14	160	414	333	95	68	77	263	69	42	9	50	6	237	136	18	82	18	6	8	8	3	5	123	28	32	143	9	130	45	12	394	426	377	89	69	139	101	68	213	116
ASV_100	62	44	10	36	17	32	49	70	112	51	61	108	15	44	24	85	21	19	37	24	24	20	30	27	43	33	40	32	32	36	33	34	23	25	16	212	71	418	307	303	364	1002	344	276	305	584	83
ASV_67	188	53	103	206	40	62	141	106	163	49	30	36	38	84	37	43	50	21	70	83	47	69	150	77	33	12	28	126	103	238	97	98	251	28	270	17	22	184	121	280	658	563	189	81	247	139	67
ASV_965	809	91	20	1080	21	128	122	85	103	357	25	167	25	10	40	285	13	39	125	141	6	86	123	104	7	11	70	46	24	295	410	156	171	245	14	51	21	21	7	8	59	61	6	82	68	60	54
ASV_53	335	94	35	199	397	311	385	322	186	60	176	125	122	135	143	45	135	80	200	31	259	149	144	259	106	311	36	15	34	27	299	81	170	223	20	7	5	4	4	7	76	17	3	14	7	33	7
ASV_72	0	3	1	0	0	0	0	3	0	5	1	0	0	1	0	2	1	5	1	0	0	1	1	10	0	2	0	0	0	0	6	3	0	7	2	0	1	493	767	880	375	1684	543	10	13	9	4
ASV_64	140	213	77	120	110	84	289	248	149	73	200	493	51	249	145	295	89	43	122	84	83	76	142	67	429	252	42	135	94	102	125	83	157	138	166	27	18	25	18	27	43	89	33	15	39	41	26
ASV_82	502	363	46	23	47	129	25	162	864	64	291	23	14	145	11	246	103	75	83	59	45	89	35	38	29	49	48	16	174	162	119	22	251	67	158	73	50	53	35	46	86	167	30	130	135	97	165
ASV_71	60	15	72	61	75	13	285	234	46	111	27	147	97	575	658	469	534	58	231	25	266	119	207	152	34	14	181	34	39	35	13	14	23	53	4	10	21	52	34	70	107	212	27	47	95	57	43
ASV_74	0	3	1	1	0	21	1	0	0	0	3	0	2	10	1	0	0	2	2	1	0	4	0	0	0	0	3	0	0	10	7	7	11	15	8	18	15	3289	159	34	27	548	680	82	235	12	18
ASV_148	105	104	31	99	48	40	96	70	87	78	52	111	24	100	51	54	48	26	46	40	32	51	50	54	147	62	24	44	43	96	91	41	75	66	46	47	45	130	126	180	712	219	78	657	631	177	339
ASV_59	421	13	78	17	55	284	846	217	153	92	212	113	80	36	133	5	179	105	17	55	76	217	188	170	460	3	7	13	3	335	130	13	40	468	144	7	4	5	14	15	55	2	4	4	52	3	7
ASV_76	147	39	48	41	37	39	121	60	96	73	54	106	31	204	107	116	132	29	112	44	97	26	104	97	101	72	33	65	33	114	71	92	198	95	39	115	87	76	156	148	446	339	36	382	594	212	116
ASV_90	9	8	6	15	4	6	16	9	6	21	3	9	11	7	4	4	10	1	7	11	7	5	8	6	37	37	4	18	14	37	26	15	19	14	36	45	85	127	219	148	1005	390	113	1055	931	359	566
ASV_73	117	125	127	85	39	171	88	64	51	70	103	27	99	229	98	53	83	100	36	132	220	114	135	63	38	100	38	164	118	72	106	65	99	133	117	373	252	55	16	31	48	29	11	278	84	328	252
ASV_91	23	15	6	40	19	15	362	205	63	46	17	90	19	88	99	29	19	20	178	83	72	74	80	27	45	14	66	29	203	434	951	312	36	523	199	40	22	38	27	50	206	57	6	28	85	48	50
ASV_88	135	132	61	84	90	59	131	32	113	187	90	166	43	92	45	51	102	45	38	36	162	121	141	212	440	117	121	133	92	238	90	227	307	125	142	16	17	35	11	133	167	29	2	49	95	60	44
ASV_1277	523	62	9	643	11	153	125	100	61	202	16	76	16	11	26	214	10	60	65	105	4	57	72	121	10	7	63	38	40	427	644	267	185	257	7	34	26	13	15	7	34	26	0	53	35	43	21
ASV_83	7	3	4	5	2	18	169	17	13	4	1	1	2	22	5	60	55	41	79	79	3	149	104	134	2	247	64	6	143	68	27	89	82	171	1	134	62	235	114	108	353	528	55	122	115	1219	29
ASV_70	263	63	26	203	146	60	110	88	67	23	104	78	31	62	14	33	41	49	63	75	84	154	131	25	175	12	8	23	129	431	425	469	518	110	361	16	7	17	9	18	51	1	2	14	28	35	10
ASV_80	169	221	89	140	118	49	117	33	63	72	228	556	57	250	142	309	121	23	116	80	60	61	115	20	581	8	4	65	42	113	148	100	180	114	158	6	5	9	6	7	12	23	3	3	17	3	6
ASV_89	4	99	1	2	1	2	9	2	90	38	4	29	2	4	67	9	11	3	1	3	3	0	3	56	115	5	27	28	1	3	6	1	153	9	96	236	33	24	58	169	1466	1130	170	30	284	52	27
ASV_66	113	103	123	145	135	138	185	125	77	82	112	170	100	228	165	327	125	83	182	84	56	111	98	205	79	110	109	157	128	59	92	91	53	151	37	38	28	25	8	60	34	15	9	28	14	28	25
ASV_135	293	82	203	54	119	21	144	48	52	125	164	234	4	14	27	116	129	83	124	92	1	106	120	2	1	3	8	41	1	144	164	264	521	13	395	50	31	29	42	44	90	37	17	33	178	114	56
ASV_94	58	2	35	93	9	13	22	17	31	5	7	23	30	61	79	123	20	62	227	80	17	20	281	16	4	22	17	18	13	18	35	56	20	61	5	102	111	278	133	52	258	326	82	140	629	478	375
ASV_108	6	18	0	1	2	6	60	989	16	23	8	5	5	11	9	18	9	216	3	5	4	524	7	6	9	8	7	4	175	16	65	70	31	942	25	18	14	10	13	52	401	28	9	15	353	280	32
ASV_69	4	3	5	5	282	1215	737	666	7	6	1115	6	11	13	6	1	0	1	2	0	0	1	2	4	0	0	6	0	1	3	0	4	0	0	2	0	2	1	2	0	0	0	3	0	0	4	2
ASV_81	147	43	60	234	281	117	101	193	73	44	165	89	68	222	79	54	168	10	144	22	38	25	50	110	52	27	167	113	96	54	103	152	139	190	85	8	9	19	10	155	225	19	9	18	39	23	2
ASV_107	5	2	1	0	11	1	0	0	1	4	1	3	11	2	156	127	146	134	120	148	113	135	316	202	219	230	231	285	263	164	12	15	10	13	21	16	28	21	185	116	114	111	99	94	125	123	26
ASV_101	19	2	14	40	39	20	45	46	29	42	14	21	47	78	32	20	45	19	17	9	29	11	25	6	1	0	6	5	20	27	41	30	51	59	7	187	132	273	146	308	260	607	60	89	405	354	357
ASV_84	5	47	2	15	29	61	250	37	2	10	20	31	4	6	63	10	9	178	275	108	10	119	124	14	3	66	4	15	736	56	176	772	6	354	14	9	7	35	50	90	102	4	89	0	6	96	2
ASV_867	194	348	136	92	96	180	151	55	104	75	285	39	103	263	27	36	131	20	65	52	26	36	36	239	90	38	83	84	29	175	23	64	85	91	163	8	3	22	43	32	21	96	33	23	18	30	37
ASV_75	123	52	92	84	55	146	92	68	53	43	124	105	45	128	126	86	113	67	189	82	171	66	30	192	55	93	148	149	280	52	146	211	114	249	58	8	3	3	3	25	42	6	4	12	60	13	3
ASV_79	126	184	71	96	92	48	107	25	74	66	230	462	42	243	134	284	106	17	102	50	67	67	71	31	375	14	11	54	6	96	124	87	132	110	119	5	2	9	4	13	15	23	8	3	22	1	5
ASV_118	5	1	2	4	4	6	3	4	3	1	1	9	3	2	1	4	6	0	1	7	6	6	8	3	6	3	2	2	1	3	4	0	8	1	9	52	148	579	981	118	155	175	685	68	13	135	54
ASV_113	8	15	55	99	48	31	144	168	59	25	61	141	78	13	54	65	4	26	105	181	64	34	145	39	8	102	50	158	103	94	114	65	1	20	40	171	185	37	177	71	26	46	82	181	78	55	242
ASV_86	206	225	48	150	159	104	147	318	188	73	91	41	160	88	53	22	103	44	52	54	137	111	45	135	120	227	37	50	46	17	24	60	172	105	134	2	1	3	1	22	6	1	1	4	5	0	9
ASV_92	7	0	3	5	3	68	13	2	4	3	2	2	606	24	5	9	369	13	464	107	10	210	54	0	3	4	72	2	424	12	4	0	3	135	6	4	6	3	221	2	466	5	6	125	112	18	170
ASV_134	11	16	271	26	892	16	10	15	9	128	9	19	885	309	126	4	219	9	9	11	674	8	3	6	1	0	17	1	8	14	4	5	0	9	0	1	6	1	2	3	1	1	0	0	7	4	0
ASV_109	10	23	28	16	18	16	23	10	21	35	26	56	37	73	58	65	52	107	68	113	86	126	211	162	89	109	96	114	191	29	22	12	12	50	30	165	152	58	37	354	28	100	74	126	25	164	121
ASV_114	38	173	51	36	153	18	68	95	151	90	79	163	57	321	164	78	123	18	70	16	110	32	33	37	351	127	59	70	16	36	25	40	46	30	108	23	17	73	33	45	128	57	34	39	140	37	49
ASV_105	0	0	1	2	1	7	0	4	0	0	0	1	0	4	0	3	0	0	0	2	0	2	1	4	0	0	1	1	0	4	2	3	5	3	2	154	221	1078	3	1239	62	6	108	113	5	95	116
ASV_131	3	6	18	2	23	138	17	110	3	1	7	7	9	32	12	5	29	219	761	14	38	87	27	3	2	14	10	4	8	24	216	3	5	7	3	470	49	10	37	15	34	5	162	121	202	613	41
ASV_78	242	45	11	20	192	31	22	654	65	25	24	3	66	20	2	7	18	8	7	7	238	14	10	15	388	35	13	18	21	400	311	98	264	6	104	8	4	3	6	45	25	2	0	0	14	122	89
ASV_552	24	51	70	48	67	57	64	202	57	72	42	28	40	196	82	9	61	46	23	57	51	37	36	66	46	78	37	12	15	78	55	66	76	43	128	10	8	128	129	121	180	585	70	19	38	56	19
ASV_104	44	117	70	96	167	257	108	88	80	97	123	79	146	34	52	31	61	297	117	166	40	144	152	52	46	105	55	49	113	49	82	34	38	136	66	5	1	18	25	20	8	11	13	2	1	13	4
ASV_275	35	11	13	44	29	75	47	12	13	8	4	13	6	3	12	65	16	20	141	115	4	76	61	19	5	133	21	7	64	35	4	9	8	13	5	38	60	126	264	66	366	194	211	205	655	45	60
ASV_164	37	182	27	76	93	102	43	60	43	136	14	74	84	83	60	66	38	131	8	58	70	87	57	58	47	127	22	97	105	66	50	51	44	154	33	88	108	152	59	81	49	164	22	60	74	65	63
ASV_112	116	322	4	6	95	125	368	214	10	107	546	689	35	117	61	282	4	5	1	3	8	4	2	16	108	5	76	4	5	5	19	54	1	5	1	4	3	3	1	5	0	0	0	3	1	0	5
ASV_98	106	1	4	263	13	1	296	144	4	39	228	130	64	11	21	5	9	6	30	233	1	396	220	145	3	7	168	5	27	429	59	18	207	4	92	4	2	1	3	0	0	0	2	20	4	11	3
ASV_87	21	14	71	20	15	70	129	204	23	10	372	163	4	49	40	1040	17	88	57	102	15	53	169	94	5	4	120	31	58	22	27	64	10	22	18	2	1	2	23	10	4	62	3	60	8	7	4
ASV_133	271	5	4	910	4	7	199	2	87	81	1	11	3	269	21	58	12	96	5	151	3	145	5	0	5	8	1	4	130	391	244	66	65	129	1	5	4	4	3	3	2	2	0	4	5	9	5
ASV_127	0	0	0	0	3	14	2	0	0	0	1	7	1	0	4	1	3	0	11	366	11	3	0	0	0	0	0	7	2	1	6	1	4	6	4	766	549	26	57	9	24	18	2	497	723	13	390
ASV_110	6	95	76	144	7	126	44	189	6	37	121	287	9	186	176	165	55	51	242	207	156	58	245	12	6	5	11	3	63	194	21	67	36	59	4	14	1	7	19	17	23	63	10	46	19	20	18
ASV_124	7	2	9	15	10	36	42	119	8	1	10	15	5	9	3	23	11	21	26	53	23	21	27	18	2	6	15	14	7	28	21	22	1	23	9	208	86	134	121	208	261	125	76	311	518	498	193
ASV_97	33	30	29	74	34	151	59	48	29	160	89	52	168	34	42	50	63	153	45	48	49	131	124	71	76	203	112	117	342	69	6	11	10	44	40	56	14	12	15	101	43	18	17	59	45	47	32
ASV_99	6	13	11	120	11	46	370	524	15	62	259	315	9	34	7	158	14	1	1	2	4	45	3	21	33	3	22	43	24	15	206	352	144	351	9	5	5	5	2	5	6	1	2	5	3	2	4
ASV_103	3	1	4	2	200	143	34	150	2	2	501	176	4	6	1	0	0	1	3	0	2	1	1	2	0	0	1	0	0	27	20	19	21	3	62	0	2	139	608	43	11	250	375	3	3	1	3
ASV_96	31	60	66	69	51	97	195	38	228	88	81	68	98	11	34	62	44	274	120	143	43	106	91	79	67	104	65	52	84	66	82	79	90	90	43	45	15	3	0	6	13	1	1	14	12	28	6
ASV_129	37	139	98	34	68	107	137	58	54	49	89	41	98	79	83	36	96	232	111	201	65	156	179	13	7	37	22	6	17	37	44	19	18	52	75	54	83	31	11	38	11	16	41	33	4	18	64
ASV_137	100	29	54	15	112	55	121	242	34	50	33	117	68	161	123	106	119	33	76	25	116	59	37	101	37	41	39	29	28	57	55	193	88	91	9	6	9	46	21	25	73	39	13	48	66	42	36
ASV_143	96	73	21	27	31	24	50	114	81	75	31	71	17	81	62	58	28	12	51	28	85	43	46	41	139	54	43	33	26	54	81	46	91	44	72	49	39	59	47	66	105	240	53	75	202	69	77
ASV_122	29	3	14	3	79	94	90	209	71	116	168	137	72	9	5	119	118	127	143	74	1	175	157	5	255	4	146	3	3	48	1	104	30	47	43	5	0	1	1	2	3	3	1	3	1	249	1
ASV_115	108	4	20	47	20	64	127	219	14	8	47	87	15	104	30	54	36	18	38	41	42	50	39	34	44	97	5	26	38	76	147	95	59	99	28	21	14	60	39	62	95	109	23	114	310	114	59
ASV_1446	149	133	37	106	67	31	82	63	92	72	83	170	30	94	54	84	38	19	52	24	27	41	54	21	290	74	16	40	23	71	128	69	129	89	98	20	12	31	14	15	41	54	7	36	41	42	22
ASV_102	97	27	77	282	41	11	113	17	10	48	28	19	32	1	16	3	26	38	34	22	32	42	37	25	9	224	30	37	39	35	15	50	8	33	16	205	132	125	102	176	19	33	129	123	31	62	97
