source,target,correlation,direct,cor
ASV_489,ASV_421,-1,undirected,-
ASV_558,ASV_421,-1,undirected,-
ASV_451,ASV_421,1,undirected,+
ASV_704,ASV_421,-1,undirected,-
ASV_342,ASV_421,1,undirected,+
ASV_167,ASV_484,-1,undirected,-
ASV_187,ASV_484,-1,undirected,-
ASV_1549,ASV_484,-1,undirected,-
ASV_384,ASV_484,1,undirected,+
ASV_562,ASV_484,1,undirected,+
ASV_374,ASV_484,-1,undirected,-
ASV_179,ASV_484,-1,undirected,-
ASV_357,ASV_484,-1,undirected,-
ASV_489,ASV_484,1,undirected,+
ASV_558,ASV_484,1,undirected,+
ASV_451,ASV_484,-1,undirected,-
ASV_704,ASV_484,1,undirected,+
ASV_342,ASV_484,-1,undirected,-
ASV_187,ASV_167,1,undirected,+
ASV_1549,ASV_167,1,undirected,+
ASV_384,ASV_167,-1,undirected,-
ASV_562,ASV_167,-1,undirected,-
ASV_374,ASV_167,1,undirected,+
ASV_179,ASV_167,1,undirected,+
ASV_357,ASV_167,1,undirected,+
ASV_489,ASV_167,-1,undirected,-
ASV_558,ASV_167,-1,undirected,-
ASV_451,ASV_167,1,undirected,+
ASV_704,ASV_167,-1,undirected,-
ASV_342,ASV_167,1,undirected,+
ASV_1549,ASV_187,1,undirected,+
ASV_384,ASV_187,-1,undirected,-
ASV_562,ASV_187,-1,undirected,-
ASV_374,ASV_187,1,undirected,+
ASV_179,ASV_187,1,undirected,+
ASV_357,ASV_187,1,undirected,+
ASV_489,ASV_187,-1,undirected,-
ASV_558,ASV_187,-1,undirected,-
ASV_451,ASV_187,1,undirected,+
ASV_704,ASV_187,-1,undirected,-
ASV_342,ASV_187,1,undirected,+
ASV_384,ASV_1549,-1,undirected,-
ASV_562,ASV_1549,-1,undirected,-
ASV_374,ASV_1549,1,undirected,+
ASV_179,ASV_1549,1,undirected,+
ASV_357,ASV_1549,1,undirected,+
ASV_489,ASV_1549,-1,undirected,-
ASV_558,ASV_1549,-1,undirected,-
ASV_451,ASV_1549,1,undirected,+
ASV_704,ASV_1549,-1,undirected,-
ASV_342,ASV_1549,1,undirected,+
ASV_562,ASV_384,1,undirected,+
ASV_374,ASV_384,-1,undirected,-
ASV_179,ASV_384,-1,undirected,-
ASV_357,ASV_384,-1,undirected,-
ASV_489,ASV_384,1,undirected,+
ASV_558,ASV_384,1,undirected,+
ASV_451,ASV_384,-1,undirected,-
ASV_704,ASV_384,1,undirected,+
ASV_342,ASV_384,-1,undirected,-
ASV_374,ASV_562,-1,undirected,-
ASV_179,ASV_562,-1,undirected,-
ASV_357,ASV_562,-1,undirected,-
ASV_489,ASV_562,1,undirected,+
ASV_558,ASV_562,1,undirected,+
ASV_451,ASV_562,-1,undirected,-
ASV_704,ASV_562,1,undirected,+
ASV_342,ASV_562,-1,undirected,-
ASV_179,ASV_374,1,undirected,+
ASV_357,ASV_374,1,undirected,+
ASV_489,ASV_374,-1,undirected,-
ASV_558,ASV_374,-1,undirected,-
ASV_451,ASV_374,1,undirected,+
ASV_704,ASV_374,-1,undirected,-
