source,target,correlation,direct,cor
ASV_1446,ASV_80,0.929977899225782,undirected,+
ASV_112,ASV_80,0.882971587832073,undirected,+
ASV_165,ASV_80,0.88876142740196,undirected,+
ASV_100,ASV_80,0.890660283209411,undirected,+
ASV_254,ASV_80,0.905839294464638,undirected,+
ASV_102,ASV_80,-0.87966217454613,undirected,-
ASV_369,ASV_80,0.900245289075818,undirected,+
ASV_427,ASV_80,0.930184003438475,undirected,+
ASV_796,ASV_80,0.950304129653914,undirected,+
ASV_414,ASV_80,0.896828562734121,undirected,+
ASV_652,ASV_80,0.901032805872462,undirected,+
ASV_504,ASV_80,0.887641317436186,undirected,+
ASV_619,ASV_80,0.953119503408233,undirected,+
ASV_96,ASV_104,0.950288624015434,undirected,+
ASV_322,ASV_104,0.938911255088278,undirected,+
ASV_377,ASV_104,0.877766702499229,undirected,+
ASV_418,ASV_104,0.880732799312366,undirected,+
ASV_722,ASV_104,0.893485186858797,undirected,+
ASV_743,ASV_104,0.943262681631701,undirected,+
ASV_84,ASV_231,0.983456274903286,undirected,+
ASV_173,ASV_73,0.887416037172706,undirected,+
ASV_182,ASV_73,0.965716748573999,undirected,+
ASV_468,ASV_73,0.907083263080934,undirected,+
ASV_839,ASV_73,0.884993085975082,undirected,+
ASV_1199,ASV_73,0.876916369425413,undirected,+
ASV_266,ASV_131,0.998995088786463,undirected,+
ASV_30,ASV_131,0.913435775244535,undirected,+
ASV_431,ASV_131,0.918688126364977,undirected,+
ASV_429,ASV_131,0.886935951152239,undirected,+
ASV_488,ASV_131,0.928216318266728,undirected,+
ASV_398,ASV_131,0.961596823515557,undirected,+
ASV_728,ASV_131,0.904725655698416,undirected,+
ASV_660,ASV_131,0.966492485024452,undirected,+
ASV_634,ASV_131,0.959578453832535,undirected,+
ASV_731,ASV_131,0.899126986916325,undirected,+
ASV_1148,ASV_131,0.891774912148422,undirected,+
ASV_810,ASV_131,0.898552081252278,undirected,+
ASV_407,ASV_131,0.947378572037998,undirected,+
ASV_850,ASV_131,0.973350721365338,undirected,+
ASV_840,ASV_131,0.961596823515557,undirected,+
