PathwayL2	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Nucleotide metabolism	2461225.7999999993	1910988.4399999997	1886248.1099999999	2179590.0300000003	2309709.600000001	1901488.540000002	2357784.4900000016	2279043.870000001	2112415.830000001	2274327.5900000003	1637105.9100000008	2189860.6700000013	2039290.8899999987	2403978.9300000006	2293054.8200000017	2173584.4700000016	1953029.84	1583085.35	2304196.1099999994	1747122.5100000014	2391321.100000002	2121582.580000002	1962073.1000000008	2128770.61	2324143.7999999993	2075483.58	1889626.0200000007	1613953.9300000004	1998721.0899999994	2431814.7900000014	2386032.360000002	2415156.9600000014	2463484.9999999986	2216958.21	1941064.690000001	2022124.4699999988	1920291.8200000005	2064108.0099999993	1803768.7000000004	1615985.969999999	2584679.2500000014	1889253.6700000004	1194866.5699999987	2126457.4499999997	2714422.529999999	2452313.9099999997	1942562.7399999995
Poorly characterized	2597397.5699999942	1914870.8899999994	1738525.5699999994	2225588.0000000047	2276102.6500000013	1846385.6800000041	2330751.7899999963	2275656.0699999956	2177590.2599999993	2374949.7099999953	1554771.3699999996	2084842.2600000012	1891551.6799999967	2351387.009999994	2186313.1099999985	2092075.6400000001	1882100.600000001	1539851.1899999965	2332267.090000002	1705856.820000002	2289125.870000005	2041168.5400000017	1895152.249999998	2047045.9100000032	2342979.919999992	1980739.8799999994	1729415.600000003	1513818.4500000011	1956678.800000002	2495807.860000004	2459322.459999994	2552553.430000006	2519651.9299999936	2248063.0899999975	1966485.2700000035	1907276.6299999997	1759143.559999999	1958576.7799999986	1697528.0199999986	1577530.429999997	2607370.0300000045	1862236.919999998	1114332.3700000003	2145414.120000001	2856319.6599999946	2522488.869999998	1854655.199999997
Protein families: genetic information processing	18407842.780000065	13722278.349999996	12670327.11999998	16181927.039999908	16027675.819999948	13990411.199999984	16941860.669999965	16359770.990000015	15523673.759999983	16763798.050000042	11536290.679999948	15571112.400000013	13738847.689999994	16915217.630000018	15983793.97000002	15567258.549999965	13818442.789999945	11141502.610000014	16486848.609999985	12619564.52999998	16080353.349999968	14643442.280000018	13904907.910000013	14782130.459999952	16634062.230000105	14328964.769999987	12868366.540000014	11569839.27999997	14206079.889999982	17686051.520000048	17534462.999999948	18045453.420000065	17780943.469999928	15987569.230000006	13905414.52999994	14841288.500000015	14220539.380000036	14810136.670000043	13230957.559999997	11278834.729999976	18819864.769999973	13491547.279999966	8402523.47000003	15751850.130000057	20279469.05999996	18113972.359999973	14224360.77000003
Protein families: metabolism	6459423.030000003	4838213.96	4549422.2200000025	5616123.190000009	5674336.570000006	4684201.680000002	5866261.370000001	5679086.359999992	5444297.189999995	5929646.459999995	3949350.059999993	5410142.330000004	4831003.150000003	5906072.379999991	5543711.120000017	5306701.25	4844582.589999993	3933870.9899999984	5826454.179999993	4376893.199999998	5781731.430000016	5143084.349999991	4838562.369999996	5220423.46	5909184.590000006	5096797.3300000075	4573649.490000003	4036520.67	4970561.939999997	6239933.600000001	6156915.649999991	6353260.03	6299151.2899999935	5641085.880000002	4942932.190000004	5099106.830000004	4803267.480000002	5050418.69	4450056.069999999	3954644.859999992	6545284.430000008	4652562.070000013	2873978.9599999986	5416899.930000003	7096661.2700000135	6332376.3400000045	4853840.510000009
Protein families: signaling and cellular processes	16882815.23000008	12120061.840000033	11210375.230000062	14187112.859999878	15203322.009999925	11365521.21000003	14991772.700000122	14717999.17999999	13732804.880000042	15471913.899999972	9580954.540000053	13306388.160000034	11866364.949999934	15333103.980000092	14322987.079999946	13118985.500000022	12221028.719999919	9528189.700000009	15448899.319999984	10411781.47999998	15641682.06999989	13204483.990000067	11856753.49	13438971.06999996	15236186.410000158	12401224.370000025	11002829.549999971	9301028.359999996	12302461.619999968	16370102.870000008	16048983.410000088	16656108.650000058	16604637.16999997	14805522.109999996	12762108.679999884	11905570.73999995	10726070.13000005	12251269.560000008	10586402.670000048	10102986.469999963	16967392.869999893	11658058.100000031	6960587.580000012	13822991.830000032	18847477.609999854	16294745.659999968	11658458.260000072
Replication and repair	2938702.6900000013	2227834.989999999	2088108.8800000008	2591607.980000001	2605819.060000003	2260857.1599999997	2727598.149999999	2637036.869999999	2507101.3000000017	2695249.5099999993	1874731.4700000007	2517147.7300000004	2272422.63	2747676.0300000003	2610619.700000001	2520691.3400000003	2248941.099999999	1825324.729999999	2678067.5100000016	2049795.180000001	2636547.660000002	2403022.54	2267399.850000001	2396581.570000001	2688618.6599999988	2349900.8900000006	2111758.409999999	1898829.950000001	2301750.0500000003	2823392.9100000043	2796946.8999999994	2864568.889999999	2853731.5900000017	2565665.16	2245241.2400000007	2395134.540000001	2284717.2100000023	2381396.9099999997	2127589.099999999	1810817.8899999994	2996871.410000003	2152786.980000001	1356580.3499999994	2512722.4199999995	3243278.4299999992	2904674.589999998	2281622.8199999994
Signal transduction	2735915.49	1966260.5699999977	1808013.9200000004	2308897.360000002	2402377.1100000027	1848488.3800000022	2410232.730000004	2377009.740000001	2242406.9699999993	2491691.5600000015	1556547.9899999995	2131364.8800000018	1874450.9800000002	2425637.8900000006	2268190.1199999987	2037367.6200000015	1974326.3400000022	1519948.1699999995	2473303.040000003	1691491.3500000013	2476060.360000002	2064101.640000001	1875805.9899999988	2145392.3699999987	2469622.839999998	2008824.5100000007	1785437.080000002	1596971.12	1984390.470000001	2608373.4600000014	2582575.990000001	2721671.46	2675556.4800000004	2377361.5399999996	2077483.790000002	2032857.230000003	1867583.0600000012	2054998.6699999995	1825893.969999999	1677383.3799999994	2754079.030000003	1973892.5400000005	1173256.3500000003	2279380.4100000006	3072148.3599999975	2646483.3599999994	1968657.7499999984
Signaling molecules and interaction	25.0	2.0	3.0	24.0	6.0	142.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	99.0	30.0	0.0	160.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	4.0	0.0	13.0	0.0	0.0	1.0	2.0	37.0	60.0	18.0	0.0	15.0	19.0	25.0	10.0	0.0	28.0
Substance dependence	151.5	190.98	231.09	148.02	254.01	238.98	112.71000000000001	70.16999999999999	57.03	80.52000000000001	132.3	69.44999999999999	159.48	117.99	66.51	100.02000000000001	85.53	123.03000000000003	147.51	94.5	147.99	153.0	123.33	104.94000000000001	120.21000000000001	369.99	135.60000000000002	83.1	127.71000000000001	99.30000000000001	98.03999999999999	78.69	66.63	111.63	77.61	96.81	108.99	182.52	167.34	90.44999999999999	55.02000000000001	141.39000000000001	67.02000000000001	59.010000000000005	96.47999999999999	114.03	241.05000000000007
Transcription	155679.99000000014	118691.03999999998	108972.19000000003	137807.35000000003	136214.29000000007	124879.16000000002	144900.02000000002	140383.12000000005	133299.19000000003	140831.78	102383.99000000005	135762.21000000008	118839.35999999996	146120.55000000008	139589.52000000005	139965.48000000004	119099.18000000001	95943.36999999997	138986.12000000002	108845.93000000002	135535.98000000004	126720.87000000001	120688.81000000006	126176.09000000001	140045.92000000004	120467.86000000006	110726.50000000004	103919.52000000005	122009.1	148639.62000000005	148284.54000000007	151575.18000000005	149748.94000000006	134285.68000000002	118206.17000000004	131403.86000000007	128709.38000000005	132060.58000000005	120050.79	97159.31999999993	160389.35	119075.33	74774.39	135713.16	171274.88000000006	154528.06999999992	125459.84000000007
Translation	3204084.000000002	2422216.809999998	2251862.250000003	2857720.0899999994	2790537.250000003	2529976.869999999	2979744.5299999993	2878642.060000001	2735620.4700000007	2908151.4499999997	2071675.4000000018	2771660.570000003	2452395.54	2963550.740000004	2823960.5900000017	2793815.0400000024	2441561.889999999	1976967.3799999978	2857292.8600000017	2258216.870000002	2784616.010000002	2578826.7800000003	2467550.5700000008	2596155.200000001	2902064.5199999996	2540000.9800000023	2306411.7599999984	2113587.1200000024	2503947.020000001	3068692.9700000016	3058744.0100000007	3124747.0299999993	3086023.8300000033	2776112.3099999987	2428184.3799999994	2702523.2900000038	2628671.590000001	2688224.550000004	2443887.979999999	2011497.939999999	3303213.2100000014	2446280.7900000005	1534701.459999999	2791251.479999998	3522298.849999999	3176298.330000001	2574116.040000002
Transport and catabolism	154746.24000000008	149292.41	208006.53	147798.24000000008	162138.42	117669.28	157849.67	147020.81	141827.03000000003	153904.91	115075.12000000001	171411.81000000008	176776.89999999997	155878.39000000007	159805.52000000002	127940.23000000003	172496.94000000003	127752.92999999995	149709.02000000005	130843.43000000002	206511.3100000001	148113.54000000004	137914.73	173169.46	189628.48999999996	201020.38000000003	212035.00000000006	206739.79	151658.27000000002	166858.5100000001	159374.86000000004	157845.80000000008	177780.64	156879.18000000005	162587.00000000003	167545.78999999998	155156.77000000002	146799.04	101752.99	113249.32	155202.73	111729.01000000001	88197.39	137262.88000000003	151313.41000000006	151379.69999999998	144468.97000000003
Unclassified: genetic information processing	877793.6100000005	631714.4199999997	551260.5599999998	744395.4100000005	710259.3500000003	604414.9699999997	756747.87	738414.7900000002	726960.2900000002	799762.4599999997	491208.5300000001	681448.9200000003	594480.0499999997	759951.5500000003	703381.2700000001	682891.7699999999	612694.9500000002	494510.0800000001	793272.8299999998	564222.8100000002	730098.7100000002	669314.66	627418.7000000002	651627.9399999998	760019.51	638361.1399999998	557608.5600000003	511194.32000000007	623371.04	810751.3900000001	794056.0399999998	842028.5100000007	815479.0000000007	727101.9500000002	633292.1399999999	634543.53	567884.8100000002	630469.19	556331.36	512408.6300000001	858909.45	612593.4299999999	358453.20000000007	707174.2900000004	986190.18	853378.8699999998	609821.4500000002
Unclassified: metabolism	2565886.13	1992897.4400000006	2090256.3699999969	2242017.670000001	2542157.830000005	1943095.1100000024	2516197.4699999946	2448673.879999997	2147328.4300000006	2367453.0799999996	1726070.2500000023	2346064.9799999977	2102471.099999997	2619278.2299999986	2449900.7400000044	2259655.5100000002	2118246.9000000036	1662903.480000001	2491384.3300000043	1784730.0800000045	2705522.2000000076	2258931.6599999997	2062204.2000000002	2308452.580000002	2451528.459999998	2207459.7999999984	1979235.4000000018	1664383.6300000034	2077203.740000002	2591720.870000002	2517330.1699999976	2571448.420000004	2694100.8099999973	2381517.8000000026	2090281.100000003	2029107.9699999986	1878530.9900000005	2142360.32	1875935.9100000006	1770292.5699999987	2780275.640000004	2042875.6199999976	1258061.0699999996	2184296.5300000026	2864442.2200000016	2524780.31	1975828.3299999963
Unclassified: signaling and cellular processes	1832448.9199999974	1314155.2500000012	1258538.7399999993	1596913.6400000027	1618473.3	1355590.460000001	1708289.0800000022	1637307.880000002	1486122.7599999993	1641348.079999999	1132953.53	1565929.360000001	1321352.9099999988	1725837.3600000008	1607757.2199999995	1562749.229999999	1381042.0999999992	1074006.2199999993	1669598.8400000024	1226131.7600000014	1642789.1000000015	1463292.9400000018	1392966.1999999997	1481520.0200000023	1632903.5699999984	1424781.0900000008	1229866.9200000009	1053598.1300000006	1382479.3700000008	1779888.2300000007	1758062.2800000012	1792857.3799999985	1808015.7399999998	1606861.7099999997	1369537.7100000004	1361578.4	1270433.8399999996	1398463.4399999985	1236754.2499999988	1114675.5999999994	1913143.6200000038	1336555.8999999987	796418.8400000002	1517179.5999999985	2015546.8200000038	1773023.1600000006	1337187.54
Xenobiotics biodegradation and metabolism	605624.1799999999	479043.72000000003	500616.7000000003	542774.1300000004	590509.1800000004	476514.0399999999	608469.9300000003	593279.4100000004	510463.0199999999	541228.3400000004	447212.39999999985	559340.3700000001	495392.4200000001	625067.8300000002	572308.9500000002	551952.4400000003	498570.2900000004	407339.42000000004	572941.1600000003	448023.96999999986	620740.92	531029.0899999999	497762.9399999998	554447.8200000003	561376.18	528763.76	470194.46	403709.7500000001	500853.6299999999	590714.1500000003	591568.3600000002	615263.8600000002	643186.5000000002	560490.9100000006	506236.02999999997	503807.3399999998	476779.32	517317.76	479464.4400000002	446366.4	646750.6699999999	512175.4400000001	314108.04	480470.65000000026	640818.3100000002	568692.5400000002	478917.0500000001
