ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	MD1	MD2	MD3	MD4	MD5	MD11	MD12	MD13	MD14	MD15
ASV_272	3.116	10.142	0.00520771292114333	0.0258100309014315	Enriched	0.248	0.009	0.007	0.347	0.042	0.647	0.196	0.014	0.012	0.013	0	0.005
ASV_173	2.473	10.219	0.00546456006942491	0.0258100309014315	Enriched	0.237	0.019	0.011	0.293	0.086	0.227	0.567	0.032	0.034	0.011	0.009	0.009
ASV_33	2.063	11.723	0.00548207185461755	0.0258100309014315	Enriched	0.628	0.123	0.577	0.81	0.486	0.789	0.481	0.323	0.137	0.005	0.146	0.005
ASV_152	-2.087	9.986	0.00549658065493449	0.0258100309014315	Depleted	0.039	0.104	0.073	0.023	0.046	0.014	0.041	0.263	0.072	0.016	0.113	0.055
ASV_166	-2.376	9.62	0.00602268601665557	0.0276787272254809	Depleted	0.03	0.126	0.014	0.021	0.026	0.079	0.007	0.329	0.06	0.004	0.23	0.005
ASV_8	3.946	12.987	0.00633123608825018	0.0284905623971258	Enriched	1.742	0.03	0.101	0.083	0.121	0.109	8.296	0.05	0.01	0.013	0.009	0.067
ASV_61	-2.149	10.32	0.00671344165298894	0.0295939468784818	Depleted	0.052	0.073	0.046	0.044	0.042	0.04	0.088	0.088	0.039	0.083	0.079	0.074
ASV_45	2.649	9.784	0.00746848962470572	0.0321208109763152	Enriched	0.18	0.01	0.007	0.201	0.33	0.336	0.024	0.012	0.007	0.005	0.011	0.012
ASV_6	2.099	13.048	0.00762213791904914	0.0321208109763152	Enriched	1.61	0.287	1.196	2.125	1.425	1.887	1.417	0.672	0.316	0.022	0.397	0.028
ASV_140	2.036	10.335	0.00773278782763144	0.0321208109763152	Enriched	0.254	0.034	0.066	0.407	0.126	0.585	0.084	0.028	0.045	0.005	0.08	0.011
ASV_151	1.775	10.717	0.00805452791771111	0.0328260005702943	Enriched	0.307	0.055	0.096	0.296	0.282	0.427	0.433	0.136	0.082	0.009	0.035	0.014
ASV_1440	-2.106	9.024	0.0086036620379523	0.0344146481518092	Depleted	0.02	0.071	0.028	0.012	0.033	0.026	0.002	0.177	0.099	0.005	0.068	0.005
ASV_44	2.046	12.365	0.00931863026239999	0.0360024832099703	Enriched	1.014	0.19	0.641	1.111	0.94	1.978	0.401	0.499	0.178	0.013	0.247	0.014
ASV_172	-2.336	10.187	0.00933397712851081	0.0360024832099703	Depleted	0.044	0.184	0.034	0.046	0.035	0.086	0.021	0.281	0.309	0.002	0.325	0.002
ASV_17	-4.396	13.351	0.00971249601753251	0.0364389228031135	Depleted	0.082	0.425	0.374	0	0.005	0.012	0.021	0.04	0.122	1.749	0.135	0.08
ASV_103	1.738	11.252	0.00978452556750269	0.0364389228031135	Enriched	0.438	0.084	0.196	0.39	0.405	0.545	0.656	0.221	0.111	0.007	0.053	0.027
ASV_100	1.58	11.207	0.0138752188866006	0.0507974115170461	Enriched	0.406	0.099	0.335	0.36	0.511	0.541	0.282	0.185	0.094	0.011	0.192	0.011
ASV_57	2.218	10.542	0.0152234442030584	0.0548043991310102	Enriched	0.236	0.018	0.587	0.086	0.198	0.134	0.177	0.01	0.019	0.016	0.018	0.025
ASV_159	-1.981	10.909	0.0172543781318916	0.0610974701063703	Depleted	0.093	0.246	0.048	0.182	0.026	0.123	0.088	0.046	0.506	0.031	0.633	0.016
ASV_63	-2.15	8.831	0.0200114515508323	0.0697173150803189	Depleted	0.018	0.022	0.02	0.012	0.024	0.018	0.015	0.032	0.003	0.02	0.013	0.041
ASV_84	-1.532	11.236	0.0214571750896642	0.0735674574502773	Depleted	0.14	0.272	0.16	0.139	0.099	0.239	0.063	0.716	0.29	0.084	0.241	0.028
ASV_75	-1.509	11.843	0.0223697643510454	0.0754979546847783	Depleted	0.228	0.293	0.105	0.288	0.202	0.313	0.233	0.381	0.281	0.182	0.516	0.108
ASV_124	2.64	11.326	0.0235513409770302	0.078262917708285	Enriched	0.535	0.063	0.011	0.071	1.563	0.998	0.034	0.181	0.019	0.013	0.104	0
ASV_170	-1.782	9.879	0.0248453241701742	0.0813119700114793	Depleted	0.051	0.128	0.009	0.085	0.057	0.086	0.021	0.179	0.195	0.009	0.252	0.004
ASV_198	-2.561	10.787	0.0265921687082095	0.0854296001651558	Depleted	0.062	0.271	0	0.049	0.152	0.098	0.011	0.096	0.576	0.009	0.673	0.002
ASV_174	1.765	10.33	0.0268945037556972	0.0854296001651558	Enriched	0.212	0.053	0.347	0.275	0.185	0.204	0.05	0.154	0.019	0.004	0.084	0.004
ASV_3	3.32	14.407	0.0284274340884416	0.0881434396220915	Enriched	3.363	0.123	16.368	0.152	0.112	0.118	0.063	0.114	0.12	0.234	0.064	0.081
ASV_73	-1.715	9.668	0.0289386462196375	0.0881434396220915	Depleted	0.04	0.053	0.055	0.06	0.02	0.012	0.054	0.028	0.067	0.052	0.093	0.027
ASV_220	-2.989	6.499	0.0290211109357676	0.0881434396220915	Depleted	0.001	0.003	0.002	0.004	0	0.002	0	0.002	0	0.002	0	0.011
ASV_217	-1.68	7.724	0.0297539932096333	0.0881434396220915	Depleted	0.009	0.014	0.012	0.016	0.007	0.007	0.004	0.012	0.012	0.011	0.027	0.007
ASV_26	1.87	13.172	0.0297892180204291	0.0881434396220915	Enriched	1.793	0.272	0.123	1.801	1.202	3.134	2.703	0.315	0.307	0.052	0.596	0.089
ASV_141	2.323	10.117	0.0307519706238536	0.0897625088480052	Enriched	0.224	0.036	0.004	0.261	0.227	0.374	0.252	0.084	0.005	0	0.091	0
ASV_109	-1.572	9.837	0.031846587021604	0.0917181706222194	Depleted	0.052	0.062	0.018	0.028	0.051	0.053	0.11	0.108	0.048	0.034	0.069	0.051
ASV_4	-1.848	10.761	0.0346190231819458	0.0983909079907934	Depleted	0.082	0.085	0.077	0.044	0.055	0.03	0.207	0.07	0.074	0.095	0.069	0.117
ASV_465	1.516	11.775	0.0359511848036661	0.100850076851843	Enriched	0.612	0.157	0.388	0.848	0.429	0.738	0.656	0.158	0.269	0.011	0.338	0.009
ASV_131	1.458	9.901	0.0393763725808274	0.109042262531522	Enriched	0.158	0.043	0.107	0.18	0.181	0.132	0.188	0.114	0.027	0	0.068	0.007
ASV_177	2.149	7.635	0.0404103704968994	0.110316755886023	Enriched	0.024	0.003	0.08	0.007	0.009	0.012	0.011	0.008	0.003	0.004	0.002	0
ASV_11	1.701	13.191	0.0408580577355642	0.110316755886023	Enriched	1.586	0.207	1.836	0.947	2.27	1.551	1.327	0.399	0.165	0.07	0.199	0.202
ASV_19	2.948	14.25	0.0433961094249126	0.115722958466434	Enriched	3.339	0.443	10.646	0.845	0.454	4.74	0.009	2.088	0.034	0.013	0.007	0.071
ASV_88	-1.708	12.161	0.0465221359618044	0.122546114240851	Depleted	0.238	0.209	0.286	0.208	0.282	0.202	0.213	0.189	0.142	0.262	0.154	0.299
ASV_167	1.409	10.592	0.0489247069658494	0.126070850707788	Enriched	0.267	0.054	0.151	0.48	0.2	0.453	0.052	0.058	0.115	0.022	0.068	0.009
ASV_67	2.233	12.799	0.0490275530530286	0.126070850707788	Enriched	1.445	0.238	0.011	1.91	2.952	0.963	1.391	0.158	0.081	0.004	0.94	0.009
ASV_49	1.43	11.122	0.0525677944656836	0.133584042406914	NotSig	0.377	0.11	0.226	0.36	0.381	0.464	0.457	0.197	0.202	0.005	0.143	0.002
ASV_97	1.522	13.284	0.0540854327193843	0.135842482178919	NotSig	1.594	0.401	2.52	0.9	1.737	1.658	1.158	0.692	0.43	0.063	0.744	0.076
ASV_153	1.676	10.082	0.0574868035250646	0.142725857027747	NotSig	0.199	0.025	0.012	0.288	0.328	0.339	0.03	0.012	0.05	0.011	0.033	0.018
