ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	MD10	MD11	MD12	MD13	MD14	MD15
ASV_71	-1.774	15.553	0.260230428829903	0.504196455857936	NotSig	0.169	0.578	0.052	0.134	0.084	0.093	0.165	0.102	0.021	0.034	0.06	0.092	0.127	0.896	0.007	0.576	0.094	0.03	0.076	0.059	0.047	0.06	0.162	0.124	0.041	0.014	0.076	0.335	0.178	4.808	0.11	2.552
ASV_392	-2.352	11.55	0.0581636020963678	0.248483379998146	NotSig	0.014	0.072	0.027	0.002	0.013	0.004	0.004	0.016	0.018	0.007	0.019	0.022	0.03	0.019	0.02	0.004	0.007	0.02	0.004	0.007	0.009	0.013	0.014	0.025	0.047	0.005	0.098	0.279	0.245	0.009	0.3	0.004
ASV_88	-0.002	11.996	0.988320030695496	0.989299417501275	NotSig	0.221	0.221	0.409	0.218	0.24	0.259	0.266	0.224	0.169	0.161	0.233	0.175	0.217	0.251	0.169	0.161	0.16	0.286	0.208	0.282	0.202	0.213	0.238	0.281	0.214	0.168	0.18	0.189	0.142	0.262	0.154	0.299
ASV_68	-0.326	12.712	0.265325164016152	0.507720992870414	NotSig	0.286	0.358	0.118	0.188	0.488	0.449	0.14	0.337	0.387	0.174	0.388	0.408	0.217	0.386	0.085	0.303	0.221	0.447	0.566	0.44	0.671	0.349	0.549	0.474	0.146	0.091	0.548	0.401	0.273	0.009	0.404	0.011
ASV_98	2.068	11.855	0.000775203577593543	0.120156554526999	Enriched	0.146	0.035	0.194	0.132	0.042	0.089	0.044	0.051	0.158	0.324	0.11	0.157	0.231	0.119	0.371	0.033	0.14	0.085	0.025	0.031	0.032	0.017	0.032	0.019	0.131	0.078	0.013	0.024	0.002	0.011	0.011	0.012
ASV_72	-0.33	13.414	0.542773158819904	0.735541542377305	NotSig	0.213	0.268	0.129	0.302	1.091	0.441	0.496	0.159	0.032	0.05	0.03	0.144	0.064	0.138	0.023	0.054	0.044	0.452	0.136	0.176	0.249	0.173	0.457	0.733	0.428	0.086	0.45	0.193	0.111	0.205	0.132	0.037
ASV_83	-0.134	12.816	0.724192002309213	0.837684778790508	NotSig	0.262	0.287	0.1	0.101	0.519	0.33	0.119	0.598	0.274	0.225	0.436	0.474	0.233	0.125	0.041	0.209	0.146	0.082	0.215	0.225	0.39	0.257	0.721	0.59	0.131	0.323	0.472	0.55	0.12	0.011	0.207	0.018
ASV_300	0.853	13.149	0.0121675393495708	0.197476219450367	Enriched	0.425	0.235	0.389	0.385	0.099	0.421	0.4	0.271	0.345	0.216	0.376	0.294	0.485	0.762	0.252	0.766	0.909	0.173	0.243	0.328	0.571	0.403	0.252	0.309	0.16	0.105	0.082	0.359	0.331	0.016	0.183	0.012
ASV_157	0.381	13.32	0.484571318912357	0.70166750973568	NotSig	0.278	0.214	0.383	0.018	0.013	0.037	0.019	0.217	0.091	0.436	0.393	0.253	0.582	0.298	0.617	0.409	0.407	0.295	0.012	0.005	0.065	0.006	0.074	0.29	1.023	0.137	0.158	0.05	0.552	0.022	0.505	0.012
ASV_102	0.469	13.556	0.329487249538047	0.537584459772602	NotSig	0.426	0.308	0.02	0.914	0.181	0.186	0.296	0.111	0.411	0.228	0.514	1.021	0.525	0.705	0.311	0.624	0.345	0.011	0.259	0.225	0.432	0.679	1.204	0.014	0.011	0.093	0.036	0.56	0.304	0.016	0.763	0.012
ASV_125	0.118	10.231	0.621849616732114	0.76688794190251	NotSig	0.062	0.057	0.068	0.022	0.12	0.054	0.009	0.038	0.111	0.044	0.069	0.041	0.089	0.066	0.09	0.048	0.066	0.1	0.044	0.037	0.1	0.034	0.05	0.051	0.065	0.061	0.082	0.048	0.034	0.054	0.068	0.035
ASV_87	1.919	13.838	0.0120025640614474	0.197476219450367	Enriched	0.521	0.138	0.075	0.117	0.023	0.311	0.073	0.033	0.295	0.563	0.183	1.41	1.016	0.914	1.464	0.68	0.662	0.043	0.018	0.392	0.42	0.019	0.032	0.014	0.005	0.708	0.018	0.118	0.005	0.007	0.214	0.055
ASV_206	2.094	14.396	0.0216586821332661	0.197476219450367	Enriched	0.575	0.135	0.013	0.005	0.013	0.531	0.005	0.164	0.202	0.735	2.156	0.458	1.068	0.092	1.336	0.703	1.143	0.004	0.178	0.02	0.571	0.004	0.01	0.041	0.014	0.055	0.015	0.166	0.009	0.016	0.918	0
ASV_117	1.04	14.086	0.305608311157281	0.531414266402126	NotSig	0.326	0.159	0.009	0.014	0.019	0.168	0.023	0.02	0.153	0.048	0.289	0.083	1.351	1.056	0.246	0.998	0.417	0.014	0.102	0.04	0.088	0.015	0.01	0.065	0.014	0.07	0.036	0.018	1.739	0.02	0.126	0.023
ASV_77	-9.504	15.78	0.163484374496688	0.427719062803303	NotSig	0.001	0.697	0	0.004	0	0	0	0	0	0.004	0	0	0.003	0	0	0.002	0.002	0	0.004	0	0.002	0.009	0	0	0	0	0	0.006	0.031	4.758	0.016	5.625
ASV_720	-1.648	11.212	0.0951807320609507	0.327844743765497	NotSig	0.016	0.051	0.011	0.029	0.025	0.032	0.021	0.031	0.009	0.005	0.015	0.028	0.003	0.014	0.005	0.012	0.007	0.02	0.007	0.026	0.019	0.052	0.018	0.021	0.013	0.009	0.013	0.237	0.108	0	0.214	0.016
ASV_122	-1.87	12.615	0.0981073476686991	0.330579106274965	NotSig	0.031	0.115	0.023	0.013	0.011	0.117	0.039	0.015	0.004	0.027	0.004	0.007	0.078	0.039	0.061	0.021	0.013	0.012	0.014	0.288	0.111	0.006	0.05	0.016	0.12	0.016	0.011	0.04	0.381	0.022	0.627	0.011
ASV_95	-0.28	12.572	0.471537438853294	0.689512292662835	NotSig	0.219	0.266	0.065	0.076	0.426	0.309	0.113	0.514	0.234	0.179	0.373	0.412	0.196	0.076	0.032	0.165	0.122	0.084	0.194	0.209	0.307	0.252	0.609	0.535	0.119	0.351	0.499	0.52	0.117	0.009	0.181	0.009
ASV_78	0.646	12.553	0.0315361105424269	0.197725392191594	Enriched	0.356	0.227	0.43	0.188	0.176	0.21	0.246	0.124	0.272	0.482	0.315	0.286	0.504	0.376	0.536	0.601	0.588	0.171	0.093	0.156	0.343	0.093	0.168	0.562	0.241	0.284	0.243	0.425	0.276	0.014	0.335	0.005
ASV_130	-0.11	12.836	0.767013275963925	0.864684323217936	NotSig	0.29	0.313	0.256	0.038	0.191	0.067	0.028	0.226	0.211	0.349	0.175	0.198	0.519	0.398	0.644	0.503	0.551	0.313	0.291	0.355	0.295	0.06	0.555	0.233	0.077	0.731	0.234	0.311	0.659	0.011	0.541	0.032
ASV_85	1.091	13.318	0.0279491190609283	0.197725392191594	Enriched	0.408	0.192	0.405	0.191	0.042	0.261	0.03	0.18	0.241	0.115	0.375	0.225	0.86	0.846	0.52	0.814	1.021	0.078	0.092	0.158	0.188	0.158	0.268	0.345	0.257	0.136	0.111	0.471	0.269	0.018	0.324	0.005
ASV_142	1.807	14.416	0.0627731063865719	0.248483379998146	NotSig	0.502	0.143	0.512	0.04	0.149	1.184	0.285	0.026	0.52	0.315	2.186	1.591	0.063	0.053	0.05	0.131	0.418	0.012	0.582	0.064	0.921	0.317	0.022	0.023	0.014	0.093	0.063	0.002	0.015	0.005	0.005	0.011
ASV_1658	-0.599	12.231	0.0693967207010181	0.256106945444233	NotSig	0.148	0.224	0.348	0.231	0.065	0.277	0.135	0.14	0.156	0.099	0.099	0.103	0.096	0.156	0.041	0.088	0.182	0.139	0.28	0.218	0.302	0.252	0.198	0.408	0.379	0.171	0.481	0.164	0.144	0.013	0.179	0.03
ASV_118	0.776	13.503	0.209096175651534	0.435710139979233	NotSig	0.423	0.247	0.695	0.007	0.164	0.097	0.005	0.849	0.512	1.016	0.188	0.028	0.34	0.376	0.538	0.365	1.161	0.699	0.071	0.033	0.026	0.002	1.028	0.163	1.118	0.271	0.102	0.084	0.027	0.018	0.06	0.002
ASV_93	0.186	13.017	0.658793206442384	0.791573232547051	NotSig	0.238	0.209	0.143	0.17	0.572	0.374	0.168	0.585	0.299	0.142	0.134	0.247	0.182	0.133	0.085	0.202	0.133	0.267	0.148	0.361	0.134	0.175	0.829	0.065	0.174	0.055	0.297	0.197	0.187	0.054	0.075	0.119
ASV_1450	-0.223	13.665	0.711394121814723	0.829068337453249	NotSig	0.294	0.343	0.07	0.016	0.473	0.147	0.005	0.024	0.496	0.446	0.009	0.024	0.676	0.594	0.854	0.04	0.534	0.085	0.268	0.839	0.206	0.013	0.24	0.161	0.02	0.683	1.299	0.004	1.013	0.018	0.278	0.021
ASV_126	-4.092	14.821	0.0500859315931465	0.235791041509287	NotSig	0.036	0.612	0.039	0.011	0.038	0.017	0.014	0.055	0.039	0.042	0.045	0.028	0.024	0.045	0.043	0.052	0.046	0.084	0.021	0.033	0.032	0.024	0.03	0.028	0.289	1.715	0.049	2.895	1.032	0.043	2.875	0.023
ASV_101	0.271	13.085	0.517833792090628	0.718661662699062	NotSig	0.305	0.253	0.247	0.202	0.181	0.769	0.37	0.869	0.541	0.136	0.19	0.266	0.268	0.074	0.092	0.311	0.061	0.215	0.309	0.385	0.524	0.639	0.431	0.375	0.111	0.182	0.285	0.175	0.096	0.009	0.04	0.018
ASV_333	-1.323	12.151	0.00239618430092494	0.185704283321683	Depleted	0.091	0.229	0.059	0.067	0.132	0.091	0.039	0.087	0.13	0.104	0.043	0.078	0.08	0.136	0.085	0.131	0.111	0.327	0.293	0.414	0.394	0.069	0.174	0.293	0.455	0.369	0.123	0.116	0.062	0.025	0.214	0.106
ASV_100	-0.005	13.283	0.989299417501275	0.989299417501275	NotSig	0.307	0.308	0.306	0.448	0.116	0.46	0.129	0.129	0.367	0.345	0.721	0.366	0.29	0.156	0.383	0.148	0.232	0.335	0.36	0.511	0.541	0.282	0.294	0.283	0.383	0.997	0.136	0.185	0.094	0.011	0.192	0.011
ASV_96	0.852	13.351	0.0623340510294027	0.248483379998146	NotSig	0.404	0.224	0.168	0.276	0.132	0.37	0.283	0.087	0.332	0.126	0.447	1.045	0.794	0.59	0.369	0.597	0.44	0.089	0.42	0.456	0.478	0.421	0.046	0.044	0.02	0.057	0.053	0.756	0.074	0.009	0.433	0.002
ASV_90	1.488	13.432	0.00638262946605957	0.197476219450367	Enriched	0.447	0.159	0.07	0.2	0.057	0.235	0.198	0.12	0.262	0.947	1.105	0.788	0.342	0.491	0.836	0.338	0.719	0.27	0.217	0.246	0.304	0.093	0.252	0.08	0.171	0.146	0.187	0.156	0.156	0.009	0.102	0.004
ASV_84	0.871	13.687	0.213638520247882	0.435710139979233	NotSig	0.34	0.186	0.039	0.067	0.135	0.231	0.014	0.29	0.081	0.119	0.069	0.054	1.098	1.319	0.212	1.002	0.372	0.16	0.139	0.099	0.239	0.063	0.206	0.293	0.034	0.02	0.176	0.716	0.29	0.084	0.241	0.028
ASV_103	0.123	13.03	0.775458236600898	0.864719616353519	NotSig	0.291	0.267	0.211	0.191	0.212	0.801	0.376	0.836	0.543	0.103	0.162	0.246	0.215	0.055	0.059	0.299	0.057	0.196	0.39	0.405	0.545	0.656	0.459	0.392	0.068	0.177	0.301	0.221	0.111	0.007	0.053	0.027
ASV_107	2.411	14.145	0.011643522976843	0.197476219450367	Enriched	0.489	0.092	1.811	0.034	0.437	1.07	0.209	0.022	0.255	0.774	1.066	0.833	0.115	0.078	0.113	0.1	0.42	0.012	0.302	0.038	0.504	0.302	0.016	0.018	0.005	0.089	0.06	0.008	0.012	0.002	0.009	0.002
ASV_111	-0.079	12.905	0.835979736607914	0.89363351154639	NotSig	0.24	0.254	0.539	0.143	0.088	0.287	0.027	0.395	0.113	0.482	0.192	0.181	0.177	0.265	0.295	0.228	0.194	0.539	0.307	0.315	0.2	0.084	0.767	0.155	0.489	0.23	0.156	0.146	0.25	0.018	0.126	0.025
ASV_99	-0.85	13.808	0.198089842398633	0.432449655940677	NotSig	0.166	0.3	0.022	0.043	0.088	0.138	0.058	0.481	0.274	0.046	0.662	0.38	0.054	0.08	0.034	0.073	0.061	0.164	0.45	0.304	0.467	0.259	0.242	0.216	0.158	0.043	0.178	1.434	0.262	0.072	0.207	0.041
ASV_104	0.207	11.865	0.566741830016771	0.741719871371421	NotSig	0.161	0.139	0.125	0.121	0.13	0.277	0.213	0.233	0.195	0.119	0.285	0.373	0.078	0.066	0.032	0.084	0.076	0.073	0.127	0.191	0.086	0.311	0.306	0.216	0.133	0.109	0.317	0.078	0.048	0.02	0.046	0.027
ASV_135	-1.646	13.759	0.0212143465530663	0.197476219450367	Depleted	0.143	0.447	0.007	0.031	0.023	0.056	0.016	0.009	0.065	0.014	0.274	0.295	0.195	0.218	0.079	0.491	0.369	0.027	1.386	0.854	0.455	0.043	0.01	0.668	0.007	0.569	0.637	0.247	0.782	0.009	0.991	0.019
ASV_128	0.734	11.751	0.31693349017358	0.531414266402126	NotSig	0.067	0.04	0.013	0.023	0.011	0.048	0.005	0.013	0.014	0.055	0.02	0.015	0.125	0.17	0.083	0.06	0.345	0.007	0.159	0.077	0.081	0.063	0.004	0.009	0.005	0.007	0.005	0.034	0.055	0.011	0.066	0.018
ASV_119	2.213	13.784	0.0363667331172223	0.207522169638405	NotSig	0.282	0.061	0.197	0.329	1.41	0.562	0.399	0.554	0.352	0.138	0.078	0.105	0.021	0.027	0.022	0.015	0.02	0.222	0.044	0.086	0.058	0.099	0.146	0.034	0.056	0.07	0.065	0.024	0.005	0	0.004	0
ASV_106	0.467	13.199	0.279723829019614	0.514762552229659	NotSig	0.306	0.221	0.186	0.231	0.275	0.767	0.372	0.94	0.45	0.113	0.201	0.255	0.254	0.097	0.092	0.284	0.074	0.181	0.303	0.348	0.43	0.526	0.425	0.316	0.05	0.121	0.192	0.231	0.096	0.011	0.038	0.05
ASV_136	-4.893	14.779	0.327891788799271	0.537584459772602	NotSig	0.007	0.196	0.009	0.004	0.004	0.004	0.009	0.009	0.005	0	0.006	0.004	0.014	0.012	0.004	0.013	0.004	0.007	0.019	0.004	0	0.011	0.008	0.011	0.004	0.007	0	0.01	0.01	0.025	2.811	0.012
ASV_112	5.627	15.984	0.207966192319803	0.435710139979233	NotSig	0.594	0.012	0.002	0.002	0.006	0.013	0.004	0.002	0.169	0	0.007	0.015	0.002	0.207	0	1.998	6.48	0.005	0.002	0.005	0	0.002	0.006	0.004	0.007	0.007	0	0.028	0.034	0.041	0.037	0.002
ASV_86	-1.72	13.965	0.0433803884425395	0.231860696848056	NotSig	0.137	0.451	0.283	0.19	0.078	0.156	0.053	0.122	0.076	0.007	0.106	0.162	0.186	0.399	0.02	0.165	0.05	0.133	0.132	0.077	0.076	0.272	0.971	1.481	0.241	0.177	1.6	1.055	0.345	0.027	0.17	0.012
ASV_116	-8.005	16.016	0.231119965114743	0.459276853753656	NotSig	0.002	0.564	0	0.004	0.002	0	0	0	0.002	0.002	0	0.002	0.009	0	0	0.012	0.002	0.002	0.007	0	0	0.002	0	0	0	0	0	0.01	0.026	6.629	0.009	1.78
ASV_114	-0.294	13.179	0.528958489313938	0.725562529589915	NotSig	0.241	0.296	0.151	0.164	0.252	0.668	0.257	0.787	0.163	0.133	0.17	0.135	0.111	0.195	0.05	0.259	0.123	0.219	0.238	0.26	0.146	0.257	0.156	0.611	0.058	0.116	0.566	0.927	0.328	0.011	0.536	0.009
ASV_129	-0.152	12.4	0.769847978090807	0.864684323217936	NotSig	0.155	0.172	0.048	0.047	0.103	0.188	0.066	0.481	0.151	0.071	0.54	0.244	0.113	0.047	0.05	0.111	0.061	0.032	0.347	0.235	0.429	0.326	0.02	0.472	0.045	0.109	0.299	0.104	0.026	0.018	0.091	0.027
ASV_155	0.5	10.283	0.22479469912136	0.452508809919621	NotSig	0.049	0.035	0.02	0.043	0.038	0.026	0.011	0.075	0.032	0.066	0.05	0.118	0.03	0.099	0.036	0.069	0.029	0.039	0.032	0.125	0.044	0.097	0.012	0.011	0.011	0.036	0.011	0.02	0.033	0.004	0.027	0.025
ASV_113	-0.094	12.871	0.804401726855893	0.871903969668975	NotSig	0.26	0.277	0.104	0.316	0.073	0.071	0.749	0.078	0.095	0.241	0.05	0.327	0.514	0.322	0.392	0.24	0.323	0.201	0.24	0.235	0.329	0.662	0.164	0.567	0.395	0.46	0.238	0.257	0.105	0.014	0.287	0.002
ASV_115	-6.03	15.5	0.172926083622536	0.429867611752026	NotSig	0.008	0.512	0.007	0.007	0.006	0.004	0.018	0	0.004	0.002	0.009	0.006	0.012	0.016	0.005	0.015	0.007	0.002	0.009	0.022	0.005	0.006	0.008	0.005	0	0.007	0.007	0.024	0.055	4.636	0.009	2.889
ASV_377	-0.01	12.036	0.973894866526676	0.989299417501275	NotSig	0.168	0.169	0.321	0.367	0.172	0.173	0.184	0.157	0.116	0.216	0.114	0.054	0.096	0.152	0.156	0.121	0.122	0.183	0.233	0.271	0.42	0.285	0.144	0.168	0.102	0.107	0.149	0.13	0.182	0.004	0.15	0.009
ASV_153	1.046	12.556	0.175118323082578	0.429867611752026	NotSig	0.161	0.078	0.03	0.025	0.019	0.225	0.007	0.016	0.028	0.034	0.127	0.028	0.278	0.602	0.371	0.488	0.131	0.012	0.288	0.328	0.339	0.03	0.006	0.005	0.004	0.03	0.002	0.012	0.05	0.011	0.033	0.018
ASV_124	0.021	13.932	0.981837066169037	0.989299417501275	NotSig	0.242	0.239	1.335	0.005	0.076	0.575	0.028	0.009	0.445	0.018	0.658	0.234	0.01	0.025	0.013	0.196	0.009	0.011	0.071	1.563	0.998	0.034	0.014	0.012	0.014	0.522	0.029	0.181	0.019	0.013	0.104	0
ASV_110	-0.977	12.923	0.0374878758056473	0.207522169638405	NotSig	0.159	0.314	0.09	0.078	0.101	0.076	0.074	0.517	0.431	0.099	0.108	0.641	0.021	0.023	0.002	0.052	0.077	0.149	0.205	0.546	0.777	0.485	0.371	0.396	0.097	0.096	0.408	0.291	0.159	0.252	0.298	0.174
ASV_121	-0.399	11.955	0.546497588780617	0.735541542377305	NotSig	0.059	0.078	0.091	0.24	0.073	0.093	0.193	0.022	0.026	0.011	0.017	0.017	0.009	0.039	0.022	0.019	0.011	0.041	0.067	0.073	0.072	0.397	0.066	0.083	0.041	0.018	0.156	0.058	0.019	0.018	0.018	0.035
ASV_154	-0.022	12.139	0.958038815301181	0.989299417501275	NotSig	0.123	0.125	0.075	0.098	0.034	0.086	0.119	0.018	0.105	0.161	0.116	0.192	0.116	0.088	0.295	0.182	0.166	0.032	0.243	0.161	0.172	0.451	0.018	0.097	0.036	0.185	0.038	0.106	0.173	0.014	0.126	0.025
ASV_138	-0.221	12.487	0.488903813235184	0.70166750973568	NotSig	0.204	0.238	0.127	0.379	0.275	0.24	0.112	0.148	0.432	0.195	0.212	0.181	0.092	0.133	0.115	0.244	0.173	0.16	0.238	0.214	0.494	0.188	0.232	0.15	0.246	0.1	0.312	0.271	0.376	0.009	0.574	0
ASV_159	-0.823	12.627	0.18244792506817	0.429867611752026	NotSig	0.097	0.171	0.041	0.029	0.034	0.041	0.03	0.029	0.125	0.324	0.063	0.229	0.073	0.074	0.135	0.106	0.116	0.048	0.182	0.026	0.123	0.088	0.024	0.17	0.234	0.066	0.374	0.046	0.506	0.031	0.633	0.016
ASV_108	-2.454	15.175	0.250032647673775	0.490570384676394	NotSig	0.065	0.359	0.052	0.213	0.053	0.065	0.064	0.064	0.007	0.041	0.019	0.033	0.021	0.177	0.036	0.115	0.022	0.023	0.049	0.079	0.047	0.108	0.126	0.049	0.027	0.03	0.016	0.14	0.117	3.699	0.049	0.822
ASV_105	-1.801	11.89	0.0493887386208824	0.235791041509287	NotSig	0.028	0.099	0.061	0.04	0.113	0.034	0.039	0.015	0.005	0.004	0.009	0.013	0.033	0.027	0.007	0.012	0.017	0.246	0.019	0.024	0.007	0.017	0.379	0.035	0.05	0.037	0.357	0.04	0.13	0.077	0.064	0.004
ASV_272	1.976	13.694	0.0233139000011778	0.197725392191594	Enriched	0.376	0.096	0.668	0.033	0.176	0.78	0.198	0.02	0.411	0.402	1.325	1.028	0.057	0.039	0.07	0.111	0.323	0.007	0.347	0.042	0.647	0.196	0.02	0.014	0.009	0.07	0.038	0.014	0.012	0.013	0	0.005
ASV_134	0.44	13.687	0.497915504996572	0.708044984169437	NotSig	0.276	0.203	1.319	0.321	0.097	0.631	0.407	0.31	0.1	0.243	0.097	0.055	0.092	0.043	0.165	0.165	0.088	0.062	0.439	0.612	0.752	0.267	0.174	0.21	0.363	0.089	0.047	0.004	0.005	0.002	0.015	0.007
ASV_1046	1.049	13.084	0.0580172549355963	0.248483379998146	NotSig	0.316	0.153	0.149	0.103	0.023	0.121	0.016	0.481	0.868	0.009	0.76	0.377	0.365	0.207	0.585	0.39	0.286	0.009	0.085	0.055	0.067	0.561	0.012	0.175	0.252	0.296	0.047	0.106	0.448	0.009	0.159	0.011
ASV_127	-0.589	13.013	0.185667114627135	0.429867611752026	NotSig	0.17	0.255	0.063	0.114	0.21	0.361	0.143	0.284	0.123	0.055	0.378	0.312	0.076	0.14	0.018	0.148	0.12	0.183	0.212	0.183	0.174	0.209	0.827	0.327	0.081	0.114	0.406	0.52	0.197	0.004	0.386	0.007
ASV_120	-1.253	11.638	0.121485909085988	0.374071099489351	NotSig	0.026	0.062	0.043	0.108	0.025	0.054	0.076	0.007	0.012	0.002	0.011	0.007	0.009	0.025	0.002	0.004	0.004	0.021	0.042	0.064	0.032	0.319	0.052	0.09	0.034	0.021	0.151	0.028	0.022	0.013	0.015	0.025
ASV_167	1.265	13.406	0.0288795305385508	0.197725392191594	Enriched	0.309	0.129	0.335	0.126	0.536	1.085	0.099	0.086	0.304	0.498	0.158	0.404	0.076	0.322	0.183	0.25	0.173	0.151	0.48	0.2	0.453	0.052	0.018	0.014	0.147	0.123	0.02	0.058	0.115	0.022	0.068	0.009
ASV_183	1.194	12.581	0.410446379493348	0.633692163688283	NotSig	0.062	0.027	0.038	0.013	0.052	0.019	0.018	0.007	0.005	0.613	0.017	0.02	0.012	0.039	0.04	0.017	0.022	0.004	0.032	0.013	0.016	0.007	0.016	0.011	0.02	0.014	0.007	0.195	0.009	0.009	0.044	0.011
ASV_123	-0.771	10.828	0.0609260024432078	0.248483379998146	NotSig	0.041	0.071	0.041	0.031	0.048	0.045	0.007	0.02	0.054	0.023	0.065	0.057	0.066	0.041	0.061	0.035	0.026	0.021	0.101	0.066	0.141	0.082	0.002	0.044	0.067	0.037	0.089	0.108	0.182	0.005	0.113	0
ASV_149	0.236	13.202	0.6783454479188	0.802622476545145	NotSig	0.25	0.212	0.942	0.558	0.095	0.281	0.544	0.202	0.445	0.149	0.304	0.21	0	0.002	0.009	0.008	0	0.087	0.182	0.744	0.262	0.453	0.06	0.507	0.365	0.201	0.098	0.042	0.108	0.002	0.069	0.004
ASV_139	-0.204	12.246	0.623405681804621	0.76688794190251	NotSig	0.123	0.141	0.217	0.134	0.248	0.262	0.218	0.129	0.028	0.016	0.097	0.126	0.082	0.099	0.022	0.108	0.057	0.082	0.093	0.158	0.126	0.162	0.21	0.486	0.063	0.118	0.294	0.132	0.103	0.002	0.088	0.005
ASV_150	-0.356	12.172	0.337135414484381	0.544333221302906	NotSig	0.145	0.185	0.072	0.081	0.114	0.141	0.129	0.279	0.169	0.299	0.311	0.329	0.042	0.058	0.029	0.071	0.044	0.123	0.116	0.108	0.128	0.172	0.461	0.345	0.291	0.262	0.31	0.092	0.07	0.111	0.06	0.126
