ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	NC10	NC11	NC12	NC13	NC14	NC15	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	MD10	MD11	MD12	MD13	MD14	MD15
ASV_119	2.076	12.595	0.000445776604612137	0.00532238897417084	Enriched	0.256	0.061	0.397	0.258	0.373	0.21	0.186	0.417	0.619	0.279	0.387	0.281	0.027	0.077	0.036	0.221	0.077	0.222	0.044	0.086	0.058	0.099	0.146	0.034	0.056	0.07	0.065	0.024	0.005	0	0.004	0
ASV_106	-1.493	12.36	0.0048293087089069	0.0196984960494887	Depleted	0.079	0.221	0.064	0.092	0.153	0.017	0.155	0.104	0.09	0.061	0.122	0.09	0.048	0.049	0.033	0.058	0.044	0.181	0.303	0.348	0.43	0.526	0.425	0.316	0.05	0.121	0.192	0.231	0.096	0.011	0.038	0.05
ASV_136	0.998	14.877	0.490423537996854	0.558938591099356	NotSig	0.391	0.196	0.018	0.036	3.009	0.012	0.01	0.892	0.097	0.017	0.013	0.038	0.04	1.078	0.012	0.007	0.588	0.007	0.019	0.004	0	0.011	0.008	0.011	0.004	0.007	0	0.01	0.01	0.025	2.811	0.012
ASV_112	-0.568	8.691	0.366058660852379	0.426609717534728	NotSig	0.008	0.012	0.029	0.002	0.002	0.005	0.007	0.007	0.012	0.005	0.01	0.005	0.002	0.011	0.016	0.004	0.006	0.005	0.002	0.005	0	0.002	0.006	0.004	0.007	0.007	0	0.028	0.034	0.041	0.037	0.002
ASV_86	-4.498	13.965	0.00812577836959584	0.0256204471630287	Depleted	0.02	0.451	0.022	0.016	0.016	0.022	0.014	0.012	0.021	0.047	0.02	0.032	0.008	0.031	0.003	0.004	0.033	0.133	0.132	0.077	0.076	0.272	0.971	1.481	0.241	0.177	1.6	1.055	0.345	0.027	0.17	0.012
ASV_116	-9.273	16.016	0.230109821014469	0.312868616291602	NotSig	0.001	0.564	0	0	0	0.005	0	0	0	0	0	0.007	0.002	0	0	0	0	0.002	0.007	0	0	0.002	0	0	0	0	0	0.01	0.026	6.629	0.009	1.78
ASV_114	-3.182	13.179	0.00147904901487906	0.00965847920990356	Depleted	0.033	0.296	0.035	0.021	0.039	0.015	0.016	0.026	0.043	0.019	0.025	0.022	0.048	0.066	0.017	0.047	0.051	0.219	0.238	0.26	0.146	0.257	0.156	0.611	0.058	0.116	0.566	0.927	0.328	0.011	0.536	0.009
ASV_129	0.412	12.382	0.293253410412324	0.366566763015404	NotSig	0.229	0.172	0.268	0.346	0.534	0.089	0.406	0.17	0.313	0.141	0.159	0.153	0.147	0.134	0.118	0.269	0.186	0.032	0.347	0.235	0.429	0.326	0.02	0.472	0.045	0.109	0.299	0.104	0.026	0.018	0.091	0.027
ASV_155	3.676	14.011	0.00364035276325263	0.0161215622372617	Enriched	0.447	0.035	0.422	0.076	0.513	1.651	0.144	0.8	0.444	0.153	1.238	0.354	0.218	0.15	0.03	0.342	0.169	0.039	0.032	0.125	0.044	0.097	0.012	0.011	0.011	0.036	0.011	0.02	0.033	0.004	0.027	0.025
ASV_113	-4.565	12.692	7.13817781005864e-05	0.00192081333625746	Depleted	0.012	0.277	0.013	0.005	0.056	0.017	0.016	0	0.005	0.005	0.005	0.003	0.01	0.009	0.007	0.011	0.013	0.201	0.24	0.235	0.329	0.662	0.164	0.567	0.395	0.46	0.238	0.257	0.105	0.014	0.287	0.002
ASV_115	-5.844	15.5	0.17378804254555	0.24267699634739	NotSig	0.009	0.512	0.007	0.01	0.019	0.014	0.007	0.015	0.005	0.014	0.01	0.015	0.004	0.005	0	0.006	0.002	0.002	0.009	0.022	0.005	0.006	0.008	0.005	0	0.007	0.007	0.024	0.055	4.636	0.009	2.889
