ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	NC10	NC11	NC12	NC13	NC14	NC15	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15
ASV_57	0.531	14.144	0.260699640609189	0.313243754220343	NotSig	0.581	0.402	0.903	0.641	1.098	0.679	0.625	0.842	1.041	0.832	0.546	0.543	0.088	0.157	0.045	0.329	0.342	0.292	0.5	1.811	1.028	0.641	0.747	0.482	0.159	0.084	0.135	0.038	0.033	0.04	0.012	0.028
ASV_82	1.673	16.198	0.347498972032369	0.401957766156845	NotSig	0.692	0.217	0.401	0.243	0.169	0.196	0.477	0.146	0.259	0.063	7.517	0.083	0.13	0.161	0.338	0.103	0.101	0.104	0.139	0.17	0.296	0.066	0.326	0.364	0.156	0.171	0.306	0.132	0.38	0.212	0.171	0.264
ASV_47	-1.112	10.494	0.0995602559758518	0.13656495288723	NotSig	0.014	0.03	0.002	0.003	0.002	0.009	0	0.02	0.002	0.037	0.008	0.01	0.042	0.02	0.028	0.002	0.022	0.023	0.023	0.021	0.017	0.019	0.042	0.012	0.018	0.02	0.024	0.016	0.144	0.004	0.038	0.024
ASV_54	1.539	14.565	0.0419935498395458	0.0696840406240894	Enriched	0.544	0.187	0.351	0.65	0.435	0.227	1.147	0.545	0.98	2.423	0.457	0.384	0.101	0.141	0.128	0.041	0.145	0.095	0.218	0.355	0.272	0.182	0.149	0.285	0.127	0.386	0.33	0.069	0.107	0.032	0.121	0.076
ASV_75	-0.43	12.937	0.221318626495219	0.276648283119024	NotSig	0.282	0.379	0.39	0.618	0.784	0.208	0.437	0.083	0.256	0.122	0.108	0.09	0.165	0.218	0.167	0.243	0.338	0.099	0.148	0.664	0.676	0.124	0.63	0.369	0.151	0.391	0.77	0.379	0.314	0.135	0.459	0.383
ASV_49	-0.956	13.555	0.0419563287742419	0.0696840406240894	Depleted	0.207	0.401	0.222	0.12	0.22	0.295	0.205	0.238	0.092	0.251	0.204	0.154	0.207	0.24	0.219	0.138	0.294	0.075	0.242	0.343	0.547	0.108	0.516	0.322	0.14	0.22	1.204	0.427	1.066	0.103	0.401	0.297
ASV_76	-0.67	14.334	0.399146281154567	0.458279063547836	NotSig	0.341	0.543	0.044	0.005	0.011	0.027	0.019	0.017	0.014	0.063	0.013	0.015	1.965	1.53	1.179	0.052	0.165	0.469	0.009	0.269	0.071	0.004	0.375	0.019	0.347	0.136	0.57	1.584	2.066	0.077	1.394	0.754
ASV_507	2.197	13.996	0.00247593038407019	0.00892937040063713	Enriched	0.602	0.131	0.814	1.057	0.499	1.249	1.034	0.446	1.634	0.12	0.803	0.766	0.117	0.088	0.16	0.022	0.228	0.05	0.215	0.179	0.259	0.085	0.137	0.186	0.17	0.102	0.247	0.068	0.062	0.045	0.094	0.07
ASV_61	3.837	14.015	0.000166327518315808	0.00184148323849644	Enriched	0.806	0.056	0.091	0.111	0.078	0.068	0.084	1.259	1.656	1.379	0.954	1.09	0.754	1.436	0.864	1.155	1.11	0.084	0.038	0.053	0.065	0.034	0.08	0.044	0.012	0.007	0.013	0.089	0.125	0.081	0.06	0.061
ASV_465	-0.276	12.252	0.539725567693512	0.606213499945611	NotSig	0.149	0.18	0.04	0.371	0.055	0.326	0.254	0.1	0.258	0.038	0.086	0.239	0.054	0.059	0.045	0.045	0.259	0.401	0.341	0.065	0.488	0.221	0.064	0.355	0.152	0.101	0.249	0.03	0.142	0.032	0.035	0.022
ASV_63	5.366	14.585	0.000642029179812785	0.00383021525191649	Enriched	0.846	0.021	1.581	1.741	2.458	0.522	1.036	0.058	0.114	0.115	0.066	0.045	1.213	1.257	1.083	0.51	0.889	0.052	0.016	0.023	0.015	0.028	0.016	0.018	0.004	0	0.013	0.043	0.033	0.014	0.015	0.017
ASV_1412	-0.898	13.581	0.0439949135211588	0.071781174692417	Depleted	0.234	0.436	0.41	0.327	0.15	0.486	0.58	0.051	0.081	0.059	0.563	0.088	0.054	0.097	0.387	0.123	0.05	0.045	0.305	0.296	0.095	0.14	0.27	0.554	1.225	0.291	0.327	0.335	0.55	0.743	0.666	0.695
ASV_67	-1.57	12.1	0.12780566164165	0.1678803182581	NotSig	0.035	0.104	0.031	0.068	0.012	0.043	0.01	0.06	0.114	0.148	0.02	0.005	0.006	0.002	0.003	0.004	0	0.296	0.215	0.439	0.428	0.106	0.016	0.023	0.007	0.004	0.009	0.002	0.008	0.002	0.002	0.004
ASV_62	-0.031	14.283	0.970505472421122	0.970505472421122	NotSig	0.368	0.375	1.806	1.057	1.297	0.469	0.43	0.041	0.031	0.031	0.21	0.047	0.023	0.031	0.017	0.007	0.015	0.435	0.478	1.513	1.994	0.129	0.299	0.457	0.037	0.082	0.046	0.031	0.082	0.009	0.021	0.017
ASV_81	-1.642	13.006	0.00576426965852709	0.0141819332868524	Depleted	0.112	0.351	0.12	0.085	0.204	0.082	0.122	0.049	0.055	0.113	0.038	0.043	0.174	0.177	0.109	0.097	0.215	0.247	0.509	0.805	0.823	0.673	0.601	0.406	0.156	0.343	0.41	0.05	0.09	0.022	0.079	0.046
ASV_91	-5.79	13.428	0.000454285181783797	0.0032006455989313	Depleted	0.008	0.453	0.002	0.002	0.005	0.012	0.003	0.003	0.005	0.009	0.002	0.022	0.01	0.007	0.023	0.004	0.015	0.736	0.005	0.183	0.101	0.004	0.947	0.531	1.059	0.164	0.041	0.405	0.44	0.622	0.447	1.102
ASV_80	4.204	14.982	0.105873704513905	0.142699340866567	NotSig	0.4	0.022	0.071	0.019	0.072	0.014	0.035	0.041	0.026	3.237	0.917	0.027	0.017	0.518	0.915	0.039	0.05	0.005	0.022	0.029	0.032	0.032	0.047	0.009	0.014	0.02	0.018	0.017	0.037	0.02	0.015	0.007
ASV_60	4.828	14.98	0.010759326149024	0.0234886697619539	Enriched	0.746	0.026	0.013	0.042	0.032	0.014	0.019	0.306	0.202	0.335	0.573	0.209	1.211	1.511	1.652	1.834	3.231	0.009	0.007	0.002	0.004	0.011	0.011	0.019	0	0.048	0.096	0.064	0.072	0.016	0.025	0.009
ASV_94	2.775	13.815	4.0445024521898e-05	0.000708254325533878	Enriched	0.651	0.095	0.213	0.355	0.139	0.507	0.506	0.81	0.916	0.211	0.917	0.925	0.983	0.525	1.441	0.409	0.904	0.081	0.085	0.025	0.078	0.073	0.153	0.109	0.154	0.134	0.098	0.068	0.078	0.049	0.136	0.107
ASV_71	-0.926	13.13	0.234626179572712	0.288627443125162	NotSig	0.089	0.169	0.137	0.05	0.044	0.089	0.073	0.044	0.033	0.058	0.06	0.043	0.272	0.126	0.078	0.028	0.2	0.052	0.134	0.084	0.093	0.165	0.102	0.021	0.034	0.06	0.092	0.127	0.896	0.007	0.576	0.094
ASV_392	5.637	14.506	0.000643997812803508	0.00383021525191649	Enriched	0.701	0.014	0.839	0.418	0.194	0.691	1.21	0.734	0.373	0.546	0.664	0.36	0.021	1.572	0.505	0.054	2.327	0.027	0.002	0.013	0.004	0.004	0.016	0.018	0.007	0.019	0.022	0.03	0.019	0.02	0.004	0.007
ASV_88	0.678	12.467	0.00191535765784051	0.00781791160584457	Enriched	0.353	0.221	0.566	0.523	0.543	0.444	0.468	0.213	0.213	0.282	0.265	0.223	0.298	0.384	0.276	0.209	0.393	0.409	0.218	0.24	0.259	0.266	0.224	0.169	0.161	0.233	0.175	0.217	0.251	0.169	0.161	0.16
ASV_68	-0.85	12.254	0.00247718017566062	0.00892937040063713	Depleted	0.159	0.286	0.219	0.144	0.233	0.113	0.275	0.163	0.088	0.227	0.113	0.135	0.168	0.104	0.118	0.129	0.151	0.118	0.188	0.488	0.449	0.14	0.337	0.387	0.174	0.388	0.408	0.217	0.386	0.085	0.303	0.221
ASV_98	1.995	14.936	0.0726936051762091	0.104328785206596	NotSig	0.583	0.146	0.118	0.286	0.023	1.398	0.331	0.294	0.107	0.044	0.038	3.134	0.23	0.06	1.305	1.338	0.039	0.194	0.132	0.042	0.089	0.044	0.051	0.158	0.324	0.11	0.157	0.231	0.119	0.371	0.033	0.14
ASV_72	0.521	13.414	0.34542562240058	0.401957766156845	NotSig	0.306	0.213	0.59	0.315	0.754	0.466	0.564	0.117	0.137	0.692	0.235	0.163	0.13	0.177	0.092	0.026	0.127	0.129	0.302	1.091	0.441	0.496	0.159	0.032	0.05	0.03	0.144	0.064	0.138	0.023	0.054	0.044
ASV_83	-0.169	12.545	0.589614906250272	0.639093080201344	NotSig	0.233	0.262	0.208	0.223	0.377	0.135	0.171	0.065	0.201	0.181	0.086	0.135	0.32	0.371	0.3	0.295	0.428	0.1	0.101	0.519	0.33	0.119	0.598	0.274	0.225	0.436	0.474	0.233	0.125	0.041	0.209	0.146
ASV_300	-2.217	13.149	4.02843810322468e-05	0.000708254325533878	Depleted	0.091	0.425	0.326	0.059	0.076	0.212	0.064	0.071	0.043	0.01	0.074	0.032	0.099	0.062	0.087	0.073	0.081	0.389	0.385	0.099	0.421	0.4	0.271	0.345	0.216	0.376	0.294	0.485	0.762	0.252	0.766	0.909
ASV_157	-0.194	13.479	0.703971346460701	0.747366840420607	NotSig	0.243	0.278	0.024	0.073	0.021	0.142	0.244	0.17	0.244	0.016	0.012	0.198	0.314	0.302	0.543	1.142	0.206	0.383	0.018	0.013	0.037	0.019	0.217	0.091	0.436	0.393	0.253	0.582	0.298	0.617	0.409	0.407
ASV_102	-4.46	13.317	8.794625221888e-05	0.0012392426449024	Depleted	0.019	0.426	0.011	0.007	0.004	0.002	0.15	0.015	0.003	0.016	0.012	0.005	0.017	0.02	0.005	0.011	0.013	0.02	0.914	0.181	0.186	0.296	0.111	0.411	0.228	0.514	1.021	0.525	0.705	0.311	0.624	0.345
ASV_125	3.267	14.76	0.0102975957734839	0.0228018192127144	Enriched	0.6	0.062	0.067	0.166	0.789	0.111	0.247	0.642	1.018	0.9	0.293	0.375	1.148	0.199	2.776	0.123	0.143	0.068	0.022	0.12	0.054	0.009	0.038	0.111	0.044	0.069	0.041	0.089	0.066	0.09	0.048	0.066
ASV_87	-3.011	13.838	0.00301493949315456	0.0103847915875324	Depleted	0.065	0.521	0.015	0.014	0.016	0.01	0.16	0.041	0.012	0.007	0.002	0.339	0.082	0.027	0.026	0.026	0.193	0.075	0.117	0.023	0.311	0.073	0.033	0.295	0.563	0.183	1.41	1.016	0.914	1.464	0.68	0.662
ASV_206	-6.224	14.396	0.00355752095642707	0.0105643782945996	Depleted	0.008	0.575	0.002	0.002	0.005	0	0.009	0.003	0.007	0.002	0	0.007	0.025	0.018	0.016	0.007	0.013	0.013	0.005	0.013	0.531	0.005	0.164	0.202	0.735	2.156	0.458	1.068	0.092	1.336	0.703	1.143
ASV_117	-0.571	13.722	0.409849013078105	0.467107331081664	NotSig	0.22	0.326	0.107	0.062	0.067	0.198	0.325	0.031	0.102	0.021	0.156	0.493	0.469	0.194	0.786	0.067	0.217	0.009	0.014	0.019	0.168	0.023	0.02	0.153	0.048	0.289	0.083	1.351	1.056	0.246	0.998	0.417
ASV_77	0.287	5.639	0.719155883388929	0.758293618539347	NotSig	0.001	0.001	0	0.003	0	0.002	0	0	0	0.002	0	0.005	0.004	0	0	0	0.002	0	0.004	0	0	0	0	0	0.004	0	0	0.003	0	0	0.002	0.002
ASV_720	5.216	14.456	0.00725965874853969	0.0173114939388254	Enriched	0.611	0.016	0.164	0.107	0.063	0.039	0.087	1.593	2.247	1.811	1.116	0.747	0.103	0.371	0.319	0.011	0.377	0.011	0.029	0.025	0.032	0.021	0.031	0.009	0.005	0.015	0.028	0.003	0.014	0.005	0.012	0.007
ASV_122	4.144	14.606	0.0393831945529039	0.0670812654472539	Enriched	0.556	0.031	0.087	0.049	0.245	0.07	0.016	0.267	0.069	0.124	0.134	0.176	2.493	0.242	1.97	2.333	0.064	0.023	0.013	0.011	0.117	0.039	0.015	0.004	0.027	0.004	0.007	0.078	0.039	0.061	0.021	0.013
ASV_95	-0.054	12.327	0.865497292719368	0.882579476128303	NotSig	0.211	0.219	0.197	0.239	0.391	0.13	0.143	0.063	0.188	0.167	0.086	0.103	0.285	0.333	0.219	0.252	0.373	0.065	0.076	0.426	0.309	0.113	0.514	0.234	0.179	0.373	0.412	0.196	0.076	0.032	0.165	0.122
ASV_78	-1.777	12.553	1.92605802628564e-05	0.000551373973311453	Depleted	0.104	0.356	0.078	0.038	0.06	0.089	0.108	0.087	0.045	0.019	0.089	0.071	0.151	0.145	0.163	0.075	0.338	0.43	0.188	0.176	0.21	0.246	0.124	0.272	0.482	0.315	0.286	0.504	0.376	0.536	0.601	0.588
ASV_130	-1.824	12.653	0.00101591923709768	0.00507959618548842	Depleted	0.082	0.29	0.084	0.036	0.019	0.142	0.085	0.106	0.105	0.028	0.048	0.073	0.134	0.075	0.073	0.168	0.053	0.256	0.038	0.191	0.067	0.028	0.226	0.211	0.349	0.175	0.198	0.519	0.398	0.644	0.503	0.551
ASV_85	-2.239	13.318	0.00191664929691673	0.00781791160584457	Depleted	0.086	0.408	0.04	0.085	0.078	0.222	0.108	0.104	0.035	0.052	0.134	0.108	0.124	0.071	0.031	0.041	0.064	0.405	0.191	0.042	0.261	0.03	0.18	0.241	0.115	0.375	0.225	0.86	0.846	0.52	0.814	1.021
ASV_142	-3.792	14.416	0.0147471422072864	0.0298721905667544	Depleted	0.036	0.502	0.055	0.042	0.058	0.036	0.019	0.01	0.102	0.009	0.033	0.06	0.023	0.016	0.042	0.006	0.033	0.512	0.04	0.149	1.184	0.285	0.026	0.52	0.315	2.186	1.591	0.063	0.053	0.05	0.131	0.418
ASV_1658	0.974	12.957	0.0293300061787735	0.0522546087093091	Enriched	0.29	0.148	0.135	0.14	0.042	0.229	0.24	0.555	0.795	0.3	0.285	0.626	0.107	0.199	0.378	0.041	0.281	0.348	0.231	0.065	0.277	0.135	0.14	0.156	0.099	0.099	0.103	0.096	0.156	0.041	0.088	0.182
ASV_118	-5.562	13.503	0.000691909851959108	0.00383021525191649	Depleted	0.009	0.423	0	0.002	0.007	0.012	0.005	0.007	0.01	0.003	0.018	0.015	0.006	0.007	0.017	0.009	0.015	0.695	0.007	0.164	0.097	0.005	0.849	0.512	1.016	0.188	0.028	0.34	0.376	0.538	0.365	1.161
ASV_93	-0.062	12.588	0.864753985432726	0.882579476128303	NotSig	0.228	0.238	0.615	0.213	0.523	0.246	0.2	0.09	0.095	0.159	0.098	0.053	0.172	0.231	0.069	0.361	0.292	0.143	0.17	0.572	0.374	0.168	0.585	0.299	0.142	0.134	0.247	0.182	0.133	0.085	0.202	0.133
ASV_1450	-3.588	13.061	0.0033654372671237	0.010483472143863	Depleted	0.024	0.294	0.02	0.012	0.014	0.067	0.021	0.015	0.017	0.012	0.031	0.015	0.027	0.035	0.023	0.041	0.017	0.07	0.016	0.473	0.147	0.005	0.024	0.496	0.446	0.009	0.024	0.676	0.594	0.854	0.04	0.534
ASV_126	-0.662	9.094	0.0134971900442582	0.0282711413089191	Depleted	0.023	0.036	0.015	0.021	0.014	0.049	0.038	0.029	0.016	0.016	0.015	0.012	0.013	0.049	0.01	0.032	0.011	0.039	0.011	0.038	0.017	0.014	0.055	0.039	0.042	0.045	0.028	0.024	0.045	0.043	0.052	0.046
