Genus	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Acetivibrio	0.00716678909931378	0.0369201233132119	0.052112284602557	0.0311781441209712	0.0143903009371683	0.015358034171626	0.0202727607814228	0.00722256328771081	0.0190817845284891	0.0111698562811825	0.00708491267845124	0.0874571824211063	0.174029215813806	0.0513483364909609	0.0689526649273202	0.00711731107987402	0.141465803362533	0.0418760469011725	0.0325822272524608	0.00179742967556394	0.0896024576674103	0.017710713210421	0.0952464943998589	0.0751204675791055	0.158113877127949	0.0354219877328064	0.0419370943584623	0.0547751568159731	0.0143794374045115	0.0249643366619116	0.0764804428581834	0.485041776714672	0.367372711095804	0.0567246111619396	0.324596424231904	0.00934527035867148	0.637434098131785	0.33089063284999	0.110991702048942	0.512058989195555	0.320256204963971	0.619521742830397	0.741585852823731	0.108083607900563	0.0446953268552699
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Acutalibacter	0.116460322863849	0.478115596906094	0.335255697609783	0.214349740831677	0.248232691166154	0.320598963332693	0.543678584592702	0.357516882741685	0.0820516734725032	0.143346488941842	0.357788090261787	0.122075650462794	0.290048693023011	0.246117888698054	0.423033917256802	0.0533798330990552	0.177739086276003	0.143575017946877	0.0908872654937065	0.0215691561067673	0.164575942654427	0.0212528558525052	0.208131228503395	0.265669946316349	0.439205214244304	0.288968847293947	0.595107338991513	0.132520540683806	0.0844791947515053	0.153352353780314	0.0710175540825989	0.209298848856331	0.183686355547902	0.182982616651418	0.119770873112307	0.0598097302954975	0.172676672116391	0.0381130571869099	0.202603900565529	0.351613839247615	0.111393462596164	0.137860607607863	0.131376514719356	0.144692571866883	0.210233574467381
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus	0.182753122032501	0.304591017333998	0.152862701500834	0.161736622627538	0.147500584605976	0.176617392973699	0.335422042019904	0.312375862193492	0.0343472121512804	0.197334127634224	0.343618264904885	0.0564827636469645	0.152934765412133	0.0743665562972537	0.156541185240403	0.115656305047953	0.0489689319331846	0.0697934115019542	0.0823129951641115	0.00718971870225577	0.076802106572066	0.0017710713210421	0.197548284681189	0.219864783158358	0.0825705802779291	0.315069259307593	0.053919121318023	0.0547751568159731	0.0539228902669183	0.0802425106990014	0.167528589117926	0.0664440790020099	0.0631421847195913	0.040256175663312	0.0607533414337789	0.110274190232323	0.0845013501846171	0.0467751156384803	0.158559574355632	0.206530458975541	0.0400320256204964	0.0629733639690239	0.0328441286798389	0.0505552359534892	0.0579383866642388
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Butyricicoccus	0.440757529607798	0.136604456258884	0.168496386881601	0.218247008846798	0.190671487417481	0.115185256287195	0.140066347217103	0.317792784659276	0.160286990039308	0.316479261300171	0.510113712848489	0.138473872166752	0.172271344947	0.387768472121395	0.141632500931793	0.199284710236473	0.112447177031757	0.0677993140304698	0.0823129951641115	0.00359485935112789	0.0365724317009838	0.0336503550997999	0.303377722903254	0.388427783579765	0.237170815691924	0.29269747758161	0.0878681977034448	0.0865800865800866	0.141996944369552	0.128388017118402	0.123825478913249	0.212621052806432	0.0841895796261217	0.0896614821591949	0.149279638951571	0.198119731603835	0.180024615610706	0.0346482338062817	0.0475678723066895	0.148497106866711	0.198419605249417	0.217853799676623	0.140019706477208	0.0400955319631121	0.0993229485672665
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Cellulosibacter	0.0501675236951965	0.0350741171475513	0.0416898276820456	0.0506644841965782	0.0287806018743367	0.0403148397005183	0.0258016955399926	0.0451410205481926	0.0362553906041293	0.0465410678382605	0.0301108788834178	0.0400845419430071	0.0333995464693164	0.0531189687837527	0.0409988818486769	0.0373658831693386	0.0344596187677966	0.0119645848289064	0.0377267894502178	0.0377460231868428	0.0420582964561314	0.0673007101995997	0.0335126554369874	0.031147510947434	0.0210818502837266	0.0298290423013106	0.0239640539191213	0.0388726919339164	0.0215691561067673	0.0303138373751783	0.058270813606235	0.0382053454261557	0.0631421847195913	0.0512351326623971	0.0243013365735115	0.0205595947890772	0.0532725903337803	0.0450427039481662	0.0704709219358362	0.0443784457302815	0.0748424826817976	0.0578674155391031	0.0224722985704161	0.0244059759775465	0.0480060918075121
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Clostridium_IV	0.709512120832064	1.08360561924277	0.918913285158421	0.775556335009159	0.944363499001673	0.535611441735458	0.617397714706966	0.947961431512044	0.887302980574743	0.811676223099263	0.531368450883843	0.696013410101305	0.885966916870287	0.59493245037803	1.09206112560567	0.759772957776552	1.3693164299835	1.08877721943049	0.576190966148781	0.030556304484587	0.863109388143218	0.0531321396312629	1.0230179028133	0.939921948001979	1.32112928444686	1.09435298942933	0.794807788317524	0.975351179432812	0.366675653815044	0.597360912981455	0.697428800349625	0.566435773492135	0.748139218950309	0.508691674290942	0.308974136434647	0.293441489262284	0.615390267648842	0.639259913725898	0.997163545392083	0.931947360335911	0.974692797716434	0.692707003659263	0.644782105135784	0.486376235552534	0.822725090632191
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Dysosmobacter	0.136168992886962	0.114452382270957	0.159811006114508	0.109123504423399	0.147500584605976	0.0844691879439432	0.0921489126428308	0.101115886027951	0.0744189596611075	0.0874972075359297	0.193063870487796	0.120253625829021	0.11777734807601	0.148733112594507	0.15281401416325	0.0551591608690237	0.179552750421677	0.237297599106644	0.291525191206228	0.00898714837781972	0.334637750064002	0	0.171090925125672	0.15573755473717	0.252982203404719	0.261004120136468	0.0319520718921618	0.162558529905469	0.181540397231958	0.128388017118402	0.309563697283123	0.33554259896015	0.991140960143888	0.199451052150046	0.774171150841868	0.371941760275125	0.541910832705697	0.254664518476171	0.482725815260478	0.537661938655333	0.751905872524106	0.355714407284486	0.0968037476879462	0.113313459895752	0.311211905510768
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Flavonifractor	0.546467668822676	0.596259991508372	0.158073929961089	0.16758252465022	0.485672656629432	0.0614321366865041	0.13638039071139	0.371962009317107	0.274777697210243	0.17871770049892	0.511884941018102	0.200422709715035	0.184576441014643	0.277989269968306	0.300037271710772	0.163698154837103	0.495130311768867	0.311079205551567	0.0497307679116507	0.0107845780533837	0.0548586475514757	0.0053132139631263	0.410970985095687	0.263837739790029	0.38474376767801	0.283375901862451	0.958562156764853	0.0494743351886209	0.107845780533837	0.283523537803138	0.1766334037439	0.0581385691267587	0.132024568050055	0.256175663311985	0.0433952438812706	0.241107975253724	0.207579403714385	0.0311834104256536	0.110991702048942	0.0460853090276	0.158387579628921	0.0459535358692877	0.0345727670314094	0.0139462719871694	0.0993229485672665
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Flintibacter	2.31128948452869	4.57071126617563	3.61485547526404	4.13110409602868	3.98071699674419	3.87598387406412	3.84629561371176	2.49900689754794	1.90054573903751	2.61374636979671	3.36179106592511	2.08075213176882	1.97760472515689	4.88163323122687	3.96757361162877	1.53911852102276	2.37952735912364	3.05894552125708	1.90863257536784	0.120427788262784	3.6206707383974	0.0938667800152312	3.95272951759414	3.6186078894813	4.41840445529769	3.13950670221294	2.08886669995008	2.85890979768531	1.70216590275905	4.10485021398003	1.10350353266807	0.784040132223717	0.935652373572126	1.33577310155535	0.807151536191633	1.66906528605873	1.91597626614251	0.698161911196577	1.23147936082874	1.1794425384471	1.36282939394994	0.709726831758999	0.715656277550174	0.258006031762634	0.938601863960668
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Harryflintia	0.177378030208016	0.215982721382289	0.239716509171762	0.229938812892163	0.219452089291817	0.195814935688232	0.272760781422779	0.0902820410963851	0.137388848605122	0.137761560801251	0.0921038648198661	0.193134611179943	0.184576441014643	0.0849903500540043	0.171449869549012	0.181491432536788	0.168670765547636	0.157533700247268	0.217786466371712	0.00539228902669183	0.171890428994624	0.0035421426420842	0.10230179028133	0.120925630737097	0.15108659370004	0.115587538917579	0.351472790813779	0.210265924551639	0.219286420418801	0.158701854493581	0.302279845582344	0.107971628378266	0.091843177773951	0.0841720036596523	0.138864780420066	0.168214866456087	0.141447912265555	0.135128111844499	0.174415531791195	0.151910833461348	0.174052285306506	0.0697812952089184	0.0985323860395167	0.0819343479246204	0.130775215613568
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Intestinimonas	0.18454481930733	0.129220431596242	0.079905503057254	0.185120230718266	0.084543018005864	0.122864273373008	0.11979358643568	0.137228702466505	0.12212342098233	0.121006776379477	0.106273690176769	0.123897675096567	0.166997732346582	0.14165058342334	0.158404770778979	0.0925250440383623	0.344596187677966	0.153545505304299	0.192063655382927	0.0143794374045115	0.18103353691987	0.035421426420842	0.185201516888615	0.216200370105718	0.240684457405878	0.268461380711796	0.0898652021967049	0.226168389433696	0.0754920463736856	0.0891583452211127	0.28953310510598	0.142854769854321	0.139678166197884	0.276303751143641	0.107620204825551	0.336429732912173	0.303102669140474	0.240805224953658	0.327689787001638	0.334545206274429	0.316775159257841	0.154880435707599	0.160763366696054	0.207450795809145	0.206922809515138
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Lawsonibacter	0.56438464157096	1.32358642077865	0.9449694274597	1.67777388050976	1.17101073876207	1.21904396237282	1.3932915591596	1.22964139973277	0.232797771247567	0.895450145208132	1.16369690743562	0.637708621820567	0.638107124650623	0.605556244134781	1.17405888930302	0.402128076012882	0.45522970056405	1.20044667783361	1.09922145625407	0.062910038644738	1.15020297699594	0.0265660698156315	0.816650498280272	1.11764598105498	1.6426275012737	0.891142638751655	0.413379930104843	0.991253644314869	0.605733800665049	0.937945791726105	1.3420496758686	0.387036760186708	0.493657080534987	0.318389752973467	0.355840999826419	0.411191895781545	0.622738211143156	0.623668208513071	0.863268793713994	0.996808165634014	0.750165349671041	0.607607863160582	0.437345502947328	0.212680647804334	0.956811071198
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Monoglobus	0.00537509182448533	0.0147680493252847	0	0.0019486340075607	0	0.00191975427145325	0.00368595650571323	0.00722256328771081	0.020989962981338	0.00186164271353042	0.00177122816961281	0.00546607390131915	0.0685569638054389	0.00708252917116702	0.0316809541557957	0.00177932776996851	0.0362732829134701	0.0159527797718752	0.00514456219775697	0	0.00548586475514757	0.00885535660521049	0.0423317752888262	0.0476373696843108	0.00878410428488607	0.0167788362944872	0.00399400898652022	0.0618429189857761	0.0107845780533837	0.00891583452211127	0.162065700342341	0.0531552632016079	0.0153071962956585	0.0494053064958829	0.0711681999652838	0.0168214866456087	0.106545180667561	0.206156991147376	0.121562340339317	0.117773567514978	0.175792808159571	0.0544634499191558	0.0985323860395167	0.127259731882921	0.0529722392358754
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Neglecta	0.146919176535932	0.12368241309926	0.0868538076709283	0.212401106824116	0.170884823628874	0.24188903820311	0.116107629929967	0.24376151096024	0.0515208182269206	0.186164271353042	0.15763930709554	0.247795350193135	0.14062966934449	0.16112753864405	0.227357435706299	0.0907457162683938	0.126956490197145	0.181462869905081	0.144047741537195	0.00359485935112789	0.109717295102951	0.0106264279262526	0.195784460710821	0.119093424210777	0.191493473410516	0.410149331643021	0.0998502246630055	0.160791589363018	0.18693268625865	0.101640513552068	0.101973923810911	0.171093503430176	0.133937967587012	0.318389752973467	0.0937337267835445	0.082238379156309	0.416995793302349	0.147254993676697	0.149750709113652	0.26456381108437	0.27848365649041	0.255297421496043	0.0916178326332348	0.0575283719470739	0.316178052939132
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillibacter	0.623510651640299	1.73524579572096	0.979710950528071	0.687867804668927	1.74842156386595	1.05586484929929	0.962034647991154	0.465855332057347	0.270961340304545	0.543599672350882	0.619929859364483	0.479192478682312	0.755884472726634	1.70157763337288	1.40887066716362	0.359424209533638	0.418956417650579	0.997048735742203	0.548753301094077	0.0269614451334592	0.853966280217972	0.0247949984945894	0.615574565658347	0.628446838527639	0.702728342790886	0.445571319375827	0.742885671492761	1.00538916865447	1.1215961175519	0.923680456490728	0.180275329594289	0.20265444095613	0.45538908979584	0.554437328453797	0.321124804721403	0.388763246920733	0.648456013373257	0.100479878038217	0.192033262275154	0.168979466434533	0.167090193894246	0.316568802655093	0.243738007571436	0.0313791119711312	0.293002698273436
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Paludicola	0.00179169727482844	0.0258440863192483	0.0625347415230684	0.0292295101134105	0.0575612037486734	0.00959877135726627	0.0755621083671213	0.0126394857534939	0.00572453535854673	0.0130314989947129	0.00708491267845124	0.0473726404780993	0.0246101921352857	0.0407245427342104	0.033544539694372	0.0124552943897795	0.021763969748082	0.00598229241445322	0.00685941626367596	0.00539228902669183	0.0146289726803935	0.0017710713210421	0.0176382397036776	0.0146576522105572	0.0316227754255899	0.00745726057532765	0.00599101347978033	0.0123685837971552	0.00359485935112789	0.00713266761768902	0.0400611843542866	0.0564774671517084	0.0133937967587012	0.0475754803293687	0.00347161951050165	0.0224286488608115	0.0128589011150504	0.0502399390191085	0.0281883687743345	0.0460853090276	0.0365509799143663	0.0425495702493405	0.0276582136251275	0.0139462719871694	0.0215199721895744
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Papillibacter	0.00358339454965689	0.101530339111333	0.0208449138410228	0.0292295101134105	0.0665551418344036	0.0268765598003456	0.00921489126428308	0.0018056408219277	0.00954089226424455	0.0688807804006255	0.00177122816961281	0.140295896800525	0.0755884472726634	0.139879951130549	0.0801341781587775	0.00889663884984253	0.021763969748082	0.00997048735742203	0.00514456219775697	0.00179742967556394	0.0841165929122627	0.0017710713210421	0.051150895140665	0.0861137067370234	0.024595491997681	0.0559294543149574	0	0.00530082162735224	0.0233665857823313	0.0855920114122682	0.00910481462597421	0.0116277138253517	0.00765359814782925	0.0128087831655993	0.00173580975525082	0.0224286488608115	0.0183698587357863	0.0103944701418845	0.00528531914518772	0.0238960861624592	0.0104431371183904	0.00510594842992086	0.00864319175785234	0.00174328399839618	0.00331076495224222
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Phocea	0.438965832332969	0.446733492089864	0.938021122846026	1.00744378190888	0.611587789829655	0.89652524476867	1.16660523405824	0.258206637535661	0.124031599435179	0.325787474867823	0.187750185978958	0.318854310910283	0.349816302494419	0.187687023035926	0.499440924338427	0.222415971246063	0.195875727732738	0.674004945361729	0.351545083513393	0.0197717264312034	0.449840909922101	0.0123974992472947	0.202839756592292	0.36277689221129	0.298659545686126	0.30201905330077	0.431352970544184	0.429366551815531	0.411611395704143	0.206847360912981	0.260397698302863	0.171093503430176	0.216214147676176	0.140896614821592	0.0833188682520396	0.205595947890772	0.338005400738468	0.204424579457062	0.317119148711263	0.274804990868281	0.177533331012636	0.192324057527019	0.0968037476879462	0.134232867876506	0.187058219801685
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus	0.00716678909931378	0.0719942404607631	0.0138966092273485	0.0097431700378035	0.00359757523429209	0.0134382799001728	0.0147438260228529	0.0379184572604817	0.248063198870358	0.0093082135676521	0.0177122816961281	0.0255083448728227	0.0333995464693164	0.0106237937567505	0.0130450987700335	0.0213519332396221	0.244844659665923	0.063811119087501	0.113180368350653	0.00539228902669183	0.539443367589511	0.0123974992472947	0.246935355851486	0.130086663368695	0.0263523128546582	0.2628684352803	0.0199700449326011	0.0565420973584239	0.00898714837781972	0.0427960057061341	0.147497996940782	0.0963439145529144	0.0248741939804451	0.0128087831655993	0.0156222877972574	0.0261667570042801	0.0165328728622077	0.105677113109159	0.197318581420341	0.0102411797839111	0.205381696661677	0.224661730916518	0.172863835157047	0.106340323902167	0.0728368289493287
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruthenibacterium	0.00358339454965689	0.00738402466264237	0.00694830461367426	0.0019486340075607	0.00719515046858417	0	0.00552893475856985	0	0.00190817845284891	0.00744657085412168	0	0.0127541724364113	0.00527361260041837	0.00531189687837527	0.0130450987700335	0.00711731107987402	0.00362732829134701	0	0.00171485406591899	0.00179742967556394	0.00182862158504919	0.0017710713210421	0.0158744157333098	0.00732882610527859	0.00878410428488607	0.00186431514383191	0.0339490763854219	0	0.0215691561067673	0.00178316690442225	0.058270813606235	0.0548163651766582	0.0650555842565486	0.0439158279963403	0.0121506682867558	0.0915836495149805	0.0257178022301009	0.174973580721723	0.221983404097884	0.107532387731067	0.100950325477774	0.115734831078206	0.0760600874691006	0.0209194079807541	0.0132430598089689
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Thermoclostridium	0.0125418809237991	0.00738402466264237	0.00694830461367426	0.0136404380529249	0.00359757523429209	0.015358034171626	0.00184297825285662	0.0126394857534939	0.0133572491699424	0.00558492814059126	0.00177122816961281	0.0218642956052766	0.0105472252008367	0.0123944260495423	0.016772269847186	0.014234622159748	0.021763969748082	0.00797638988593762	0.0102891243955139	0.0161768670800755	0.00731448634019676	0.0194817845314631	0.00352764794073551	0.0146576522105572	0.00878410428488607	0.0149145211506553	0.00798801797304044	0.021203286509409	0.00539228902669183	0.0106990014265335	0.0145677034015587	0.013288815800402	0.0114803972217439	0.0128087831655993	0.00520742926575247	0.00373810814346859	0.0165328728622077	0.0225213519740831	0.0211412765807509	0.0256029494597778	0.0087026142653253	0.0085099140498681	0.0103718301094228	0.0122029879887733	0.00496614742836332
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Unassigned	0.390590005912601	0.542725812704214	0.630558643690939	0.535874352079192	0.480276293777994	0.347475523133039	0.398083302617029	3.20862374056553	0.261420448040301	0.228982053764242	1.03085479471466	0.16762626630712	0.228523212684796	0.357667723143935	0.223630264629146	0.329175637444174	0.535030922973684	1.43774427694026	0.454436327468532	0.0359485935112789	0.736934498774824	0.0159396418893789	0.418026280977158	0.373770131369208	0.576237241088526	0.814705717854546	0.343484772840739	0.752716671084018	0.515862316886852	0.529600570613409	3.1083837133076	0.475075164864371	0.191339953695731	1.81518755718207	0.689116472834577	0.203726893819038	2.62137884159671	9.22335983923219	1.00949595673085	1.05484151774284	3.62376858008146	1.01097778912433	0.577365209424536	1.67529592245873	0.786306676157526
